Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2017-10-01,0.0217,0.0322,0.0174,0.025,50068700,0,0,ADA-USD
2017-10-02,0.0246,0.0301,0.02,0.0259,57641300,0,0,ADA-USD
2017-10-03,0.0258,0.0274,0.0207,0.0208,16997800,0,0,ADA-USD
2017-10-04,0.0209,0.0228,0.0209,0.0219,9000050,0,0,ADA-USD
2017-10-05,0.022,0.0222,0.0209,0.0215,5562510,0,0,ADA-USD
2017-10-06,0.0214,0.0215,0.0184,0.0185,7780710,0,0,ADA-USD
2017-10-07,0.0184,0.0211,0.0176,0.0209,7411240,0,0,ADA-USD
2017-10-08,0.0209,0.0236,0.0201,0.0205,7727460,0,0,ADA-USD
2017-10-09,0.0203,0.0228,0.0203,0.0221,4663310,0,0,ADA-USD
2017-10-10,0.0221,0.0224,0.0213,0.0215,2725600,0,0,ADA-USD
2017-10-11,0.0215,0.0226,0.021,0.0225,3606720,0,0,ADA-USD
2017-10-12,0.0225,0.0268,0.0218,0.0263,8680640,0,0,ADA-USD
2017-10-13,0.0261,0.0338,0.0252,0.0336,15613600,0,0,ADA-USD
2017-10-14,0.0339,0.0383,0.0293,0.0325,27853200,0,0,ADA-USD
2017-10-15,0.0329,0.0336,0.0287,0.03,7104990,0,0,ADA-USD
2017-10-16,0.0299,0.0307,0.0286,0.0289,6196030,0,0,ADA-USD
2017-10-17,0.029,0.0296,0.0255,0.0272,7039900,0,0,ADA-USD
2017-10-18,0.0272,0.0274,0.0246,0.0267,2336180,0,0,ADA-USD
2017-10-19,0.0267,0.0271,0.0258,0.027,2897720,0,0,ADA-USD
2017-10-20,0.027,0.0309,0.0266,0.0306,8716410,0,0,ADA-USD
2017-10-21,0.0308,0.0308,0.028,0.0284,5344520,0,0,ADA-USD
2017-10-22,0.0286,0.0287,0.0271,0.0277,2930210,0,0,ADA-USD
2017-10-23,0.0277,0.0281,0.0243,0.0255,3517050,0,0,ADA-USD
2017-10-24,0.0253,0.029,0.0238,0.0272,7589560,0,0,ADA-USD
2017-10-25,0.027,0.0278,0.0261,0.0275,2561430,0,0,ADA-USD
2017-10-26,0.0274,0.0276,0.0265,0.0271,2437710,0,0,ADA-USD
2017-10-27,0.0271,0.0275,0.0257,0.0264,2511440,0,0,ADA-USD
2017-10-28,0.0263,0.0269,0.0256,0.0259,1739460,0,0,ADA-USD
2017-10-29,0.0258,0.0298,0.0256,0.0286,4746180,0,0,ADA-USD
2017-10-30,0.0283,0.0289,0.0276,0.0286,3781270,0,0,ADA-USD
2017-10-31,0.0285,0.0307,0.0281,0.0304,7304450,0,0,ADA-USD
2017-11-01,0.0291,0.0292,0.023,0.023,9382780,0,0,ADA-USD
2017-11-02,0.0231,0.025,0.0182,0.0213,6165050,0,0,ADA-USD
2017-11-03,0.0214,0.0232,0.0198,0.0226,2836080,0,0,ADA-USD
2017-11-04,0.0226,0.0238,0.022,0.022,2626920,0,0,ADA-USD
2017-11-05,0.0221,0.023,0.0206,0.0206,2396230,0,0,ADA-USD
2017-11-06,0.021,0.0236,0.0205,0.0219,4591160,0,0,ADA-USD
2017-11-07,0.0218,0.0233,0.0214,0.0222,2539540,0,0,ADA-USD
2017-11-08,0.0219,0.0264,0.0217,0.0252,6367000,0,0,ADA-USD
2017-11-09,0.0252,0.0351,0.025,0.0321,18716200,0,0,ADA-USD
2017-11-10,0.0322,0.0333,0.0265,0.0271,6766780,0,0,ADA-USD
2017-11-11,0.0269,0.0297,0.0257,0.0274,5532220,0,0,ADA-USD
2017-11-12,0.0275,0.028,0.0226,0.024,7280250,0,0,ADA-USD
2017-11-13,0.0244,0.0263,0.0235,0.0258,4419440,0,0,ADA-USD
2017-11-14,0.0258,0.0268,0.0253,0.0262,3033290,0,0,ADA-USD
2017-11-15,0.0261,0.0278,0.0253,0.0264,6858800,0,0,ADA-USD
2017-11-16,0.0266,0.0282,0.0257,0.0276,4888130,0,0,ADA-USD
2017-11-17,0.0271,0.0274,0.0252,0.0258,3578870,0,0,ADA-USD
2017-11-18,0.0256,0.0271,0.0247,0.0264,2930550,0,0,ADA-USD
2017-11-19,0.0262,0.0285,0.0256,0.0281,4725050,0,0,ADA-USD
2017-11-20,0.0282,0.0323,0.0276,0.0296,16172400,0,0,ADA-USD
2017-11-21,0.0296,0.0297,0.0274,0.0283,5836790,0,0,ADA-USD
2017-11-22,0.0284,0.029,0.0279,0.0285,4938480,0,0,ADA-USD
2017-11-23,0.0285,0.0287,0.0274,0.0274,5132300,0,0,ADA-USD
2017-11-24,0.0274,0.0286,0.027,0.0284,5502350,0,0,ADA-USD
2017-11-25,0.0283,0.0304,0.0277,0.0304,6156460,0,0,ADA-USD
2017-11-26,0.0304,0.0399,0.0301,0.0363,30527100,0,0,ADA-USD
2017-11-27,0.0366,0.0571,0.0366,0.0506,77777296,0,0,ADA-USD
2017-11-28,0.0506,0.1317,0.0479,0.1197,240338000,0,0,ADA-USD
2017-11-29,0.1182,0.1469,0.0814,0.0897,210624992,0,0,ADA-USD
2017-11-30,0.0949,0.1283,0.0949,0.1199,124345000,0,0,ADA-USD
2017-12-01,0.1166,0.1314,0.113,0.1314,73657600,0,0,ADA-USD
2017-12-02,0.1316,0.1389,0.1291,0.1324,56712600,0,0,ADA-USD
2017-12-03,0.1324,0.1392,0.1249,0.1318,46458900,0,0,ADA-USD
2017-12-04,0.1315,0.1459,0.1264,0.1359,76392704,0,0,ADA-USD
2017-12-05,0.1356,0.1364,0.1268,0.1275,50381100,0,0,ADA-USD
2017-12-06,0.1267,0.1329,0.1139,0.1178,75688800,0,0,ADA-USD
2017-12-07,0.1178,0.1242,0.1055,0.1055,71024600,0,0,ADA-USD
2017-12-08,0.1061,0.1207,0.0991,0.1155,70092400,0,0,ADA-USD
2017-12-09,0.1147,0.1387,0.1136,0.1196,63308600,0,0,ADA-USD
2017-12-10,0.1198,0.1198,0.1001,0.1103,46376600,0,0,ADA-USD
2017-12-11,0.1089,0.1214,0.1086,0.1214,39513900,0,0,ADA-USD
2017-12-12,0.1212,0.138,0.1142,0.1339,60056800,0,0,ADA-USD
2017-12-13,0.1337,0.1419,0.1224,0.1343,61575000,0,0,ADA-USD
2017-12-14,0.1337,0.2408,0.1318,0.2408,309307008,0,0,ADA-USD
2017-12-15,0.2332,0.2332,0.187,0.2135,207311008,0,0,ADA-USD
2017-12-16,0.2129,0.4472,0.2042,0.4047,581052032,0,0,ADA-USD
2017-12-17,0.3868,0.5924,0.378,0.513,628142976,0,0,ADA-USD
2017-12-18,0.5119,0.5265,0.4674,0.5182,253463008,0,0,ADA-USD
2017-12-19,0.5203,0.5896,0.5011,0.5313,279631008,0,0,ADA-USD
2017-12-20,0.5337,0.5337,0.4416,0.4862,182924000,0,0,ADA-USD
2017-12-21,0.49,0.5236,0.4565,0.4779,162926000,0,0,ADA-USD
2017-12-22,0.479,0.479,0.2936,0.4072,150972992,0,0,ADA-USD
2017-12-23,0.4144,0.4504,0.3926,0.414,88865000,0,0,ADA-USD
2017-12-24,0.4167,0.4167,0.347,0.39,67372304,0,0,ADA-USD
2017-12-25,0.3923,0.4397,0.3628,0.4164,122194000,0,0,ADA-USD
2017-12-26,0.4136,0.4301,0.4056,0.4285,94896000,0,0,ADA-USD
2017-12-27,0.4271,0.4308,0.4011,0.4142,82067504,0,0,ADA-USD
2017-12-28,0.412,0.4189,0.3679,0.4077,82263800,0,0,ADA-USD
2017-12-29,0.4105,0.5569,0.4039,0.5293,266403008,0,0,ADA-USD
2017-12-30,0.5283,0.7774,0.4716,0.6392,645155968,0,0,ADA-USD
2017-12-31,0.6426,0.7544,0.6423,0.7197,305947008,0,0,ADA-USD
2018-01-01,0.7188,0.7301,0.6719,0.7287,150186000,0,0,ADA-USD
2018-01-02,0.7247,0.7946,0.6979,0.7826,289712000,0,0,ADA-USD
2018-01-03,0.7797,1.0857,0.7786,1.0797,657398016,0,0,ADA-USD
2018-01-04,1.094,1.3272,1.0376,1.1141,593430016,0,0,ADA-USD
2018-01-05,1.1711,1.2524,0.9035,0.9996,508100000,0,0,ADA-USD
2018-01-06,0.997,1.054,0.9292,1.0272,297615008,0,0,ADA-USD
2018-01-07,1.0242,1.044,0.9914,1.0085,226067008,0,0,ADA-USD
2018-01-08,0.9993,0.9993,0.7643,0.899,264460992,0,0,ADA-USD
2018-01-09,0.8982,0.9194,0.7962,0.8147,209492000,0,0,ADA-USD
2018-01-10,0.8159,0.8163,0.6768,0.7931,236472000,0,0,ADA-USD
2018-01-11,0.7915,0.7915,0.5725,0.6884,229000992,0,0,ADA-USD
2018-01-12,0.6958,0.9323,0.66,0.8975,365795008,0,0,ADA-USD
2018-01-13,0.9174,0.9693,0.8365,0.8841,313215008,0,0,ADA-USD
2018-01-14,0.882,0.882,0.7495,0.8023,160712000,0,0,ADA-USD
2018-01-15,0.7958,0.8845,0.7774,0.7786,972993024,0,0,ADA-USD
2018-01-16,0.7806,0.7806,0.4799,0.6265,1632649984,0,0,ADA-USD
2018-01-17,0.6241,0.6785,0.4406,0.6291,1713769984,0,0,ADA-USD
2018-01-18,0.6313,0.711,0.5915,0.6598,1285490048,0,0,ADA-USD
2018-01-19,0.6495,0.6885,0.6159,0.6505,584574016,0,0,ADA-USD
2018-01-20,0.6566,0.7262,0.6476,0.7075,738798976,0,0,ADA-USD
2018-01-21,0.7064,0.7064,0.5908,0.6132,847731008,0,0,ADA-USD
2018-01-22,0.615,0.6315,0.5219,0.5705,522984000,0,0,ADA-USD
2018-01-23,0.5665,0.5922,0.52,0.5631,375958016,0,0,ADA-USD
2018-01-24,0.5634,0.636,0.5448,0.6222,689838016,0,0,ADA-USD
2018-01-25,0.6293,0.683,0.6216,0.6375,654814016,0,0,ADA-USD
2018-01-26,0.6339,0.6528,0.5662,0.6234,810062016,0,0,ADA-USD
2018-01-27,0.6235,0.633,0.5953,0.6168,331308992,0,0,ADA-USD
2018-01-28,0.6206,0.6819,0.6206,0.6703,325145984,0,0,ADA-USD
2018-01-29,0.6694,0.6694,0.6208,0.6232,238318000,0,0,ADA-USD
2018-01-30,0.6248,0.6248,0.5234,0.5319,359622016,0,0,ADA-USD
2018-01-31,0.5276,0.5503,0.4713,0.5193,505904000,0,0,ADA-USD
2018-02-01,0.5159,0.5353,0.412,0.4217,595624000,0,0,ADA-USD
2018-02-02,0.4195,0.4195,0.2747,0.3905,1438809984,0,0,ADA-USD
2018-02-03,0.401,0.5016,0.3308,0.4388,1404499968,0,0,ADA-USD
2018-02-04,0.4339,0.4801,0.3698,0.3793,814753984,0,0,ADA-USD
2018-02-05,0.385,0.3995,0.3196,0.3274,658547968,0,0,ADA-USD
2018-02-06,0.3312,0.3787,0.2665,0.3698,1338390016,0,0,ADA-USD
2018-02-07,0.3673,0.3772,0.3325,0.3404,679744000,0,0,ADA-USD
2018-02-08,0.3445,0.3675,0.3368,0.3566,346383008,0,0,ADA-USD
2018-02-09,0.3528,0.3941,0.3429,0.3916,401271008,0,0,ADA-USD
2018-02-10,0.3867,0.4628,0.3854,0.4059,951824000,0,0,ADA-USD
2018-02-11,0.4051,0.4052,0.3636,0.3698,331944000,0,0,ADA-USD
