Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-08-07,2.83,3.54,2.52,2.77,164329,0,0,ETH-USD
2015-08-08,2.79,2.8,0.71,0.75,674188,0,0,ETH-USD
2015-08-09,0.71,0.88,0.63,0.7,532170,0,0,ETH-USD
2015-08-10,0.71,0.73,0.64,0.71,405283,0,0,ETH-USD
2015-08-11,0.71,1.13,0.66,1.07,1463100,0,0,ETH-USD
2015-08-12,1.06,1.29,0.88,1.22,2150620,0,0,ETH-USD
2015-08-13,1.22,1.97,1.17,1.83,4068680,0,0,ETH-USD
2015-08-14,1.81,2.26,1.75,1.83,4637030,0,0,ETH-USD
2015-08-15,1.8,1.88,1.57,1.69,2554360,0,0,ETH-USD
2015-08-16,1.68,1.7,1.09,1.57,3550790,0,0,ETH-USD
2015-08-17,1.58,1.58,1.19,1.2,1942830,0,0,ETH-USD
2015-08-18,1.22,1.33,1.09,1.09,1485680,0,0,ETH-USD
2015-08-19,1.17,1.32,1.17,1.26,1486240,0,0,ETH-USD
2015-08-20,1.25,1.53,1.25,1.46,2843760,0,0,ETH-USD
2015-08-21,1.48,1.56,1.35,1.4,2020970,0,0,ETH-USD
2015-08-22,1.4,1.48,1.35,1.38,948310,0,0,ETH-USD
2015-08-23,1.38,1.41,1.3,1.35,1589300,0,0,ETH-USD
2015-08-24,1.35,1.36,1.23,1.23,924920,0,0,ETH-USD
2015-08-25,1.23,1.24,1.13,1.14,1307180,0,0,ETH-USD
2015-08-26,1.13,1.2,1.06,1.16,1056750,0,0,ETH-USD
2015-08-27,1.17,1.19,1.14,1.15,686662,0,0,ETH-USD
2015-08-28,1.15,1.21,1.12,1.19,721872,0,0,ETH-USD
2015-08-29,1.19,1.21,1.15,1.18,375377,0,0,ETH-USD
2015-08-30,1.18,1.37,1.17,1.32,1337650,0,0,ETH-USD
2015-08-31,1.32,1.4,1.2,1.36,1447180,0,0,ETH-USD
2015-09-01,1.35,1.39,1.34,1.35,778862,0,0,ETH-USD
2015-09-02,1.35,1.35,1.26,1.29,883769,0,0,ETH-USD
2015-09-03,1.3,1.31,1.21,1.26,702991,0,0,ETH-USD
2015-09-04,1.26,1.3,1.24,1.27,474391,0,0,ETH-USD
2015-09-05,1.28,1.34,1.27,1.34,448453,0,0,ETH-USD
