Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2017-09-20,0.1565,0.1894,0.1525,0.1892,2718640,0,0,LINK-USD
2017-09-21,0.1891,0.2079,0.1553,0.1697,2126270,0,0,LINK-USD
2017-09-22,0.1698,0.1817,0.1399,0.1505,1423220,0,0,LINK-USD
2017-09-23,0.1496,0.1574,0.1263,0.1311,1186670,0,0,LINK-USD
2017-09-24,0.1311,0.1902,0.1303,0.1703,1025740,0,0,LINK-USD
2017-09-25,0.1706,0.1826,0.1586,0.1822,1021370,0,0,LINK-USD
2017-09-26,0.182,0.2232,0.182,0.195,1319050,0,0,LINK-USD
2017-09-27,0.1947,0.2061,0.1943,0.1946,1097010,0,0,LINK-USD
2017-09-28,0.1934,0.2838,0.1913,0.2438,8113680,0,0,LINK-USD
2017-09-29,0.2454,0.3349,0.2144,0.3084,8896430,0,0,LINK-USD
2017-09-30,0.3125,0.4726,0.3001,0.4514,23440700,0,0,LINK-USD
2017-10-01,0.4515,0.4519,0.382,0.4366,10005100,0,0,LINK-USD
2017-10-02,0.4377,0.4403,0.3568,0.3568,7101340,0,0,LINK-USD
2017-10-03,0.3673,0.3673,0.2958,0.3455,8211990,0,0,LINK-USD
2017-10-04,0.3432,0.3987,0.3369,0.3974,7604930,0,0,LINK-USD
2017-10-05,0.397,0.4179,0.378,0.4065,6291110,0,0,LINK-USD
2017-10-06,0.4063,0.485,0.4043,0.4758,12167500,0,0,LINK-USD
2017-10-07,0.4722,0.4762,0.4238,0.4637,7408570,0,0,LINK-USD
2017-10-08,0.4625,0.4734,0.3581,0.3971,7203350,0,0,LINK-USD
2017-10-09,0.4045,0.4396,0.3572,0.3806,6781680,0,0,LINK-USD
2017-10-10,0.3804,0.4331,0.3603,0.4075,7138890,0,0,LINK-USD
2017-10-11,0.4163,0.4541,0.4088,0.4505,5477860,0,0,LINK-USD
2017-10-12,0.4529,0.4758,0.423,0.444,8959280,0,0,LINK-USD
2017-10-13,0.4416,0.4738,0.4141,0.4346,7521630,0,0,LINK-USD
2017-10-14,0.4348,0.4594,0.3892,0.3919,4219350,0,0,LINK-USD
2017-10-15,0.3911,0.4237,0.3707,0.4135,5135330,0,0,LINK-USD
2017-10-16,0.4155,0.5277,0.3895,0.4238,12123000,0,0,LINK-USD
2017-10-17,0.4224,0.4224,0.3592,0.4008,6321060,0,0,LINK-USD
2017-10-18,0.4027,0.4027,0.3258,0.3662,5336930,0,0,LINK-USD
2017-10-19,0.3678,0.3773,0.2939,0.3,5812480,0,0,LINK-USD
2017-10-20,0.2989,0.324,0.2163,0.2239,7715660,0,0,LINK-USD
2017-10-21,0.2234,0.2663,0.2032,0.2527,5154740,0,0,LINK-USD
2017-10-22,0.2582,0.286,0.2498,0.2647,4038780,0,0,LINK-USD
2017-10-23,0.2639,0.2768,0.2284,0.2487,2972470,0,0,LINK-USD
2017-10-24,0.2448,0.2948,0.2361,0.2545,3665750,0,0,LINK-USD
2017-10-25,0.2553,0.2577,0.2358,0.2544,2161880,0,0,LINK-USD
2017-10-26,0.254,0.254,0.2242,0.227,1681240,0,0,LINK-USD
2017-10-27,0.2276,0.2351,0.2197,0.2246,1419580,0,0,LINK-USD
2017-10-28,0.2246,0.227,0.1992,0.2065,1522820,0,0,LINK-USD
2017-10-29,0.2056,0.2187,0.1827,0.1989,2352990,0,0,LINK-USD
2017-10-30,0.1992,0.2109,0.1959,0.2098,1492410,0,0,LINK-USD
2017-10-31,0.2115,0.2213,0.1847,0.1939,2251570,0,0,LINK-USD
2017-11-01,0.1904,0.1904,0.1553,0.1576,3130450,0,0,LINK-USD
2017-11-02,0.1568,0.1944,0.1384,0.1674,3643740,0,0,LINK-USD
2017-11-03,0.1611,0.1883,0.1581,0.1718,2411460,0,0,LINK-USD
2017-11-04,0.1703,0.1857,0.1624,0.1776,1757130,0,0,LINK-USD
2017-11-05,0.1769,0.1825,0.1696,0.1721,1080670,0,0,LINK-USD
2017-11-06,0.1734,0.1735,0.1569,0.1675,1599470,0,0,LINK-USD
2017-11-07,0.1678,0.1776,0.1623,0.1775,1267510,0,0,LINK-USD
2017-11-08,0.1773,0.2585,0.1711,0.2139,5493180,0,0,LINK-USD
2017-11-09,0.2167,0.2482,0.1954,0.224,3347920,0,0,LINK-USD
2017-11-10,0.2247,0.2313,0.1802,0.1876,2125460,0,0,LINK-USD
2017-11-11,0.1864,0.1977,0.166,0.1798,2238980,0,0,LINK-USD
2017-11-12,0.1797,0.1984,0.1459,0.1709,5455200,0,0,LINK-USD
2017-11-13,0.1691,0.205,0.1687,0.1831,2992650,0,0,LINK-USD
2017-11-14,0.1848,0.2,0.1704,0.1881,2203410,0,0,LINK-USD
2017-11-15,0.1876,0.1935,0.176,0.1861,1689780,0,0,LINK-USD
2017-11-16,0.1875,0.1884,0.1645,0.1698,1766160,0,0,LINK-USD
2017-11-17,0.1695,0.1715,0.1525,0.1596,2547360,0,0,LINK-USD
2017-11-18,0.155,0.1779,0.1507,0.1709,1948470,0,0,LINK-USD
2017-11-19,0.1708,0.1738,0.1574,0.1624,1646620,0,0,LINK-USD
2017-11-20,0.1624,0.1663,0.1567,0.1622,1916880,0,0,LINK-USD
2017-11-21,0.1635,0.168,0.1538,0.155,1952710,0,0,LINK-USD
2017-11-22,0.157,0.1746,0.1503,0.1685,2709660,0,0,LINK-USD
2017-11-23,0.1697,0.1903,0.1571,0.1644,3325760,0,0,LINK-USD
