Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2016-09-09,0.181483,0.558951,0.181357,0.558478,1348,0,0,NEO-USD
2016-09-10,0.558536,0.559143,0.37096,0.391001,810,0,0,NEO-USD
2016-09-11,0.390948,0.398459,0.37279,0.37615,878,0,0,NEO-USD
2016-09-12,0.376312,0.376671,0.360443,0.374598,1115,0,0,NEO-USD
2016-09-13,0.374469,0.375092,0.301766,0.309509,3336,0,0,NEO-USD
2016-09-14,0.309516,0.337779,0.306223,0.325127,4129,0,0,NEO-USD
2016-09-15,0.325188,0.365124,0.325024,0.349832,1981,0,0,NEO-USD
2016-09-16,0.349726,0.389464,0.348948,0.388858,15105,0,0,NEO-USD
2016-09-17,0.388924,0.427314,0.388896,0.426568,21060,0,0,NEO-USD
2016-09-18,0.426591,0.427137,0.384916,0.384916,105159,0,0,NEO-USD
2016-09-19,0.384877,0.384881,0.331207,0.331296,1447,0,0,NEO-USD
2016-09-20,0.331291,0.336507,0.309502,0.312621,1171,0,0,NEO-USD
2016-09-21,0.312539,0.318675,0.303564,0.303794,155,0,0,NEO-USD
2016-09-22,0.303806,0.308768,0.252592,0.252723,54002,0,0,NEO-USD
2016-09-23,0.252745,0.277371,0.241462,0.243237,16845,0,0,NEO-USD
2016-09-24,0.243321,0.25485,0.213843,0.213843,21739,0,0,NEO-USD
2016-09-25,0.213843,0.224547,0.192797,0.198994,3074,0,0,NEO-USD
2016-09-26,0.199118,0.224506,0.193879,0.202491,9656,0,0,NEO-USD
2016-09-27,0.202473,0.202473,0.179976,0.197913,19805,0,0,NEO-USD
2016-09-28,0.197915,0.21275,0.184495,0.194798,6353,0,0,NEO-USD
2016-09-29,0.194845,0.208155,0.175516,0.191738,11050,0,0,NEO-USD
2016-09-30,0.191685,0.194601,0.180176,0.184939,2031,0,0,NEO-USD
2016-10-01,0.184979,0.216455,0.184979,0.202293,2747,0,0,NEO-USD
2016-10-02,0.202302,0.202303,0.177092,0.177279,4177,0,0,NEO-USD
2016-10-03,0.177613,0.192425,0.177613,0.178713,913,0,0,NEO-USD
2016-10-04,0.178659,0.185843,0.178659,0.185843,505,0,0,NEO-USD
2016-10-05,0.185765,0.289548,0.179917,0.289392,1864,0,0,NEO-USD
2016-10-06,0.289361,0.291334,0.180059,0.180059,2611,0,0,NEO-USD
2016-10-07,0.179898,0.20284,0.179898,0.20284,5784,0,0,NEO-USD
2016-10-08,0.202812,0.223037,0.185864,0.205229,31829,0,0,NEO-USD
2016-10-09,0.205045,0.205045,0.178857,0.186541,30052,0,0,NEO-USD
2016-10-10,0.186466,0.202517,0.180081,0.193108,11203,0,0,NEO-USD
2016-10-11,0.193114,0.195352,0.181615,0.193575,5948,0,0,NEO-USD
2016-10-12,0.193611,0.193611,0.175684,0.186052,12201,0,0,NEO-USD
2016-10-13,0.186072,0.186072,0.175498,0.185407,1317,0,0,NEO-USD
2016-10-14,0.1854,0.19109,0.176211,0.191014,2334,0,0,NEO-USD
2016-10-15,0.191007,0.191007,0.179885,0.179885,595,0,0,NEO-USD
2016-10-16,0.179883,0.19069,0.175885,0.175901,16019,0,0,NEO-USD
2016-10-17,0.175871,0.192747,0.175284,0.192747,12988,0,0,NEO-USD
2016-10-18,0.192736,0.289527,0.179325,0.19744,406917,0,0,NEO-USD
2016-10-19,0.197446,0.205554,0.111325,0.117084,228476,0,0,NEO-USD
2016-10-20,0.117083,0.117172,0.085342,0.092682,286750,0,0,NEO-USD
2016-10-21,0.092487,0.093918,0.072287,0.080181,269793,0,0,NEO-USD
2016-10-22,0.080197,0.096001,0.080013,0.081484,293121,0,0,NEO-USD
2016-10-23,0.081487,0.085212,0.076681,0.082727,107073,0,0,NEO-USD
