Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2017-09-13,0.0021,0.0024,0.0017,0.002,48512,0,0,TRX-USD
2017-09-14,0.002,0.0025,0.0013,0.0014,58769,0,0,TRX-USD
2017-09-15,0.0014,0.0018,0.0011,0.0018,26474,0,0,TRX-USD
2017-09-16,0.0018,0.0177,0.0014,0.0018,54534,0,0,TRX-USD
2017-09-17,0.0018,0.0039,0.0018,0.0033,124998,0,0,TRX-USD
2017-09-18,0.0033,0.0034,0.0025,0.0033,159158,0,0,TRX-USD
2017-09-19,0.0033,0.0232,0.0017,0.0023,158416,0,0,TRX-USD
2017-09-20,0.0023,0.0032,0.002,0.0026,83399,0,0,TRX-USD
2017-09-21,0.0026,0.0032,0.0019,0.0021,99852,0,0,TRX-USD
2017-09-22,0.0021,0.0022,0.0019,0.002,38829,0,0,TRX-USD
2017-09-23,0.0019,0.0023,0.0019,0.0023,42314,0,0,TRX-USD
2017-09-24,0.0023,0.0024,0.0021,0.0022,50022,0,0,TRX-USD
2017-09-25,0.0023,0.0057,0.0015,0.0018,106284,0,0,TRX-USD
2017-09-26,0.0018,0.0021,0.0016,0.0017,61508,0,0,TRX-USD
2017-09-27,0.0017,0.0035,0.0017,0.0026,35671,0,0,TRX-USD
2017-09-28,0.0026,0.0035,0.0018,0.0029,69531,0,0,TRX-USD
2017-09-29,0.0029,0.003,0.0015,0.002,58161,0,0,TRX-USD
2017-09-30,0.002,0.0026,0.0018,0.0023,53734,0,0,TRX-USD
2017-10-01,0.0023,0.0023,0.0018,0.0018,72807,0,0,TRX-USD
2017-10-02,0.0018,0.0032,0.0018,0.0028,887622,0,0,TRX-USD
2017-10-03,0.0027,0.0032,0.0021,0.0024,822107,0,0,TRX-USD
2017-10-04,0.0025,0.0035,0.0024,0.0033,1072200,0,0,TRX-USD
2017-10-05,0.0033,0.0035,0.0029,0.0033,704167,0,0,TRX-USD
2017-10-06,0.0033,0.0034,0.0028,0.003,478330,0,0,TRX-USD
2017-10-07,0.003,0.0042,0.0022,0.0025,352974,0,0,TRX-USD
2017-10-08,0.0026,0.0029,0.0023,0.0025,239490,0,0,TRX-USD
2017-10-09,0.0026,0.0027,0.0019,0.0022,350960,0,0,TRX-USD
2017-10-10,0.0022,0.0023,0.002,0.0022,215705,0,0,TRX-USD
2017-10-11,0.0023,0.0026,0.0023,0.0025,289055,0,0,TRX-USD
2017-10-12,0.0025,0.0025,0.0022,0.0023,136756,0,0,TRX-USD
2017-10-13,0.0023,0.0025,0.002,0.0021,184709,0,0,TRX-USD
2017-10-14,0.0021,0.0025,0.0021,0.0024,121404,0,0,TRX-USD
2017-10-15,0.0024,0.0025,0.0021,0.0023,116033,0,0,TRX-USD
2017-10-16,0.0023,0.0023,0.002,0.0022,152645,0,0,TRX-USD
2017-10-17,0.0022,0.0022,0.0019,0.0019,116008,0,0,TRX-USD
2017-10-18,0.0019,0.0021,0.0018,0.0021,189768,0,0,TRX-USD
2017-10-19,0.0021,0.0021,0.0019,0.0019,325575,0,0,TRX-USD
2017-10-20,0.0019,0.0021,0.0019,0.0019,211546,0,0,TRX-USD
2017-10-21,0.002,0.0023,0.0019,0.0023,243113,0,0,TRX-USD
2017-10-22,0.0023,0.0026,0.0023,0.0026,244796,0,0,TRX-USD
2017-10-23,0.0026,0.0026,0.0023,0.0024,221618,0,0,TRX-USD
2017-10-24,0.0024,0.0027,0.0024,0.0026,297411,0,0,TRX-USD
2017-10-25,0.0027,0.0033,0.0026,0.003,715742,0,0,TRX-USD
2017-10-26,0.003,0.003,0.0026,0.0028,794428,0,0,TRX-USD
2017-10-27,0.0028,0.0032,0.0028,0.0031,1589480,0,0,TRX-USD
2017-10-28,0.0031,0.0031,0.0028,0.003,1031720,0,0,TRX-USD
2017-10-29,0.003,0.0032,0.0029,0.003,1605430,0,0,TRX-USD
2017-10-30,0.003,0.0032,0.0024,0.0028,1347640,0,0,TRX-USD
2017-10-31,0.0028,0.0032,0.0027,0.0028,1805800,0,0,TRX-USD
2017-11-01,0.0028,0.0028,0.0024,0.0025,1398750,0,0,TRX-USD
2017-11-02,0.0025,0.0026,0.0021,0.0023,1429590,0,0,TRX-USD
2017-11-03,0.0023,0.0024,0.0021,0.0022,1588360,0,0,TRX-USD
2017-11-04,0.0022,0.0023,0.0021,0.0021,1696040,0,0,TRX-USD
2017-11-05,0.0021,0.0023,0.0021,0.0022,1762660,0,0,TRX-USD
2017-11-06,0.0022,0.0023,0.0021,0.0021,1719120,0,0,TRX-USD
2017-11-07,0.0021,0.0023,0.0021,0.0022,1497470,0,0,TRX-USD
2017-11-08,0.0022,0.0024,0.0022,0.0023,2839470,0,0,TRX-USD
2017-11-09,0.0023,0.0024,0.0023,0.0023,2924350,0,0,TRX-USD
2017-11-10,0.0023,0.0023,0.002,0.002,2193620,0,0,TRX-USD
2017-11-11,0.002,0.0023,0.0019,0.002,1748460,0,0,TRX-USD
2017-11-12,0.002,0.002,0.0017,0.0018,2174370,0,0,TRX-USD
2017-11-13,0.0018,0.0021,0.0018,0.0021,2889150,0,0,TRX-USD
2017-11-14,0.0021,0.0026,0.0021,0.0025,4040400,0,0,TRX-USD
2017-11-15,0.0024,0.0025,0.0022,0.0023,5008060,0,0,TRX-USD
2017-11-16,0.0023,0.0023,0.0018,0.0022,5082450,0,0,TRX-USD
2017-11-17,0.0022,0.0022,0.0019,0.002,5720510,0,0,TRX-USD
2017-11-18,0.002,0.002,0.0019,0.002,5709820,0,0,TRX-USD
2017-11-19,0.002,0.0021,0.002,0.002,4289470,0,0,TRX-USD
2017-11-20,0.002,0.0022,0.002,0.0021,3909200,0,0,TRX-USD
2017-11-21,0.0021,0.0022,0.002,0.0021,3417520,0,0,TRX-USD
2017-11-22,0.0021,0.0025,0.0021,0.0023,4119730,0,0,TRX-USD
2017-11-23,0.0023,0.0024,0.002,0.0021,4402340,0,0,TRX-USD
2017-11-24,0.0021,0.0022,0.002,0.002,4204470,0,0,TRX-USD
2017-11-25,0.002,0.0021,0.002,0.002,4704770,0,0,TRX-USD
2017-11-26,0.002,0.0022,0.002,0.0021,6245890,0,0,TRX-USD
2017-11-27,0.0022,0.0022,0.002,0.0021,6405580,0,0,TRX-USD
2017-11-28,0.0021,0.0024,0.002,0.0023,6065010,0,0,TRX-USD
2017-11-29,0.0023,0.0026,0.0019,0.0021,7852660,0,0,TRX-USD
2017-11-30,0.0021,0.0023,0.002,0.0022,4155450,0,0,TRX-USD
2017-12-01,0.0022,0.0022,0.0021,0.0021,6294070,0,0,TRX-USD
2017-12-02,0.0021,0.0022,0.002,0.0021,5760180,0,0,TRX-USD
2017-12-03,0.0021,0.0022,0.002,0.0021,7261200,0,0,TRX-USD
2017-12-04,0.0021,0.0022,0.002,0.0021,10447300,0,0,TRX-USD
2017-12-05,0.0021,0.0022,0.0021,0.0021,8749920,0,0,TRX-USD
2017-12-06,0.0021,0.0041,0.0021,0.0031,33314700,0,0,TRX-USD
2017-12-07,0.0031,0.0058,0.003,0.0043,44215300,0,0,TRX-USD
2017-12-08,0.0043,0.0047,0.0037,0.0044,21605600,0,0,TRX-USD
2017-12-09,0.0044,0.0048,0.0043,0.0045,17520500,0,0,TRX-USD
