Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-02-25,1.2102,1.2155,1.2096,1.2111,5,0,0,USDT-USD
2015-02-26,1.2104,1.2123,1.1947,1.2057,5,0,0,USDT-USD
2015-03-02,0.5712,0.6079,0.5683,0.6065,3,0,0,USDT-USD
2015-03-03,0.6051,0.6062,0.6044,0.6062,3,0,0,USDT-USD
2015-03-06,1.0,1.0,1.0,1.0,92,0,0,USDT-USD
2015-03-07,1.0,1.0,1.0,1.0,58196,0,0,USDT-USD
2015-03-08,1.0,1.0,1.0,1.0,31,0,0,USDT-USD
2015-03-09,1.0,1.0,1.0,1.0,142,0,0,USDT-USD
2015-03-10,1.0,1.0,1.0,1.0,49996,0,0,USDT-USD
2015-03-11,1.0,1.0,1.0,1.0,49,0,0,USDT-USD
2015-03-12,1.0,1.0,1.0,1.0,80418,0,0,USDT-USD
2015-03-13,1.0,1.0,1.0,1.0,75,0,0,USDT-USD
2015-03-14,1.0,1.0,1.0,1.0,17705,0,0,USDT-USD
2015-03-15,1.0,1.0,1.0,1.0,15124,0,0,USDT-USD
2015-03-16,1.0,1.0,1.0,1.0,49631,0,0,USDT-USD
2015-03-17,1.0,1.0,1.0,1.0,4284,0,0,USDT-USD
2015-03-18,1.0,1.0,1.0,1.0,202,0,0,USDT-USD
2015-03-19,1.0,1.0,1.0,1.0,713,0,0,USDT-USD
2015-03-20,1.0,1.0,1.0,1.0,132,0,0,USDT-USD
2015-03-21,1.0,1.0,1.0,1.0,206,0,0,USDT-USD
2015-03-22,1.0,1.0,1.0,1.0,66,0,0,USDT-USD
2015-03-23,1.0,1.0,1.0,1.0,65,0,0,USDT-USD
2015-03-24,1.0,1.0,1.0,1.0,1179,0,0,USDT-USD
2015-03-25,1.0,1.0,1.0,1.0,92,0,0,USDT-USD
2015-03-26,1.0,1.0,1.0,1.0,2,0,0,USDT-USD
2015-03-27,1.0,1.0,1.0,1.0,4,0,0,USDT-USD
2015-03-28,1.0,1.0,1.0,1.0,17,0,0,USDT-USD
2015-03-29,1.0,1.0,1.0,1.0,20,0,0,USDT-USD
2015-03-30,1.0,1.0,1.0,1.0,494,0,0,USDT-USD
2015-03-31,1.0,1.0,1.0,1.0,37,0,0,USDT-USD
2015-04-01,1.0,1.0,1.0,1.0,14,0,0,USDT-USD
2015-04-02,1.0,1.0,1.0,1.0,79969,0,0,USDT-USD
2015-04-03,1.0,1.0,1.0,1.0,8887,0,0,USDT-USD
2015-04-04,1.0,1.0,1.0,1.0,2018,0,0,USDT-USD
2015-04-05,1.0,1.0,1.0,1.0,2887,0,0,USDT-USD
2015-04-06,1.0,1.0,1.0,1.0,254,0,0,USDT-USD
2015-04-07,1.0,1.0,1.0,1.0,19179,0,0,USDT-USD
2015-04-08,1.0,1.0,1.0,1.0,1024,0,0,USDT-USD
2015-04-09,1.0,1.0,1.0,1.0,100949,0,0,USDT-USD
