Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2014-09-17,0.003,0.0031,0.0029,0.0031,118073,0,0,XLM-USD
2014-09-18,0.0031,0.0038,0.0031,0.0035,205474,0,0,XLM-USD
2014-09-19,0.0035,0.004,0.0032,0.0039,204649,0,0,XLM-USD
2014-09-20,0.0039,0.0043,0.0033,0.0036,186971,0,0,XLM-USD
2014-09-21,0.0036,0.0039,0.0033,0.0035,145626,0,0,XLM-USD
2014-09-22,0.0035,0.0041,0.0034,0.004,178810,0,0,XLM-USD
2014-09-23,0.004,0.0041,0.0038,0.004,120447,0,0,XLM-USD
2014-09-24,0.004,0.0041,0.0034,0.0039,163121,0,0,XLM-USD
2014-09-25,0.0039,0.0039,0.0034,0.0035,81902,0,0,XLM-USD
2014-09-26,0.0036,0.0036,0.0029,0.003,117908,0,0,XLM-USD
2014-09-27,0.003,0.0033,0.0029,0.0033,44491,0,0,XLM-USD
2014-09-28,0.0033,0.0035,0.0031,0.0032,77804,0,0,XLM-USD
2014-09-29,0.0032,0.0034,0.0031,0.0032,32857,0,0,XLM-USD
2014-09-30,0.0032,0.0033,0.0031,0.0032,21131,0,0,XLM-USD
2014-10-01,0.0032,0.0033,0.0028,0.0029,70180,0,0,XLM-USD
2014-10-02,0.0029,0.003,0.0027,0.0028,30541,0,0,XLM-USD
2014-10-03,0.0027,0.0028,0.0026,0.0026,34169,0,0,XLM-USD
2014-10-04,0.0026,0.0027,0.0024,0.0024,45969,0,0,XLM-USD
2014-10-05,0.0024,0.0025,0.0021,0.0024,29395,0,0,XLM-USD
2014-10-06,0.0024,0.0027,0.0023,0.0026,34445,0,0,XLM-USD
2014-10-07,0.0026,0.0026,0.0023,0.0024,35419,0,0,XLM-USD
2014-10-08,0.0024,0.0025,0.0023,0.0025,28232,0,0,XLM-USD
2014-10-09,0.0025,0.0025,0.0023,0.0024,11066,0,0,XLM-USD
2014-10-10,0.0024,0.0024,0.0022,0.0023,14306,0,0,XLM-USD
2014-10-11,0.0023,0.0024,0.0023,0.0023,34908,0,0,XLM-USD
2014-10-12,0.0023,0.0025,0.002,0.0022,76977,0,0,XLM-USD
2014-10-13,0.0022,0.0024,0.0021,0.0023,44926,0,0,XLM-USD
2014-10-14,0.0023,0.0024,0.0023,0.0024,32532,0,0,XLM-USD
2014-10-15,0.0024,0.0024,0.0021,0.0022,46515,0,0,XLM-USD
2014-10-16,0.0022,0.0022,0.002,0.0021,39043,0,0,XLM-USD
2014-10-17,0.0021,0.0021,0.002,0.002,22242,0,0,XLM-USD
2014-10-18,0.002,0.0022,0.002,0.0021,27435,0,0,XLM-USD
2014-10-19,0.0021,0.0022,0.002,0.002,18945,0,0,XLM-USD
2014-10-20,0.002,0.0021,0.002,0.002,38282,0,0,XLM-USD
2014-10-21,0.002,0.0021,0.002,0.0021,26100,0,0,XLM-USD
2014-10-22,0.0021,0.0021,0.002,0.002,19376,0,0,XLM-USD
2014-10-23,0.002,0.002,0.0019,0.0019,15613,0,0,XLM-USD
2014-10-24,0.0019,0.002,0.0019,0.002,29512,0,0,XLM-USD
2014-10-25,0.002,0.002,0.0019,0.0019,13101,0,0,XLM-USD
2014-10-26,0.0019,0.002,0.0019,0.0019,9559,0,0,XLM-USD
2014-10-27,0.0019,0.002,0.0019,0.002,14395,0,0,XLM-USD
2014-10-28,0.002,0.002,0.0015,0.0017,73811,0,0,XLM-USD
2014-10-29,0.0017,0.0019,0.0016,0.0017,24172,0,0,XLM-USD
2014-10-30,0.0017,0.0018,0.0017,0.0017,13178,0,0,XLM-USD
2014-10-31,0.0017,0.0018,0.0016,0.0017,10732,0,0,XLM-USD
2014-11-01,0.0017,0.0017,0.0015,0.0015,494272,0,0,XLM-USD
2014-11-02,0.0015,0.0016,0.0015,0.0016,9242,0,0,XLM-USD
2014-11-03,0.0016,0.0018,0.0016,0.0017,15148,0,0,XLM-USD
2014-11-04,0.0017,0.0017,0.0017,0.0017,9766,0,0,XLM-USD
2014-11-05,0.0017,0.0018,0.0017,0.0018,10616,0,0,XLM-USD
2014-11-06,0.0018,0.0018,0.0017,0.0018,13531,0,0,XLM-USD
2014-11-07,0.0018,0.0019,0.0017,0.0017,11531,0,0,XLM-USD
2014-11-08,0.0017,0.0018,0.0017,0.0017,4482,0,0,XLM-USD
2014-11-09,0.0017,0.0018,0.0017,0.0018,12705,0,0,XLM-USD
2014-11-10,0.0018,0.0018,0.0017,0.0018,16001,0,0,XLM-USD
2014-11-11,0.0018,0.0018,0.0017,0.0018,12534,0,0,XLM-USD
2014-11-12,0.0018,0.0019,0.0017,0.0019,15429,0,0,XLM-USD
2014-11-13,0.0019,0.0019,0.0017,0.0018,17376,0,0,XLM-USD
2014-11-14,0.0018,0.0018,0.0017,0.0017,10410,0,0,XLM-USD
2014-11-15,0.0017,0.0017,0.0016,0.0016,5382,0,0,XLM-USD
2014-11-16,0.0016,0.0017,0.0016,0.0016,5267,0,0,XLM-USD
2014-11-17,0.0016,0.0017,0.0015,0.0016,8443,0,0,XLM-USD
2014-11-18,0.0016,0.0016,0.0012,0.0014,16761,0,0,XLM-USD
2014-11-19,0.0014,0.0016,0.0013,0.0015,16849,0,0,XLM-USD
2014-11-20,0.0015,0.0016,0.0015,0.0016,14781,0,0,XLM-USD
2014-11-21,0.0016,0.0016,0.0015,0.0016,10259,0,0,XLM-USD
2014-11-22,0.0016,0.0019,0.0016,0.0018,35205,0,0,XLM-USD
2014-11-23,0.0018,0.0022,0.0018,0.0022,42071,0,0,XLM-USD
2014-11-24,0.0022,0.0022,0.0019,0.002,13496,0,0,XLM-USD
2014-11-25,0.002,0.0021,0.0019,0.0019,14659,0,0,XLM-USD
2014-11-26,0.0019,0.0021,0.0019,0.0021,32113,0,0,XLM-USD
2014-11-27,0.0021,0.004,0.0021,0.0034,544484,0,0,XLM-USD
2014-11-28,0.0034,0.0034,0.0028,0.0029,209843,0,0,XLM-USD
2014-11-29,0.0028,0.0028,0.0024,0.0025,109351,0,0,XLM-USD
2014-11-30,0.0025,0.0025,0.0021,0.0022,61161,0,0,XLM-USD
2014-12-01,0.0022,0.0027,0.0021,0.0025,73122,0,0,XLM-USD
2014-12-02,0.0025,0.0026,0.0023,0.0024,48024,0,0,XLM-USD
2014-12-03,0.0024,0.0025,0.0023,0.0024,23619,0,0,XLM-USD
2014-12-04,0.0024,0.0024,0.0023,0.0024,27556,0,0,XLM-USD
2014-12-05,0.0024,0.0024,0.0023,0.0024,20562,0,0,XLM-USD
2014-12-06,0.0024,0.0025,0.0023,0.0024,31682,0,0,XLM-USD
2014-12-07,0.0024,0.0024,0.0023,0.0023,23877,0,0,XLM-USD
2014-12-08,0.0023,0.0025,0.0023,0.0023,34383,0,0,XLM-USD
2014-12-09,0.0023,0.0023,0.0022,0.0022,32196,0,0,XLM-USD
2014-12-10,0.0023,0.0025,0.0022,0.0024,38566,0,0,XLM-USD
2014-12-11,0.0024,0.0027,0.0023,0.0026,44074,0,0,XLM-USD
2014-12-12,0.0026,0.0026,0.0024,0.0025,29877,0,0,XLM-USD
2014-12-13,0.0025,0.0026,0.0025,0.0026,21917,0,0,XLM-USD
2014-12-14,0.0025,0.0027,0.0024,0.0025,27160,0,0,XLM-USD
2014-12-15,0.0025,0.0026,0.0024,0.0026,43740,0,0,XLM-USD
2014-12-16,0.0026,0.0035,0.0025,0.0032,259325,0,0,XLM-USD
2014-12-17,0.0033,0.0045,0.0032,0.0041,883715,0,0,XLM-USD
2014-12-18,0.0041,0.0062,0.004,0.0061,1247810,0,0,XLM-USD
2014-12-19,0.0061,0.0094,0.0052,0.0061,2205890,0,0,XLM-USD
