Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2014-09-17,1.84,1.9,1.65,1.77,291633,0,0,XMR-USD
2014-09-18,1.74,1.74,1.5,1.57,253082,0,0,XMR-USD
2014-09-19,1.57,1.59,1.38,1.45,171739,0,0,XMR-USD
2014-09-20,1.44,1.57,1.17,1.27,362626,0,0,XMR-USD
2014-09-21,1.27,1.41,1.17,1.27,239591,0,0,XMR-USD
2014-09-22,1.27,1.34,1.21,1.26,137822,0,0,XMR-USD
2014-09-23,1.26,1.5,1.23,1.47,205229,0,0,XMR-USD
2014-09-24,1.46,1.56,1.45,1.51,122748,0,0,XMR-USD
2014-09-25,1.5,1.51,1.39,1.4,126179,0,0,XMR-USD
2014-09-26,1.4,1.46,1.32,1.39,81632,0,0,XMR-USD
2014-09-27,1.38,1.39,1.28,1.31,95657,0,0,XMR-USD
2014-09-28,1.31,1.37,1.21,1.22,84412,0,0,XMR-USD
2014-09-29,1.22,1.23,1.14,1.15,83902,0,0,XMR-USD
2014-09-30,1.16,1.25,1.14,1.22,82093,0,0,XMR-USD
2014-10-01,1.21,1.22,1.17,1.2,65139,0,0,XMR-USD
2014-10-02,1.22,1.22,1.18,1.19,61823,0,0,XMR-USD
2014-10-03,1.18,1.18,1.07,1.1,113844,0,0,XMR-USD
2014-10-04,1.09,1.13,0.97,0.98,65893,0,0,XMR-USD
2014-10-05,0.98,1.01,0.79,0.88,86073,0,0,XMR-USD
2014-10-06,0.88,1.0,0.81,0.98,65376,0,0,XMR-USD
2014-10-07,0.98,1.01,0.9,1.0,68251,0,0,XMR-USD
2014-10-08,1.0,1.11,0.95,1.09,116352,0,0,XMR-USD
2014-10-09,1.09,1.16,1.05,1.11,66784,0,0,XMR-USD
2014-10-10,1.1,1.15,1.04,1.14,121420,0,0,XMR-USD
2014-10-11,1.14,1.15,1.06,1.08,81875,0,0,XMR-USD
2014-10-12,1.08,1.1,1.04,1.09,58972,0,0,XMR-USD
2014-10-13,1.08,1.13,1.02,1.1,92058,0,0,XMR-USD
2014-10-14,1.1,1.16,1.07,1.07,63787,0,0,XMR-USD
2014-10-15,1.08,1.08,0.91,0.99,104550,0,0,XMR-USD
2014-10-16,0.99,1.03,0.92,1.0,59154,0,0,XMR-USD
2014-10-17,1.0,1.0,0.92,0.97,63033,0,0,XMR-USD
2014-10-18,0.97,1.0,0.95,0.97,60842,0,0,XMR-USD
2014-10-19,0.97,1.01,0.96,0.99,47857,0,0,XMR-USD
2014-10-20,1.0,1.01,0.92,0.95,86281,0,0,XMR-USD
2014-10-21,0.95,0.98,0.93,0.96,50962,0,0,XMR-USD
2014-10-22,0.96,0.99,0.94,0.95,63726,0,0,XMR-USD
2014-10-23,0.94,0.95,0.73,0.87,97123,0,0,XMR-USD
2014-10-24,0.84,0.86,0.74,0.76,52867,0,0,XMR-USD
2014-10-25,0.76,0.77,0.67,0.74,54596,0,0,XMR-USD
2014-10-26,0.74,0.75,0.69,0.69,37576,0,0,XMR-USD
2014-10-27,0.7,0.77,0.6,0.72,141319,0,0,XMR-USD
2014-10-28,0.7,0.73,0.6,0.69,82388,0,0,XMR-USD
2014-10-29,0.69,0.7,0.62,0.63,23967,0,0,XMR-USD
2014-10-30,0.63,0.66,0.59,0.61,48426,0,0,XMR-USD
2014-10-31,0.61,0.64,0.6,0.61,37303,0,0,XMR-USD
2014-11-01,0.61,0.64,0.57,0.59,33871,0,0,XMR-USD
2014-11-02,0.59,0.59,0.56,0.58,26877,0,0,XMR-USD
2014-11-03,0.58,0.6,0.55,0.58,40900,0,0,XMR-USD
2014-11-04,0.58,0.58,0.55,0.55,42252,0,0,XMR-USD
2014-11-05,0.55,0.58,0.55,0.57,25458,0,0,XMR-USD
2014-11-06,0.57,0.6,0.56,0.6,28528,0,0,XMR-USD
2014-11-07,0.59,0.62,0.58,0.62,29986,0,0,XMR-USD
2014-11-08,0.62,0.66,0.59,0.64,40713,0,0,XMR-USD
2014-11-09,0.64,0.72,0.63,0.72,44247,0,0,XMR-USD
2014-11-10,0.72,0.76,0.69,0.74,67836,0,0,XMR-USD
2014-11-11,0.73,0.75,0.69,0.72,30147,0,0,XMR-USD
2014-11-12,0.72,0.76,0.7,0.73,75047,0,0,XMR-USD
2014-11-13,0.74,0.77,0.67,0.7,41142,0,0,XMR-USD
2014-11-14,0.7,0.7,0.64,0.69,65337,0,0,XMR-USD
2014-11-15,0.69,0.71,0.63,0.64,31335,0,0,XMR-USD
2014-11-16,0.64,0.66,0.63,0.65,27106,0,0,XMR-USD
2014-11-17,0.65,0.68,0.56,0.58,152764,0,0,XMR-USD
2014-11-18,0.59,0.6,0.53,0.6,49911,0,0,XMR-USD
2014-11-19,0.6,0.6,0.55,0.56,25761,0,0,XMR-USD
2014-11-20,0.56,0.57,0.51,0.53,23231,0,0,XMR-USD
2014-11-21,0.52,0.56,0.5,0.53,34457,0,0,XMR-USD
2014-11-22,0.53,0.56,0.53,0.53,26876,0,0,XMR-USD
2014-11-23,0.54,0.54,0.52,0.53,31246,0,0,XMR-USD
2014-11-24,0.53,0.55,0.53,0.53,29693,0,0,XMR-USD
2014-11-25,0.53,0.64,0.53,0.6,84303,0,0,XMR-USD
2014-11-26,0.58,0.62,0.55,0.56,29237,0,0,XMR-USD
2014-11-27,0.56,0.57,0.55,0.56,10861,0,0,XMR-USD
2014-11-28,0.56,0.58,0.53,0.56,17669,0,0,XMR-USD
2014-11-29,0.56,0.59,0.56,0.57,17081,0,0,XMR-USD
2014-11-30,0.57,0.58,0.56,0.57,14933,0,0,XMR-USD
2014-12-01,0.57,0.58,0.47,0.47,78718,0,0,XMR-USD
2014-12-02,0.47,0.55,0.47,0.53,21321,0,0,XMR-USD
2014-12-03,0.53,0.53,0.48,0.51,26152,0,0,XMR-USD
2014-12-04,0.51,0.52,0.45,0.46,18051,0,0,XMR-USD
2014-12-05,0.46,0.48,0.41,0.43,45854,0,0,XMR-USD
2014-12-06,0.43,0.45,0.42,0.44,18704,0,0,XMR-USD
2014-12-07,0.44,0.48,0.44,0.47,21887,0,0,XMR-USD
2014-12-08,0.47,0.5,0.44,0.45,36453,0,0,XMR-USD
2014-12-09,0.45,0.45,0.38,0.39,28887,0,0,XMR-USD
2014-12-10,0.39,0.42,0.37,0.39,18125,0,0,XMR-USD
2014-12-11,0.39,0.41,0.38,0.4,22967,0,0,XMR-USD
2014-12-12,0.39,0.4,0.37,0.38,16403,0,0,XMR-USD
2014-12-13,0.38,0.38,0.37,0.38,17427,0,0,XMR-USD
2014-12-14,0.38,0.41,0.37,0.38,13826,0,0,XMR-USD
2014-12-15,0.39,0.41,0.38,0.38,23997,0,0,XMR-USD
2014-12-16,0.38,0.39,0.33,0.34,41021,0,0,XMR-USD
