Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2014-09-17,0.0051,0.0058,0.0051,0.0054,1281960,0,0,XRP-USD
2014-09-18,0.0054,0.0055,0.0051,0.0051,491147,0,0,XRP-USD
2014-09-19,0.0051,0.0052,0.0049,0.0049,407109,0,0,XRP-USD
2014-09-20,0.0049,0.005,0.0047,0.0048,322621,0,0,XRP-USD
2014-09-21,0.0048,0.0048,0.0045,0.0046,309571,0,0,XRP-USD
2014-09-22,0.0046,0.0047,0.0045,0.0047,267342,0,0,XRP-USD
2014-09-23,0.0047,0.0047,0.0045,0.0046,323106,0,0,XRP-USD
2014-09-24,0.0046,0.0047,0.0045,0.0047,349329,0,0,XRP-USD
2014-09-25,0.0047,0.0049,0.0046,0.0047,745348,0,0,XRP-USD
2014-09-26,0.0047,0.0047,0.0046,0.0046,497323,0,0,XRP-USD
2014-09-27,0.0046,0.0047,0.0046,0.0047,221573,0,0,XRP-USD
2014-09-28,0.0047,0.0053,0.0047,0.0053,464102,0,0,XRP-USD
2014-09-29,0.0053,0.0054,0.0047,0.0047,122073,0,0,XRP-USD
2014-09-30,0.0047,0.0047,0.0046,0.0046,109352,0,0,XRP-USD
2014-10-01,0.0046,0.0048,0.0046,0.0048,64998,0,0,XRP-USD
2014-10-02,0.0048,0.0049,0.0048,0.0049,209158,0,0,XRP-USD
2014-10-03,0.0049,0.005,0.0049,0.005,264083,0,0,XRP-USD
2014-10-04,0.005,0.0052,0.0049,0.0049,168516,0,0,XRP-USD
2014-10-05,0.0049,0.005,0.0047,0.0048,181316,0,0,XRP-USD
2014-10-06,0.0048,0.0048,0.0047,0.0047,218684,0,0,XRP-USD
2014-10-07,0.0047,0.0048,0.0047,0.0048,136439,0,0,XRP-USD
2014-10-08,0.0048,0.0048,0.0047,0.0048,398026,0,0,XRP-USD
2014-10-09,0.0048,0.0049,0.0048,0.0048,214591,0,0,XRP-USD
2014-10-10,0.0048,0.0049,0.0048,0.0049,140436,0,0,XRP-USD
2014-10-11,0.0049,0.0049,0.0047,0.0048,263175,0,0,XRP-USD
2014-10-12,0.0048,0.0049,0.0047,0.0049,272667,0,0,XRP-USD
2014-10-13,0.0049,0.0049,0.0047,0.0048,463679,0,0,XRP-USD
2014-10-14,0.0048,0.0049,0.0048,0.0049,231490,0,0,XRP-USD
2014-10-15,0.0049,0.0049,0.0048,0.0048,235627,0,0,XRP-USD
2014-10-16,0.0048,0.0049,0.0048,0.0049,119623,0,0,XRP-USD
2014-10-17,0.0049,0.0049,0.0048,0.0049,245692,0,0,XRP-USD
2014-10-18,0.0049,0.005,0.0049,0.005,69145,0,0,XRP-USD
2014-10-19,0.005,0.005,0.0049,0.0049,55747,0,0,XRP-USD
2014-10-20,0.0049,0.0051,0.0049,0.0051,295888,0,0,XRP-USD
2014-10-21,0.0051,0.0052,0.0051,0.0052,146796,0,0,XRP-USD
2014-10-22,0.0052,0.0052,0.0052,0.0052,107561,0,0,XRP-USD
2014-10-23,0.0052,0.0052,0.0051,0.0051,378216,0,0,XRP-USD
2014-10-24,0.0051,0.0052,0.0051,0.0051,282070,0,0,XRP-USD
2014-10-25,0.0051,0.0051,0.0047,0.0047,272566,0,0,XRP-USD
2014-10-26,0.0047,0.0047,0.0045,0.0045,440679,0,0,XRP-USD
2014-10-27,0.0045,0.0049,0.0045,0.0049,299518,0,0,XRP-USD
2014-10-28,0.0049,0.0049,0.0046,0.0048,272894,0,0,XRP-USD
2014-10-29,0.0048,0.0048,0.0047,0.0048,346606,0,0,XRP-USD
2014-10-30,0.0048,0.0049,0.0048,0.0049,220063,0,0,XRP-USD
2014-10-31,0.0049,0.0049,0.0048,0.0049,151046,0,0,XRP-USD
2014-11-01,0.0049,0.0049,0.0046,0.0047,190204,0,0,XRP-USD
2014-11-02,0.0047,0.0047,0.0046,0.0047,119913,0,0,XRP-USD
2014-11-03,0.0047,0.0048,0.0047,0.0048,212517,0,0,XRP-USD
2014-11-04,0.0048,0.0049,0.0048,0.0048,276134,0,0,XRP-USD
2014-11-05,0.0048,0.0049,0.0048,0.0049,309820,0,0,XRP-USD
2014-11-06,0.0049,0.0049,0.0048,0.0049,416386,0,0,XRP-USD
2014-11-07,0.0049,0.0049,0.0049,0.0049,434075,0,0,XRP-USD
2014-11-08,0.0049,0.0049,0.0049,0.0049,143181,0,0,XRP-USD
2014-11-09,0.0049,0.0049,0.0049,0.0049,240824,0,0,XRP-USD
2014-11-10,0.0049,0.005,0.0049,0.0049,545390,0,0,XRP-USD
2014-11-11,0.0049,0.0049,0.0049,0.0049,781614,0,0,XRP-USD
2014-11-12,0.0049,0.0052,0.0049,0.0051,447173,0,0,XRP-USD
2014-11-13,0.0051,0.0053,0.0049,0.005,486595,0,0,XRP-USD
