Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2012-02-16,41.85,41.85,41.63,41.83,1300,0.0,0,CMBS
2012-02-17,41.72,41.72,41.63,41.63,700,0.0,0,CMBS
2012-02-21,41.54,41.54,41.47,41.53,5100,0.0,0,CMBS
2012-02-22,41.51,41.51,41.3,41.3,1000,0.0,0,CMBS
2012-02-23,41.3,41.3,41.3,41.3,0,0.0,0,CMBS
2012-02-24,41.55,41.55,41.55,41.55,93000,0.0,0,CMBS
2012-02-27,41.59,41.59,41.47,41.47,12000,0.0,0,CMBS
2012-02-28,41.47,41.47,41.47,41.47,0,0.0,0,CMBS
2012-02-29,41.47,41.47,41.47,41.47,0,0.0,0,CMBS
2012-03-01,41.73,41.92,41.72,41.72,34000,0.0,0,CMBS
2012-03-02,41.8,41.81,41.8,41.81,1800,0.0,0,CMBS
2012-03-05,41.96,41.96,41.92,41.92,200,0.0,0,CMBS
2012-03-06,41.92,41.92,41.92,41.92,0,0.0,0,CMBS
2012-03-07,42.25,42.25,42.15,42.17,1900,0.0,0,CMBS
2012-03-08,41.77,41.78,41.72,41.78,2600,0.0,0,CMBS
2012-03-09,41.76,41.76,41.76,41.76,800,0.0,0,CMBS
2012-03-12,41.77,41.78,41.76,41.78,1400,0.0,0,CMBS
2012-03-13,41.74,41.77,41.74,41.77,3000,0.0,0,CMBS
2012-03-14,41.73,41.74,41.69,41.69,1500,0.0,0,CMBS
2012-03-15,41.66,41.66,41.66,41.66,200,0.0,0,CMBS
2012-03-16,41.66,41.66,41.66,41.66,0,0.0,0,CMBS
2012-03-19,41.63,41.63,41.63,41.63,500,0.0,0,CMBS
2012-03-20,41.69,41.69,41.69,41.69,500,0.0,0,CMBS
2012-03-21,41.62,41.64,41.62,41.64,600,0.0,0,CMBS
2012-03-22,41.67,41.67,41.67,41.67,1800,0.0,0,CMBS
2012-03-23,41.72,41.72,41.72,41.72,200,0.0,0,CMBS
2012-03-26,41.72,41.72,41.71,41.72,700,0.0,0,CMBS
2012-03-27,41.56,41.73,41.56,41.73,600,0.0,0,CMBS
2012-03-28,41.81,41.82,41.81,41.82,600,0.0,0,CMBS
2012-03-29,41.81,41.86,41.81,41.86,1300,0.0,0,CMBS
2012-03-30,41.86,41.86,41.86,41.86,0,0.0,0,CMBS
2012-04-02,41.86,41.99,41.86,41.91,1100,0.25,0,CMBS
2012-04-03,41.92,41.92,41.72,41.72,23700,0.0,0,CMBS
2012-04-04,41.66,41.81,41.66,41.69,13400,0.0,0,CMBS
2012-04-05,41.63,41.63,41.63,41.63,500,0.0,0,CMBS
2012-04-09,41.69,41.69,41.61,41.61,10500,0.0,0,CMBS
2012-04-10,41.65,41.67,41.58,41.65,12600,0.0,0,CMBS
2012-04-11,41.58,41.58,41.52,41.54,6000,0.0,0,CMBS
2012-04-12,41.6,41.6,41.51,41.59,5600,0.0,0,CMBS
2012-04-13,41.61,41.61,41.59,41.61,5600,0.0,0,CMBS
2012-04-16,41.51,41.57,41.51,41.56,13500,0.0,0,CMBS
2012-04-17,41.61,41.67,41.6,41.6,4400,0.0,0,CMBS
2012-04-18,41.78,41.86,41.78,41.81,8000,0.0,0,CMBS
2012-04-19,41.76,41.77,41.73,41.73,7700,0.0,0,CMBS
2012-04-20,41.71,41.84,41.71,41.76,8200,0.0,0,CMBS
2012-04-23,41.78,41.78,41.74,41.77,9300,0.0,0,CMBS
2012-04-24,41.81,41.81,41.76,41.76,11900,0.0,0,CMBS
2012-04-25,41.76,41.76,41.73,41.76,274900,0.0,0,CMBS
2012-04-26,41.85,41.87,41.83,41.83,12700,0.0,0,CMBS
2012-04-27,41.88,41.96,41.84,41.96,3600,0.0,0,CMBS
2012-04-30,41.84,41.88,41.83,41.88,6300,0.0,0,CMBS
2012-05-01,42.1,42.1,41.84,41.88,8700,0.119,0,CMBS
2012-05-02,41.9,41.9,41.86,41.88,10000,0.0,0,CMBS
2012-05-03,41.89,41.9,41.89,41.9,7600,0.0,0,CMBS
2012-05-04,41.96,41.98,41.94,41.98,6000,0.0,0,CMBS
2012-05-07,41.86,41.9,41.86,41.89,2200,0.0,0,CMBS
2012-05-08,41.87,41.97,41.81,41.86,32200,0.0,0,CMBS
2012-05-09,41.93,41.93,41.78,41.81,83800,0.0,0,CMBS
2012-05-10,41.86,41.92,41.82,41.91,14200,0.0,0,CMBS
2012-05-11,41.89,41.91,41.73,41.9,14000,0.0,0,CMBS
2012-05-14,41.84,41.91,41.71,41.71,87400,0.0,0,CMBS
2012-05-15,41.86,41.9,41.59,41.81,20000,0.0,0,CMBS
2012-05-16,41.67,41.9,41.65,41.89,85000,0.0,0,CMBS
2012-05-17,41.68,41.83,41.66,41.83,11300,0.0,0,CMBS
2012-05-18,41.66,41.83,41.66,41.83,10900,0.0,0,CMBS
2012-05-21,41.55,41.81,41.55,41.66,1200,0.0,0,CMBS
2012-05-22,41.86,41.86,41.71,41.71,500,0.0,0,CMBS
2012-05-23,41.86,41.87,41.81,41.82,9300,0.0,0,CMBS
2012-05-24,41.67,41.8,41.67,41.8,2800,0.0,0,CMBS
2012-05-25,41.81,41.81,41.77,41.77,600,0.0,0,CMBS
2012-05-29,41.65,41.67,41.63,41.67,1200,0.0,0,CMBS
2012-05-30,41.82,41.82,41.72,41.72,3000,0.0,0,CMBS
2012-05-31,41.61,41.81,41.61,41.68,4800,0.0,0,CMBS
2012-06-01,41.89,41.89,41.54,41.54,5300,0.166,0,CMBS
2012-06-04,41.58,41.74,41.49,41.49,600,0.0,0,CMBS
2012-06-05,41.8,41.8,41.74,41.74,2400,0.0,0,CMBS
2012-06-06,41.83,41.83,41.78,41.78,300,0.0,0,CMBS
2012-06-07,41.72,41.83,41.72,41.83,500,0.0,0,CMBS
2012-06-08,41.6,41.9,41.6,41.74,800,0.0,0,CMBS
2012-06-11,41.91,41.91,41.74,41.74,1000,0.0,0,CMBS
2012-06-12,41.69,41.74,41.64,41.64,151500,0.0,0,CMBS
2012-06-13,41.8,41.95,41.66,41.68,14900,0.0,0,CMBS
2012-06-14,41.64,41.79,41.64,41.79,800,0.0,0,CMBS
2012-06-15,41.92,41.92,41.89,41.89,800,0.0,0,CMBS
2012-06-18,42.12,42.12,41.83,41.83,800,0.0,0,CMBS
2012-06-19,41.83,41.91,41.8,41.91,1600,0.0,0,CMBS
2012-06-20,41.86,41.9,41.84,41.84,700,0.0,0,CMBS
2012-06-21,42.0,42.04,41.85,42.01,3100,0.0,0,CMBS
2012-06-22,42.45,42.45,41.86,42.04,8300,0.0,0,CMBS
2012-06-25,41.89,42.04,41.89,42.04,1400,0.0,0,CMBS
2012-06-26,41.64,42.45,41.64,42.39,900,0.0,0,CMBS
2012-06-27,42.08,42.08,42.03,42.03,700,0.0,0,CMBS
2012-06-28,42.38,42.4,41.94,42.24,1600,0.0,0,CMBS
2012-06-29,42.37,42.37,42.12,42.33,14800,0.0,0,CMBS
2012-07-02,42.26,42.26,42.1,42.25,5600,0.173,0,CMBS
2012-07-03,42.42,42.47,42.42,42.47,5700,0.0,0,CMBS
2012-07-05,42.47,42.47,42.36,42.39,1100,0.0,0,CMBS
2012-07-06,42.39,42.47,42.39,42.47,2200,0.0,0,CMBS
2012-07-09,42.6,42.6,42.1,42.46,13900,0.0,0,CMBS
2012-07-10,42.47,42.47,42.14,42.43,20000,0.0,0,CMBS
2012-07-11,42.15,42.31,42.14,42.14,12300,0.0,0,CMBS
2012-07-12,42.44,42.44,42.19,42.19,5500,0.0,0,CMBS
2012-07-13,42.21,42.26,42.21,42.22,2500,0.0,0,CMBS
2012-07-16,42.35,42.35,41.7,41.7,6400,0.0,0,CMBS
2012-07-17,42.0,42.29,42.0,42.29,5900,0.0,0,CMBS
2012-07-18,42.35,42.35,42.19,42.25,1200,0.0,0,CMBS
2012-07-19,41.9,42.13,41.9,42.1,10000,0.0,0,CMBS
2012-07-20,42.05,42.22,42.05,42.2,5600,0.0,0,CMBS
2012-07-23,42.07,42.14,42.07,42.08,7400,0.0,0,CMBS
2012-07-24,42.09,42.43,42.09,42.43,9800,0.0,0,CMBS
2012-07-25,42.49,42.57,42.47,42.52,1200,0.0,0,CMBS
2012-07-26,42.15,42.59,42.15,42.43,1000,0.0,0,CMBS
2012-07-27,42.43,42.43,42.14,42.14,1600,0.0,0,CMBS
2012-07-30,42.52,42.56,42.27,42.53,32500,0.0,0,CMBS
2012-07-31,42.58,42.71,42.58,42.71,2500,0.0,0,CMBS
2012-08-01,42.7,42.7,42.7,42.7,1000,0.145,0,CMBS
2012-08-02,42.81,42.81,42.3,42.34,10800,0.0,0,CMBS
2012-08-03,42.51,42.72,42.51,42.72,4700,0.0,0,CMBS
2012-08-06,42.48,42.75,42.48,42.72,3200,0.0,0,CMBS
2012-08-07,42.76,42.76,42.76,42.76,200,0.0,0,CMBS
2012-08-08,42.43,42.84,42.43,42.8,2700,0.0,0,CMBS
2012-08-09,42.8,42.8,42.78,42.78,700,0.0,0,CMBS
2012-08-10,42.83,42.83,42.51,42.83,6600,0.0,0,CMBS
2012-08-13,42.92,42.92,42.59,42.64,3200,0.0,0,CMBS
2012-08-14,42.68,42.84,42.67,42.68,4900,0.0,0,CMBS
2012-08-15,42.8,42.85,42.8,42.85,1200,0.0,0,CMBS
2012-08-16,42.82,42.85,42.75,42.84,6800,0.0,0,CMBS
2012-08-17,42.85,42.85,42.79,42.84,6000,0.0,0,CMBS
2012-08-20,42.9,42.9,42.82,42.88,900,0.0,0,CMBS
2012-08-21,42.68,42.89,42.68,42.84,30800,0.0,0,CMBS
2012-08-22,42.89,42.89,42.71,42.89,12500,0.0,0,CMBS
2012-08-23,42.93,43.27,42.86,42.87,60100,0.0,0,CMBS
2012-08-24,43.01,43.01,42.9,42.93,5000,0.0,0,CMBS
2012-08-27,42.95,42.95,42.9,42.95,2100,0.0,0,CMBS
2012-08-28,42.94,42.94,42.9,42.9,16000,0.0,0,CMBS
2012-08-29,42.93,43.0,42.93,43.0,10500,0.0,0,CMBS
2012-08-30,42.96,43.0,42.89,43.0,2900,0.0,0,CMBS
2012-08-31,43.02,43.02,42.98,43.0,3800,0.0,0,CMBS
2012-09-04,42.78,43.05,42.78,43.04,51200,0.021,0,CMBS
2012-09-05,42.87,43.08,42.84,42.85,2700,0.0,0,CMBS
2012-09-06,42.94,43.11,42.93,42.93,4300,0.0,0,CMBS
2012-09-07,43.04,43.11,42.93,43.11,1500,0.0,0,CMBS
2012-09-10,43.31,43.31,43.02,43.15,1300,0.0,0,CMBS
2012-09-11,42.91,43.13,42.91,43.13,1200,0.0,0,CMBS
2012-09-12,43.18,43.24,43.12,43.21,93900,0.0,0,CMBS
2012-09-13,43.18,43.35,43.17,43.24,38900,0.0,0,CMBS
2012-09-14,43.12,43.5,43.12,43.41,6000,0.0,0,CMBS
2012-09-17,43.51,43.51,43.33,43.33,1800,0.0,0,CMBS
2012-09-18,44.15,44.15,43.08,43.31,22600,0.0,0,CMBS
2012-09-19,43.75,43.75,43.36,43.44,3200,0.0,0,CMBS
2012-09-20,43.63,43.63,43.45,43.49,2400,0.0,0,CMBS
2012-09-21,43.66,43.66,43.36,43.66,2500,0.0,0,CMBS
2012-09-24,43.7,43.7,43.49,43.49,1200,0.0,0,CMBS
2012-09-25,43.8,43.8,43.47,43.47,2800,0.0,0,CMBS
2012-09-26,43.79,43.79,43.43,43.43,1100,0.0,0,CMBS
2012-09-27,43.41,43.64,43.41,43.44,6300,0.0,0,CMBS
2012-09-28,43.68,43.68,43.68,43.68,100,0.0,0,CMBS
2012-10-01,43.87,43.87,43.47,43.58,85200,0.022,0,CMBS
2012-10-02,43.61,43.61,43.55,43.55,700,0.0,0,CMBS
2012-10-03,43.6,43.61,43.59,43.59,1800,0.0,0,CMBS
2012-10-04,43.57,43.63,43.57,43.58,400,0.0,0,CMBS
2012-10-05,43.61,43.67,43.61,43.67,1000,0.0,0,CMBS
2012-10-08,44.11,44.11,43.5,43.55,700,0.0,0,CMBS
2012-10-09,43.65,43.65,43.57,43.65,4900,0.0,0,CMBS
2012-10-10,43.61,43.61,43.53,43.57,2000,0.0,0,CMBS
2012-10-11,43.5,43.5,43.5,43.5,700,0.0,0,CMBS
2012-10-12,43.52,43.59,43.45,43.51,9700,0.0,0,CMBS
2012-10-15,43.45,43.45,43.4,43.43,41500,0.0,0,CMBS
2012-10-16,43.43,43.43,43.42,43.42,2400,0.0,0,CMBS
2012-10-17,43.55,43.55,43.37,43.38,20400,0.0,0,CMBS
2012-10-18,43.43,43.44,43.34,43.37,14500,0.0,0,CMBS
2012-10-19,43.4,43.42,43.34,43.34,5500,0.0,0,CMBS
2012-10-22,43.46,43.46,43.41,43.46,3200,0.0,0,CMBS
2012-10-23,43.46,43.46,43.36,43.36,11500,0.0,0,CMBS
2012-10-24,43.52,43.52,43.29,43.34,29100,0.0,0,CMBS
2012-10-25,43.34,43.34,43.28,43.3,19800,0.0,0,CMBS
2012-10-26,43.41,43.41,43.29,43.31,5000,0.0,0,CMBS
2012-10-31,43.26,43.56,43.26,43.37,14100,0.0,0,CMBS
2012-11-01,43.53,43.53,43.29,43.29,3700,0.0,0,CMBS
2012-11-02,43.54,43.54,43.16,43.45,22200,0.0,0,CMBS
2012-11-05,43.32,43.51,43.31,43.4,32000,0.0,0,CMBS
2012-11-06,43.34,43.51,43.24,43.24,19900,0.0,0,CMBS
2012-11-07,43.34,43.35,43.34,43.35,2100,0.0,0,CMBS
2012-11-08,43.47,43.49,43.35,43.41,9700,0.0,0,CMBS
2012-11-09,43.39,43.53,43.39,43.49,16300,0.0,0,CMBS
2012-11-12,43.41,43.46,43.4,43.46,900,0.0,0,CMBS
2012-11-13,43.31,43.51,43.31,43.39,4400,0.0,0,CMBS
2012-11-14,43.35,43.49,43.35,43.4,5900,0.0,0,CMBS
2012-11-15,43.42,43.55,43.42,43.52,5300,0.0,0,CMBS
2012-11-16,43.4,43.54,43.4,43.46,3600,0.0,0,CMBS
2012-11-19,43.31,43.33,43.26,43.28,4300,0.0,0,CMBS
2012-11-20,43.34,43.37,43.34,43.37,300,0.0,0,CMBS
2012-11-21,43.45,43.45,43.34,43.34,300,0.0,0,CMBS
2012-11-23,43.34,43.34,43.34,43.34,0,0.0,0,CMBS
2012-11-26,43.18,43.24,43.18,43.24,2000,0.0,0,CMBS
2012-11-27,43.39,43.45,43.39,43.45,11600,0.0,0,CMBS
2012-11-28,43.34,43.34,43.21,43.34,2600,0.0,0,CMBS
2012-11-29,43.49,43.49,43.49,43.49,200,0.0,0,CMBS
2012-11-30,43.54,43.54,43.34,43.54,4200,0.0,0,CMBS
2012-12-03,43.65,43.65,43.39,43.4,2200,0.105,0,CMBS
2012-12-04,43.4,43.62,43.4,43.42,4900,0.0,0,CMBS
2012-12-05,43.69,43.69,43.45,43.49,1700,0.0,0,CMBS
2012-12-06,43.52,43.69,43.51,43.69,11200,0.0,0,CMBS
2012-12-07,43.66,43.77,43.66,43.73,12300,0.0,0,CMBS
2012-12-10,43.65,43.69,43.64,43.64,1500,0.0,0,CMBS
2012-12-11,43.64,43.68,43.64,43.68,1100,0.0,0,CMBS
2012-12-12,43.68,43.68,43.68,43.68,300,0.0,0,CMBS
2012-12-13,43.66,43.68,43.58,43.63,6000,0.0,0,CMBS
2012-12-14,43.63,43.63,43.63,43.63,0,0.0,0,CMBS
2012-12-17,43.62,43.68,43.62,43.67,7900,0.0,0,CMBS
2012-12-18,43.4,43.62,43.4,43.53,2900,0.0,0,CMBS
2012-12-19,43.57,43.6,43.56,43.59,4000,0.0,0,CMBS
2012-12-20,43.62,43.63,43.56,43.57,3300,0.0,0,CMBS
2012-12-21,43.59,43.67,43.57,43.59,3600,0.0,0,CMBS
2012-12-24,43.6,43.6,43.56,43.56,600,0.0,0,CMBS
2012-12-26,43.56,43.57,43.56,43.57,700,0.042,0,CMBS
2012-12-27,43.55,43.71,43.55,43.71,4900,0.0,0,CMBS
2012-12-28,43.56,43.75,43.56,43.75,5600,0.0,0,CMBS
2012-12-31,43.56,43.64,43.56,43.64,4800,0.0,0,CMBS
2013-01-02,43.49,43.74,43.49,43.74,10900,0.0,0,CMBS
