Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2008-01-29,51.68,51.68,50.65,51.51,2100,0.0,0,EDV
2008-01-30,51.16,51.16,50.4,50.4,3600,0.0,0,EDV
2008-01-31,51.61,51.61,51.33,51.55,500,0.0,0,EDV
2008-02-01,51.57,51.82,51.57,51.77,2600,0.0,0,EDV
2008-02-04,51.09,51.31,51.09,51.31,200,0.0,0,EDV
2008-02-05,51.97,52.0,51.47,51.7,7800,0.0,0,EDV
2008-02-06,51.09,51.09,51.09,51.09,100,0.0,0,EDV
2008-02-07,52.29,52.29,49.23,49.23,7700,0.0,0,EDV
2008-02-08,49.76,50.28,49.76,50.28,1500,0.0,0,EDV
2008-02-11,50.79,50.79,50.44,50.49,1400,0.0,0,EDV
2008-02-12,49.98,49.98,49.45,49.81,9900,0.0,0,EDV
2008-02-13,49.32,49.51,49.03,49.51,3200,0.0,0,EDV
2008-02-14,48.65,48.65,47.77,47.8,9200,0.0,0,EDV
2008-02-15,47.79,48.35,47.79,48.13,1300,0.0,0,EDV
2008-02-19,47.72,47.95,47.36,47.61,9500,0.0,0,EDV
2008-02-20,47.07,47.85,47.07,47.85,9400,0.0,0,EDV
2008-02-21,49.24,49.31,49.01,49.01,2000,0.0,0,EDV
2008-02-22,49.45,49.77,48.92,48.92,2800,0.0,0,EDV
2008-02-25,49.24,49.24,46.97,46.97,11400,0.0,0,EDV
2008-02-26,47.98,48.17,47.09,47.73,3100,0.0,0,EDV
2008-02-27,48.4,48.4,46.75,47.52,6100,0.0,0,EDV
2008-02-28,49.28,49.28,49.28,49.28,100,0.0,0,EDV
2008-02-29,50.19,50.19,49.67,49.75,2100,0.0,0,EDV
2008-03-03,50.72,50.72,49.59,50.7,700,0.0,0,EDV
2008-03-04,50.66,50.66,49.74,49.75,700,0.0,0,EDV
2008-03-05,49.75,49.75,49.75,49.75,0,0.0,0,EDV
2008-03-06,49.75,49.75,49.75,49.75,0,0.0,0,EDV
2008-03-07,50.09,50.1,49.3,49.4,5700,0.0,0,EDV
2008-03-10,49.31,49.8,48.66,49.8,6900,0.0,0,EDV
2008-03-11,49.69,49.69,49.35,49.35,1300,0.0,0,EDV
2008-03-12,48.73,49.82,48.73,49.59,3200,0.0,0,EDV
2008-03-13,50.64,50.64,50.46,50.46,2100,0.0,0,EDV
2008-03-14,50.67,50.79,50.37,50.37,3800,0.0,0,EDV
2008-03-17,51.88,52.48,51.73,52.34,2700,0.0,0,EDV
2008-03-18,53.46,53.46,50.85,52.15,1200,0.0,0,EDV
2008-03-19,52.18,53.41,50.92,53.41,2500,0.0,0,EDV
2008-03-20,53.32,54.02,53.22,54.02,1400,0.0,0,EDV
2008-03-24,54.04,54.04,52.35,52.35,4500,0.0,0,EDV
2008-03-25,52.88,52.91,52.2,52.42,2500,0.684,0,EDV
2008-03-26,53.32,53.32,52.77,52.77,800,0.0,0,EDV
2008-03-27,52.38,52.38,51.88,51.88,600,0.0,0,EDV
2008-03-28,51.88,51.88,51.88,51.88,0,0.0,0,EDV
2008-03-31,53.04,53.35,52.94,52.94,1000,0.0,0,EDV
2008-04-01,52.21,52.21,51.57,51.57,500,0.0,0,EDV
2008-04-02,51.64,52.15,51.59,52.01,2100,0.0,0,EDV
2008-04-03,52.13,52.38,52.02,52.02,1300,0.0,0,EDV
2008-04-04,52.85,52.85,52.84,52.85,300,0.0,0,EDV
2008-04-07,52.85,52.85,52.85,52.85,0,0.0,0,EDV
2008-04-08,52.43,52.43,52.43,52.43,100,0.0,0,EDV
2008-04-09,52.84,52.84,52.78,52.78,300,0.0,0,EDV
2008-04-10,52.67,52.89,52.49,52.49,700,0.0,0,EDV
2008-04-11,53.11,53.14,53.11,53.14,1500,0.0,0,EDV
2008-04-14,54.47,54.47,51.41,52.81,2600,0.0,0,EDV
2008-04-15,51.97,51.97,51.6,51.6,300,0.0,0,EDV
2008-04-16,51.14,51.18,50.86,50.86,1000,0.0,0,EDV
2008-04-17,50.55,50.55,49.89,49.96,2100,0.0,0,EDV
2008-04-18,49.82,49.85,49.82,49.85,300,0.0,0,EDV
2008-04-21,50.25,50.94,50.25,50.79,700,0.0,0,EDV
2008-04-22,50.86,50.91,50.8,50.89,1100,0.0,0,EDV
2008-04-23,50.85,50.85,50.1,50.83,500,0.0,0,EDV
2008-04-24,50.83,50.83,50.83,50.83,0,0.0,0,EDV
2008-04-25,50.83,50.83,50.83,50.83,0,0.0,0,EDV
2008-04-28,49.83,49.83,49.25,49.73,1800,0.0,0,EDV
2008-04-29,48.66,50.42,48.66,49.97,2100,0.0,0,EDV
2008-04-30,50.42,50.42,50.18,50.33,900,0.0,0,EDV
2008-05-01,51.26,51.26,48.3,50.75,1200,0.0,0,EDV
