Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2010-11-08,27.38,28.36,26.41,28.36,580,0.0,0,FUT
2010-11-09,27.38,28.36,26.41,28.36,513,0.0,0,FUT
2010-11-10,27.38,30.32,27.38,30.32,4102,0.0,0,FUT
2010-11-12,30.32,35.21,30.32,34.23,6047,0.0,0,FUT
2010-11-15,32.27,33.25,31.3,32.27,3634,0.0,0,FUT
2010-11-16,31.3,34.23,30.32,33.25,3154,0.0,0,FUT
2010-11-17,34.23,37.16,32.27,35.21,4795,0.0,0,FUT
2010-11-18,35.21,36.19,34.23,35.21,1433,0.0,0,FUT
2010-11-19,34.23,34.23,32.27,33.25,1779,0.0,0,FUT
2010-11-22,32.27,33.25,30.32,33.25,619,0.0,0,FUT
2010-11-23,31.3,32.27,31.3,32.27,486,0.0,0,FUT
2010-11-24,32.27,33.25,30.32,32.27,603,0.0,0,FUT
2010-11-26,33.25,33.25,31.3,33.25,468,0.0,0,FUT
2010-11-29,34.23,34.23,32.27,32.27,707,0.0,0,FUT
2010-11-30,32.27,32.27,30.32,31.3,497,0.0,0,FUT
2010-12-01,31.3,32.27,31.3,31.3,174,0.0,0,FUT
2010-12-02,32.27,33.25,31.3,32.27,1133,0.0,0,FUT
2010-12-03,33.25,33.25,32.27,32.27,315,0.0,0,FUT
2010-12-06,32.27,33.25,30.32,33.25,722,0.0,0,FUT
2010-12-07,32.27,32.27,31.3,32.27,457,0.0,0,FUT
2010-12-08,32.27,32.27,32.27,32.27,0,0.0,0,FUT
2010-12-09,31.3,32.27,31.3,32.27,407,0.0,0,FUT
2010-12-10,32.27,32.27,32.27,32.27,0,0.0,0,FUT
2010-12-13,31.3,31.3,31.3,31.3,5,0.0,0,FUT
2010-12-14,30.32,30.32,29.34,30.32,778,0.0,0,FUT
2010-12-15,30.32,31.3,30.32,31.3,442,0.0,0,FUT
2010-12-16,32.27,32.27,32.27,32.27,20,0.0,0,FUT
2010-12-17,32.27,32.27,30.32,30.32,107,0.0,0,FUT
2010-12-20,30.32,32.27,29.34,29.34,874,0.0,0,FUT
2010-12-21,29.34,30.32,29.34,30.32,1260,0.0,0,FUT
2010-12-22,30.32,30.32,28.36,30.32,435,0.0,0,FUT
2010-12-23,30.32,30.32,27.38,29.34,598,0.0,0,FUT
2010-12-27,28.36,29.34,27.38,29.34,422,0.0,0,FUT
2010-12-28,28.36,29.34,27.38,27.38,417,0.0,0,FUT
2010-12-29,27.38,29.34,27.38,29.34,45,0.0,0,FUT
2010-12-30,29.34,30.32,29.34,30.32,510,0.0,0,FUT
2010-12-31,30.32,30.32,29.34,29.34,284,0.0,0,FUT
2011-01-03,30.32,31.3,30.32,31.3,150,0.0,0,FUT
2011-01-04,28.36,32.27,28.36,31.3,599,0.0,0,FUT
2011-01-05,31.3,31.3,29.34,31.3,323,0.0,0,FUT
2011-01-07,31.3,31.3,31.3,31.3,100,0.0,0,FUT
2011-01-10,31.3,31.3,30.32,30.32,617,0.0,0,FUT
2011-01-11,30.32,30.32,30.32,30.32,40,0.0,0,FUT
2011-01-12,29.34,29.34,29.34,29.34,90,0.0,0,FUT
2011-01-13,30.32,30.32,29.34,30.32,233,0.0,0,FUT
2011-01-14,29.34,30.32,29.34,30.32,22,0.0,0,FUT
2011-01-18,24.45,25.43,23.47,25.43,406,0.0,0,FUT
2011-01-19,24.45,24.45,23.47,23.47,372,0.0,0,FUT
2011-01-20,23.47,23.47,22.49,22.49,3687,0.0,0,FUT
2011-01-21,22.49,23.47,22.49,22.49,806,0.0,0,FUT
2011-01-24,22.49,23.47,22.49,23.47,37,0.0,0,FUT
2011-01-25,23.47,23.47,23.47,23.47,100,0.0,0,FUT
2011-01-26,22.49,23.47,22.49,23.47,108,0.0,0,FUT
2011-01-27,23.47,23.47,21.52,21.52,401,0.0,0,FUT
2011-01-28,22.49,23.47,22.49,23.47,278,0.0,0,FUT
2011-01-31,22.49,22.49,21.52,22.49,592,0.0,0,FUT
2011-02-01,21.52,22.49,19.56,19.56,2364,0.0,0,FUT
2011-02-02,19.56,20.54,18.58,20.54,813,0.0,0,FUT
2011-02-03,20.54,20.54,19.56,20.54,745,0.0,0,FUT
2011-02-04,20.54,21.52,20.54,20.54,1994,0.0,0,FUT
2011-02-07,21.52,21.52,20.54,20.54,774,0.0,0,FUT
2011-02-08,21.52,22.49,17.6,19.56,8983,0.0,0,FUT
2011-02-09,19.56,20.54,19.56,20.54,517,0.0,0,FUT
2011-02-10,20.54,20.54,20.54,20.54,0,0.0,0,FUT
2011-02-11,20.54,20.54,20.54,20.54,12,0.0,0,FUT
2011-02-14,20.54,20.54,18.58,19.56,1444,0.0,0,FUT
2011-02-15,19.56,19.56,18.58,19.56,359,0.0,0,FUT
