Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2012-02-24,22.23,22.23,22.23,22.23,100,0.0,0,GOVT
2012-02-27,22.23,22.23,22.23,22.23,0,0.0,0,GOVT
2012-02-28,22.23,22.23,22.23,22.23,0,0.0,0,GOVT
2012-02-29,22.23,22.23,22.23,22.23,0,0.0,0,GOVT
2012-03-01,22.23,22.23,22.23,22.23,0,0.0,0,GOVT
2012-03-02,22.23,22.23,22.23,22.23,0,0.0,0,GOVT
2012-03-05,22.23,22.23,22.23,22.23,0,0.0,0,GOVT
2012-03-06,22.23,22.23,22.23,22.23,0,0.0,0,GOVT
2012-03-07,22.3,22.3,22.3,22.3,500,0.0,0,GOVT
2012-03-08,22.25,22.32,22.25,22.32,2700,0.0,0,GOVT
2012-03-09,22.32,22.32,22.29,22.29,300,0.0,0,GOVT
2012-03-12,22.29,22.29,22.29,22.29,0,0.0,0,GOVT
2012-03-13,22.29,22.29,22.29,22.29,0,0.0,0,GOVT
2012-03-14,22.08,22.08,22.08,22.08,100,0.0,0,GOVT
2012-03-15,22.06,22.06,21.99,21.99,11572900,0.0,0,GOVT
2012-03-16,21.94,22.01,21.93,22.01,94700,0.0,0,GOVT
2012-03-19,21.99,21.99,21.84,21.89,107200,0.0,0,GOVT
2012-03-20,22.0,22.0,21.85,21.94,124800,0.0,0,GOVT
2012-03-21,21.96,21.99,21.94,21.98,86900,0.0,0,GOVT
2012-03-22,22.0,22.0,21.96,22.0,98700,0.0,0,GOVT
2012-03-23,22.04,22.05,21.94,22.04,91200,0.0,0,GOVT
2012-03-26,22.0,22.04,21.99,22.04,95500,0.0,0,GOVT
2012-03-27,22.08,22.08,21.88,22.03,151400,0.0,0,GOVT
2012-03-28,22.02,22.09,21.98,22.07,112700,0.0,0,GOVT
2012-03-29,22.09,22.12,22.08,22.12,96600,0.0,0,GOVT
2012-03-30,22.12,22.13,22.01,22.06,40400,0.0,0,GOVT
2012-04-02,22.09,22.1,22.05,22.1,83900,0.015,0,GOVT
2012-04-03,22.09,22.12,21.95,21.99,76000,0.0,0,GOVT
2012-04-04,22.06,22.06,22.03,22.04,84500,0.0,0,GOVT
2012-04-05,22.07,22.12,21.88,22.12,99700,0.0,0,GOVT
2012-04-09,22.25,22.26,22.2,22.25,108700,0.0,0,GOVT
2012-04-10,22.3,22.32,22.27,22.29,92400,0.0,0,GOVT
2012-04-11,22.27,22.27,22.22,22.27,84500,0.0,0,GOVT
2012-04-12,22.24,22.27,22.22,22.24,142800,0.0,0,GOVT
2012-04-13,22.27,22.31,22.27,22.31,67800,0.0,0,GOVT
2012-04-16,22.34,22.35,22.29,22.29,85600,0.0,0,GOVT
2012-04-17,22.27,22.31,22.27,22.31,87300,0.0,0,GOVT
2012-04-18,22.31,22.33,22.29,22.29,366300,0.0,0,GOVT
2012-04-19,22.35,22.35,22.3,22.3,74900,0.0,0,GOVT
2012-04-20,22.31,22.33,22.29,22.3,79900,0.0,0,GOVT
2012-04-23,22.38,22.38,22.35,22.37,91300,0.0,0,GOVT
2012-04-24,22.32,22.35,22.3,22.3,64800,0.0,0,GOVT
2012-04-25,22.29,22.36,22.28,22.3,80700,0.0,0,GOVT
2012-04-26,22.36,22.36,22.3,22.36,84200,0.0,0,GOVT
2012-04-27,22.35,22.37,22.32,22.37,60300,0.0,0,GOVT
2012-04-30,22.34,22.38,22.34,22.34,64000,0.0,0,GOVT
2012-05-01,22.34,22.35,22.29,22.31,93000,0.02,0,GOVT
2012-05-02,22.38,22.38,22.33,22.34,94000,0.0,0,GOVT
2012-05-03,22.35,22.38,22.34,22.37,72000,0.0,0,GOVT
2012-05-04,22.41,22.42,22.38,22.42,41500,0.0,0,GOVT
2012-05-07,22.4,22.43,22.39,22.43,69000,0.0,0,GOVT
2012-05-08,22.46,22.47,22.41,22.41,103000,0.0,0,GOVT
2012-05-09,22.47,22.47,22.42,22.46,71400,0.0,0,GOVT
2012-05-10,22.47,22.47,22.4,22.42,76200,0.0,0,GOVT
2012-05-11,22.47,22.49,22.45,22.49,66000,0.0,0,GOVT
2012-05-14,22.57,22.57,22.5,22.55,37600,0.0,0,GOVT
2012-05-15,22.55,22.56,22.51,22.53,95000,0.0,0,GOVT
2012-05-16,22.51,22.57,22.51,22.57,77700,0.0,0,GOVT
2012-05-17,22.57,22.64,22.57,22.64,70100,0.0,0,GOVT
2012-05-18,22.6,22.66,22.58,22.64,1235000,0.0,0,GOVT
2012-05-21,22.62,22.64,22.57,22.59,64500,0.0,0,GOVT
2012-05-22,22.56,22.58,22.51,22.54,103600,0.0,0,GOVT
2012-05-23,22.6,22.64,22.57,22.57,57000,0.0,0,GOVT
2012-05-24,22.6,22.6,22.54,22.58,55300,0.0,0,GOVT
2012-05-25,22.52,22.85,22.52,22.59,77000,0.0,0,GOVT
2012-05-29,22.61,22.63,22.56,22.59,186700,0.0,0,GOVT
2012-05-30,22.7,22.73,22.68,22.68,61500,0.0,0,GOVT
2012-05-31,22.81,22.81,22.73,22.79,100700,0.0,0,GOVT
2012-06-01,22.88,22.9,22.84,22.9,68800,0.019,0,GOVT
2012-06-04,22.86,22.87,22.8,22.8,99000,0.0,0,GOVT
2012-06-05,22.77,22.8,22.75,22.75,80800,0.0,0,GOVT
2012-06-06,22.69,22.72,22.65,22.66,51100,0.0,0,GOVT
2012-06-07,22.68,22.71,22.65,22.66,87700,0.0,0,GOVT
2012-06-08,22.74,22.74,22.64,22.66,78200,0.0,0,GOVT
2012-06-11,22.7,22.73,22.69,22.69,50100,0.0,0,GOVT
2012-06-12,22.7,22.7,22.62,22.62,77000,0.0,0,GOVT
2012-06-13,22.64,22.73,22.64,22.72,45700,0.0,0,GOVT
2012-06-14,22.67,22.71,22.66,22.66,54400,0.0,0,GOVT
2012-06-15,22.72,22.75,22.7,22.75,76200,0.0,0,GOVT
2012-06-18,22.72,22.76,22.7,22.72,72400,0.0,0,GOVT
2012-06-19,22.72,22.72,22.66,22.71,128200,0.0,0,GOVT
2012-06-20,22.63,22.72,22.63,22.65,99900,0.0,0,GOVT
2012-06-21,22.72,22.74,22.7,22.72,58200,0.0,0,GOVT
2012-06-22,22.68,22.68,22.63,22.63,76900,0.0,0,GOVT
2012-06-25,22.72,22.76,22.69,22.73,111500,0.0,0,GOVT
2012-06-26,22.7,22.72,22.67,22.72,62200,0.0,0,GOVT
2012-06-27,22.69,22.73,22.69,22.7,84500,0.0,0,GOVT
2012-06-28,22.77,22.77,22.72,22.74,59100,0.0,0,GOVT
2012-06-29,22.66,22.7,22.64,22.67,83100,0.0,0,GOVT
2012-07-02,22.72,22.79,22.72,22.76,70700,0.02,0,GOVT
2012-07-03,22.75,22.75,22.7,22.72,49300,0.0,0,GOVT
2012-07-05,22.74,22.76,22.72,22.75,67200,0.0,0,GOVT
2012-07-06,22.78,22.81,22.77,22.8,83300,0.0,0,GOVT
2012-07-09,22.8,22.84,22.8,22.8,46700,0.0,0,GOVT
2012-07-10,22.81,22.85,22.81,22.83,237900,0.0,0,GOVT
2012-07-11,22.86,22.86,22.82,22.84,74600,0.0,0,GOVT
2012-07-12,22.85,22.88,22.84,22.85,45000,0.0,0,GOVT
2012-07-13,22.84,22.87,22.83,22.87,61600,0.0,0,GOVT
2012-07-16,22.92,22.93,22.88,22.9,58500,0.0,0,GOVT
2012-07-17,22.86,22.89,22.84,22.87,291900,0.0,0,GOVT
2012-07-18,22.87,22.9,22.86,22.86,100300,0.0,0,GOVT
2012-07-19,22.85,22.89,22.84,22.84,49900,0.0,0,GOVT
2012-07-20,22.9,22.93,22.9,22.93,49700,0.0,0,GOVT
2012-07-23,22.97,22.97,22.92,22.93,54700,0.0,0,GOVT
2012-07-24,22.94,22.99,22.94,22.96,108800,0.0,0,GOVT
2012-07-25,22.99,22.99,22.95,22.97,71500,0.0,0,GOVT
2012-07-26,22.95,22.98,22.94,22.94,43900,0.0,0,GOVT
2012-07-27,22.88,22.88,22.78,22.85,77400,0.0,0,GOVT
