Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2008-05-22,30.62,30.63,30.58,30.6,2300,0.0,0,GRI
2008-05-23,30.62,30.62,30.53,30.53,1300,0.0,0,GRI
2008-05-27,30.37,30.37,30.37,30.37,5100,0.0,0,GRI
2008-05-28,30.6,30.6,30.52,30.57,6000,0.0,0,GRI
2008-05-29,30.43,30.6,30.43,30.6,3000,0.0,0,GRI
2008-05-30,30.78,30.78,30.53,30.74,1300,0.0,0,GRI
2008-06-02,32.01,32.01,30.44,30.44,500,0.0,0,GRI
2008-06-03,31.73,31.73,30.22,30.29,1600,0.0,0,GRI
2008-06-04,30.37,30.41,30.37,30.41,4700,0.0,0,GRI
2008-06-05,30.44,30.48,30.44,30.48,300,0.0,0,GRI
2008-06-06,30.31,30.5,30.31,30.41,3300,0.0,0,GRI
2008-06-09,30.09,30.37,29.67,29.67,4400,0.0,0,GRI
2008-06-10,28.89,28.91,28.87,28.87,600,0.0,0,GRI
2008-06-11,28.87,28.87,28.87,28.87,0,0.0,0,GRI
2008-06-12,28.54,28.54,28.26,28.26,500,0.0,0,GRI
2008-06-13,28.54,28.54,27.82,28.54,15200,0.0,0,GRI
2008-06-16,28.87,28.87,28.87,28.87,500,0.0,0,GRI
2008-06-17,29.28,29.28,28.89,28.89,3700,0.0,0,GRI
2008-06-18,28.65,28.65,28.54,28.56,4300,0.0,0,GRI
2008-06-19,28.4,28.46,28.4,28.46,2500,0.0,0,GRI
2008-06-20,28.65,28.65,28.21,28.21,2500,0.0,0,GRI
2008-06-23,28.08,28.08,27.35,27.5,8200,0.0,0,GRI
2008-06-24,27.69,27.85,26.59,27.38,13300,0.0,0,GRI
2008-06-25,27.61,27.92,27.52,27.92,2700,0.0,0,GRI
2008-06-26,27.6,27.6,27.25,27.25,1300,0.0,0,GRI
2008-06-27,27.09,27.09,27.09,27.09,100,0.0,0,GRI
2008-06-30,27.09,27.15,27.09,27.15,2200,0.0,0,GRI
2008-07-01,26.51,26.61,26.51,26.6,2300,0.0,0,GRI
2008-07-02,26.7,26.7,26.46,26.46,1600,0.0,0,GRI
2008-07-03,26.55,26.55,26.55,26.55,300,0.0,0,GRI
2008-07-07,26.55,26.55,26.55,26.55,0,0.0,0,GRI
2008-07-08,25.97,26.58,25.95,26.58,1200,0.0,0,GRI
2008-07-09,26.93,26.93,26.35,26.35,2500,0.0,0,GRI
2008-07-10,26.35,26.35,26.35,26.35,0,0.0,0,GRI
2008-07-11,26.04,26.04,26.04,26.04,100,0.0,0,GRI
2008-07-14,25.81,25.81,25.81,25.81,200,0.0,0,GRI
2008-07-15,24.57,25.24,24.57,25.09,2500,0.0,0,GRI
2008-07-16,24.82,25.08,24.82,25.08,1000,0.0,0,GRI
2008-07-17,26.1,26.1,26.1,26.1,200,0.0,0,GRI
2008-07-18,26.51,26.51,26.51,26.51,2800,0.0,0,GRI
2008-07-21,27.66,27.66,26.99,27.08,3700,0.0,0,GRI
2008-07-22,26.9,26.9,26.9,26.9,200,0.0,0,GRI
2008-07-23,26.8,28.2,26.8,28.2,2100,0.0,0,GRI
2008-07-24,29.19,29.19,27.98,27.98,2800,0.0,0,GRI
2008-07-25,27.98,27.98,27.98,27.98,0,0.0,0,GRI
2008-07-28,27.98,27.98,27.98,27.98,0,0.0,0,GRI
2008-07-29,26.8,27.01,26.8,27.01,1100,0.0,0,GRI
2008-07-30,27.44,27.44,27.18,27.18,900,0.0,0,GRI
2008-07-31,27.22,27.25,27.2,27.25,2400,0.0,0,GRI
2008-08-01,26.96,26.96,26.96,26.96,1100,0.0,0,GRI
2008-08-04,26.96,26.96,26.96,26.96,0,0.0,0,GRI
2008-08-05,27.22,27.22,27.15,27.15,200,0.0,0,GRI
2008-08-06,27.15,27.15,27.15,27.15,0,0.0,0,GRI
2008-08-07,27.15,27.15,27.15,27.15,0,0.0,0,GRI
2008-08-08,26.94,26.94,26.94,26.94,700,0.0,0,GRI
2008-08-11,26.94,26.94,26.94,26.94,0,0.0,0,GRI
2008-08-12,27.61,27.61,27.53,27.53,400,0.0,0,GRI
2008-08-13,26.58,26.58,26.58,26.58,800,0.0,0,GRI
2008-08-14,26.58,26.58,26.58,26.58,0,0.0,0,GRI
2008-08-15,26.74,26.74,26.71,26.71,800,0.0,0,GRI
2008-08-18,26.8,26.93,26.66,26.66,3200,0.0,0,GRI
2008-08-19,25.75,25.75,25.68,25.68,800,0.0,0,GRI
2008-08-20,26.0,26.0,25.88,25.97,2100,0.0,0,GRI
2008-08-21,25.84,26.05,25.77,26.05,4500,0.0,0,GRI
2008-08-22,25.91,26.26,25.91,26.0,2100,0.0,0,GRI
2008-08-25,26.23,26.23,26.16,26.16,1100,0.0,0,GRI
2008-08-26,26.1,26.11,26.07,26.07,4500,0.0,0,GRI
2008-08-27,26.15,26.15,25.94,26.15,2600,0.0,0,GRI
2008-08-28,27.29,27.29,26.45,26.51,2500,0.0,0,GRI
2008-08-29,26.83,26.86,26.8,26.83,1500,0.0,0,GRI
2008-09-02,26.77,26.77,26.51,26.51,400,0.0,0,GRI
2008-09-03,26.27,26.48,26.27,26.48,1400,0.0,0,GRI
2008-09-04,26.29,26.29,25.97,25.97,200,0.0,0,GRI
2008-09-05,25.46,25.88,25.33,25.88,12400,0.0,0,GRI
2008-09-08,26.82,26.82,26.35,26.67,800,0.0,0,GRI
2008-09-09,26.77,26.77,26.65,26.77,900,0.0,0,GRI
2008-09-10,26.48,26.58,26.48,26.58,500,0.0,0,GRI
2008-09-11,25.94,26.16,25.93,26.16,1000,0.0,0,GRI
2008-09-12,26.45,26.48,26.13,26.48,400,0.0,0,GRI
2008-09-15,26.11,26.11,26.04,26.04,800,0.0,0,GRI
2008-09-16,24.82,25.14,24.82,24.98,900,0.0,0,GRI
2008-09-17,25.33,25.33,23.83,23.83,3300,0.0,0,GRI
2008-09-18,24.6,24.6,24.15,24.47,3100,0.0,0,GRI
2008-09-19,26.42,26.44,26.42,26.44,700,0.0,0,GRI
2008-09-22,26.93,31.29,26.67,26.69,5000,0.0,0,GRI
2008-09-23,25.88,27.44,25.26,26.32,4400,0.0,0,GRI
2008-09-24,25.47,25.52,24.82,24.84,900,0.0,0,GRI
2008-09-25,24.84,24.84,24.84,24.84,0,0.0,0,GRI
2008-09-26,25.17,25.17,25.17,25.17,100,0.0,0,GRI
2008-09-29,24.89,24.89,23.61,23.61,900,0.0,0,GRI
2008-09-30,24.24,25.14,23.42,24.39,7600,0.0,0,GRI
2008-10-01,24.23,24.23,24.23,24.23,1000,0.0,0,GRI
2008-10-02,23.99,23.99,23.67,23.67,3000,0.0,0,GRI
2008-10-03,22.97,23.32,22.97,23.32,300,0.0,0,GRI
