Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2007-05-30,35.01,35.01,34.98,34.98,600,0.0,0,IPE
2007-05-31,34.91,34.96,34.91,34.96,800,0.0,0,IPE
2007-06-01,34.86,34.86,34.83,34.83,4500,0.0,0,IPE
2007-06-04,34.83,34.83,34.83,34.83,0,0.0,0,IPE
2007-06-05,34.83,34.83,34.83,34.83,0,0.0,0,IPE
2007-06-06,34.88,34.88,34.88,34.88,2600,0.0,0,IPE
2007-06-07,34.73,34.73,34.73,34.73,1500,0.0,0,IPE
2007-06-08,34.48,34.57,34.48,34.57,1500,0.0,0,IPE
2007-06-11,34.47,34.59,34.47,34.59,700,0.0,0,IPE
2007-06-12,34.41,34.41,34.37,34.37,1300,0.0,0,IPE
2007-06-13,34.37,34.37,34.37,34.37,0,0.0,0,IPE
2007-06-14,34.51,34.51,34.51,34.51,200,0.0,0,IPE
2007-06-15,34.51,34.51,34.51,34.51,300,0.0,0,IPE
2007-06-18,34.56,34.56,34.53,34.54,900,0.0,0,IPE
2007-06-19,34.65,34.78,34.65,34.78,11000,0.0,0,IPE
2007-06-20,34.62,34.71,34.54,34.71,33300,0.0,0,IPE
2007-06-21,34.62,34.7,34.6,34.6,7000,0.0,0,IPE
2007-06-22,34.57,34.77,34.57,34.77,5000,0.0,0,IPE
2007-06-25,34.82,34.86,34.75,34.79,7300,0.0,0,IPE
2007-06-26,34.77,34.77,34.7,34.7,7800,0.0,0,IPE
2007-06-27,34.78,34.78,34.73,34.73,400,0.0,0,IPE
2007-06-28,34.76,34.76,34.76,34.76,200,0.0,0,IPE
2007-06-29,34.78,34.78,34.78,34.78,200,0.0,0,IPE
2007-07-02,34.93,34.93,34.93,34.93,100,0.435,0,IPE
2007-07-03,34.93,34.93,34.93,34.93,0,0.0,0,IPE
2007-07-05,34.74,34.74,34.74,34.74,2100,0.0,0,IPE
2007-07-06,34.66,34.66,34.62,34.62,600,0.0,0,IPE
2007-07-09,34.74,34.74,34.73,34.74,900,0.0,0,IPE
2007-07-10,34.9,35.04,34.9,35.04,400,0.0,0,IPE
2007-07-11,35.01,35.01,34.86,34.87,3000,0.0,0,IPE
2007-07-12,34.83,34.83,34.8,34.8,600,0.0,0,IPE
2007-07-13,34.77,34.85,34.77,34.85,2200,0.0,0,IPE
2007-07-16,34.94,34.95,34.94,34.95,1800,0.0,0,IPE
2007-07-17,34.81,34.82,34.79,34.79,3200,0.0,0,IPE
2007-07-18,35.0,35.05,35.0,35.05,800,0.0,0,IPE
2007-07-19,34.95,35.04,34.95,35.04,800,0.0,0,IPE
2007-07-20,35.13,35.21,35.09,35.2,17700,0.0,0,IPE
2007-07-23,35.11,35.12,35.11,35.12,200,0.0,0,IPE
2007-07-24,35.17,35.28,35.17,35.28,5400,0.0,0,IPE
2007-07-25,35.34,35.35,35.33,35.35,2400,0.0,0,IPE
2007-07-26,35.54,35.6,35.53,35.57,700,0.0,0,IPE
2007-07-27,35.58,35.58,35.58,35.58,200,0.0,0,IPE
2007-07-30,35.58,35.6,35.54,35.54,1800,0.0,0,IPE
2007-07-31,35.57,35.7,35.57,35.7,600,0.0,0,IPE
2007-08-01,35.98,35.98,35.98,35.98,0,0.387,0,IPE
2007-08-02,35.61,35.61,35.56,35.56,400,0.0,0,IPE
2007-08-03,35.58,36.01,35.58,35.61,31600,0.0,0,IPE
2007-08-06,35.59,35.67,35.48,35.48,6100,0.0,0,IPE
2007-08-07,35.48,35.54,35.48,35.52,4300,0.0,0,IPE
2007-08-08,35.5,35.5,35.33,35.43,4700,0.0,0,IPE
2007-08-09,35.38,35.38,35.38,35.38,1100,0.0,0,IPE
2007-08-10,35.52,35.52,35.52,35.52,500,0.0,0,IPE
2007-08-13,35.5,35.58,35.5,35.56,700,0.0,0,IPE
2007-08-14,35.5,35.61,35.5,35.58,1000,0.0,0,IPE
2007-08-15,35.64,35.67,35.53,35.53,9500,0.0,0,IPE
2007-08-16,35.71,35.72,35.64,35.67,6700,0.0,0,IPE
2007-08-17,35.66,35.78,35.66,35.78,900,0.0,0,IPE
2007-08-20,35.74,35.77,35.68,35.7,29700,0.0,0,IPE
2007-08-21,35.77,35.88,35.76,35.88,700,0.0,0,IPE
2007-08-22,35.72,35.83,35.72,35.83,1200,0.0,0,IPE
2007-08-23,35.83,35.9,35.64,35.87,4300,0.0,0,IPE
2007-08-24,35.98,35.98,35.8,35.8,4200,0.0,0,IPE
2007-08-27,36.1,36.1,35.91,35.93,2000,0.0,0,IPE
2007-08-28,35.94,35.98,35.94,35.98,400,0.0,0,IPE
2007-08-29,35.97,35.97,35.91,35.91,700,0.0,0,IPE
2007-08-30,36.01,36.02,35.98,36.0,3200,0.0,0,IPE
2007-08-31,36.02,36.4,36.02,36.4,12200,0.0,0,IPE
2007-09-04,36.03,36.03,35.92,36.0,5800,0.207,0,IPE
2007-09-05,36.09,36.23,36.09,36.23,8900,0.0,0,IPE
2007-09-06,36.23,36.23,36.05,36.05,2000,0.0,0,IPE
2007-09-07,36.31,36.55,36.31,36.49,5500,0.0,0,IPE
2007-09-10,36.49,36.71,36.49,36.69,3600,0.0,0,IPE
2007-09-11,36.7,36.72,36.62,36.67,1300,0.0,0,IPE
2007-09-12,36.61,36.67,36.6,36.67,1900,0.0,0,IPE
2007-09-13,36.35,36.35,36.35,36.35,100,0.0,0,IPE
2007-09-14,36.75,36.79,36.52,36.54,4300,0.0,0,IPE
2007-09-17,36.6,36.64,36.53,36.64,2800,0.0,0,IPE
2007-09-18,36.55,36.76,36.45,36.68,1700,0.0,0,IPE
2007-09-19,36.45,36.46,36.43,36.46,2300,0.0,0,IPE
2007-09-20,36.45,36.45,36.28,36.28,1700,0.0,0,IPE
2007-09-21,36.26,36.36,36.17,36.32,3200,0.0,0,IPE
2007-09-24,36.26,36.31,36.26,36.31,1200,0.0,0,IPE
2007-09-25,36.1,36.52,36.1,36.26,3700,0.0,0,IPE
2007-09-26,36.2,36.35,36.19,36.23,2700,0.0,0,IPE
2007-09-27,36.34,36.48,36.34,36.48,1800,0.0,0,IPE
2007-09-28,36.7,36.7,36.45,36.49,2400,0.0,0,IPE
2007-10-01,36.48,36.5,36.02,36.48,1800,0.077,0,IPE
2007-10-02,36.62,36.62,36.57,36.57,1400,0.0,0,IPE
2007-10-03,36.62,36.62,36.5,36.53,1500,0.0,0,IPE
2007-10-04,36.4,36.54,36.4,36.54,2000,0.0,0,IPE
2007-10-05,36.38,36.38,36.26,36.31,1900,0.0,0,IPE
2007-10-08,36.36,36.38,36.29,36.32,1000,0.0,0,IPE
2007-10-09,36.4,36.4,36.25,36.27,1600,0.0,0,IPE
2007-10-10,36.32,36.32,36.25,36.3,3400,0.0,0,IPE
2007-10-11,36.19,36.28,36.19,36.28,1800,0.0,0,IPE
2007-10-12,36.21,36.28,36.21,36.22,1200,0.0,0,IPE
