Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2008-01-10,12.69,12.69,12.69,12.69,0,0.0,0.0,MLN
2008-01-11,12.69,12.69,12.69,12.69,0,0.0,0.0,MLN
2008-01-14,12.69,12.69,12.69,12.69,0,0.0,0.0,MLN
2008-01-15,12.69,12.69,12.69,12.69,0,0.0,0.0,MLN
2008-01-16,12.79,12.81,12.79,12.79,2500,0.0,0.0,MLN
2008-01-17,12.79,12.79,12.79,12.79,0,0.0,0.0,MLN
2008-01-18,12.79,12.79,12.79,12.79,0,0.0,0.0,MLN
2008-01-22,12.79,12.79,12.79,12.79,0,0.0,0.0,MLN
2008-01-23,12.97,12.97,12.86,12.86,6000,0.0,0.0,MLN
2008-01-24,12.77,12.77,12.77,12.77,5000,0.0,0.0,MLN
2008-01-25,12.65,12.69,12.65,12.69,1000,0.0,0.0,MLN
2008-01-28,12.65,12.66,12.65,12.66,1000,0.0,0.0,MLN
2008-01-29,12.66,12.66,12.66,12.66,0,0.0,0.0,MLN
2008-01-30,12.66,12.66,12.66,12.66,0,0.0,0.0,MLN
2008-01-31,12.6,12.67,12.6,12.67,2000,0.0,0.0,MLN
2008-02-01,12.71,12.71,12.71,12.71,0,0.0598,0.0,MLN
2008-02-04,12.67,12.67,12.64,12.67,5500,0.0,0.0,MLN
2008-02-05,12.7,12.7,12.7,12.7,1000,0.0,0.0,MLN
2008-02-06,12.71,12.71,12.71,12.71,500,0.0,0.0,MLN
2008-02-07,12.7,12.7,12.7,12.7,1000,0.0,0.0,MLN
2008-02-08,12.71,12.71,12.71,12.71,2500,0.0,0.0,MLN
2008-02-11,12.71,12.71,12.71,12.71,5000,0.0,0.0,MLN
2008-02-12,12.71,12.71,12.71,12.71,1000,0.0,0.0,MLN
2008-02-13,12.7,12.7,12.69,12.7,5000,0.0,0.0,MLN
2008-02-14,12.7,12.7,12.7,12.7,0,0.0,0.0,MLN
2008-02-15,12.71,12.71,12.54,12.54,29000,0.0,0.0,MLN
2008-02-19,12.67,12.67,12.53,12.53,10500,0.0,0.0,MLN
2008-02-20,12.53,12.53,12.51,12.51,2000,0.0,0.0,MLN
2008-02-21,12.53,12.53,12.41,12.41,1500,0.0,0.0,MLN
2008-02-22,12.41,12.41,12.41,12.41,1500,0.0,0.0,MLN
2008-02-25,12.41,12.41,12.28,12.29,5500,0.0,0.0,MLN
2008-02-26,12.36,12.36,12.36,12.36,1000,0.0,0.0,MLN
2008-02-27,12.4,12.4,12.26,12.26,5000,0.0,0.0,MLN
2008-02-28,12.38,12.38,12.13,12.13,6000,0.0,0.0,MLN
2008-02-29,12.13,12.13,11.78,11.78,21500,0.0,0.0,MLN
2008-03-03,12.07,12.11,11.96,12.05,32000,0.0724,0.0,MLN
2008-03-04,12.08,12.08,11.89,11.89,24500,0.0,0.0,MLN
2008-03-05,11.95,11.96,11.94,11.95,15500,0.0,0.0,MLN
2008-03-06,11.96,12.02,11.95,11.99,213500,0.0,0.0,MLN
2008-03-07,12.32,12.32,11.95,12.09,171500,0.0,0.0,MLN
2008-03-10,12.18,12.23,12.04,12.12,244000,0.0,0.0,MLN
2008-03-11,12.08,12.08,12.02,12.02,68000,0.0,0.0,MLN
2008-03-12,12.0,12.0,11.89,11.98,98500,0.0,0.0,MLN
2008-03-13,12.0,12.0,11.99,11.99,30500,0.0,0.0,MLN
2008-03-14,12.0,12.01,11.92,11.98,91000,0.0,0.0,MLN
2008-03-17,11.89,11.95,11.83,11.95,53500,0.0,0.0,MLN
2008-03-18,11.93,11.93,11.9,11.93,15000,0.0,0.0,MLN
2008-03-19,11.95,12.03,11.93,12.03,31000,0.0,0.0,MLN
2008-03-20,11.98,12.04,11.98,12.04,30500,0.0,0.0,MLN
2008-03-24,12.04,12.04,11.94,12.0,30000,0.0,0.0,MLN
2008-03-25,11.99,11.99,11.99,11.99,7000,0.0,0.0,MLN
2008-03-26,12.0,12.0,11.97,11.98,19500,0.0,0.0,MLN
2008-03-27,11.98,11.98,11.92,11.95,10000,0.0,0.0,MLN
2008-03-28,11.95,12.02,11.95,11.99,57500,0.0,0.0,MLN
2008-03-31,11.98,12.0,11.97,12.0,19000,0.0,0.0,MLN
2008-04-01,12.02,12.03,11.93,11.96,27000,0.0696,0.0,MLN
2008-04-02,12.0,12.0,11.91,11.94,21000,0.0,0.0,MLN
2008-04-03,12.0,12.0,11.93,11.98,25500,0.0,0.0,MLN
2008-04-04,12.02,12.03,11.94,12.03,36500,0.0,0.0,MLN
2008-04-07,12.06,12.08,12.03,12.05,18500,0.0,0.0,MLN
2008-04-08,12.11,12.22,12.11,12.22,110500,0.0,0.0,MLN
2008-04-09,12.22,12.28,12.21,12.28,72500,0.0,0.0,MLN
2008-04-10,12.5,12.5,12.41,12.41,16000,0.0,0.0,MLN
2008-04-11,12.47,12.47,12.33,12.33,13000,0.0,0.0,MLN
2008-04-14,12.46,12.46,12.37,12.38,16500,0.0,0.0,MLN
2008-04-15,12.39,12.39,12.32,12.33,10000,0.0,0.0,MLN
2008-04-16,12.43,12.43,12.16,12.27,38000,0.0,0.0,MLN
2008-04-17,12.27,12.27,12.16,12.22,47000,0.0,0.0,MLN
2008-04-18,12.32,12.32,12.13,12.13,17500,0.0,0.0,MLN
2008-04-21,12.24,12.24,12.13,12.13,24500,0.0,0.0,MLN
2008-04-22,12.24,12.24,12.16,12.21,13500,0.0,0.0,MLN
2008-04-23,12.24,12.24,12.22,12.22,25000,0.0,0.0,MLN
2008-04-24,12.24,12.24,12.2,12.24,10500,0.0,0.0,MLN
2008-04-25,12.23,12.23,12.16,12.22,9500,0.0,0.0,MLN
2008-04-28,12.27,12.27,12.25,12.25,7500,0.0,0.0,MLN
2008-04-29,12.25,12.28,12.24,12.28,28000,0.0,0.0,MLN
2008-04-30,12.25,12.27,12.25,12.25,6500,0.0,0.0,MLN
2008-05-01,12.29,12.29,12.29,12.29,11000,0.0556,0.0,MLN
2008-05-02,12.22,12.22,12.22,12.22,7500,0.0,0.0,MLN
2008-05-05,12.28,12.28,12.24,12.24,14000,0.0,0.0,MLN
2008-05-06,12.27,12.27,12.25,12.25,3500,0.0,0.0,MLN
2008-05-07,12.25,12.25,12.19,12.19,3500,0.0,0.0,MLN
2008-05-08,12.26,12.27,12.26,12.27,36500,0.0,0.0,MLN
