Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2007-10-18,15.56,15.56,15.54,15.54,1700,0.0,0,PZA
2007-10-19,15.56,15.62,15.56,15.62,15200,0.0,0,PZA
2007-10-22,15.64,15.65,15.64,15.64,11700,0.0,0,PZA
2007-10-23,15.7,15.7,15.65,15.65,6100,0.0,0,PZA
2007-10-24,15.66,15.69,15.66,15.67,17000,0.0,0,PZA
2007-10-25,15.75,15.75,15.62,15.62,3300,0.0,0,PZA
2007-10-26,15.6,15.6,15.55,15.6,30000,0.0,0,PZA
2007-10-29,15.6,15.6,15.57,15.6,6300,0.0,0,PZA
2007-10-30,15.58,15.58,15.55,15.55,2500,0.0,0,PZA
2007-10-31,15.51,15.51,15.39,15.42,4700,0.0,0,PZA
2007-11-01,15.52,15.52,15.51,15.51,10000,0.0,0,PZA
2007-11-02,15.51,15.51,15.51,15.51,400,0.0,0,PZA
2007-11-05,15.52,15.52,15.44,15.44,5500,0.0,0,PZA
2007-11-06,15.42,15.45,15.42,15.45,8500,0.0,0,PZA
2007-11-07,15.46,15.46,15.31,15.33,4200,0.0,0,PZA
2007-11-08,15.33,15.38,15.3,15.38,9100,0.0,0,PZA
2007-11-09,15.36,15.36,15.36,15.36,2400,0.0,0,PZA
2007-11-12,15.39,15.39,15.39,15.39,800,0.0,0,PZA
2007-11-13,15.39,15.39,15.36,15.39,8100,0.0,0,PZA
2007-11-14,15.39,15.48,15.2,15.2,15400,0.0,0,PZA
2007-11-15,15.48,15.48,15.45,15.45,4300,0.092,0,PZA
2007-11-16,15.47,15.47,15.37,15.38,4800,0.0,0,PZA
2007-11-19,15.41,15.41,15.27,15.27,2600,0.0,0,PZA
2007-11-20,15.38,15.5,15.37,15.37,5300,0.0,0,PZA
2007-11-21,15.57,15.58,15.41,15.41,8300,0.0,0,PZA
2007-11-23,15.48,15.48,15.44,15.45,8700,0.0,0,PZA
2007-11-26,15.51,15.54,15.45,15.52,13400,0.0,0,PZA
2007-11-27,15.55,15.55,15.53,15.53,5100,0.0,0,PZA
2007-11-28,15.56,15.56,15.5,15.5,6900,0.0,0,PZA
2007-11-29,15.56,15.59,15.55,15.55,15100,0.0,0,PZA
2007-11-30,15.6,15.6,15.49,15.54,14500,0.0,0,PZA
2007-12-03,15.63,15.63,15.59,15.61,12600,0.0,0,PZA
2007-12-04,15.6,15.6,15.56,15.6,13200,0.0,0,PZA
2007-12-05,15.66,15.66,15.6,15.6,20700,0.0,0,PZA
2007-12-06,15.58,15.58,15.54,15.54,13000,0.0,0,PZA
2007-12-07,15.51,15.51,15.41,15.41,13600,0.0,0,PZA
2007-12-10,15.44,15.54,15.43,15.51,7200,0.0,0,PZA
2007-12-11,15.56,15.57,15.37,15.54,3800,0.0,0,PZA
2007-12-12,15.49,15.49,15.43,15.48,10700,0.0,0,PZA
2007-12-13,15.49,15.51,15.46,15.51,11700,0.0,0,PZA
2007-12-14,15.56,15.58,15.45,15.47,32000,0.143,0,PZA
2007-12-17,15.62,15.62,15.53,15.56,12800,0.0,0,PZA
2007-12-18,15.56,15.62,15.56,15.62,16000,0.0,0,PZA
2007-12-19,15.6,15.63,15.52,15.62,29500,0.0,0,PZA
2007-12-20,15.52,15.63,15.47,15.6,7500,0.0,0,PZA
2007-12-21,15.61,15.63,15.37,15.58,9700,0.0,0,PZA
2007-12-24,15.53,15.63,15.53,15.57,15500,0.0,0,PZA
2007-12-26,15.49,15.68,15.49,15.6,29700,0.0,0,PZA
2007-12-27,15.55,15.65,14.69,15.5,30300,0.0,0,PZA
2007-12-28,15.53,15.64,15.25,15.64,11400,0.0,0,PZA
2007-12-31,15.64,15.67,15.62,15.66,12600,0.0,0,PZA
2008-01-02,15.65,15.73,15.44,15.73,12400,0.0,0,PZA
2008-01-03,15.72,15.76,15.72,15.76,9400,0.0,0,PZA
2008-01-04,15.75,15.8,15.75,15.79,8600,0.0,0,PZA
2008-01-07,15.78,15.84,15.78,15.84,5500,0.0,0,PZA
2008-01-08,15.87,15.88,15.83,15.85,13000,0.0,0,PZA
2008-01-09,15.87,15.92,15.63,15.77,58200,0.0,0,PZA
2008-01-10,16.06,16.06,15.81,15.86,58500,0.0,0,PZA
2008-01-11,15.81,15.88,15.8,15.85,19000,0.0,0,PZA
2008-01-14,15.85,15.87,15.83,15.87,24700,0.0,0,PZA
2008-01-15,15.85,16.05,15.85,15.95,37700,0.09,0,PZA
2008-01-16,15.95,15.99,15.95,15.96,45000,0.0,0,PZA
2008-01-17,15.91,16.06,15.91,16.06,844000,0.0,0,PZA
2008-01-18,15.94,15.94,15.87,15.91,17200,0.0,0,PZA
2008-01-22,15.96,16.0,15.8,15.98,23000,0.0,0,PZA
2008-01-23,16.03,16.03,15.9,15.9,63700,0.0,0,PZA
2008-01-24,16.04,16.04,15.76,15.81,36900,0.0,0,PZA
2008-01-25,15.74,15.81,15.7,15.78,38100,0.0,0,PZA
2008-01-28,15.8,15.93,15.6,15.71,35800,0.0,0,PZA
2008-01-29,15.67,15.68,15.62,15.67,24600,0.0,0,PZA
2008-01-30,15.59,15.69,15.15,15.58,34700,0.0,0,PZA
2008-01-31,15.53,15.59,15.37,15.44,31000,0.0,0,PZA
2008-02-01,15.4,15.5,15.4,15.43,33200,0.0,0,PZA
