Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2007-10-11,15.65,15.68,15.65,15.68,12000,0.0,0,PZT
2007-10-12,15.66,15.66,15.65,15.65,19400,0.0,0,PZT
2007-10-15,15.65,15.65,15.65,15.65,0,0.0,0,PZT
2007-10-16,15.67,15.67,14.87,15.47,4700,0.0,0,PZT
2007-10-17,15.59,15.6,15.47,15.6,1200,0.0,0,PZT
2007-10-18,15.6,15.6,15.6,15.6,0,0.0,0,PZT
2007-10-19,15.79,15.79,15.79,15.79,10400,0.0,0,PZT
2007-10-22,15.81,15.81,15.81,15.81,100,0.0,0,PZT
2007-10-23,15.82,15.82,15.81,15.81,300,0.0,0,PZT
2007-10-24,15.8,15.8,15.8,15.8,1500,0.0,0,PZT
2007-10-25,15.83,15.83,15.78,15.78,400,0.0,0,PZT
2007-10-26,15.82,15.82,15.75,15.75,20800,0.0,0,PZT
2007-10-29,15.79,15.79,15.77,15.79,11100,0.0,0,PZT
2007-10-30,15.74,15.74,15.74,15.74,2300,0.0,0,PZT
2007-10-31,15.72,15.72,15.67,15.67,2500,0.0,0,PZT
2007-11-01,15.72,15.72,15.72,15.72,4200,0.0,0,PZT
2007-11-02,15.69,15.69,15.69,15.69,100,0.0,0,PZT
2007-11-05,15.68,15.68,15.47,15.68,4500,0.0,0,PZT
2007-11-06,15.65,15.65,15.65,15.65,500,0.0,0,PZT
2007-11-07,15.66,15.66,15.6,15.6,400,0.0,0,PZT
2007-11-08,15.6,15.66,15.53,15.66,1100,0.0,0,PZT
2007-11-09,15.64,15.64,15.57,15.57,500,0.0,0,PZT
2007-11-12,15.57,15.57,15.57,15.57,0,0.0,0,PZT
2007-11-13,15.6,15.63,15.6,15.63,500,0.0,0,PZT
2007-11-14,15.69,15.69,15.69,15.69,100,0.0,0,PZT
2007-11-15,15.75,15.75,15.75,15.75,100,0.092,0,PZT
2007-11-16,15.62,15.62,15.62,15.62,100,0.0,0,PZT
2007-11-19,15.65,15.65,15.52,15.52,1400,0.0,0,PZT
2007-11-20,15.62,15.62,15.62,15.62,400,0.0,0,PZT
2007-11-21,15.78,15.78,15.72,15.73,4200,0.0,0,PZT
2007-11-23,15.73,15.73,15.73,15.73,0,0.0,0,PZT
2007-11-26,15.67,15.69,15.67,15.69,200,0.0,0,PZT
2007-11-27,15.77,15.77,15.71,15.71,2200,0.0,0,PZT
2007-11-28,15.69,15.71,15.69,15.71,6200,0.0,0,PZT
2007-11-29,15.78,15.78,15.78,15.78,4000,0.0,0,PZT
2007-11-30,15.77,15.77,15.77,15.77,1300,0.0,0,PZT
2007-12-03,15.77,15.77,15.77,15.77,0,0.0,0,PZT
2007-12-04,15.77,15.78,15.74,15.74,14000,0.0,0,PZT
2007-12-05,15.74,15.74,15.74,15.74,0,0.0,0,PZT
2007-12-06,15.72,15.72,15.72,15.72,7000,0.0,0,PZT
2007-12-07,15.66,15.66,15.66,15.66,1500,0.0,0,PZT
2007-12-10,15.65,15.75,15.59,15.72,5400,0.0,0,PZT
2007-12-11,15.78,15.81,15.72,15.81,12500,0.0,0,PZT
2007-12-12,15.77,15.81,15.55,15.81,2900,0.0,0,PZT
2007-12-13,15.73,15.73,15.69,15.69,1100,0.0,0,PZT
2007-12-14,15.83,15.83,15.69,15.73,4800,0.143,0,PZT
2007-12-17,15.8,15.8,15.8,15.8,100,0.0,0,PZT
2007-12-18,15.87,15.87,15.83,15.85,1800,0.0,0,PZT
2007-12-19,15.49,15.82,15.49,15.82,900,0.0,0,PZT
2007-12-20,15.79,15.8,15.79,15.8,8200,0.0,0,PZT
2007-12-21,15.81,15.81,15.78,15.78,5600,0.0,0,PZT
2007-12-24,15.8,15.8,15.8,15.8,100,0.0,0,PZT
