Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2013-06-04,20.62,20.62,20.62,20.62,100,0.0,0,RVNU
2013-06-05,20.62,20.62,20.62,20.62,0,0.0,0,RVNU
2013-06-06,20.65,20.65,20.64,20.64,1600,0.0,0,RVNU
2013-06-07,20.64,20.64,20.64,20.64,0,0.0,0,RVNU
2013-06-10,20.64,20.64,20.64,20.64,0,0.0,0,RVNU
2013-06-11,20.47,20.47,20.47,20.47,2200,0.0,0,RVNU
2013-06-12,20.27,20.27,20.27,20.27,400,0.0,0,RVNU
2013-06-13,20.27,20.27,20.27,20.27,0,0.0,0,RVNU
2013-06-14,20.2,20.27,20.2,20.21,3800,0.0,0,RVNU
2013-06-17,20.27,20.27,20.23,20.23,1000,0.0,0,RVNU
2013-06-18,20.23,20.42,20.16,20.16,11500,0.0,0,RVNU
2013-06-19,20.09,20.09,20.09,20.09,100,0.0,0,RVNU
2013-06-20,20.0,20.0,19.88,19.88,4800,0.0,0,RVNU
2013-06-21,19.54,19.58,19.44,19.58,7200,0.0,0,RVNU
2013-06-24,19.24,19.24,19.24,19.24,1100,0.0,0,RVNU
2013-06-25,18.9,18.9,18.9,18.9,100,0.0,0,RVNU
2013-06-26,18.98,18.99,18.97,18.99,12100,0.0,0,RVNU
2013-06-27,19.32,19.32,19.23,19.23,2500,0.0,0,RVNU
2013-06-28,19.25,19.25,19.2,19.2,1800,0.0,0,RVNU
2013-07-01,19.14,19.14,19.14,19.14,1100,0.027,0,RVNU
2013-07-02,19.17,19.21,19.17,19.21,1500,0.0,0,RVNU
2013-07-03,19.21,19.21,19.21,19.21,0,0.0,0,RVNU
2013-07-05,19.21,19.21,19.21,19.21,0,0.0,0,RVNU
2013-07-08,19.21,19.21,19.21,19.21,0,0.0,0,RVNU
2013-07-09,19.17,19.19,19.01,19.01,400,0.0,0,RVNU
2013-07-10,19.01,19.01,19.01,19.01,0,0.0,0,RVNU
2013-07-11,19.01,19.01,19.01,19.01,0,0.0,0,RVNU
2013-07-12,19.01,19.01,19.01,19.01,0,0.0,0,RVNU
2013-07-15,19.03,19.03,19.03,19.03,900,0.0,0,RVNU
2013-07-16,19.03,19.03,19.03,19.03,0,0.0,0,RVNU
2013-07-17,19.0,19.0,18.91,18.91,600,0.0,0,RVNU
2013-07-18,18.98,19.0,18.95,19.0,500,0.0,0,RVNU
2013-07-19,19.0,19.0,19.0,19.0,0,0.0,0,RVNU
2013-07-22,19.0,19.0,19.0,19.0,0,0.0,0,RVNU
2013-07-23,18.81,18.81,18.81,18.81,100,0.0,0,RVNU
2013-07-24,18.71,18.78,18.6,18.6,2400,0.0,0,RVNU
2013-07-25,18.6,18.6,18.6,18.6,100,0.0,0,RVNU
2013-07-26,18.64,18.74,18.64,18.74,1100,0.0,0,RVNU
2013-07-29,18.99,18.99,18.99,18.99,300,0.0,0,RVNU
2013-07-30,18.99,18.99,18.99,18.99,0,0.0,0,RVNU
2013-07-31,18.99,18.99,18.99,18.99,0,0.0,0,RVNU
2013-08-01,18.85,18.85,18.85,18.85,600,0.07,0,RVNU
2013-08-02,18.85,18.85,18.85,18.85,0,0.0,0,RVNU
2013-08-05,18.71,18.71,18.71,18.71,200,0.0,0,RVNU
2013-08-06,18.71,18.71,18.71,18.71,0,0.0,0,RVNU
2013-08-07,18.71,18.71,18.71,18.71,0,0.0,0,RVNU
2013-08-08,18.86,18.86,18.86,18.86,100,0.0,0,RVNU
2013-08-09,18.86,18.86,18.78,18.78,500,0.0,0,RVNU
2013-08-12,18.78,18.78,18.78,18.78,0,0.0,0,RVNU
2013-08-13,18.78,18.78,18.78,18.78,0,0.0,0,RVNU
2013-08-14,18.78,18.78,18.78,18.78,0,0.0,0,RVNU
2013-08-15,18.49,18.57,18.15,18.23,11500,0.0,0,RVNU
2013-08-16,18.2,18.2,18.2,18.2,500,0.0,0,RVNU
2013-08-19,18.28,18.28,18.28,18.28,200,0.0,0,RVNU
2013-08-20,18.23,18.23,17.93,17.93,2800,0.0,0,RVNU
2013-08-21,17.88,17.88,17.83,17.83,17600,0.0,0,RVNU
2013-08-22,18.24,18.24,18.05,18.05,400,0.0,0,RVNU
2013-08-23,18.16,18.16,18.16,18.16,200,0.0,0,RVNU
2013-08-26,18.04,18.04,18.04,18.04,1100,0.0,0,RVNU
2013-08-27,17.83,17.84,17.83,17.84,2300,0.0,0,RVNU
2013-08-28,18.48,18.48,17.95,17.95,3100,0.0,0,RVNU
2013-08-29,17.95,17.95,17.95,17.95,0,0.0,0,RVNU
2013-08-30,18.19,18.24,18.04,18.04,9100,0.0,0,RVNU
2013-09-03,17.95,17.99,17.95,17.95,1900,0.07,0,RVNU
2013-09-04,18.04,18.18,17.85,17.85,10000,0.0,0,RVNU
2013-09-05,17.88,17.88,17.7,17.7,14200,0.0,0,RVNU
2013-09-06,17.74,17.93,17.74,17.78,12900,0.0,0,RVNU
2013-09-09,17.89,17.89,17.8,17.8,12600,0.0,0,RVNU
2013-09-10,17.99,17.99,17.76,17.76,25000,0.0,0,RVNU
2013-09-11,18.0,18.0,17.82,17.83,24000,0.0,0,RVNU
2013-09-12,17.98,17.98,17.89,17.89,2400,0.0,0,RVNU
2013-09-13,18.2,18.27,18.11,18.15,12200,0.0,0,RVNU
2013-09-16,18.39,18.39,18.18,18.28,2100,0.0,0,RVNU
2013-09-17,18.24,18.24,18.16,18.23,2900,0.0,0,RVNU
2013-09-18,18.32,18.32,18.32,18.32,1300,0.0,0,RVNU
2013-09-19,18.47,18.53,18.47,18.47,3600,0.0,0,RVNU
2013-09-20,18.59,18.59,18.57,18.57,500,0.0,0,RVNU
2013-09-23,18.5,18.53,18.5,18.53,2600,0.0,0,RVNU
2013-09-24,18.57,18.57,18.42,18.45,8500,0.0,0,RVNU
2013-09-25,18.48,18.48,18.47,18.47,2500,0.0,0,RVNU
2013-09-26,18.52,19.09,18.52,19.0,108200,0.0,0,RVNU
2013-09-27,18.68,19.09,18.68,19.05,800,0.0,0,RVNU
2013-09-30,19.0,19.09,18.89,18.92,2500,0.0,0,RVNU
2013-10-01,18.98,18.98,18.87,18.87,2000,0.07,0,RVNU
2013-10-02,18.94,18.99,18.86,18.92,75700,0.0,0,RVNU
2013-10-03,18.92,18.92,18.92,18.92,0,0.0,0,RVNU
2013-10-04,18.95,18.95,18.95,18.95,300,0.0,0,RVNU
2013-10-07,18.95,18.95,18.95,18.95,0,0.0,0,RVNU
2013-10-08,18.97,18.97,18.97,18.97,500,0.0,0,RVNU
2013-10-09,18.93,18.93,18.92,18.92,3400,0.0,0,RVNU
