Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2010-08-05,42.95,43.01,42.95,43.0,5400,0.0,0,SCHR
2010-08-06,43.29,43.29,43.12,43.17,16600,0.0,0,SCHR
2010-08-09,43.16,43.16,43.15,43.16,14700,0.0,0,SCHR
2010-08-10,43.13,43.33,43.1,43.33,20600,0.0,0,SCHR
2010-08-11,43.42,43.47,43.39,43.44,31900,0.0,0,SCHR
2010-08-12,43.46,43.46,43.34,43.34,26200,0.0,0,SCHR
2010-08-13,43.39,43.43,43.37,43.43,20300,0.0,0,SCHR
2010-08-16,43.73,43.74,43.56,43.65,35500,0.0,0,SCHR
2010-08-17,43.57,43.57,43.47,43.52,22200,0.0,0,SCHR
2010-08-18,43.6,43.61,43.49,43.49,10200,0.0,0,SCHR
2010-08-19,43.48,43.64,43.48,43.62,160100,0.0,0,SCHR
2010-08-20,43.59,43.6,43.47,43.48,36500,0.0,0,SCHR
2010-08-23,43.48,43.55,43.47,43.53,37100,0.0,0,SCHR
2010-08-24,43.68,43.81,43.66,43.73,29100,0.0,0,SCHR
2010-08-25,43.86,43.86,43.62,43.62,21800,0.0,0,SCHR
2010-08-26,43.63,43.69,43.6,43.68,11200,0.0,0,SCHR
2010-08-27,43.6,43.68,43.39,43.39,25300,0.0,0,SCHR
2010-08-30,43.58,43.68,43.54,43.68,7500,0.0,0,SCHR
2010-08-31,43.79,43.8,43.74,43.8,8500,0.0,0,SCHR
2010-09-01,43.72,43.72,43.51,43.57,19100,0.031,0,SCHR
2010-09-02,43.54,43.54,43.5,43.5,2600,0.0,0,SCHR
2010-09-03,43.3,43.41,43.28,43.35,13900,0.0,0,SCHR
2010-09-07,43.51,43.59,43.49,43.59,14300,0.0,0,SCHR
2010-09-08,43.5,43.53,43.44,43.48,35100,0.0,0,SCHR
2010-09-09,43.36,43.36,43.22,43.22,32400,0.0,0,SCHR
2010-09-10,43.17,43.19,43.1,43.17,4700,0.0,0,SCHR
2010-09-13,43.17,43.35,43.17,43.35,17300,0.0,0,SCHR
2010-09-14,43.41,43.53,43.41,43.53,14500,0.0,0,SCHR
2010-09-15,43.5,43.55,43.4,43.41,13100,0.0,0,SCHR
2010-09-16,43.4,43.4,43.32,43.35,5600,0.0,0,SCHR
2010-09-17,43.4,43.42,43.39,43.41,2600,0.0,0,SCHR
2010-09-20,43.47,43.51,43.42,43.51,7500,0.0,0,SCHR
2010-09-21,43.6,43.77,43.56,43.77,13900,0.0,0,SCHR
2010-09-22,43.85,43.91,43.8,43.8,4700,0.0,0,SCHR
2010-09-23,43.9,43.92,43.78,43.78,20800,0.0,0,SCHR
2010-09-24,43.72,43.75,43.69,43.72,10400,0.0,0,SCHR
2010-09-27,43.78,43.9,43.78,43.9,5900,0.0,0,SCHR
2010-09-28,43.99,44.05,43.99,44.04,2000,0.0,0,SCHR
2010-09-29,44.03,44.03,43.96,43.96,13100,0.0,0,SCHR
2010-09-30,43.89,43.96,43.76,43.96,4900,0.0,0,SCHR
2010-10-01,43.84,43.98,43.84,43.96,9100,0.059,0,SCHR
2010-10-04,44.0,44.08,44.0,44.08,6400,0.0,0,SCHR
2010-10-05,44.11,44.13,44.09,44.11,6600,0.0,0,SCHR
2010-10-06,44.31,44.33,44.25,44.25,9000,0.0,0,SCHR
2010-10-07,44.3,44.3,44.27,44.29,3000,0.0,0,SCHR
2010-10-08,44.37,44.41,44.33,44.33,10600,0.0,0,SCHR
2010-10-11,44.44,44.44,44.36,44.37,3000,0.0,0,SCHR
2010-10-12,44.39,44.39,44.26,44.28,13000,0.0,0,SCHR
2010-10-13,44.19,44.26,44.17,44.26,6300,0.0,0,SCHR
2010-10-14,44.24,44.25,44.11,44.18,11100,0.0,0,SCHR
2010-10-15,44.12,44.14,44.01,44.07,9200,0.0,0,SCHR
2010-10-18,44.17,44.25,44.17,44.23,5900,0.0,0,SCHR
2010-10-19,44.18,44.32,44.18,44.3,17400,0.0,0,SCHR
2010-10-20,44.25,44.36,44.25,44.33,3600,0.0,0,SCHR
2010-10-21,44.24,44.25,44.18,44.18,9700,0.0,0,SCHR
2010-10-22,44.14,44.18,44.13,44.15,11600,0.0,0,SCHR
2010-10-25,44.27,44.28,44.13,44.14,15400,0.0,0,SCHR
2010-10-26,44.02,44.03,43.94,43.96,6200,0.0,0,SCHR
2010-10-27,43.84,43.85,43.74,43.74,29300,0.0,0,SCHR
2010-10-28,43.9,43.98,43.89,43.96,8600,0.0,0,SCHR
2010-10-29,44.04,44.15,44.04,44.13,29200,0.0,0,SCHR
2010-11-01,44.24,44.24,44.08,44.13,15600,0.057,0,SCHR
2010-11-02,44.15,44.21,44.15,44.19,18100,0.0,0,SCHR
2010-11-03,44.25,44.33,43.99,44.33,16700,0.0,0,SCHR
2010-11-04,44.5,44.57,44.47,44.55,18300,0.0,0,SCHR
2010-11-05,44.5,44.51,44.39,44.39,9300,0.0,0,SCHR
2010-11-08,44.4,44.43,44.32,44.36,16400,0.0,0,SCHR
2010-11-09,44.36,44.36,44.06,44.06,22600,0.0,0,SCHR
2010-11-10,44.08,44.2,43.76,44.18,24400,0.0,0,SCHR
2010-11-11,44.05,44.16,44.04,44.08,8500,0.0,0,SCHR
2010-11-12,44.04,44.08,43.82,43.83,78000,0.0,0,SCHR
2010-11-15,43.69,43.74,43.5,43.51,5600,0.0,0,SCHR
2010-11-16,43.63,43.63,43.43,43.63,2800,0.0,0,SCHR
2010-11-17,43.66,43.7,43.66,43.69,8300,0.0,0,SCHR
2010-11-18,43.54,43.54,43.39,43.5,15600,0.0,0,SCHR
2010-11-19,43.5,43.55,43.48,43.54,7700,0.0,0,SCHR
2010-11-22,43.63,43.74,43.61,43.74,9900,0.0,0,SCHR
2010-11-23,43.88,43.88,43.77,43.82,10300,0.0,0,SCHR
2010-11-24,43.69,43.69,43.4,43.41,19500,0.0,0,SCHR
2010-11-26,43.55,43.6,43.5,43.6,9500,0.0,0,SCHR
2010-11-29,43.63,43.69,43.58,43.64,20600,0.0,0,SCHR
2010-11-30,43.77,43.84,43.7,43.71,10900,0.0,0,SCHR
2010-12-01,43.44,43.46,43.32,43.33,17800,0.066,0,SCHR
2010-12-02,43.28,43.36,43.22,43.22,27000,0.0,0,SCHR
2010-12-03,43.47,43.48,43.3,43.32,6400,0.0,0,SCHR
2010-12-06,43.5,43.54,43.45,43.51,17100,0.0,0,SCHR
2010-12-07,43.3,43.3,42.95,42.99,25000,0.0,0,SCHR
2010-12-08,42.79,42.79,42.54,42.73,23400,0.0,0,SCHR
2010-12-09,42.77,42.77,42.61,42.71,11000,0.0,0,SCHR
2010-12-10,42.64,42.65,42.49,42.49,15900,0.0,0,SCHR
2010-12-13,42.45,42.67,42.43,42.62,11100,0.0,0,SCHR
2010-12-14,42.52,42.58,42.27,42.31,15500,0.0,0,SCHR
2010-12-15,42.4,42.44,42.14,42.22,19600,0.0,0,SCHR
2010-12-16,42.21,42.37,42.1,42.37,5500,0.0,0,SCHR
2010-12-17,42.43,42.61,42.43,42.59,17600,0.0,0,SCHR
2010-12-20,42.7,42.76,42.55,42.6,11400,0.0,0,SCHR
2010-12-21,42.65,42.65,42.52,42.6,7800,0.0,0,SCHR
2010-12-22,42.62,42.62,42.5,42.53,19000,0.0,0,SCHR
2010-12-23,42.49,42.49,42.4,42.44,13600,0.0,0,SCHR
2010-12-27,42.35,42.51,42.33,42.5,16100,0.0,0,SCHR
2010-12-28,42.49,42.49,42.21,42.21,9200,0.0,0,SCHR
2010-12-29,42.25,42.6,42.22,42.59,10300,0.066,0,SCHR
2010-12-30,42.5,42.51,42.44,42.51,4500,0.0,0,SCHR
2010-12-31,42.5,42.63,42.5,42.62,5400,0.0,0,SCHR
2011-01-03,42.53,42.63,42.46,42.63,12100,0.0,0,SCHR
2011-01-04,42.65,42.71,42.62,42.62,4000,0.0,0,SCHR
2011-01-05,42.46,42.46,42.29,42.37,17200,0.0,0,SCHR
2011-01-06,42.43,42.48,42.43,42.44,3800,0.0,0,SCHR
2011-01-07,42.53,42.77,42.53,42.69,6500,0.0,0,SCHR
2011-01-10,42.78,42.84,42.76,42.84,7700,0.0,0,SCHR
2011-01-11,42.83,42.83,42.69,42.76,7600,0.0,0,SCHR
2011-01-12,42.6,42.68,42.56,42.68,3400,0.0,0,SCHR
2011-01-13,42.71,42.85,42.7,42.85,10100,0.0,0,SCHR
2011-01-14,42.9,42.95,42.8,42.81,25100,0.0,0,SCHR
2011-01-18,42.77,42.77,42.65,42.71,10100,0.0,0,SCHR
2011-01-19,42.71,42.82,42.71,42.78,4900,0.0,0,SCHR
2011-01-20,42.69,42.69,42.51,42.59,11000,0.0,0,SCHR
2011-01-21,42.52,42.65,42.5,42.63,12400,0.0,0,SCHR
2011-01-24,42.64,42.74,42.62,42.65,5600,0.0,0,SCHR
2011-01-25,42.7,42.86,42.68,42.83,4500,0.0,0,SCHR
2011-01-26,42.72,42.72,42.62,42.62,11300,0.0,0,SCHR
2011-01-27,42.7,42.76,42.63,42.76,4100,0.0,0,SCHR
2011-01-28,42.68,42.96,42.68,42.92,23300,0.0,0,SCHR
2011-01-31,42.92,42.94,42.81,42.82,16000,0.0,0,SCHR
2011-02-01,42.71,42.74,42.64,42.65,6200,0.073,0,SCHR
2011-02-02,42.72,42.72,42.52,42.57,7600,0.0,0,SCHR
2011-02-03,42.44,42.48,42.37,42.37,5900,0.0,0,SCHR
2011-02-04,42.31,42.31,42.15,42.16,27700,0.0,0,SCHR
2011-02-07,42.06,42.18,42.06,42.17,6500,0.0,0,SCHR
2011-02-08,42.15,42.16,41.99,41.99,7200,0.0,0,SCHR
2011-02-09,42.0,42.13,41.97,42.13,7400,0.0,0,SCHR
2011-02-10,42.05,42.07,41.94,41.97,72700,0.0,0,SCHR
2011-02-11,42.13,42.13,42.02,42.07,8000,0.0,0,SCHR
2011-02-14,42.06,42.16,42.06,42.09,5600,0.0,0,SCHR
2011-02-15,42.14,42.14,42.12,42.14,6100,0.0,0,SCHR
2011-02-16,42.13,42.18,42.06,42.13,10000,0.0,0,SCHR
2011-02-17,42.27,42.27,42.19,42.26,9200,0.0,0,SCHR
2011-02-18,42.19,42.26,42.17,42.24,2000,0.0,0,SCHR
2011-02-22,42.43,42.56,42.37,42.56,9500,0.0,0,SCHR
2011-02-23,42.58,42.58,42.45,42.48,24600,0.0,0,SCHR
2011-02-24,42.58,42.62,42.54,42.54,4500,0.0,0,SCHR
2011-02-25,42.57,42.62,42.57,42.6,2000,0.0,0,SCHR
2011-02-28,42.67,42.7,42.64,42.68,10000,0.0,0,SCHR
2011-03-01,42.53,42.72,42.53,42.72,19600,0.069,0,SCHR
2011-03-02,42.69,42.74,42.57,42.57,15400,0.0,0,SCHR
