Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2011-12-01,27.42,27.42,27.41,27.41,2600,0.0,0,SPTS
2011-12-02,27.41,27.41,27.41,27.41,0,0.0,0,SPTS
2011-12-05,27.38,27.38,27.38,27.38,3100,0.0,0,SPTS
2011-12-06,27.38,27.38,27.38,27.38,0,0.0,0,SPTS
2011-12-07,27.4,27.41,27.4,27.41,3500,0.0,0,SPTS
2011-12-08,27.41,27.41,27.41,27.41,3000,0.0,0,SPTS
2011-12-09,27.41,27.41,27.41,27.41,0,0.0,0,SPTS
2011-12-12,27.41,27.41,27.41,27.41,0,0.0,0,SPTS
2011-12-13,27.41,27.41,27.41,27.41,0,0.0,0,SPTS
2011-12-14,27.41,27.41,27.41,27.41,0,0.0,0,SPTS
2011-12-15,27.41,27.41,27.41,27.41,0,0.0,0,SPTS
2011-12-16,27.41,27.41,27.41,27.41,0,0.0,0,SPTS
2011-12-19,27.41,27.41,27.41,27.41,0,0.0,0,SPTS
2011-12-20,27.41,27.41,27.41,27.41,0,0.0,0,SPTS
2011-12-21,27.41,27.41,27.41,27.41,0,0.0,0,SPTS
2011-12-22,27.41,27.41,27.41,27.41,0,0.0,0,SPTS
2011-12-23,27.41,27.41,27.41,27.41,0,0.0,0,SPTS
2011-12-27,27.43,27.43,27.43,27.43,20000,0.0,0,SPTS
2011-12-28,27.43,27.43,27.43,27.43,0,0.006,0,SPTS
2011-12-29,27.43,27.43,27.43,27.43,0,0.0,0,SPTS
2011-12-30,27.43,27.43,27.43,27.43,0,0.0,0,SPTS
2012-01-03,28.06,28.08,27.56,27.56,1900,0.0,0,SPTS
2012-01-04,27.56,27.56,27.56,27.56,0,0.0,0,SPTS
2012-01-05,27.56,27.56,27.56,27.56,0,0.0,0,SPTS
2012-01-06,27.41,27.41,27.41,27.41,100,0.0,0,SPTS
2012-01-09,27.42,27.43,27.42,27.43,500,0.0,0,SPTS
2012-01-10,27.48,27.48,27.43,27.43,24900,0.0,0,SPTS
2012-01-11,27.5,27.5,27.44,27.44,700,0.0,0,SPTS
2012-01-12,27.44,27.44,27.44,27.44,0,0.0,0,SPTS
2012-01-13,27.44,27.44,27.44,27.44,0,0.0,0,SPTS
2012-01-17,27.44,27.44,27.44,27.44,0,0.0,0,SPTS
2012-01-18,27.46,27.46,27.46,27.46,600,0.0,0,SPTS
2012-01-19,27.46,27.46,27.46,27.46,0,0.0,0,SPTS
2012-01-20,27.46,27.46,27.46,27.46,0,0.0,0,SPTS
2012-01-23,27.46,27.46,27.46,27.46,0,0.0,0,SPTS
2012-01-24,27.46,27.46,27.46,27.46,0,0.0,0,SPTS
2012-01-25,27.46,27.46,27.46,27.46,0,0.0,0,SPTS
2012-01-26,27.51,27.51,27.51,27.51,200,0.0,0,SPTS
2012-01-27,27.51,27.51,27.51,27.51,0,0.0,0,SPTS
2012-01-30,27.51,27.51,27.51,27.51,0,0.0,0,SPTS
2012-01-31,27.51,27.51,27.51,27.51,0,0.0,0,SPTS
2012-02-01,27.51,27.51,27.51,27.51,800,0.008,0,SPTS
2012-02-02,27.51,27.52,27.51,27.52,1000,0.0,0,SPTS
2012-02-03,27.48,27.48,27.46,27.46,900,0.0,0,SPTS
2012-02-06,27.46,27.46,27.46,27.46,0,0.0,0,SPTS
2012-02-07,27.46,27.46,27.46,27.46,0,0.0,0,SPTS
2012-02-08,27.46,27.46,27.46,27.46,0,0.0,0,SPTS
2012-02-09,27.44,27.46,27.43,27.44,7300,0.0,0,SPTS
2012-02-10,27.44,27.5,27.44,27.47,1900,0.0,0,SPTS
2012-02-13,27.47,27.47,27.47,27.47,0,0.0,0,SPTS
2012-02-14,27.47,27.47,27.47,27.47,0,0.0,0,SPTS
2012-02-15,27.47,27.47,27.47,27.47,0,0.0,0,SPTS
2012-02-16,27.47,27.47,27.47,27.47,1100,0.0,0,SPTS
2012-02-17,27.41,27.41,27.41,27.41,1600,0.0,0,SPTS
2012-02-21,27.41,27.41,27.41,27.41,0,0.0,0,SPTS
2012-02-22,27.47,27.47,27.43,27.47,5000,0.0,0,SPTS
2012-02-23,27.47,27.47,27.47,27.47,0,0.0,0,SPTS
2012-02-24,27.41,27.41,27.41,27.41,200,0.0,0,SPTS
2012-02-27,27.41,27.41,27.41,27.41,0,0.0,0,SPTS
2012-02-28,27.41,27.41,27.41,27.41,0,0.0,0,SPTS
2012-02-29,27.48,27.48,27.48,27.48,1300,0.0,0,SPTS
2012-03-01,27.48,27.48,27.48,27.48,700,0.008,0,SPTS
2012-03-02,27.48,27.48,27.48,27.48,0,0.0,0,SPTS
2012-03-05,27.48,27.48,27.48,27.48,0,0.0,0,SPTS
2012-03-06,27.48,27.48,27.48,27.48,0,0.0,0,SPTS
2012-03-07,27.37,27.43,27.36,27.42,8400,0.0,0,SPTS
2012-03-08,27.41,27.42,27.35,27.41,9400,0.0,0,SPTS
2012-03-09,27.4,27.41,27.38,27.38,6200,0.0,0,SPTS
2012-03-12,27.39,27.46,27.39,27.39,5800,0.0,0,SPTS
2012-03-13,27.36,27.39,27.35,27.39,1000,0.0,0,SPTS
2012-03-14,27.31,27.39,27.28,27.39,4000,0.0,0,SPTS
2012-03-15,27.3,27.31,27.3,27.31,1800,0.0,0,SPTS
2012-03-16,27.31,27.31,27.31,27.31,0,0.0,0,SPTS
2012-03-19,27.28,27.28,27.28,27.28,100,0.0,0,SPTS
2012-03-20,27.27,27.28,27.27,27.28,800,0.0,0,SPTS
2012-03-21,27.28,27.28,27.28,27.28,0,0.0,0,SPTS
2012-03-22,27.38,27.38,27.34,27.38,2000,0.0,0,SPTS
2012-03-23,27.38,27.38,27.38,27.38,0,0.0,0,SPTS
2012-03-26,27.39,27.39,27.33,27.39,7000,0.0,0,SPTS
2012-03-27,27.37,27.41,27.37,27.41,1500,0.0,0,SPTS
2012-03-28,27.41,27.41,27.41,27.41,0,0.0,0,SPTS
2012-03-29,27.42,27.42,27.42,27.42,1200,0.0,0,SPTS
2012-03-30,27.42,27.42,27.42,27.42,0,0.0,0,SPTS
2012-04-02,27.41,27.42,27.41,27.42,200,0.009,0,SPTS
2012-04-03,27.48,27.5,27.38,27.38,13700,0.0,0,SPTS
2012-04-04,27.38,27.38,27.38,27.38,0,0.0,0,SPTS
2012-04-05,27.4,27.4,27.4,27.4,14000,0.0,0,SPTS
2012-04-09,27.4,27.4,27.4,27.4,0,0.0,0,SPTS
2012-04-10,27.4,27.4,27.4,27.4,0,0.0,0,SPTS
2012-04-11,27.46,27.47,27.46,27.47,200,0.0,0,SPTS
2012-04-12,27.35,27.42,27.35,27.42,700,0.0,0,SPTS
2012-04-13,27.42,27.42,27.42,27.42,0,0.0,0,SPTS
2012-04-16,27.42,27.42,27.42,27.42,0,0.0,0,SPTS
2012-04-17,27.42,27.42,27.42,27.42,0,0.0,0,SPTS
2012-04-18,27.42,27.42,27.42,27.42,0,0.0,0,SPTS
2012-04-19,27.43,27.43,27.43,27.43,4600,0.0,0,SPTS
2012-04-20,27.43,27.43,27.43,27.43,0,0.0,0,SPTS
2012-04-23,27.5,27.52,27.5,27.52,5300,0.0,0,SPTS
2012-04-24,27.52,27.52,27.52,27.52,0,0.0,0,SPTS
2012-04-25,27.48,27.49,27.48,27.49,400,0.0,0,SPTS
2012-04-26,27.53,27.53,27.53,27.53,8700,0.0,0,SPTS
2012-04-27,27.53,27.53,27.53,27.53,0,0.0,0,SPTS
2012-04-30,27.52,27.52,27.48,27.52,1000,0.0,0,SPTS
2012-05-01,27.53,27.53,27.53,27.53,0,0.009,0,SPTS
2012-05-02,27.51,27.51,27.48,27.48,4000,0.0,0,SPTS
2012-05-03,27.53,27.53,27.53,27.53,800,0.0,0,SPTS
2012-05-04,27.54,27.54,27.54,27.54,200,0.0,0,SPTS
2012-05-07,27.56,27.56,27.56,27.56,3700,0.0,0,SPTS
2012-05-08,27.52,27.52,27.52,27.52,200,0.0,0,SPTS
2012-05-09,27.57,27.57,27.57,27.57,200,0.0,0,SPTS
2012-05-10,27.57,27.57,27.57,27.57,0,0.0,0,SPTS
2012-05-11,27.57,27.57,27.57,27.57,0,0.0,0,SPTS
2012-05-14,27.57,27.57,27.57,27.57,0,0.0,0,SPTS
2012-05-15,27.57,27.57,27.57,27.57,0,0.0,0,SPTS
2012-05-16,27.47,27.47,27.47,27.47,400,0.0,0,SPTS
2012-05-17,27.54,27.54,27.54,27.54,1300,0.0,0,SPTS
2012-05-18,27.55,27.55,27.55,27.55,200,0.0,0,SPTS
2012-05-21,27.55,27.55,27.55,27.55,0,0.0,0,SPTS
2012-05-22,27.48,27.48,27.48,27.48,100,0.0,0,SPTS
2012-05-23,27.48,27.48,27.48,27.48,0,0.0,0,SPTS
2012-05-24,27.53,27.53,27.53,27.53,200,0.0,0,SPTS
2012-05-25,27.55,27.55,27.55,27.55,1600,0.0,0,SPTS
2012-05-29,27.45,27.45,27.45,27.45,100,0.0,0,SPTS
2012-05-30,27.56,27.56,27.56,27.56,500,0.0,0,SPTS
2012-05-31,27.58,27.58,27.58,27.58,700,0.0,0,SPTS
2012-06-01,27.59,27.59,27.59,27.59,0,0.009,0,SPTS
2012-06-04,27.59,27.59,27.59,27.59,0,0.0,0,SPTS
2012-06-05,27.59,27.59,27.59,27.59,0,0.0,0,SPTS
2012-06-06,27.59,27.59,27.59,27.59,0,0.0,0,SPTS
2012-06-07,27.59,27.59,27.59,27.59,0,0.0,0,SPTS
2012-06-08,27.59,27.59,27.59,27.59,0,0.0,0,SPTS
2012-06-11,27.59,27.59,27.59,27.59,0,0.0,0,SPTS
2012-06-12,27.57,27.57,27.57,27.57,16800,0.0,0,SPTS
2012-06-13,27.51,27.53,27.46,27.46,1500,0.0,0,SPTS
2012-06-14,27.46,27.46,27.46,27.46,0,0.0,0,SPTS
2012-06-15,27.56,27.56,27.56,27.56,1200,0.0,0,SPTS
2012-06-18,27.56,27.56,27.56,27.56,0,0.0,0,SPTS
2012-06-19,27.56,27.56,27.56,27.56,0,0.0,0,SPTS
2012-06-20,27.56,27.56,27.56,27.56,0,0.0,0,SPTS
2012-06-21,27.56,27.56,27.56,27.56,0,0.0,0,SPTS
2012-06-22,27.56,27.56,27.56,27.56,0,0.0,0,SPTS
2012-06-25,27.56,27.56,27.56,27.56,0,0.0,0,SPTS
