Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2002-07-30,43.48,43.56,43.36,43.36,6100,0.0,0,TLT
2002-07-31,43.59,44.04,43.56,43.9,29400,0.0,0,TLT
2002-08-01,43.9,44.16,43.9,44.15,25000,0.0,0,TLT
2002-08-02,44.23,44.73,44.08,44.6,52800,0.0,0,TLT
2002-08-05,44.7,44.91,44.6,44.79,61100,0.0,0,TLT
2002-08-06,44.61,44.62,44.26,44.41,64900,0.0,0,TLT
2002-08-07,44.46,44.75,44.34,44.52,40300,0.0,0,TLT
2002-08-08,44.45,44.56,44.34,44.52,40900,0.0,0,TLT
2002-08-09,44.68,45.15,44.68,45.15,35900,0.0,0,TLT
2002-08-12,45.37,46.11,45.28,45.42,32100,0.0,0,TLT
2002-08-13,45.62,45.99,45.41,45.98,75400,0.0,0,TLT
2002-08-14,46.52,46.75,46.14,46.16,130000,0.0,0,TLT
2002-08-15,45.94,46.01,45.66,45.75,87100,0.0,0,TLT
2002-08-16,45.98,46.02,45.11,45.24,85000,0.0,0,TLT
2002-08-19,45.24,45.39,45.06,45.38,47300,0.0,0,TLT
2002-08-20,45.54,45.9,45.53,45.88,40800,0.0,0,TLT
2002-08-21,45.57,45.79,45.54,45.64,40000,0.0,0,TLT
2002-08-22,45.5,45.5,45.24,45.24,34400,0.0,0,TLT
2002-08-23,45.32,45.71,45.32,45.69,20100,0.0,0,TLT
2002-08-26,45.58,45.85,45.57,45.73,23900,0.0,0,TLT
2002-08-27,45.42,45.57,45.32,45.44,301800,0.0,0,TLT
2002-08-28,45.76,45.84,45.66,45.67,18100,0.0,0,TLT
2002-08-29,46.15,46.2,45.93,46.04,135700,0.0,0,TLT
2002-08-30,46.14,46.34,45.98,46.32,78100,0.0,0,TLT
2002-09-03,46.51,47.03,46.47,47.03,102100,0.373,0,TLT
2002-09-04,47.02,47.17,46.92,47.02,66300,0.0,0,TLT
2002-09-05,47.31,47.35,46.68,47.27,648400,0.0,0,TLT
2002-09-06,46.99,47.11,46.58,46.72,140000,0.0,0,TLT
2002-09-09,46.74,46.92,46.61,46.65,83800,0.0,0,TLT
2002-09-10,46.56,47.01,46.47,46.87,336000,0.0,0,TLT
2002-09-11,46.47,46.63,46.34,46.63,177700,0.0,0,TLT
2002-09-12,46.73,47.08,46.72,46.99,43400,0.0,0,TLT
2002-09-13,47.18,47.51,47.1,47.42,155100,0.0,0,TLT
2002-09-16,47.65,47.66,47.49,47.5,73000,0.0,0,TLT
2002-09-17,47.35,47.71,47.2,47.59,75400,0.0,0,TLT
2002-09-18,47.63,47.84,47.55,47.6,196600,0.0,0,TLT
2002-09-19,47.91,47.95,47.68,47.93,109900,0.0,0,TLT
2002-09-20,47.78,47.82,47.57,47.7,113500,0.0,0,TLT
2002-09-23,48.07,48.2,47.95,48.13,163200,0.0,0,TLT
2002-09-24,48.23,48.58,48.19,48.44,251900,0.0,0,TLT
2002-09-25,48.13,48.27,47.68,47.85,127200,0.0,0,TLT
2002-09-26,47.57,47.82,47.33,47.74,429000,0.0,0,TLT
2002-09-27,47.82,48.1,47.8,48.1,298200,0.0,0,TLT
2002-09-30,48.43,48.56,48.12,48.29,297800,0.0,0,TLT
2002-10-01,47.81,47.88,47.61,47.69,257500,0.343,0,TLT
2002-10-02,47.85,47.98,47.64,47.96,91000,0.0,0,TLT
2002-10-03,47.88,48.0,47.61,47.84,29900,0.0,0,TLT
2002-10-04,47.4,48.11,47.4,48.0,131000,0.0,0,TLT
2002-10-07,48.2,48.24,47.97,48.08,433800,0.0,0,TLT
2002-10-08,47.99,48.54,47.91,48.09,530900,0.0,0,TLT
