Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2009-11-23,48.78,48.81,48.78,48.8,1500,0.0,0,VGIT
2009-11-24,48.86,48.86,48.86,48.86,300,0.0,0,VGIT
2009-11-25,49.09,49.09,48.97,48.97,10200,0.0,0,VGIT
2009-11-27,49.26,49.28,49.26,49.28,800,0.0,0,VGIT
2009-11-30,49.21,49.25,49.21,49.24,15100,0.0,0,VGIT
2009-12-01,49.22,49.22,49.19,49.19,800,0.0,0,VGIT
2009-12-02,49.12,49.12,49.09,49.09,3800,0.0,0,VGIT
2009-12-03,48.97,48.97,48.97,48.97,1000,0.0,0,VGIT
2009-12-04,48.66,48.7,48.66,48.7,2700,0.0,0,VGIT
2009-12-07,48.8,48.87,48.8,48.87,3800,0.0,0,VGIT
2009-12-08,49.03,49.03,49.0,49.0,1100,0.0,0,VGIT
2009-12-09,49.03,49.03,48.95,48.95,800,0.0,0,VGIT
2009-12-10,48.81,48.81,48.81,48.81,200,0.0,0,VGIT
2009-12-11,48.64,48.73,48.64,48.73,1800,0.0,0,VGIT
2009-12-14,48.69,48.7,48.68,48.7,2200,0.0,0,VGIT
2009-12-15,48.47,48.54,48.47,48.54,1200,0.0,0,VGIT
2009-12-16,48.64,48.64,48.53,48.53,1400,0.0,0,VGIT
2009-12-17,48.53,48.53,48.53,48.53,0,0.0,0,VGIT
2009-12-18,48.74,48.74,48.7,48.7,4200,0.0,0,VGIT
2009-12-21,48.38,48.4,48.38,48.4,700,0.0,0,VGIT
2009-12-22,48.26,48.26,48.24,48.24,4300,0.0,0,VGIT
2009-12-23,48.25,48.26,48.25,48.26,1000,0.0,0,VGIT
2009-12-24,48.18,48.18,48.13,48.13,400,0.16,0,VGIT
2009-12-28,48.07,48.07,48.0,48.01,1400,0.0,0,VGIT
2009-12-29,48.04,48.04,48.04,48.04,400,0.0,0,VGIT
2009-12-30,48.09,48.1,48.09,48.1,3700,0.0,0,VGIT
2009-12-31,47.93,47.93,47.84,47.84,1500,0.0,0,VGIT
2010-01-04,48.0,48.09,48.0,48.01,3000,0.0,0,VGIT
2010-01-05,48.25,48.26,48.23,48.26,1100,0.0,0,VGIT
2010-01-06,48.15,48.15,48.15,48.15,200,0.0,0,VGIT
2010-01-07,48.18,48.18,48.16,48.16,52600,0.0,0,VGIT
2010-01-08,48.2,48.22,48.18,48.22,2900,0.0,0,VGIT
2010-01-11,48.23,48.24,48.23,48.23,3300,0.0,0,VGIT
2010-01-12,48.43,48.45,48.42,48.42,1800,0.0,0,VGIT
2010-01-13,48.38,48.4,48.31,48.31,10500,0.0,0,VGIT
2010-01-14,48.41,48.45,48.37,48.44,54800,0.0,0,VGIT
2010-01-15,48.58,48.59,48.58,48.58,3100,0.0,0,VGIT
2010-01-19,48.53,48.53,48.48,48.51,3200,0.0,0,VGIT
2010-01-20,48.6,48.6,48.58,48.58,800,0.0,0,VGIT
2010-01-21,48.54,48.76,48.54,48.76,30800,0.0,0,VGIT
2010-01-22,48.74,48.77,48.74,48.77,4100,0.0,0,VGIT
2010-01-25,48.71,48.76,48.71,48.73,5500,0.0,0,VGIT
2010-01-26,48.81,48.81,48.75,48.75,400,0.0,0,VGIT
