Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2009-11-04,53.8,53.8,53.8,53.8,4000,0.0,0,ZROZ
2009-11-05,53.13,53.13,53.13,53.13,4000,0.0,0,ZROZ
2009-11-06,53.13,53.13,53.13,53.13,0,0.0,0,ZROZ
2009-11-09,53.13,53.13,53.13,53.13,0,0.0,0,ZROZ
2009-11-10,53.13,53.13,53.13,53.13,0,0.0,0,ZROZ
2009-11-11,53.13,53.13,53.13,53.13,0,0.0,0,ZROZ
2009-11-12,53.18,53.18,53.18,53.18,100,0.0,0,ZROZ
2009-11-13,53.18,53.18,53.18,53.18,0,0.0,0,ZROZ
2009-11-16,55.8,55.8,55.53,55.53,4300,0.0,0,ZROZ
2009-11-17,55.85,55.85,55.85,55.85,100,0.0,0,ZROZ
2009-11-18,55.44,55.44,55.06,55.09,9300,0.0,0,ZROZ
2009-11-19,55.61,55.61,55.14,55.14,1100,0.0,0,ZROZ
2009-11-20,55.29,55.29,54.94,54.94,1200,0.0,0,ZROZ
2009-11-23,54.94,54.94,54.94,54.94,0,0.0,0,ZROZ
2009-11-24,55.17,55.17,55.17,55.17,200,0.0,0,ZROZ
2009-11-25,54.79,55.79,54.79,55.79,4300,0.0,0,ZROZ
2009-11-27,55.93,55.93,55.93,55.93,1400,0.0,0,ZROZ
2009-11-30,55.73,55.79,55.73,55.79,4000,0.0,0,ZROZ
2009-12-01,55.79,55.79,55.79,55.79,0,0.0,0,ZROZ
2009-12-02,54.8,55.34,54.8,55.34,7400,0.0,0,ZROZ
2009-12-03,55.34,55.34,55.34,55.34,0,0.0,0,ZROZ
2009-12-04,52.76,52.98,52.68,52.94,23200,0.0,0,ZROZ
2009-12-07,52.86,53.12,52.86,53.0,39800,0.0,0,ZROZ
2009-12-08,53.0,53.0,53.0,53.0,0,0.0,0,ZROZ
2009-12-09,53.0,53.0,53.0,53.0,0,0.0,0,ZROZ
2009-12-10,53.0,53.0,53.0,53.0,0,0.0,0,ZROZ
2009-12-11,51.47,51.47,51.47,51.47,500,0.0,0,ZROZ
2009-12-14,51.96,51.96,51.96,51.96,1500,0.0,0,ZROZ
2009-12-15,51.96,51.96,51.96,51.96,0,0.0,0,ZROZ
2009-12-16,51.62,51.63,50.98,50.98,13300,0.0,0,ZROZ
2009-12-17,51.92,52.59,51.76,52.59,7300,0.0,0,ZROZ
2009-12-18,52.76,52.76,52.03,52.03,5900,0.0,0,ZROZ
2009-12-21,51.33,51.33,50.8,50.8,2100,0.0,0,ZROZ
2009-12-22,50.23,50.38,50.02,50.31,5300,0.0,0,ZROZ
2009-12-23,50.99,51.05,50.99,51.05,2100,0.0,0,ZROZ
2009-12-24,50.31,50.31,49.85,49.85,3300,0.0,0,ZROZ
2009-12-28,49.29,49.29,49.05,49.05,600,0.0,0,ZROZ
2009-12-29,49.76,49.92,49.44,49.92,11900,0.506,0,ZROZ
2009-12-30,50.6,50.72,50.37,50.72,3300,0.0,0,ZROZ
2009-12-31,50.23,50.63,49.33,50.42,15900,0.0,0,ZROZ
2010-01-04,50.42,50.42,50.39,50.39,600,0.0,0,ZROZ
2010-01-05,50.5,50.96,50.5,50.96,2700,0.0,0,ZROZ
2010-01-06,49.62,49.62,49.62,49.62,1000,0.0,0,ZROZ
2010-01-07,49.54,49.64,49.54,49.64,1100,0.0,0,ZROZ
2010-01-08,49.43,49.43,48.85,49.3,1400,0.0,0,ZROZ
2010-01-11,48.96,49.01,48.87,48.89,8400,0.0,0,ZROZ
2010-01-12,49.67,49.98,49.67,49.96,1300,0.0,0,ZROZ
2010-01-13,49.96,49.96,49.96,49.96,0,0.0,0,ZROZ
2010-01-14,49.33,50.07,49.24,50.07,3200,0.0,0,ZROZ
2010-01-15,50.75,50.9,50.75,50.83,1700,0.0,0,ZROZ
2010-01-19,50.61,50.61,50.61,50.61,300,0.0,0,ZROZ
2010-01-20,51.28,51.53,51.26,51.53,3000,0.0,0,ZROZ
2010-01-21,51.63,52.08,51.63,51.94,5100,0.0,0,ZROZ
2010-01-22,51.88,52.05,51.6,51.87,800,0.0,0,ZROZ
2010-01-25,51.14,51.3,51.14,51.3,500,0.0,0,ZROZ
2010-01-26,51.66,51.66,51.11,51.11,3200,0.0,0,ZROZ
2010-01-27,51.36,51.36,51.1,51.1,500,0.0,0,ZROZ
2010-01-28,50.61,50.61,50.61,50.61,500,0.0,0,ZROZ
2010-01-29,51.39,51.39,51.39,51.39,100,0.0,0,ZROZ
2010-02-01,51.47,51.47,50.94,51.03,7600,0.0,0,ZROZ
2010-02-02,51.1,51.25,51.1,51.2,2000,0.0,0,ZROZ
2010-02-03,50.75,50.75,50.17,50.17,1700,0.0,0,ZROZ
2010-02-04,51.23,51.57,51.23,51.57,3700,0.0,0,ZROZ
2010-02-05,51.15,51.15,51.15,51.15,1000,0.0,0,ZROZ
2010-02-08,51.61,51.62,51.61,51.62,600,0.0,0,ZROZ
2010-02-09,51.6,51.61,50.81,50.81,5800,0.0,0,ZROZ
2010-02-10,51.08,51.08,49.85,50.15,18800,0.0,0,ZROZ
2010-02-11,49.82,49.89,49.25,49.55,3700,0.0,0,ZROZ
2010-02-12,49.73,49.73,49.73,49.73,100,0.0,0,ZROZ
2010-02-16,49.79,49.94,49.79,49.94,200,0.0,0,ZROZ
2010-02-17,49.04,49.17,49.04,49.17,600,0.0,0,ZROZ
2010-02-18,48.44,48.65,47.82,48.43,3000,0.0,0,ZROZ
2010-02-19,48.65,48.96,48.63,48.96,1900,0.0,0,ZROZ
2010-02-22,48.46,48.67,48.46,48.67,400,0.0,0,ZROZ
2010-02-23,48.85,49.96,48.85,49.88,6700,0.0,0,ZROZ
2010-02-24,49.92,50.19,49.92,50.08,12800,0.0,0,ZROZ
2010-02-25,50.44,50.65,50.43,50.61,1000,0.0,0,ZROZ
2010-02-26,50.85,51.56,50.85,51.27,5900,0.0,0,ZROZ
2010-03-01,50.81,50.81,50.81,50.81,200,0.0,0,ZROZ
2010-03-02,50.41,50.41,50.41,50.41,200,0.0,0,ZROZ
2010-03-03,50.17,50.39,50.17,50.39,500,0.0,0,ZROZ
2010-03-04,51.22,51.22,51.22,51.22,2800,0.0,0,ZROZ
