Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-03-10,23.32,23.32,23.32,23.32,0,0.0,0,ATACX
2015-03-11,23.5,23.5,23.5,23.5,0,0.0,0,ATACX
2015-03-12,23.98,23.98,23.98,23.98,0,0.0,0,ATACX
2015-03-13,23.85,23.85,23.85,23.85,0,0.0,0,ATACX
2015-03-16,24.04,24.04,24.04,24.04,0,0.0,0,ATACX
2015-03-17,24.11,24.11,24.11,24.11,0,0.0,0,ATACX
2015-03-18,24.38,24.38,24.38,24.38,0,0.0,0,ATACX
2015-03-19,24.41,24.41,24.41,24.41,0,0.0,0,ATACX
2015-03-20,24.7,24.7,24.7,24.7,0,0.0,0,ATACX
2015-03-23,24.66,24.66,24.66,24.66,0,0.0,0,ATACX
2015-03-24,24.85,24.85,24.85,24.85,0,0.0,0,ATACX
2015-03-25,24.67,24.67,24.67,24.67,0,0.0,0,ATACX
2015-03-26,24.34,24.34,24.34,24.34,0,0.0,0,ATACX
2015-03-27,24.58,24.58,24.58,24.58,0,0.0,0,ATACX
2015-03-30,24.49,24.49,24.49,24.49,0,0.0,0,ATACX
2015-03-31,24.54,24.54,24.54,24.54,0,0.0,0,ATACX
2015-04-01,24.78,24.78,24.78,24.78,0,0.0,0,ATACX
2015-04-02,24.57,24.57,24.57,24.57,0,0.0,0,ATACX
2015-04-06,24.47,24.47,24.47,24.47,0,0.0,0,ATACX
2015-04-07,24.63,24.63,24.63,24.63,0,0.0,0,ATACX
2015-04-08,24.62,24.62,24.62,24.62,0,0.0,0,ATACX
2015-04-09,24.37,24.37,24.37,24.37,0,0.0,0,ATACX
2015-04-10,24.39,24.39,24.39,24.39,0,0.0,0,ATACX
2015-04-13,24.28,24.28,24.28,24.28,0,0.0,0,ATACX
2015-04-14,24.42,24.42,24.42,24.42,0,0.0,0,ATACX
2015-04-15,24.67,24.67,24.67,24.67,0,0.0,0,ATACX
2015-04-16,24.93,24.93,24.93,24.93,0,0.0,0,ATACX
2015-04-17,24.32,24.32,24.32,24.32,0,0.0,0,ATACX
2015-04-20,24.26,24.26,24.26,24.26,0,0.0,0,ATACX
2015-04-21,24.48,24.48,24.48,24.48,0,0.0,0,ATACX
2015-04-22,24.8,24.8,24.8,24.8,0,0.0,0,ATACX
2015-04-23,25.03,25.03,25.03,25.03,0,0.0,0,ATACX
2015-04-24,25.17,25.17,25.17,25.17,0,0.0,0,ATACX
2015-04-27,25.29,25.29,25.29,25.29,0,0.0,0,ATACX
2015-04-28,25.36,25.36,25.36,25.36,0,0.0,0,ATACX
2015-04-29,24.99,24.99,24.99,24.99,0,0.0,0,ATACX
2015-04-30,24.54,24.54,24.54,24.54,0,0.0,0,ATACX
2015-05-01,24.73,24.73,24.73,24.73,0,0.0,0,ATACX
2015-05-04,24.88,24.88,24.88,24.88,0,0.0,0,ATACX
2015-05-05,24.58,24.58,24.58,24.58,0,0.0,0,ATACX
2015-05-06,24.2,24.2,24.2,24.2,0,0.0,0,ATACX
2015-05-07,24.13,24.13,24.13,24.13,0,0.0,0,ATACX
2015-05-08,24.55,24.55,24.55,24.55,0,0.0,0,ATACX
2015-05-11,24.4,24.4,24.4,24.4,0,0.0,0,ATACX
2015-05-12,24.31,24.31,24.31,24.31,0,0.0,0,ATACX
2015-05-13,24.32,24.32,24.32,24.32,0,0.0,0,ATACX
2015-05-14,24.65,24.65,24.65,24.65,0,0.0,0,ATACX
2015-05-15,24.67,24.67,24.67,24.67,0,0.0,0,ATACX
2015-05-18,24.76,24.76,24.76,24.76,0,0.0,0,ATACX
2015-05-19,24.75,24.75,24.75,24.75,0,0.0,0,ATACX
2015-05-20,24.73,24.73,24.73,24.73,0,0.0,0,ATACX
2015-05-21,24.81,24.81,24.81,24.81,0,0.0,0,ATACX
2015-05-22,24.74,24.74,24.74,24.74,0,0.0,0,ATACX
2015-05-26,24.4,24.4,24.4,24.4,0,0.0,0,ATACX
2015-05-27,24.76,24.76,24.76,24.76,0,0.0,0,ATACX
2015-05-28,24.74,24.74,24.74,24.74,0,0.0,0,ATACX
2015-05-29,24.53,24.53,24.53,24.53,0,0.0,0,ATACX
2015-06-01,24.27,24.27,24.27,24.27,0,0.0,0,ATACX
2015-06-02,23.97,23.97,23.97,23.97,0,0.0,0,ATACX
2015-06-03,23.62,23.62,23.62,23.62,0,0.0,0,ATACX
2015-06-04,23.88,23.88,23.88,23.88,0,0.0,0,ATACX
2015-06-05,23.61,23.61,23.61,23.61,0,0.0,0,ATACX
2015-06-08,23.47,23.47,23.47,23.47,0,0.0,0,ATACX
2015-06-09,23.38,23.38,23.38,23.38,0,0.0,0,ATACX
2015-06-10,23.77,23.77,23.77,23.77,0,0.0,0,ATACX
2015-06-11,23.85,23.85,23.85,23.85,0,0.0,0,ATACX
2015-06-12,23.74,23.74,23.74,23.74,0,0.0,0,ATACX
2015-06-15,23.64,23.64,23.64,23.64,0,0.0,0,ATACX
2015-06-16,23.85,23.85,23.85,23.85,0,0.0,0,ATACX
2015-06-17,23.81,23.81,23.81,23.81,0,0.0,0,ATACX
2015-06-18,24.19,24.19,24.19,24.19,0,0.0,0,ATACX
2015-06-19,24.17,24.17,24.17,24.17,0,0.0,0,ATACX
2015-06-22,24.35,24.35,24.35,24.35,0,0.0,0,ATACX
2015-06-23,24.42,24.42,24.42,24.42,0,0.0,0,ATACX
2015-06-24,24.15,24.15,24.15,24.15,0,0.0,0,ATACX
2015-06-25,24.11,24.11,24.11,24.11,0,0.0,0,ATACX
2015-06-26,24.04,24.04,24.04,24.04,0,0.0,0,ATACX
2015-06-29,23.27,23.27,23.27,23.27,0,0.0,0,ATACX
2015-06-30,23.39,23.39,23.39,23.39,0,0.0,0,ATACX
2015-07-01,23.49,23.49,23.49,23.49,0,0.0,0,ATACX
2015-07-02,23.3,23.3,23.3,23.3,0,0.0,0,ATACX
2015-07-06,23.34,23.34,23.34,23.34,0,0.0,0,ATACX
2015-07-07,23.35,23.35,23.35,23.35,0,0.0,0,ATACX
2015-07-08,23.37,23.37,23.37,23.37,0,0.0,0,ATACX
2015-07-09,23.33,23.33,23.33,23.33,0,0.0,0,ATACX
2015-07-10,23.28,23.28,23.28,23.28,0,0.0,0,ATACX
2015-07-13,23.26,23.26,23.26,23.26,0,0.0,0,ATACX
2015-07-14,23.27,23.27,23.27,23.27,0,0.0,0,ATACX
2015-07-15,23.3,23.3,23.3,23.3,0,0.0,0,ATACX
2015-07-16,23.29,23.29,23.29,23.29,0,0.0,0,ATACX
2015-07-17,23.28,23.28,23.28,23.28,0,0.0,0,ATACX
2015-07-20,23.18,23.18,23.18,23.18,0,0.0,0,ATACX
2015-07-21,23.29,23.29,23.29,23.29,0,0.0,0,ATACX
2015-07-22,23.42,23.42,23.42,23.42,0,0.0,0,ATACX
2015-07-23,23.65,23.65,23.65,23.65,0,0.0,0,ATACX
2015-07-24,23.71,23.71,23.71,23.71,0,0.0,0,ATACX
2015-07-27,23.83,23.83,23.83,23.83,0,0.0,0,ATACX
2015-07-28,23.67,23.67,23.67,23.67,0,0.0,0,ATACX
2015-07-29,23.6,23.6,23.6,23.6,0,0.0,0,ATACX
2015-07-30,23.74,23.74,23.74,23.74,0,0.0,0,ATACX
2015-07-31,23.91,23.91,23.91,23.91,0,0.0,0,ATACX
2015-08-03,24.11,24.11,24.11,24.11,0,0.0,0,ATACX
2015-08-04,23.93,23.93,23.93,23.93,0,0.0,0,ATACX
2015-08-05,23.78,23.78,23.78,23.78,0,0.0,0,ATACX
2015-08-06,23.96,23.96,23.96,23.96,0,0.0,0,ATACX
2015-08-07,24.22,24.22,24.22,24.22,0,0.0,0,ATACX
2015-08-10,23.97,23.97,23.97,23.97,0,0.0,0,ATACX
2015-08-11,24.29,24.29,24.29,24.29,0,0.0,0,ATACX
2015-08-12,24.2,24.2,24.2,24.2,0,0.0,0,ATACX
2015-08-13,24.11,24.11,24.11,24.11,0,0.0,0,ATACX
2015-08-14,24.15,24.15,24.15,24.15,0,0.0,0,ATACX
2015-08-17,24.24,24.24,24.24,24.24,0,0.0,0,ATACX
2015-08-18,24.09,24.09,24.09,24.09,0,0.0,0,ATACX
2015-08-19,24.3,24.3,24.3,24.3,0,0.0,0,ATACX
2015-08-20,24.51,24.51,24.51,24.51,0,0.0,0,ATACX
2015-08-21,24.58,24.58,24.58,24.58,0,0.0,0,ATACX
2015-08-24,24.58,24.58,24.58,24.58,0,0.0,0,ATACX
2015-08-25,24.26,24.26,24.26,24.26,0,0.0,0,ATACX
2015-08-26,23.88,23.88,23.88,23.88,0,0.0,0,ATACX
2015-08-27,23.88,23.88,23.88,23.88,0,0.0,0,ATACX
2015-08-28,23.92,23.92,23.92,23.92,0,0.0,0,ATACX
2015-08-31,23.91,23.91,23.91,23.91,0,0.0,0,ATACX
2015-09-01,23.94,23.94,23.94,23.94,0,0.0,0,ATACX
2015-09-02,23.92,23.92,23.92,23.92,0,0.0,0,ATACX
2015-09-03,23.94,23.94,23.94,23.94,0,0.0,0,ATACX
2015-09-04,23.96,23.96,23.96,23.96,0,0.0,0,ATACX
2015-09-08,24.66,24.66,24.66,24.66,0,0.0,0,ATACX
2015-09-09,24.31,24.31,24.31,24.31,0,0.0,0,ATACX
2015-09-10,24.41,24.41,24.41,24.41,0,0.0,0,ATACX
2015-09-11,24.55,24.55,24.55,24.55,0,0.0,0,ATACX
2015-09-14,24.45,24.45,24.45,24.45,0,0.0,0,ATACX
2015-09-15,24.75,24.75,24.75,24.75,0,0.0,0,ATACX
2015-09-16,25.49,25.49,25.49,25.49,0,0.0,0,ATACX
2015-09-17,25.45,25.45,25.45,25.45,0,0.0,0,ATACX
2015-09-18,24.79,24.79,24.79,24.79,0,0.0,0,ATACX
2015-09-21,24.8,24.8,24.8,24.8,0,0.0,0,ATACX
2015-09-22,24.85,24.85,24.85,24.85,0,0.0,0,ATACX
2015-09-23,24.83,24.83,24.83,24.83,0,0.0,0,ATACX
2015-09-24,24.85,24.85,24.85,24.85,0,0.0,0,ATACX
2015-09-25,24.82,24.82,24.82,24.82,0,0.0,0,ATACX
2015-09-28,24.08,24.08,24.08,24.08,0,0.0,0,ATACX
2015-09-29,24.27,24.27,24.27,24.27,0,0.0,0,ATACX
2015-09-30,25.11,25.11,25.11,25.11,0,0.0,0,ATACX
2015-10-01,25.24,25.24,25.24,25.24,0,0.0,0,ATACX
2015-10-02,26.04,26.04,26.04,26.04,0,0.0,0,ATACX
2015-10-05,25.59,25.59,25.59,25.59,0,0.0,0,ATACX
2015-10-06,25.68,25.68,25.68,25.68,0,0.0,0,ATACX
2015-10-07,25.6,25.6,25.6,25.6,0,0.0,0,ATACX
2015-10-08,25.42,25.42,25.42,25.42,0,0.0,0,ATACX
2015-10-09,25.47,25.47,25.47,25.47,0,0.0,0,ATACX
2015-10-12,25.63,25.63,25.63,25.63,0,0.0,0,ATACX
2015-10-13,25.66,25.66,25.66,25.66,0,0.0,0,ATACX
2015-10-14,25.87,25.87,25.87,25.87,0,0.0,0,ATACX
2015-10-15,25.75,25.75,25.75,25.75,0,0.0,0,ATACX
2015-10-16,25.75,25.75,25.75,25.75,0,0.0,0,ATACX
2015-10-19,25.4,25.4,25.4,25.4,0,0.0,0,ATACX
2015-10-20,25.36,25.36,25.36,25.36,0,0.0,0,ATACX
2015-10-21,24.89,24.89,24.89,24.89,0,0.0,0,ATACX
2015-10-22,25.54,25.54,25.54,25.54,0,0.0,0,ATACX
2015-10-23,25.74,25.74,25.74,25.74,0,0.0,0,ATACX
2015-10-26,25.42,25.42,25.42,25.42,0,0.0,0,ATACX
2015-10-27,25.05,25.05,25.05,25.05,0,0.0,0,ATACX
2015-10-28,24.71,24.71,24.71,24.71,0,0.0,0,ATACX
2015-10-29,24.39,24.39,24.39,24.39,0,0.0,0,ATACX
2015-10-30,24.42,24.42,24.42,24.42,0,0.0,0,ATACX
2015-11-02,24.72,24.72,24.72,24.72,0,0.0,0,ATACX
2015-11-03,24.81,24.81,24.81,24.81,0,0.0,0,ATACX
2015-11-04,24.72,24.72,24.72,24.72,0,0.0,0,ATACX
2015-11-05,24.68,24.68,24.68,24.68,0,0.0,0,ATACX
2015-11-06,24.67,24.67,24.67,24.67,0,0.0,0,ATACX
2015-11-09,24.27,24.27,24.27,24.27,0,0.0,0,ATACX
2015-11-10,24.35,24.35,24.35,24.35,0,0.0,0,ATACX
2015-11-11,24.09,24.09,24.09,24.09,0,0.0,0,ATACX
2015-11-12,23.49,23.49,23.49,23.49,0,0.0,0,ATACX
2015-11-13,23.26,23.26,23.26,23.26,0,0.0,0,ATACX
2015-11-16,23.54,23.54,23.54,23.54,0,0.0,0,ATACX
2015-11-17,23.45,23.45,23.45,23.45,0,0.0,0,ATACX
2015-11-18,23.9,23.9,23.9,23.9,0,0.0,0,ATACX
2015-11-19,23.8,23.8,23.8,23.8,0,0.0,0,ATACX
2015-11-20,24.0,24.0,24.0,24.0,0,0.0,0,ATACX
2015-11-23,24.12,24.12,24.12,24.12,0,0.0,0,ATACX
2015-11-24,24.34,24.34,24.34,24.34,0,0.0,0,ATACX
2015-11-25,24.56,24.56,24.56,24.56,0,0.0,0,ATACX
2015-11-27,24.64,24.64,24.64,24.64,0,0.0,0,ATACX
2015-11-30,24.67,24.67,24.67,24.67,0,0.0,0,ATACX
2015-12-01,24.96,24.96,24.96,24.96,0,0.0,0,ATACX
2015-12-02,24.95,24.95,24.95,24.95,0,0.0,0,ATACX
2015-12-03,24.37,24.37,24.37,24.37,0,0.0,0,ATACX
2015-12-04,24.55,24.55,24.55,24.55,0,0.0,0,ATACX
2015-12-07,24.34,24.34,24.34,24.34,0,0.0,0,ATACX
2015-12-08,24.14,24.14,24.14,24.14,0,0.0,0,ATACX
2015-12-09,23.9,23.9,23.9,23.9,0,0.0,0,ATACX
2015-12-10,23.97,23.97,23.97,23.97,0,0.0,0,ATACX
2015-12-11,23.36,23.36,23.36,23.36,0,0.0,0,ATACX
2015-12-14,23.1,23.1,23.1,23.1,0,0.0,0,ATACX
2015-12-15,22.98,22.98,22.98,22.98,0,0.0,0,ATACX
2015-12-16,22.92,22.92,22.92,22.92,0,0.0,0,ATACX
2015-12-17,23.16,23.16,23.16,23.16,0,0.0,0,ATACX
2015-12-18,23.27,23.27,23.27,23.27,0,0.0,0,ATACX
2015-12-21,23.26,23.26,23.26,23.26,0,0.0,0,ATACX
2015-12-22,23.12,23.12,23.12,23.12,0,0.0,0,ATACX
2015-12-23,22.98,22.98,22.98,22.98,0,0.0,0,ATACX
2015-12-24,23.08,23.08,23.08,23.08,0,0.0,0,ATACX
2015-12-28,23.13,23.13,23.13,23.13,0,0.0,0,ATACX
2015-12-29,22.81,22.81,22.81,22.81,0,0.0,0,ATACX
