Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-03-10,23.77,23.77,23.77,23.77,0,0.0,0,GIBCX
2015-03-11,23.78,23.78,23.78,23.78,0,0.0,0,GIBCX
2015-03-12,23.79,23.79,23.79,23.79,0,0.0,0,GIBCX
2015-03-13,23.78,23.78,23.78,23.78,0,0.0,0,GIBCX
2015-03-16,23.77,23.77,23.77,23.77,0,0.0,0,GIBCX
2015-03-17,23.78,23.78,23.78,23.78,0,0.0,0,GIBCX
2015-03-18,23.86,23.86,23.86,23.86,0,0.0,0,GIBCX
2015-03-19,23.88,23.88,23.88,23.88,0,0.0,0,GIBCX
2015-03-20,23.9,23.9,23.9,23.9,0,0.0,0,GIBCX
2015-03-23,23.91,23.91,23.91,23.91,0,0.0,0,GIBCX
2015-03-24,23.94,23.94,23.94,23.94,0,0.0,0,GIBCX
2015-03-25,23.93,23.93,23.93,23.93,0,0.0,0,GIBCX
2015-03-26,23.88,23.88,23.88,23.88,0,0.0,0,GIBCX
2015-03-27,23.91,23.91,23.91,23.91,0,0.0,0,GIBCX
2015-03-30,23.9,23.9,23.9,23.9,0,0.0,0,GIBCX
2015-03-31,23.97,23.97,23.97,23.97,0,0.061,0,GIBCX
2015-04-01,24.0,24.0,24.0,24.0,0,0.0,0,GIBCX
2015-04-02,23.98,23.98,23.98,23.98,0,0.0,0,GIBCX
2015-04-06,23.99,23.99,23.99,23.99,0,0.0,0,GIBCX
2015-04-07,24.0,24.0,24.0,24.0,0,0.0,0,GIBCX
2015-04-08,24.02,24.02,24.02,24.02,0,0.0,0,GIBCX
2015-04-09,23.97,23.97,23.97,23.97,0,0.0,0,GIBCX
2015-04-10,23.98,23.98,23.98,23.98,0,0.0,0,GIBCX
2015-04-13,23.98,23.98,23.98,23.98,0,0.0,0,GIBCX
2015-04-14,24.0,24.0,24.0,24.0,0,0.0,0,GIBCX
2015-04-15,24.01,24.01,24.01,24.01,0,0.0,0,GIBCX
2015-04-16,24.01,24.01,24.01,24.01,0,0.0,0,GIBCX
2015-04-17,24.01,24.01,24.01,24.01,0,0.0,0,GIBCX
2015-04-20,23.99,23.99,23.99,23.99,0,0.0,0,GIBCX
2015-04-21,23.98,23.98,23.98,23.98,0,0.0,0,GIBCX
2015-04-22,23.94,23.94,23.94,23.94,0,0.0,0,GIBCX
2015-04-23,23.95,23.95,23.95,23.95,0,0.0,0,GIBCX
2015-04-24,23.97,23.97,23.97,23.97,0,0.0,0,GIBCX
2015-04-27,23.97,23.97,23.97,23.97,0,0.0,0,GIBCX
2015-04-28,23.93,23.93,23.93,23.93,0,0.0,0,GIBCX
2015-04-29,23.88,23.88,23.88,23.88,0,0.0,0,GIBCX
2015-04-30,23.93,23.93,23.93,23.93,0,0.092,0,GIBCX
2015-05-01,23.89,23.89,23.89,23.89,0,0.0,0,GIBCX
2015-05-04,23.87,23.87,23.87,23.87,0,0.0,0,GIBCX
2015-05-05,23.85,23.85,23.85,23.85,0,0.0,0,GIBCX
2015-05-06,23.8,23.8,23.8,23.8,0,0.0,0,GIBCX
2015-05-07,23.83,23.83,23.83,23.83,0,0.0,0,GIBCX
2015-05-08,23.86,23.86,23.86,23.86,0,0.0,0,GIBCX
2015-05-11,23.77,23.77,23.77,23.77,0,0.0,0,GIBCX
2015-05-12,23.76,23.76,23.76,23.76,0,0.0,0,GIBCX
2015-05-13,23.75,23.75,23.75,23.75,0,0.0,0,GIBCX
2015-05-14,23.76,23.76,23.76,23.76,0,0.0,0,GIBCX
2015-05-15,23.84,23.84,23.84,23.84,0,0.0,0,GIBCX
2015-05-18,23.78,23.78,23.78,23.78,0,0.0,0,GIBCX
2015-05-19,23.76,23.76,23.76,23.76,0,0.0,0,GIBCX
2015-05-20,23.75,23.75,23.75,23.75,0,0.0,0,GIBCX
2015-05-21,23.79,23.79,23.79,23.79,0,0.0,0,GIBCX
2015-05-22,23.77,23.77,23.77,23.77,0,0.0,0,GIBCX
2015-05-26,23.83,23.83,23.83,23.83,0,0.0,0,GIBCX
2015-05-27,23.83,23.83,23.83,23.83,0,0.0,0,GIBCX
2015-05-28,23.83,23.83,23.83,23.83,0,0.0,0,GIBCX
2015-05-29,23.92,23.92,23.92,23.92,0,0.073,0,GIBCX
2015-06-01,23.85,23.85,23.85,23.85,0,0.0,0,GIBCX
2015-06-02,23.8,23.8,23.8,23.8,0,0.0,0,GIBCX
2015-06-03,23.75,23.75,23.75,23.75,0,0.0,0,GIBCX
2015-06-04,23.77,23.77,23.77,23.77,0,0.0,0,GIBCX
2015-06-05,23.7,23.7,23.7,23.7,0,0.0,0,GIBCX
2015-06-08,23.7,23.7,23.7,23.7,0,0.0,0,GIBCX
2015-06-09,23.66,23.66,23.66,23.66,0,0.0,0,GIBCX
2015-06-10,23.63,23.63,23.63,23.63,0,0.0,0,GIBCX
2015-06-11,23.68,23.68,23.68,23.68,0,0.0,0,GIBCX
2015-06-12,23.68,23.68,23.68,23.68,0,0.0,0,GIBCX
2015-06-15,23.68,23.68,23.68,23.68,0,0.0,0,GIBCX
2015-06-16,23.69,23.69,23.69,23.69,0,0.0,0,GIBCX
2015-06-17,23.69,23.69,23.69,23.69,0,0.0,0,GIBCX
2015-06-18,23.67,23.67,23.67,23.67,0,0.0,0,GIBCX
2015-06-19,23.72,23.72,23.72,23.72,0,0.0,0,GIBCX
2015-06-22,23.68,23.68,23.68,23.68,0,0.0,0,GIBCX
2015-06-23,23.65,23.65,23.65,23.65,0,0.0,0,GIBCX
2015-06-24,23.67,23.67,23.67,23.67,0,0.0,0,GIBCX
2015-06-25,23.65,23.65,23.65,23.65,0,0.0,0,GIBCX
2015-06-26,23.6,23.6,23.6,23.6,0,0.0,0,GIBCX
2015-06-29,23.66,23.66,23.66,23.66,0,0.0,0,GIBCX
2015-06-30,23.72,23.72,23.72,23.72,0,0.075,0,GIBCX
2015-07-01,23.66,23.66,23.66,23.66,0,0.0,0,GIBCX
2015-07-02,23.67,23.67,23.67,23.67,0,0.0,0,GIBCX
2015-07-06,23.74,23.74,23.74,23.74,0,0.0,0,GIBCX
2015-07-07,23.76,23.76,23.76,23.76,0,0.0,0,GIBCX
2015-07-08,23.78,23.78,23.78,23.78,0,0.0,0,GIBCX
2015-07-09,23.72,23.72,23.72,23.72,0,0.0,0,GIBCX
2015-07-10,23.66,23.66,23.66,23.66,0,0.0,0,GIBCX
2015-07-13,23.64,23.64,23.64,23.64,0,0.0,0,GIBCX
2015-07-14,23.65,23.65,23.65,23.65,0,0.0,0,GIBCX
2015-07-15,23.68,23.68,23.68,23.68,0,0.0,0,GIBCX
2015-07-16,23.7,23.7,23.7,23.7,0,0.0,0,GIBCX
2015-07-17,23.71,23.71,23.71,23.71,0,0.0,0,GIBCX
2015-07-20,23.69,23.69,23.69,23.69,0,0.0,0,GIBCX
2015-07-21,23.7,23.7,23.7,23.7,0,0.0,0,GIBCX
2015-07-22,23.71,23.71,23.71,23.71,0,0.0,0,GIBCX
2015-07-23,23.73,23.73,23.73,23.73,0,0.0,0,GIBCX
2015-07-24,23.73,23.73,23.73,23.73,0,0.0,0,GIBCX
2015-07-27,23.74,23.74,23.74,23.74,0,0.0,0,GIBCX
2015-07-28,23.72,23.72,23.72,23.72,0,0.0,0,GIBCX
2015-07-29,23.71,23.71,23.71,23.71,0,0.0,0,GIBCX
2015-07-30,23.72,23.72,23.72,23.72,0,0.0,0,GIBCX
2015-07-31,23.83,23.83,23.83,23.83,0,0.097,0,GIBCX
2015-08-03,23.87,23.87,23.87,23.87,0,0.0,0,GIBCX
2015-08-04,23.84,23.84,23.84,23.84,0,0.0,0,GIBCX
2015-08-05,23.8,23.8,23.8,23.8,0,0.0,0,GIBCX
2015-08-06,23.8,23.8,23.8,23.8,0,0.0,0,GIBCX
2015-08-07,23.84,23.84,23.84,23.84,0,0.0,0,GIBCX
2015-08-10,23.8,23.8,23.8,23.8,0,0.0,0,GIBCX
2015-08-11,23.83,23.83,23.83,23.83,0,0.0,0,GIBCX
2015-08-12,23.83,23.83,23.83,23.83,0,0.0,0,GIBCX
2015-08-13,23.8,23.8,23.8,23.8,0,0.0,0,GIBCX
2015-08-14,23.8,23.8,23.8,23.8,0,0.0,0,GIBCX
2015-08-17,23.82,23.82,23.82,23.82,0,0.0,0,GIBCX
2015-08-18,23.79,23.79,23.79,23.79,0,0.0,0,GIBCX
2015-08-19,23.8,23.8,23.8,23.8,0,0.0,0,GIBCX
2015-08-20,23.84,23.84,23.84,23.84,0,0.0,0,GIBCX
2015-08-21,23.86,23.86,23.86,23.86,0,0.0,0,GIBCX
2015-08-24,23.85,23.85,23.85,23.85,0,0.0,0,GIBCX
2015-08-25,23.76,23.76,23.76,23.76,0,0.0,0,GIBCX
2015-08-26,23.71,23.71,23.71,23.71,0,0.0,0,GIBCX
2015-08-27,23.72,23.72,23.72,23.72,0,0.0,0,GIBCX
2015-08-28,23.71,23.71,23.71,23.71,0,0.0,0,GIBCX
2015-08-31,23.75,23.75,23.75,23.75,0,0.059,0,GIBCX
2015-09-01,23.75,23.75,23.75,23.75,0,0.0,0,GIBCX
2015-09-02,23.74,23.74,23.74,23.74,0,0.0,0,GIBCX
2015-09-03,23.75,23.75,23.75,23.75,0,0.0,0,GIBCX
2015-09-04,23.77,23.77,23.77,23.77,0,0.0,0,GIBCX
2015-09-08,23.73,23.73,23.73,23.73,0,0.0,0,GIBCX
2015-09-09,23.74,23.74,23.74,23.74,0,0.0,0,GIBCX
2015-09-10,23.7,23.7,23.7,23.7,0,0.0,0,GIBCX
2015-09-11,23.73,23.73,23.73,23.73,0,0.0,0,GIBCX
2015-09-14,23.74,23.74,23.74,23.74,0,0.0,0,GIBCX
2015-09-15,23.68,23.68,23.68,23.68,0,0.0,0,GIBCX
2015-09-16,23.66,23.66,23.66,23.66,0,0.0,0,GIBCX
2015-09-17,23.7,23.7,23.7,23.7,0,0.0,0,GIBCX
2015-09-18,23.78,23.78,23.78,23.78,0,0.0,0,GIBCX
2015-09-21,23.71,23.71,23.71,23.71,0,0.0,0,GIBCX
2015-09-22,23.76,23.76,23.76,23.76,0,0.0,0,GIBCX
2015-09-23,23.75,23.75,23.75,23.75,0,0.0,0,GIBCX
2015-09-24,23.74,23.74,23.74,23.74,0,0.0,0,GIBCX
2015-09-25,23.7,23.7,23.7,23.7,0,0.0,0,GIBCX
2015-09-28,23.73,23.73,23.73,23.73,0,0.0,0,GIBCX
