Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-03-10,22.57,22.57,22.57,22.57,0,0.0,0,GIBIX
2015-03-11,22.59,22.59,22.59,22.59,0,0.0,0,GIBIX
2015-03-12,22.59,22.59,22.59,22.59,0,0.0,0,GIBIX
2015-03-13,22.58,22.58,22.58,22.58,0,0.0,0,GIBIX
2015-03-16,22.57,22.57,22.57,22.57,0,0.0,0,GIBIX
2015-03-17,22.58,22.58,22.58,22.58,0,0.0,0,GIBIX
2015-03-18,22.65,22.65,22.65,22.65,0,0.0,0,GIBIX
2015-03-19,22.67,22.67,22.67,22.67,0,0.0,0,GIBIX
2015-03-20,22.7,22.7,22.7,22.7,0,0.0,0,GIBIX
2015-03-23,22.71,22.71,22.71,22.71,0,0.0,0,GIBIX
2015-03-24,22.73,22.73,22.73,22.73,0,0.0,0,GIBIX
2015-03-25,22.72,22.72,22.72,22.72,0,0.0,0,GIBIX
2015-03-26,22.68,22.68,22.68,22.68,0,0.0,0,GIBIX
2015-03-27,22.7,22.7,22.7,22.7,0,0.0,0,GIBIX
2015-03-30,22.7,22.7,22.7,22.7,0,0.0,0,GIBIX
2015-03-31,22.78,22.78,22.78,22.78,0,0.086,0,GIBIX
2015-04-01,22.81,22.81,22.81,22.81,0,0.0,0,GIBIX
2015-04-02,22.79,22.79,22.79,22.79,0,0.0,0,GIBIX
2015-04-06,22.8,22.8,22.8,22.8,0,0.0,0,GIBIX
2015-04-07,22.81,22.81,22.81,22.81,0,0.0,0,GIBIX
2015-04-08,22.83,22.83,22.83,22.83,0,0.0,0,GIBIX
2015-04-09,22.79,22.79,22.79,22.79,0,0.0,0,GIBIX
2015-04-10,22.79,22.79,22.79,22.79,0,0.0,0,GIBIX
2015-04-13,22.79,22.79,22.79,22.79,0,0.0,0,GIBIX
2015-04-14,22.81,22.81,22.81,22.81,0,0.0,0,GIBIX
2015-04-15,22.82,22.82,22.82,22.82,0,0.0,0,GIBIX
2015-04-16,22.82,22.82,22.82,22.82,0,0.0,0,GIBIX
2015-04-17,22.83,22.83,22.83,22.83,0,0.0,0,GIBIX
2015-04-20,22.8,22.8,22.8,22.8,0,0.0,0,GIBIX
2015-04-21,22.79,22.79,22.79,22.79,0,0.0,0,GIBIX
2015-04-22,22.75,22.75,22.75,22.75,0,0.0,0,GIBIX
2015-04-23,22.77,22.77,22.77,22.77,0,0.0,0,GIBIX
2015-04-24,22.79,22.79,22.79,22.79,0,0.0,0,GIBIX
2015-04-27,22.78,22.78,22.78,22.78,0,0.0,0,GIBIX
2015-04-28,22.74,22.74,22.74,22.74,0,0.0,0,GIBIX
2015-04-29,22.7,22.7,22.7,22.7,0,0.0,0,GIBIX
2015-04-30,22.77,22.77,22.77,22.77,0,0.117,0,GIBIX
2015-05-01,22.72,22.72,22.72,22.72,0,0.0,0,GIBIX
2015-05-04,22.71,22.71,22.71,22.71,0,0.0,0,GIBIX
2015-05-05,22.69,22.69,22.69,22.69,0,0.0,0,GIBIX
2015-05-06,22.64,22.64,22.64,22.64,0,0.0,0,GIBIX
2015-05-07,22.67,22.67,22.67,22.67,0,0.0,0,GIBIX
2015-05-08,22.7,22.7,22.7,22.7,0,0.0,0,GIBIX
2015-05-11,22.62,22.62,22.62,22.62,0,0.0,0,GIBIX
2015-05-12,22.61,22.61,22.61,22.61,0,0.0,0,GIBIX
2015-05-13,22.6,22.6,22.6,22.6,0,0.0,0,GIBIX
2015-05-14,22.61,22.61,22.61,22.61,0,0.0,0,GIBIX
2015-05-15,22.68,22.68,22.68,22.68,0,0.0,0,GIBIX
2015-05-18,22.62,22.62,22.62,22.62,0,0.0,0,GIBIX
2015-05-19,22.61,22.61,22.61,22.61,0,0.0,0,GIBIX
2015-05-20,22.6,22.6,22.6,22.6,0,0.0,0,GIBIX
2015-05-21,22.63,22.63,22.63,22.63,0,0.0,0,GIBIX
2015-05-22,22.61,22.61,22.61,22.61,0,0.0,0,GIBIX
2015-05-26,22.67,22.67,22.67,22.67,0,0.0,0,GIBIX
2015-05-27,22.67,22.67,22.67,22.67,0,0.0,0,GIBIX
2015-05-28,22.68,22.68,22.68,22.68,0,0.0,0,GIBIX
2015-05-29,22.78,22.78,22.78,22.78,0,0.097,0,GIBIX
2015-06-01,22.71,22.71,22.71,22.71,0,0.0,0,GIBIX
2015-06-02,22.66,22.66,22.66,22.66,0,0.0,0,GIBIX
2015-06-03,22.61,22.61,22.61,22.61,0,0.0,0,GIBIX
2015-06-04,22.64,22.64,22.64,22.64,0,0.0,0,GIBIX
2015-06-05,22.57,22.57,22.57,22.57,0,0.0,0,GIBIX
2015-06-08,22.57,22.57,22.57,22.57,0,0.0,0,GIBIX
2015-06-09,22.53,22.53,22.53,22.53,0,0.0,0,GIBIX
2015-06-10,22.5,22.5,22.5,22.5,0,0.0,0,GIBIX
2015-06-11,22.55,22.55,22.55,22.55,0,0.0,0,GIBIX
2015-06-12,22.54,22.54,22.54,22.54,0,0.0,0,GIBIX
2015-06-15,22.54,22.54,22.54,22.54,0,0.0,0,GIBIX
2015-06-16,22.56,22.56,22.56,22.56,0,0.0,0,GIBIX
2015-06-17,22.55,22.55,22.55,22.55,0,0.0,0,GIBIX
2015-06-18,22.54,22.54,22.54,22.54,0,0.0,0,GIBIX
2015-06-19,22.59,22.59,22.59,22.59,0,0.0,0,GIBIX
2015-06-22,22.54,22.54,22.54,22.54,0,0.0,0,GIBIX
2015-06-23,22.52,22.52,22.52,22.52,0,0.0,0,GIBIX
2015-06-24,22.54,22.54,22.54,22.54,0,0.0,0,GIBIX
2015-06-25,22.52,22.52,22.52,22.52,0,0.0,0,GIBIX
2015-06-26,22.47,22.47,22.47,22.47,0,0.0,0,GIBIX
2015-06-29,22.53,22.53,22.53,22.53,0,0.0,0,GIBIX
2015-06-30,22.6,22.6,22.6,22.6,0,0.098,0,GIBIX
2015-07-01,22.55,22.55,22.55,22.55,0,0.0,0,GIBIX
2015-07-02,22.56,22.56,22.56,22.56,0,0.0,0,GIBIX
2015-07-06,22.63,22.63,22.63,22.63,0,0.0,0,GIBIX
2015-07-07,22.64,22.64,22.64,22.64,0,0.0,0,GIBIX
2015-07-08,22.66,22.66,22.66,22.66,0,0.0,0,GIBIX
2015-07-09,22.6,22.6,22.6,22.6,0,0.0,0,GIBIX
2015-07-10,22.54,22.54,22.54,22.54,0,0.0,0,GIBIX
2015-07-13,22.53,22.53,22.53,22.53,0,0.0,0,GIBIX
2015-07-14,22.53,22.53,22.53,22.53,0,0.0,0,GIBIX
2015-07-15,22.57,22.57,22.57,22.57,0,0.0,0,GIBIX
2015-07-16,22.59,22.59,22.59,22.59,0,0.0,0,GIBIX
2015-07-17,22.59,22.59,22.59,22.59,0,0.0,0,GIBIX
2015-07-20,22.58,22.58,22.58,22.58,0,0.0,0,GIBIX
2015-07-21,22.59,22.59,22.59,22.59,0,0.0,0,GIBIX
2015-07-22,22.59,22.59,22.59,22.59,0,0.0,0,GIBIX
2015-07-23,22.62,22.62,22.62,22.62,0,0.0,0,GIBIX
2015-07-24,22.61,22.61,22.61,22.61,0,0.0,0,GIBIX
2015-07-27,22.62,22.62,22.62,22.62,0,0.0,0,GIBIX
2015-07-28,22.6,22.6,22.6,22.6,0,0.0,0,GIBIX
2015-07-29,22.59,22.59,22.59,22.59,0,0.0,0,GIBIX
2015-07-30,22.6,22.6,22.6,22.6,0,0.0,0,GIBIX
2015-07-31,22.73,22.73,22.73,22.73,0,0.122,0,GIBIX
2015-08-03,22.77,22.77,22.77,22.77,0,0.0,0,GIBIX
2015-08-04,22.75,22.75,22.75,22.75,0,0.0,0,GIBIX
2015-08-05,22.71,22.71,22.71,22.71,0,0.0,0,GIBIX
2015-08-06,22.71,22.71,22.71,22.71,0,0.0,0,GIBIX
2015-08-07,22.75,22.75,22.75,22.75,0,0.0,0,GIBIX
2015-08-10,22.7,22.7,22.7,22.7,0,0.0,0,GIBIX
2015-08-11,22.73,22.73,22.73,22.73,0,0.0,0,GIBIX
2015-08-12,22.73,22.73,22.73,22.73,0,0.0,0,GIBIX
2015-08-13,22.7,22.7,22.7,22.7,0,0.0,0,GIBIX
2015-08-14,22.7,22.7,22.7,22.7,0,0.0,0,GIBIX
2015-08-17,22.72,22.72,22.72,22.72,0,0.0,0,GIBIX
2015-08-18,22.69,22.69,22.69,22.69,0,0.0,0,GIBIX
2015-08-19,22.71,22.71,22.71,22.71,0,0.0,0,GIBIX
2015-08-20,22.74,22.74,22.74,22.74,0,0.0,0,GIBIX
2015-08-21,22.76,22.76,22.76,22.76,0,0.0,0,GIBIX
2015-08-24,22.75,22.75,22.75,22.75,0,0.0,0,GIBIX
2015-08-25,22.66,22.66,22.66,22.66,0,0.0,0,GIBIX
2015-08-26,22.61,22.61,22.61,22.61,0,0.0,0,GIBIX
2015-08-27,22.63,22.63,22.63,22.63,0,0.0,0,GIBIX
2015-08-28,22.62,22.62,22.62,22.62,0,0.0,0,GIBIX
2015-08-31,22.67,22.67,22.67,22.67,0,0.081,0,GIBIX
2015-09-01,22.67,22.67,22.67,22.67,0,0.0,0,GIBIX
2015-09-02,22.66,22.66,22.66,22.66,0,0.0,0,GIBIX
2015-09-03,22.67,22.67,22.67,22.67,0,0.0,0,GIBIX
2015-09-04,22.69,22.69,22.69,22.69,0,0.0,0,GIBIX
2015-09-08,22.66,22.66,22.66,22.66,0,0.0,0,GIBIX
2015-09-09,22.66,22.66,22.66,22.66,0,0.0,0,GIBIX
2015-09-10,22.63,22.63,22.63,22.63,0,0.0,0,GIBIX
2015-09-11,22.66,22.66,22.66,22.66,0,0.0,0,GIBIX
2015-09-14,22.66,22.66,22.66,22.66,0,0.0,0,GIBIX
2015-09-15,22.6,22.6,22.6,22.6,0,0.0,0,GIBIX
2015-09-16,22.59,22.59,22.59,22.59,0,0.0,0,GIBIX
2015-09-17,22.63,22.63,22.63,22.63,0,0.0,0,GIBIX
2015-09-18,22.7,22.7,22.7,22.7,0,0.0,0,GIBIX
2015-09-21,22.64,22.64,22.64,22.64,0,0.0,0,GIBIX
2015-09-22,22.68,22.68,22.68,22.68,0,0.0,0,GIBIX
2015-09-23,22.67,22.67,22.67,22.67,0,0.0,0,GIBIX
2015-09-24,22.66,22.66,22.66,22.66,0,0.0,0,GIBIX
2015-09-25,22.63,22.63,22.63,22.63,0,0.0,0,GIBIX
2015-09-28,22.66,22.66,22.66,22.66,0,0.0,0,GIBIX
2015-09-29,22.66,22.66,22.66,22.66,0,0.0,0,GIBIX
2015-09-30,22.73,22.73,22.73,22.73,0,0.085,0,GIBIX
2015-10-01,22.72,22.72,22.72,22.72,0,0.0,0,GIBIX
2015-10-02,22.75,22.75,22.75,22.75,0,0.0,0,GIBIX
