Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-05-01,23.05,23.05,23.05,23.05,0,0.0,0,GIBLX
2015-05-04,23.03,23.03,23.03,23.03,0,0.0,0,GIBLX
2015-05-05,23.01,23.01,23.01,23.01,0,0.0,0,GIBLX
2015-05-06,22.96,22.96,22.96,22.96,0,0.0,0,GIBLX
2015-05-07,22.99,22.99,22.99,22.99,0,0.0,0,GIBLX
2015-05-08,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2015-05-11,22.94,22.94,22.94,22.94,0,0.0,0,GIBLX
2015-05-12,22.93,22.93,22.93,22.93,0,0.0,0,GIBLX
2015-05-13,22.92,22.92,22.92,22.92,0,0.0,0,GIBLX
2015-05-14,22.93,22.93,22.93,22.93,0,0.0,0,GIBLX
2015-05-15,23.0,23.0,23.0,23.0,0,0.0,0,GIBLX
2015-05-18,22.94,22.94,22.94,22.94,0,0.0,0,GIBLX
2015-05-19,22.93,22.93,22.93,22.93,0,0.0,0,GIBLX
2015-05-20,22.92,22.92,22.92,22.92,0,0.0,0,GIBLX
2015-05-21,22.95,22.95,22.95,22.95,0,0.0,0,GIBLX
2015-05-22,22.93,22.93,22.93,22.93,0,0.0,0,GIBLX
2015-05-26,22.99,22.99,22.99,22.99,0,0.0,0,GIBLX
2015-05-27,22.99,22.99,22.99,22.99,0,0.0,0,GIBLX
2015-05-28,23.0,23.0,23.0,23.0,0,0.0,0,GIBLX
2015-05-29,23.09,23.09,23.09,23.09,0,0.077,0,GIBLX
2015-06-01,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2015-06-02,22.97,22.97,22.97,22.97,0,0.0,0,GIBLX
2015-06-03,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2015-06-04,22.94,22.94,22.94,22.94,0,0.0,0,GIBLX
2015-06-05,22.87,22.87,22.87,22.87,0,0.0,0,GIBLX
2015-06-08,22.87,22.87,22.87,22.87,0,0.0,0,GIBLX
2015-06-09,22.83,22.83,22.83,22.83,0,0.0,0,GIBLX
2015-06-10,22.8,22.8,22.8,22.8,0,0.0,0,GIBLX
2015-06-11,22.85,22.85,22.85,22.85,0,0.0,0,GIBLX
2015-06-12,22.85,22.85,22.85,22.85,0,0.0,0,GIBLX
2015-06-15,22.85,22.85,22.85,22.85,0,0.0,0,GIBLX
2015-06-16,22.86,22.86,22.86,22.86,0,0.0,0,GIBLX
2015-06-17,22.85,22.85,22.85,22.85,0,0.0,0,GIBLX
2015-06-18,22.84,22.84,22.84,22.84,0,0.0,0,GIBLX
2015-06-19,22.89,22.89,22.89,22.89,0,0.0,0,GIBLX
2015-06-22,22.85,22.85,22.85,22.85,0,0.0,0,GIBLX
2015-06-23,22.82,22.82,22.82,22.82,0,0.0,0,GIBLX
2015-06-24,22.84,22.84,22.84,22.84,0,0.0,0,GIBLX
2015-06-25,22.82,22.82,22.82,22.82,0,0.0,0,GIBLX
2015-06-26,22.77,22.77,22.77,22.77,0,0.0,0,GIBLX
2015-06-29,22.83,22.83,22.83,22.83,0,0.0,0,GIBLX
2015-06-30,22.89,22.89,22.89,22.89,0,0.079,0,GIBLX
2015-07-01,22.84,22.84,22.84,22.84,0,0.0,0,GIBLX
2015-07-02,22.85,22.85,22.85,22.85,0,0.0,0,GIBLX
2015-07-06,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2015-07-07,22.93,22.93,22.93,22.93,0,0.0,0,GIBLX
2015-07-08,22.95,22.95,22.95,22.95,0,0.0,0,GIBLX
2015-07-09,22.89,22.89,22.89,22.89,0,0.0,0,GIBLX
2015-07-10,22.83,22.83,22.83,22.83,0,0.0,0,GIBLX
2015-07-13,22.81,22.81,22.81,22.81,0,0.0,0,GIBLX
2015-07-14,22.82,22.82,22.82,22.82,0,0.0,0,GIBLX
2015-07-15,22.85,22.85,22.85,22.85,0,0.0,0,GIBLX
2015-07-16,22.87,22.87,22.87,22.87,0,0.0,0,GIBLX
2015-07-17,22.88,22.88,22.88,22.88,0,0.0,0,GIBLX
2015-07-20,22.86,22.86,22.86,22.86,0,0.0,0,GIBLX
2015-07-21,22.87,22.87,22.87,22.87,0,0.0,0,GIBLX
2015-07-22,22.88,22.88,22.88,22.88,0,0.0,0,GIBLX
2015-07-23,22.9,22.9,22.9,22.9,0,0.0,0,GIBLX
2015-07-24,22.9,22.9,22.9,22.9,0,0.0,0,GIBLX
2015-07-27,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2015-07-28,22.89,22.89,22.89,22.89,0,0.0,0,GIBLX
2015-07-29,22.88,22.88,22.88,22.88,0,0.0,0,GIBLX
2015-07-30,22.89,22.89,22.89,22.89,0,0.0,0,GIBLX
2015-07-31,23.01,23.01,23.01,23.01,0,0.114,0,GIBLX
2015-08-03,23.05,23.05,23.05,23.05,0,0.0,0,GIBLX
2015-08-04,23.03,23.03,23.03,23.03,0,0.0,0,GIBLX
2015-08-05,22.98,22.98,22.98,22.98,0,0.0,0,GIBLX
2015-08-06,23.0,23.0,23.0,23.0,0,0.0,0,GIBLX
2015-08-07,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2015-08-10,22.98,22.98,22.98,22.98,0,0.0,0,GIBLX
2015-08-11,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2015-08-12,23.01,23.01,23.01,23.01,0,0.0,0,GIBLX
2015-08-13,22.98,22.98,22.98,22.98,0,0.0,0,GIBLX
2015-08-14,22.98,22.98,22.98,22.98,0,0.0,0,GIBLX
2015-08-17,23.0,23.0,23.0,23.0,0,0.0,0,GIBLX
2015-08-18,22.97,22.97,22.97,22.97,0,0.0,0,GIBLX
2015-08-19,22.99,22.99,22.99,22.99,0,0.0,0,GIBLX
2015-08-20,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2015-08-21,23.04,23.04,23.04,23.04,0,0.0,0,GIBLX
2015-08-24,23.03,23.03,23.03,23.03,0,0.0,0,GIBLX
2015-08-25,22.94,22.94,22.94,22.94,0,0.0,0,GIBLX
2015-08-26,22.89,22.89,22.89,22.89,0,0.0,0,GIBLX
2015-08-27,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2015-08-28,22.89,22.89,22.89,22.89,0,0.0,0,GIBLX
2015-08-31,22.94,22.94,22.94,22.94,0,0.074,0,GIBLX
2015-09-01,22.95,22.95,22.95,22.95,0,0.0,0,GIBLX
2015-09-02,22.94,22.94,22.94,22.94,0,0.0,0,GIBLX
2015-09-03,22.95,22.95,22.95,22.95,0,0.0,0,GIBLX
2015-09-04,22.96,22.96,22.96,22.96,0,0.0,0,GIBLX
2015-09-08,22.93,22.93,22.93,22.93,0,0.0,0,GIBLX
2015-09-09,22.93,22.93,22.93,22.93,0,0.0,0,GIBLX
2015-09-10,22.9,22.9,22.9,22.9,0,0.0,0,GIBLX
2015-09-11,22.93,22.93,22.93,22.93,0,0.0,0,GIBLX
2015-09-14,22.94,22.94,22.94,22.94,0,0.0,0,GIBLX
2015-09-15,22.88,22.88,22.88,22.88,0,0.0,0,GIBLX
2015-09-16,22.86,22.86,22.86,22.86,0,0.0,0,GIBLX
2015-09-17,22.9,22.9,22.9,22.9,0,0.0,0,GIBLX
2015-09-18,22.97,22.97,22.97,22.97,0,0.0,0,GIBLX
2015-09-21,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2015-09-22,22.96,22.96,22.96,22.96,0,0.0,0,GIBLX
2015-09-23,22.95,22.95,22.95,22.95,0,0.0,0,GIBLX
2015-09-24,22.94,22.94,22.94,22.94,0,0.0,0,GIBLX
2015-09-25,22.9,22.9,22.9,22.9,0,0.0,0,GIBLX
2015-09-28,22.92,22.92,22.92,22.92,0,0.0,0,GIBLX
2015-09-29,22.93,22.93,22.93,22.93,0,0.0,0,GIBLX
2015-09-30,23.0,23.0,23.0,23.0,0,0.079,0,GIBLX
2015-10-01,22.99,22.99,22.99,22.99,0,0.0,0,GIBLX
2015-10-02,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2015-10-05,23.0,23.0,23.0,23.0,0,0.0,0,GIBLX
2015-10-06,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2015-10-07,23.0,23.0,23.0,23.0,0,0.0,0,GIBLX
2015-10-08,22.96,22.96,22.96,22.96,0,0.0,0,GIBLX
2015-10-09,22.98,22.98,22.98,22.98,0,0.0,0,GIBLX
2015-10-12,22.98,22.98,22.98,22.98,0,0.0,0,GIBLX
2015-10-13,23.0,23.0,23.0,23.0,0,0.0,0,GIBLX
2015-10-14,23.04,23.04,23.04,23.04,0,0.0,0,GIBLX
2015-10-15,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2015-10-16,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2015-10-19,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2015-10-20,23.0,23.0,23.0,23.0,0,0.0,0,GIBLX
2015-10-21,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2015-10-22,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2015-10-23,23.0,23.0,23.0,23.0,0,0.0,0,GIBLX
2015-10-26,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2015-10-27,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2015-10-28,22.99,22.99,22.99,22.99,0,0.0,0,GIBLX
2015-10-29,22.93,22.93,22.93,22.93,0,0.0,0,GIBLX
2015-10-30,23.05,23.05,23.05,23.05,0,0.124,0,GIBLX
2015-11-02,23.03,23.03,23.03,23.03,0,0.0,0,GIBLX
2015-11-03,23.01,23.01,23.01,23.01,0,0.0,0,GIBLX
2015-11-04,23.01,23.01,23.01,23.01,0,0.0,0,GIBLX
2015-11-05,22.99,22.99,22.99,22.99,0,0.0,0,GIBLX
2015-11-06,22.92,22.92,22.92,22.92,0,0.0,0,GIBLX
2015-11-09,22.9,22.9,22.9,22.9,0,0.0,0,GIBLX
2015-11-10,22.9,22.9,22.9,22.9,0,0.0,0,GIBLX
2015-11-11,22.9,22.9,22.9,22.9,0,0.0,0,GIBLX
2015-11-12,22.89,22.89,22.89,22.89,0,0.0,0,GIBLX
2015-11-13,22.9,22.9,22.9,22.9,0,0.0,0,GIBLX
2015-11-16,22.89,22.89,22.89,22.89,0,0.0,0,GIBLX
2015-11-17,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2015-11-18,22.9,22.9,22.9,22.9,0,0.0,0,GIBLX
2015-11-19,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2015-11-20,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2015-11-23,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2015-11-24,22.9,22.9,22.9,22.9,0,0.0,0,GIBLX
2015-11-25,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2015-11-27,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2015-11-30,22.98,22.98,22.98,22.98,0,0.085,0,GIBLX
2015-12-01,23.03,23.03,23.03,23.03,0,0.0,0,GIBLX
2015-12-02,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2015-12-03,22.91,22.91,22.91,22.91,0,0.011,0,GIBLX
2015-12-04,22.95,22.95,22.95,22.95,0,0.0,0,GIBLX
2015-12-07,22.97,22.97,22.97,22.97,0,0.0,0,GIBLX
2015-12-08,22.94,22.94,22.94,22.94,0,0.0,0,GIBLX
2015-12-09,22.94,22.94,22.94,22.94,0,0.0,0,GIBLX
2015-12-10,22.92,22.92,22.92,22.92,0,0.0,0,GIBLX
2015-12-11,22.95,22.95,22.95,22.95,0,0.0,0,GIBLX
2015-12-14,22.85,22.85,22.85,22.85,0,0.0,0,GIBLX
2015-12-15,22.83,22.83,22.83,22.83,0,0.0,0,GIBLX
2015-12-16,22.82,22.82,22.82,22.82,0,0.0,0,GIBLX
2015-12-17,22.87,22.87,22.87,22.87,0,0.0,0,GIBLX
2015-12-18,22.86,22.86,22.86,22.86,0,0.0,0,GIBLX
2015-12-21,22.85,22.85,22.85,22.85,0,0.0,0,GIBLX
2015-12-22,22.83,22.83,22.83,22.83,0,0.0,0,GIBLX
2015-12-23,22.82,22.82,22.82,22.82,0,0.0,0,GIBLX
2015-12-24,22.83,22.83,22.83,22.83,0,0.0,0,GIBLX
2015-12-28,22.84,22.84,22.84,22.84,0,0.0,0,GIBLX
2015-12-29,22.79,22.79,22.79,22.79,0,0.0,0,GIBLX
2015-12-30,22.79,22.79,22.79,22.79,0,0.0,0,GIBLX
2015-12-31,22.89,22.89,22.89,22.89,0,0.098,0,GIBLX
2016-01-04,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2016-01-05,22.92,22.92,22.92,22.92,0,0.0,0,GIBLX
2016-01-06,22.96,22.96,22.96,22.96,0,0.0,0,GIBLX
2016-01-07,22.96,22.96,22.96,22.96,0,0.0,0,GIBLX
2016-01-08,22.97,22.97,22.97,22.97,0,0.0,0,GIBLX
2016-01-11,22.95,22.95,22.95,22.95,0,0.0,0,GIBLX
2016-01-12,22.99,22.99,22.99,22.99,0,0.0,0,GIBLX
2016-01-13,23.01,23.01,23.01,23.01,0,0.0,0,GIBLX
2016-01-14,22.95,22.95,22.95,22.95,0,0.0,0,GIBLX
2016-01-15,22.95,22.95,22.95,22.95,0,0.0,0,GIBLX
2016-01-19,22.95,22.95,22.95,22.95,0,0.0,0,GIBLX
2016-01-20,22.92,22.92,22.92,22.92,0,0.0,0,GIBLX
2016-01-21,22.9,22.9,22.9,22.9,0,0.0,0,GIBLX
2016-01-22,22.9,22.9,22.9,22.9,0,0.0,0,GIBLX
2016-01-25,22.9,22.9,22.9,22.9,0,0.0,0,GIBLX
2016-01-26,22.9,22.9,22.9,22.9,0,0.0,0,GIBLX
2016-01-27,22.88,22.88,22.88,22.88,0,0.0,0,GIBLX
2016-01-28,22.89,22.89,22.89,22.89,0,0.0,0,GIBLX
2016-01-29,23.01,23.01,23.01,23.01,0,0.115,0,GIBLX
2016-02-01,22.98,22.98,22.98,22.98,0,0.0,0,GIBLX
2016-02-02,23.03,23.03,23.03,23.03,0,0.0,0,GIBLX
2016-02-03,23.0,23.0,23.0,23.0,0,0.0,0,GIBLX
2016-02-04,23.0,23.0,23.0,23.0,0,0.0,0,GIBLX
2016-02-05,22.97,22.97,22.97,22.97,0,0.0,0,GIBLX
2016-02-08,23.0,23.0,23.0,23.0,0,0.0,0,GIBLX
2016-02-09,22.98,22.98,22.98,22.98,0,0.0,0,GIBLX
2016-02-10,23.01,23.01,23.01,23.01,0,0.0,0,GIBLX
2016-02-11,22.98,22.98,22.98,22.98,0,0.0,0,GIBLX
2016-02-12,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2016-02-16,22.88,22.88,22.88,22.88,0,0.0,0,GIBLX
2016-02-17,22.88,22.88,22.88,22.88,0,0.0,0,GIBLX
2016-02-18,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2016-02-19,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2016-02-22,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2016-02-23,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2016-02-24,22.89,22.89,22.89,22.89,0,0.0,0,GIBLX
2016-02-25,22.91,22.91,22.91,22.91,0,0.0,0,GIBLX
2016-02-26,22.88,22.88,22.88,22.88,0,0.0,0,GIBLX
2016-02-29,22.98,22.98,22.98,22.98,0,0.089,0,GIBLX
2016-03-01,22.93,22.93,22.93,22.93,0,0.0,0,GIBLX
2016-03-02,22.95,22.95,22.95,22.95,0,0.0,0,GIBLX
2016-03-03,22.98,22.98,22.98,22.98,0,0.0,0,GIBLX
2016-03-04,22.96,22.96,22.96,22.96,0,0.0,0,GIBLX
2016-03-07,22.95,22.95,22.95,22.95,0,0.0,0,GIBLX
2016-03-08,23.0,23.0,23.0,23.0,0,0.0,0,GIBLX
2016-03-09,22.96,22.96,22.96,22.96,0,0.0,0,GIBLX
2016-03-10,22.95,22.95,22.95,22.95,0,0.0,0,GIBLX
2016-03-11,22.92,22.92,22.92,22.92,0,0.0,0,GIBLX
2016-03-14,22.95,22.95,22.95,22.95,0,0.0,0,GIBLX
2016-03-15,22.98,22.98,22.98,22.98,0,0.0,0,GIBLX
2016-03-16,22.98,22.98,22.98,22.98,0,0.0,0,GIBLX
2016-03-17,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2016-03-18,23.06,23.06,23.06,23.06,0,0.0,0,GIBLX
2016-03-21,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2016-03-22,23.02,23.02,23.02,23.02,0,0.0,0,GIBLX
2016-03-23,23.07,23.07,23.07,23.07,0,0.0,0,GIBLX
2016-03-24,23.04,23.04,23.04,23.04,0,0.0,0,GIBLX
2016-03-28,23.05,23.05,23.05,23.05,0,0.0,0,GIBLX
2016-03-29,23.11,23.11,23.11,23.11,0,0.0,0,GIBLX
2016-03-30,23.12,23.12,23.12,23.12,0,0.0,0,GIBLX
2016-03-31,23.23,23.23,23.23,23.23,0,0.077,0,GIBLX
2016-04-01,23.23,23.23,23.23,23.23,0,0.0,0,GIBLX
2016-04-04,23.25,23.25,23.25,23.25,0,0.0,0,GIBLX
2016-04-05,23.28,23.28,23.28,23.28,0,0.0,0,GIBLX
2016-04-06,23.28,23.28,23.28,23.28,0,0.0,0,GIBLX
2016-04-07,23.35,23.35,23.35,23.35,0,0.0,0,GIBLX
2016-04-08,23.32,23.32,23.32,23.32,0,0.0,0,GIBLX
2016-04-11,23.32,23.32,23.32,23.32,0,0.0,0,GIBLX
2016-04-12,23.29,23.29,23.29,23.29,0,0.0,0,GIBLX
2016-04-13,23.33,23.33,23.33,23.33,0,0.0,0,GIBLX
2016-04-14,23.32,23.32,23.32,23.32,0,0.0,0,GIBLX
2016-04-15,23.37,23.37,23.37,23.37,0,0.0,0,GIBLX
2016-04-18,23.35,23.35,23.35,23.35,0,0.0,0,GIBLX
2016-04-19,23.38,23.38,23.38,23.38,0,0.0,0,GIBLX
2016-04-20,23.33,23.33,23.33,23.33,0,0.0,0,GIBLX
2016-04-21,23.32,23.32,23.32,23.32,0,0.0,0,GIBLX
2016-04-22,23.32,23.32,23.32,23.32,0,0.0,0,GIBLX
2016-04-25,23.29,23.29,23.29,23.29,0,0.0,0,GIBLX
2016-04-26,23.27,23.27,23.27,23.27,0,0.0,0,GIBLX
2016-04-27,23.35,23.35,23.35,23.35,0,0.0,0,GIBLX
2016-04-28,23.37,23.37,23.37,23.37,0,0.0,0,GIBLX
2016-04-29,23.47,23.47,23.47,23.47,0,0.084,0,GIBLX
2016-05-02,23.45,23.45,23.45,23.45,0,0.0,0,GIBLX
2016-05-03,23.5,23.5,23.5,23.5,0,0.0,0,GIBLX
2016-05-04,23.52,23.52,23.52,23.52,0,0.0,0,GIBLX
2016-05-05,23.55,23.55,23.55,23.55,0,0.0,0,GIBLX
2016-05-06,23.53,23.53,23.53,23.53,0,0.0,0,GIBLX
2016-05-09,23.54,23.54,23.54,23.54,0,0.0,0,GIBLX
2016-05-10,23.55,23.55,23.55,23.55,0,0.0,0,GIBLX
2016-05-11,23.58,23.58,23.58,23.58,0,0.0,0,GIBLX
2016-05-12,23.56,23.56,23.56,23.56,0,0.0,0,GIBLX
2016-05-13,23.61,23.61,23.61,23.61,0,0.0,0,GIBLX
2016-05-16,23.57,23.57,23.57,23.57,0,0.0,0,GIBLX
2016-05-17,23.57,23.57,23.57,23.57,0,0.0,0,GIBLX
2016-05-18,23.48,23.48,23.48,23.48,0,0.0,0,GIBLX
2016-05-19,23.51,23.51,23.51,23.51,0,0.0,0,GIBLX
2016-05-20,23.51,23.51,23.51,23.51,0,0.0,0,GIBLX
2016-05-23,23.52,23.52,23.52,23.52,0,0.0,0,GIBLX
2016-05-24,23.51,23.51,23.51,23.51,0,0.0,0,GIBLX
2016-05-25,23.51,23.51,23.51,23.51,0,0.0,0,GIBLX
2016-05-26,23.55,23.55,23.55,23.55,0,0.0,0,GIBLX
2016-05-27,23.55,23.55,23.55,23.55,0,0.0,0,GIBLX
2016-05-31,23.64,23.64,23.64,23.64,0,0.082,0,GIBLX
2016-06-01,23.63,23.63,23.63,23.63,0,0.0,0,GIBLX
2016-06-02,23.67,23.67,23.67,23.67,0,0.0,0,GIBLX
2016-06-03,23.74,23.74,23.74,23.74,0,0.0,0,GIBLX
2016-06-06,23.74,23.74,23.74,23.74,0,0.0,0,GIBLX
2016-06-07,23.76,23.76,23.76,23.76,0,0.0,0,GIBLX
2016-06-08,23.8,23.8,23.8,23.8,0,0.0,0,GIBLX
2016-06-09,23.82,23.82,23.82,23.82,0,0.0,0,GIBLX
2016-06-10,23.85,23.85,23.85,23.85,0,0.0,0,GIBLX
2016-06-13,23.87,23.87,23.87,23.87,0,0.0,0,GIBLX
2016-06-14,23.85,23.85,23.85,23.85,0,0.0,0,GIBLX
2016-06-15,23.86,23.86,23.86,23.86,0,0.0,0,GIBLX
2016-06-16,23.88,23.88,23.88,23.88,0,0.0,0,GIBLX
