Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2016-10-19,25.22,25.22,25.22,25.22,0,0.0,0,GIBRX
2016-10-21,25.25,25.25,25.25,25.25,0,0.0,0,GIBRX
2016-10-24,25.23,25.23,25.23,25.23,0,0.0,0,GIBRX
2016-10-25,25.24,25.24,25.24,25.24,0,0.0,0,GIBRX
2016-10-26,25.21,25.21,25.21,25.21,0,0.0,0,GIBRX
2016-10-27,25.15,25.15,25.15,25.15,0,0.0,0,GIBRX
2016-10-28,25.14,25.14,25.14,25.14,0,0.0,0,GIBRX
2016-10-31,25.16,25.16,25.16,25.16,0,0.0,0,GIBRX
2016-11-01,25.17,25.17,25.17,25.17,0,0.0,0,GIBRX
2016-11-02,25.18,25.18,25.18,25.18,0,0.0,0,GIBRX
2016-11-03,25.15,25.15,25.15,25.15,0,0.0,0,GIBRX
2016-11-04,25.17,25.17,25.17,25.17,0,0.0,0,GIBRX
2016-11-07,25.14,25.14,25.14,25.14,0,0.0,0,GIBRX
2016-11-08,25.12,25.12,25.12,25.12,0,0.0,0,GIBRX
2016-11-09,24.92,24.92,24.92,24.92,0,0.0,0,GIBRX
2016-11-10,24.93,24.93,24.93,24.93,0,0.0,0,GIBRX
2016-11-11,24.93,24.93,24.93,24.93,0,0.0,0,GIBRX
2016-11-14,24.79,24.79,24.79,24.79,0,0.0,0,GIBRX
2016-11-15,24.79,24.79,24.79,24.79,0,0.0,0,GIBRX
2016-11-16,24.82,24.82,24.82,24.82,0,0.0,0,GIBRX
2016-11-17,24.78,24.78,24.78,24.78,0,0.0,0,GIBRX
2016-11-18,24.74,24.74,24.74,24.74,0,0.0,0,GIBRX
2016-11-21,24.74,24.74,24.74,24.74,0,0.0,0,GIBRX
2016-11-22,24.76,24.76,24.76,24.76,0,0.0,0,GIBRX
2016-11-23,24.73,24.73,24.73,24.73,0,0.0,0,GIBRX
2016-11-25,24.73,24.73,24.73,24.73,0,0.0,0,GIBRX
2016-11-28,24.76,24.76,24.76,24.76,0,0.0,0,GIBRX
2016-11-29,24.78,24.78,24.78,24.78,0,0.0,0,GIBRX
2016-11-30,24.71,24.71,24.71,24.71,0,0.0,0,GIBRX
