Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-03-10,15.6,15.6,15.6,15.6,0,0.0,0,GIUSX
2015-03-11,15.6,15.6,15.6,15.6,0,0.0,0,GIUSX
2015-03-12,15.61,15.61,15.61,15.61,0,0.0,0,GIUSX
2015-03-13,15.6,15.6,15.6,15.6,0,0.0,0,GIUSX
2015-03-16,15.59,15.59,15.59,15.59,0,0.0,0,GIUSX
2015-03-17,15.61,15.61,15.61,15.61,0,0.0,0,GIUSX
2015-03-18,15.65,15.65,15.65,15.65,0,0.0,0,GIUSX
2015-03-19,15.65,15.65,15.65,15.65,0,0.0,0,GIUSX
2015-03-20,15.67,15.67,15.67,15.67,0,0.0,0,GIUSX
2015-03-23,15.68,15.68,15.68,15.68,0,0.0,0,GIUSX
2015-03-24,15.69,15.69,15.69,15.69,0,0.0,0,GIUSX
2015-03-25,15.68,15.68,15.68,15.68,0,0.0,0,GIUSX
2015-03-26,15.66,15.66,15.66,15.66,0,0.0,0,GIUSX
2015-03-27,15.68,15.68,15.68,15.68,0,0.0,0,GIUSX
2015-03-30,15.68,15.68,15.68,15.68,0,0.0,0,GIUSX
2015-03-31,15.74,15.74,15.74,15.74,0,0.061,0,GIUSX
2015-04-01,15.76,15.76,15.76,15.76,0,0.0,0,GIUSX
2015-04-02,15.74,15.74,15.74,15.74,0,0.0,0,GIUSX
2015-04-06,15.76,15.76,15.76,15.76,0,0.0,0,GIUSX
2015-04-07,15.77,15.77,15.77,15.77,0,0.0,0,GIUSX
2015-04-08,15.77,15.77,15.77,15.77,0,0.0,0,GIUSX
2015-04-09,15.75,15.75,15.75,15.75,0,0.0,0,GIUSX
2015-04-10,15.75,15.75,15.75,15.75,0,0.0,0,GIUSX
2015-04-13,15.75,15.75,15.75,15.75,0,0.0,0,GIUSX
2015-04-14,15.77,15.77,15.77,15.77,0,0.0,0,GIUSX
2015-04-15,15.77,15.77,15.77,15.77,0,0.0,0,GIUSX
2015-04-16,15.77,15.77,15.77,15.77,0,0.0,0,GIUSX
2015-04-17,15.78,15.78,15.78,15.78,0,0.0,0,GIUSX
2015-04-20,15.77,15.77,15.77,15.77,0,0.0,0,GIUSX
2015-04-21,15.76,15.76,15.76,15.76,0,0.0,0,GIUSX
2015-04-22,15.73,15.73,15.73,15.73,0,0.0,0,GIUSX
2015-04-23,15.74,15.74,15.74,15.74,0,0.0,0,GIUSX
2015-04-24,15.76,15.76,15.76,15.76,0,0.0,0,GIUSX
2015-04-27,15.75,15.75,15.75,15.75,0,0.0,0,GIUSX
2015-04-28,15.72,15.72,15.72,15.72,0,0.0,0,GIUSX
2015-04-29,15.69,15.69,15.69,15.69,0,0.0,0,GIUSX
2015-04-30,15.74,15.74,15.74,15.74,0,0.088,0,GIUSX
2015-05-01,15.72,15.72,15.72,15.72,0,0.0,0,GIUSX
2015-05-04,15.71,15.71,15.71,15.71,0,0.0,0,GIUSX
2015-05-05,15.69,15.69,15.69,15.69,0,0.0,0,GIUSX
2015-05-06,15.67,15.67,15.67,15.67,0,0.0,0,GIUSX
2015-05-07,15.69,15.69,15.69,15.69,0,0.0,0,GIUSX
2015-05-08,15.71,15.71,15.71,15.71,0,0.0,0,GIUSX
2015-05-11,15.66,15.66,15.66,15.66,0,0.0,0,GIUSX
2015-05-12,15.65,15.65,15.65,15.65,0,0.0,0,GIUSX
2015-05-13,15.65,15.65,15.65,15.65,0,0.0,0,GIUSX
2015-05-14,15.66,15.66,15.66,15.66,0,0.0,0,GIUSX
2015-05-15,15.7,15.7,15.7,15.7,0,0.0,0,GIUSX
2015-05-18,15.67,15.67,15.67,15.67,0,0.0,0,GIUSX
2015-05-19,15.66,15.66,15.66,15.66,0,0.0,0,GIUSX
2015-05-20,15.66,15.66,15.66,15.66,0,0.0,0,GIUSX
2015-05-21,15.67,15.67,15.67,15.67,0,0.0,0,GIUSX
2015-05-22,15.66,15.66,15.66,15.66,0,0.0,0,GIUSX
2015-05-26,15.69,15.69,15.69,15.69,0,0.0,0,GIUSX
2015-05-27,15.7,15.7,15.7,15.7,0,0.0,0,GIUSX
2015-05-28,15.7,15.7,15.7,15.7,0,0.0,0,GIUSX
2015-05-29,15.76,15.76,15.76,15.76,0,0.06,0,GIUSX
2015-06-01,15.73,15.73,15.73,15.73,0,0.0,0,GIUSX
2015-06-02,15.7,15.7,15.7,15.7,0,0.0,0,GIUSX
2015-06-03,15.66,15.66,15.66,15.66,0,0.0,0,GIUSX
2015-06-04,15.68,15.68,15.68,15.68,0,0.0,0,GIUSX
2015-06-05,15.64,15.64,15.64,15.64,0,0.0,0,GIUSX
2015-06-08,15.64,15.64,15.64,15.64,0,0.0,0,GIUSX
2015-06-09,15.61,15.61,15.61,15.61,0,0.0,0,GIUSX
2015-06-10,15.61,15.61,15.61,15.61,0,0.0,0,GIUSX
2015-06-11,15.63,15.63,15.63,15.63,0,0.0,0,GIUSX
2015-06-12,15.63,15.63,15.63,15.63,0,0.0,0,GIUSX
2015-06-15,15.64,15.64,15.64,15.64,0,0.0,0,GIUSX
2015-06-16,15.64,15.64,15.64,15.64,0,0.0,0,GIUSX
2015-06-17,15.64,15.64,15.64,15.64,0,0.0,0,GIUSX
2015-06-18,15.62,15.62,15.62,15.62,0,0.0,0,GIUSX
2015-06-19,15.65,15.65,15.65,15.65,0,0.0,0,GIUSX
2015-06-22,15.62,15.62,15.62,15.62,0,0.0,0,GIUSX
2015-06-23,15.61,15.61,15.61,15.61,0,0.0,0,GIUSX
2015-06-24,15.62,15.62,15.62,15.62,0,0.0,0,GIUSX
2015-06-25,15.61,15.61,15.61,15.61,0,0.0,0,GIUSX
2015-06-26,15.58,15.58,15.58,15.58,0,0.0,0,GIUSX
2015-06-29,15.62,15.62,15.62,15.62,0,0.0,0,GIUSX
2015-06-30,15.68,15.68,15.68,15.68,0,0.07,0,GIUSX
2015-07-01,15.64,15.64,15.64,15.64,0,0.0,0,GIUSX
2015-07-02,15.64,15.64,15.64,15.64,0,0.0,0,GIUSX
2015-07-06,15.68,15.68,15.68,15.68,0,0.0,0,GIUSX
2015-07-07,15.7,15.7,15.7,15.7,0,0.0,0,GIUSX
2015-07-08,15.71,15.71,15.71,15.71,0,0.0,0,GIUSX
2015-07-09,15.67,15.67,15.67,15.67,0,0.0,0,GIUSX
2015-07-10,15.61,15.61,15.61,15.61,0,0.0,0,GIUSX
2015-07-13,15.61,15.61,15.61,15.61,0,0.0,0,GIUSX
2015-07-14,15.61,15.61,15.61,15.61,0,0.0,0,GIUSX
2015-07-15,15.63,15.63,15.63,15.63,0,0.0,0,GIUSX
2015-07-16,15.64,15.64,15.64,15.64,0,0.0,0,GIUSX
2015-07-17,15.64,15.64,15.64,15.64,0,0.0,0,GIUSX
2015-07-20,15.63,15.63,15.63,15.63,0,0.0,0,GIUSX
2015-07-21,15.63,15.63,15.63,15.63,0,0.0,0,GIUSX
2015-07-22,15.63,15.63,15.63,15.63,0,0.0,0,GIUSX
2015-07-23,15.65,15.65,15.65,15.65,0,0.0,0,GIUSX
2015-07-24,15.65,15.65,15.65,15.65,0,0.0,0,GIUSX
2015-07-27,15.65,15.65,15.65,15.65,0,0.0,0,GIUSX
2015-07-28,15.63,15.63,15.63,15.63,0,0.0,0,GIUSX
2015-07-29,15.62,15.62,15.62,15.62,0,0.0,0,GIUSX
2015-07-30,15.63,15.63,15.63,15.63,0,0.0,0,GIUSX
2015-07-31,15.73,15.73,15.73,15.73,0,0.079,0,GIUSX
2015-08-03,15.74,15.74,15.74,15.74,0,0.0,0,GIUSX
2015-08-04,15.73,15.73,15.73,15.73,0,0.0,0,GIUSX
2015-08-05,15.7,15.7,15.7,15.7,0,0.0,0,GIUSX
2015-08-06,15.71,15.71,15.71,15.71,0,0.0,0,GIUSX
2015-08-07,15.73,15.73,15.73,15.73,0,0.0,0,GIUSX
2015-08-10,15.69,15.69,15.69,15.69,0,0.0,0,GIUSX
2015-08-11,15.71,15.71,15.71,15.71,0,0.0,0,GIUSX
2015-08-12,15.71,15.71,15.71,15.71,0,0.0,0,GIUSX
2015-08-13,15.68,15.68,15.68,15.68,0,0.0,0,GIUSX
2015-08-14,15.68,15.68,15.68,15.68,0,0.0,0,GIUSX
2015-08-17,15.7,15.7,15.7,15.7,0,0.0,0,GIUSX
2015-08-18,15.68,15.68,15.68,15.68,0,0.0,0,GIUSX
2015-08-19,15.69,15.69,15.69,15.69,0,0.0,0,GIUSX
2015-08-20,15.71,15.71,15.71,15.71,0,0.0,0,GIUSX
2015-08-21,15.72,15.72,15.72,15.72,0,0.0,0,GIUSX
2015-08-24,15.71,15.71,15.71,15.71,0,0.0,0,GIUSX
2015-08-25,15.67,15.67,15.67,15.67,0,0.0,0,GIUSX
2015-08-26,15.64,15.64,15.64,15.64,0,0.0,0,GIUSX
2015-08-27,15.65,15.65,15.65,15.65,0,0.0,0,GIUSX
2015-08-28,15.63,15.63,15.63,15.63,0,0.0,0,GIUSX
2015-08-31,15.68,15.68,15.68,15.68,0,0.066,0,GIUSX
2015-09-01,15.68,15.68,15.68,15.68,0,0.0,0,GIUSX
2015-09-02,15.68,15.68,15.68,15.68,0,0.0,0,GIUSX
2015-09-03,15.68,15.68,15.68,15.68,0,0.0,0,GIUSX
