Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-03-10,29.71,29.71,29.71,29.71,0,0.0,0,GSMFX
2015-03-11,29.78,29.78,29.78,29.78,0,0.0,0,GSMFX
2015-03-12,29.83,29.83,29.83,29.83,0,0.0,0,GSMFX
2015-03-13,29.92,29.92,29.92,29.92,0,0.0,0,GSMFX
2015-03-16,30.0,30.0,30.0,30.0,0,0.0,0,GSMFX
2015-03-17,30.08,30.08,30.08,30.08,0,0.0,0,GSMFX
2015-03-18,30.08,30.08,30.08,30.08,0,0.0,0,GSMFX
2015-03-19,30.19,30.19,30.19,30.19,0,0.0,0,GSMFX
2015-03-20,30.18,30.18,30.18,30.18,0,0.0,0,GSMFX
2015-03-23,30.08,30.08,30.08,30.08,0,0.0,0,GSMFX
2015-03-24,30.18,30.18,30.18,30.18,0,0.0,0,GSMFX
2015-03-25,30.09,30.09,30.09,30.09,0,0.0,0,GSMFX
2015-03-26,29.99,29.99,29.99,29.99,0,0.0,0,GSMFX
2015-03-27,30.02,30.02,30.02,30.02,0,0.0,0,GSMFX
2015-03-30,30.13,30.13,30.13,30.13,0,0.0,0,GSMFX
2015-03-31,30.06,30.06,30.06,30.06,0,0.0,0,GSMFX
2015-04-01,30.11,30.11,30.11,30.11,0,0.0,0,GSMFX
2015-04-02,30.16,30.16,30.16,30.16,0,0.0,0,GSMFX
2015-04-06,30.18,30.18,30.18,30.18,0,0.0,0,GSMFX
2015-04-07,30.24,30.24,30.24,30.24,0,0.0,0,GSMFX
2015-04-08,30.23,30.23,30.23,30.23,0,0.0,0,GSMFX
2015-04-09,30.32,30.32,30.32,30.32,0,0.0,0,GSMFX
2015-04-10,30.38,30.38,30.38,30.38,0,0.0,0,GSMFX
2015-04-13,30.38,30.38,30.38,30.38,0,0.0,0,GSMFX
2015-04-14,30.38,30.38,30.38,30.38,0,0.0,0,GSMFX
2015-04-15,30.36,30.36,30.36,30.36,0,0.0,0,GSMFX
2015-04-16,30.28,30.28,30.28,30.28,0,0.0,0,GSMFX
2015-04-17,30.1,30.1,30.1,30.1,0,0.0,0,GSMFX
2015-04-20,30.17,30.17,30.17,30.17,0,0.0,0,GSMFX
2015-04-21,30.23,30.23,30.23,30.23,0,0.0,0,GSMFX
2015-04-22,30.13,30.13,30.13,30.13,0,0.0,0,GSMFX
2015-04-23,30.19,30.19,30.19,30.19,0,0.0,0,GSMFX
2015-04-24,30.19,30.19,30.19,30.19,0,0.0,0,GSMFX
2015-04-27,30.25,30.25,30.25,30.25,0,0.0,0,GSMFX
2015-04-28,30.09,30.09,30.09,30.09,0,0.0,0,GSMFX
2015-04-29,29.94,29.94,29.94,29.94,0,0.0,0,GSMFX
2015-04-30,30.0,30.0,30.0,30.0,0,0.0,0,GSMFX
2015-05-01,30.19,30.19,30.19,30.19,0,0.0,0,GSMFX
2015-05-04,30.19,30.19,30.19,30.19,0,0.0,0,GSMFX
2015-05-05,29.94,29.94,29.94,29.94,0,0.0,0,GSMFX
2015-05-06,29.94,29.94,29.94,29.94,0,0.0,0,GSMFX
2015-05-07,30.0,30.0,30.0,30.0,0,0.0,0,GSMFX
2015-05-08,30.19,30.19,30.19,30.19,0,0.0,0,GSMFX
2015-05-11,30.01,30.01,30.01,30.01,0,0.0,0,GSMFX
2015-05-12,29.92,29.92,29.92,29.92,0,0.0,0,GSMFX
2015-05-13,29.84,29.84,29.84,29.84,0,0.0,0,GSMFX
2015-05-14,29.98,29.98,29.98,29.98,0,0.0,0,GSMFX
2015-05-15,30.0,30.0,30.0,30.0,0,0.0,0,GSMFX
2015-05-18,29.96,29.96,29.96,29.96,0,0.0,0,GSMFX
2015-05-19,30.11,30.11,30.11,30.11,0,0.0,0,GSMFX
2015-05-20,30.17,30.17,30.17,30.17,0,0.0,0,GSMFX
2015-05-21,30.18,30.18,30.18,30.18,0,0.0,0,GSMFX
2015-05-22,30.25,30.25,30.25,30.25,0,0.0,0,GSMFX
2015-05-26,30.16,30.16,30.16,30.16,0,0.0,0,GSMFX
2015-05-27,30.32,30.32,30.32,30.32,0,0.0,0,GSMFX
2015-05-28,30.31,30.31,30.31,30.31,0,0.0,0,GSMFX
2015-05-29,30.16,30.16,30.16,30.16,0,0.0,0,GSMFX
2015-06-01,30.11,30.11,30.11,30.11,0,0.0,0,GSMFX
2015-06-02,29.94,29.94,29.94,29.94,0,0.0,0,GSMFX
2015-06-03,29.94,29.94,29.94,29.94,0,0.0,0,GSMFX
2015-06-04,29.86,29.86,29.86,29.86,0,0.0,0,GSMFX
2015-06-05,29.76,29.76,29.76,29.76,0,0.0,0,GSMFX
2015-06-08,29.64,29.64,29.64,29.64,0,0.0,0,GSMFX
2015-06-09,29.51,29.51,29.51,29.51,0,0.0,0,GSMFX
2015-06-10,29.7,29.7,29.7,29.7,0,0.0,0,GSMFX
2015-06-11,29.86,29.86,29.86,29.86,0,0.0,0,GSMFX
2015-06-12,29.75,29.75,29.75,29.75,0,0.0,0,GSMFX
2015-06-15,29.6,29.6,29.6,29.6,0,0.0,0,GSMFX
2015-06-16,29.61,29.61,29.61,29.61,0,0.0,0,GSMFX
2015-06-17,29.5,29.5,29.5,29.5,0,0.0,0,GSMFX
2015-06-18,29.5,29.5,29.5,29.5,0,0.0,0,GSMFX
2015-06-19,29.56,29.56,29.56,29.56,0,0.0,0,GSMFX
2015-06-22,29.82,29.82,29.82,29.82,0,0.0,0,GSMFX
2015-06-23,29.89,29.89,29.89,29.89,0,0.0,0,GSMFX
2015-06-24,29.87,29.87,29.87,29.87,0,0.0,0,GSMFX
2015-06-25,29.79,29.79,29.79,29.79,0,0.0,0,GSMFX
2015-06-26,29.75,29.75,29.75,29.75,0,0.0,0,GSMFX
2015-06-29,29.37,29.37,29.37,29.37,0,0.0,0,GSMFX
2015-06-30,29.28,29.28,29.28,29.28,0,0.0,0,GSMFX
2015-07-01,29.38,29.38,29.38,29.38,0,0.0,0,GSMFX
2015-07-02,29.43,29.43,29.43,29.43,0,0.0,0,GSMFX
2015-07-06,29.25,29.25,29.25,29.25,0,0.0,0,GSMFX
2015-07-07,29.26,29.26,29.26,29.26,0,0.0,0,GSMFX
2015-07-08,29.16,29.16,29.16,29.16,0,0.0,0,GSMFX
2015-07-09,29.31,29.31,29.31,29.31,0,0.0,0,GSMFX
2015-07-10,29.54,29.54,29.54,29.54,0,0.0,0,GSMFX
2015-07-13,29.65,29.65,29.65,29.65,0,0.0,0,GSMFX
2015-07-14,29.72,29.72,29.72,29.72,0,0.0,0,GSMFX
2015-07-15,29.77,29.77,29.77,29.77,0,0.0,0,GSMFX
2015-07-16,29.85,29.85,29.85,29.85,0,0.0,0,GSMFX
2015-07-17,29.85,29.85,29.85,29.85,0,0.0,0,GSMFX
2015-07-20,29.9,29.9,29.9,29.9,0,0.0,0,GSMFX
2015-07-21,29.83,29.83,29.83,29.83,0,0.0,0,GSMFX
2015-07-22,29.78,29.78,29.78,29.78,0,0.0,0,GSMFX
2015-07-23,29.77,29.77,29.77,29.77,0,0.0,0,GSMFX
2015-07-24,29.73,29.73,29.73,29.73,0,0.0,0,GSMFX
2015-07-27,29.65,29.65,29.65,29.65,0,0.0,0,GSMFX
2015-07-28,29.71,29.71,29.71,29.71,0,0.0,0,GSMFX
2015-07-29,29.77,29.77,29.77,29.77,0,0.0,0,GSMFX
2015-07-30,29.8,29.8,29.8,29.8,0,0.0,0,GSMFX
2015-07-31,29.85,29.85,29.85,29.85,0,0.0,0,GSMFX
2015-08-03,29.92,29.92,29.92,29.92,0,0.0,0,GSMFX
2015-08-04,29.81,29.81,29.81,29.81,0,0.0,0,GSMFX
2015-08-05,29.87,29.87,29.87,29.87,0,0.0,0,GSMFX
2015-08-06,29.92,29.92,29.92,29.92,0,0.0,0,GSMFX
2015-08-07,29.87,29.87,29.87,29.87,0,0.0,0,GSMFX
2015-08-10,29.87,29.87,29.87,29.87,0,0.0,0,GSMFX
2015-08-11,29.86,29.86,29.86,29.86,0,0.0,0,GSMFX
2015-08-12,29.68,29.68,29.68,29.68,0,0.0,0,GSMFX
2015-08-13,29.65,29.65,29.65,29.65,0,0.0,0,GSMFX
2015-08-14,29.64,29.64,29.64,29.64,0,0.0,0,GSMFX
2015-08-17,29.67,29.67,29.67,29.67,0,0.0,0,GSMFX
2015-08-18,29.62,29.62,29.62,29.62,0,0.0,0,GSMFX
2015-08-19,29.53,29.53,29.53,29.53,0,0.0,0,GSMFX
2015-08-20,29.4,29.4,29.4,29.4,0,0.0,0,GSMFX
2015-08-21,29.22,29.22,29.22,29.22,0,0.0,0,GSMFX
2015-08-24,28.95,28.95,28.95,28.95,0,0.0,0,GSMFX
2015-08-25,29.12,29.12,29.12,29.12,0,0.0,0,GSMFX
2015-08-26,29.25,29.25,29.25,29.25,0,0.0,0,GSMFX
2015-08-27,29.37,29.37,29.37,29.37,0,0.0,0,GSMFX
2015-08-28,29.33,29.33,29.33,29.33,0,0.0,0,GSMFX
2015-08-31,29.29,29.29,29.29,29.29,0,0.0,0,GSMFX
2015-09-01,29.2,29.2,29.2,29.2,0,0.0,0,GSMFX
2015-09-02,29.29,29.29,29.29,29.29,0,0.0,0,GSMFX
2015-09-03,29.38,29.38,29.38,29.38,0,0.0,0,GSMFX
2015-09-04,29.3,29.3,29.3,29.3,0,0.0,0,GSMFX
2015-09-08,29.3,29.3,29.3,29.3,0,0.0,0,GSMFX
2015-09-09,29.32,29.32,29.32,29.32,0,0.0,0,GSMFX
2015-09-10,29.26,29.26,29.26,29.26,0,0.0,0,GSMFX
2015-09-11,29.24,29.24,29.24,29.24,0,0.0,0,GSMFX
2015-09-14,29.22,29.22,29.22,29.22,0,0.0,0,GSMFX
2015-09-15,29.21,29.21,29.21,29.21,0,0.0,0,GSMFX
2015-09-16,29.18,29.18,29.18,29.18,0,0.0,0,GSMFX
2015-09-17,29.21,29.21,29.21,29.21,0,0.0,0,GSMFX
2015-09-18,29.14,29.14,29.14,29.14,0,0.0,0,GSMFX
2015-09-21,29.13,29.13,29.13,29.13,0,0.0,0,GSMFX
2015-09-22,29.1,29.1,29.1,29.1,0,0.0,0,GSMFX
2015-09-23,29.14,29.14,29.14,29.14,0,0.0,0,GSMFX
2015-09-24,29.07,29.07,29.07,29.07,0,0.0,0,GSMFX
