Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-03-10,17.14,17.14,17.14,17.14,0,0.0,0,HFSAX
2015-03-11,17.2,17.2,17.2,17.2,0,0.0,0,HFSAX
2015-03-12,17.23,17.23,17.23,17.23,0,0.0,0,HFSAX
2015-03-13,17.21,17.21,17.21,17.21,0,0.0,0,HFSAX
2015-03-16,17.21,17.21,17.21,17.21,0,0.0,0,HFSAX
2015-03-17,17.19,17.19,17.19,17.19,0,0.0,0,HFSAX
2015-03-18,17.2,17.2,17.2,17.2,0,0.0,0,HFSAX
2015-03-19,17.21,17.21,17.21,17.21,0,0.0,0,HFSAX
2015-03-20,17.22,17.22,17.22,17.22,0,0.0,0,HFSAX
2015-03-23,17.21,17.21,17.21,17.21,0,0.0,0,HFSAX
2015-03-24,17.21,17.21,17.21,17.21,0,0.0,0,HFSAX
2015-03-25,17.18,17.18,17.18,17.18,0,0.0,0,HFSAX
2015-03-26,17.15,17.15,17.15,17.15,0,0.0,0,HFSAX
2015-03-27,17.16,17.16,17.16,17.16,0,0.0,0,HFSAX
2015-03-30,17.24,17.24,17.24,17.24,0,0.0,0,HFSAX
2015-03-31,17.24,17.24,17.24,17.24,0,0.0,0,HFSAX
2015-04-01,17.22,17.22,17.22,17.22,0,0.0,0,HFSAX
2015-04-02,17.22,17.22,17.22,17.22,0,0.0,0,HFSAX
2015-04-06,17.24,17.24,17.24,17.24,0,0.0,0,HFSAX
2015-04-07,17.27,17.27,17.27,17.27,0,0.0,0,HFSAX
2015-04-08,17.27,17.27,17.27,17.27,0,0.0,0,HFSAX
2015-04-09,17.36,17.36,17.36,17.36,0,0.0,0,HFSAX
2015-04-10,17.39,17.39,17.39,17.39,0,0.0,0,HFSAX
2015-04-13,17.39,17.39,17.39,17.39,0,0.0,0,HFSAX
2015-04-14,17.37,17.37,17.37,17.37,0,0.0,0,HFSAX
2015-04-15,17.39,17.39,17.39,17.39,0,0.0,0,HFSAX
2015-04-16,17.37,17.37,17.37,17.37,0,0.0,0,HFSAX
2015-04-17,17.28,17.28,17.28,17.28,0,0.0,0,HFSAX
