Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-05-01,15.97,15.97,15.97,15.97,0,0.0,0,SIUPX
2015-05-04,15.96,15.96,15.96,15.96,0,0.0,0,SIUPX
2015-05-05,15.94,15.94,15.94,15.94,0,0.0,0,SIUPX
2015-05-06,15.91,15.91,15.91,15.91,0,0.0,0,SIUPX
2015-05-07,15.94,15.94,15.94,15.94,0,0.0,0,SIUPX
2015-05-08,15.96,15.96,15.96,15.96,0,0.0,0,SIUPX
2015-05-11,15.9,15.9,15.9,15.9,0,0.0,0,SIUPX
2015-05-12,15.9,15.9,15.9,15.9,0,0.0,0,SIUPX
2015-05-13,15.9,15.9,15.9,15.9,0,0.0,0,SIUPX
2015-05-14,15.9,15.9,15.9,15.9,0,0.0,0,SIUPX
2015-05-15,15.95,15.95,15.95,15.95,0,0.0,0,SIUPX
2015-05-18,15.91,15.91,15.91,15.91,0,0.0,0,SIUPX
2015-05-19,15.9,15.9,15.9,15.9,0,0.0,0,SIUPX
2015-05-20,15.9,15.9,15.9,15.9,0,0.0,0,SIUPX
2015-05-21,15.92,15.92,15.92,15.92,0,0.0,0,SIUPX
2015-05-22,15.9,15.9,15.9,15.9,0,0.0,0,SIUPX
2015-05-26,15.94,15.94,15.94,15.94,0,0.0,0,SIUPX
2015-05-27,15.94,15.94,15.94,15.94,0,0.0,0,SIUPX
2015-05-28,15.95,15.95,15.95,15.95,0,0.0,0,SIUPX
2015-05-29,16.0,16.0,16.0,16.0,0,0.052,0,SIUPX
2015-06-01,15.97,15.97,15.97,15.97,0,0.0,0,SIUPX
2015-06-02,15.93,15.93,15.93,15.93,0,0.0,0,SIUPX
2015-06-03,15.9,15.9,15.9,15.9,0,0.0,0,SIUPX
2015-06-04,15.91,15.91,15.91,15.91,0,0.0,0,SIUPX
2015-06-05,15.88,15.88,15.88,15.88,0,0.0,0,SIUPX
2015-06-08,15.88,15.88,15.88,15.88,0,0.0,0,SIUPX
2015-06-09,15.85,15.85,15.85,15.85,0,0.0,0,SIUPX
2015-06-10,15.85,15.85,15.85,15.85,0,0.0,0,SIUPX
2015-06-11,15.87,15.87,15.87,15.87,0,0.0,0,SIUPX
2015-06-12,15.87,15.87,15.87,15.87,0,0.0,0,SIUPX
2015-06-15,15.87,15.87,15.87,15.87,0,0.0,0,SIUPX
2015-06-16,15.88,15.88,15.88,15.88,0,0.0,0,SIUPX
2015-06-17,15.87,15.87,15.87,15.87,0,0.0,0,SIUPX
2015-06-18,15.86,15.86,15.86,15.86,0,0.0,0,SIUPX
2015-06-19,15.89,15.89,15.89,15.89,0,0.0,0,SIUPX
2015-06-22,15.86,15.86,15.86,15.86,0,0.0,0,SIUPX
2015-06-23,15.85,15.85,15.85,15.85,0,0.0,0,SIUPX
2015-06-24,15.86,15.86,15.86,15.86,0,0.0,0,SIUPX
2015-06-25,15.85,15.85,15.85,15.85,0,0.0,0,SIUPX
2015-06-26,15.82,15.82,15.82,15.82,0,0.0,0,SIUPX
2015-06-29,15.86,15.86,15.86,15.86,0,0.0,0,SIUPX
2015-06-30,15.9,15.9,15.9,15.9,0,0.066,0,SIUPX
2015-07-01,15.88,15.88,15.88,15.88,0,0.0,0,SIUPX
2015-07-02,15.88,15.88,15.88,15.88,0,0.0,0,SIUPX
2015-07-06,15.92,15.92,15.92,15.92,0,0.0,0,SIUPX
2015-07-07,15.94,15.94,15.94,15.94,0,0.0,0,SIUPX
2015-07-08,15.95,15.95,15.95,15.95,0,0.0,0,SIUPX
2015-07-09,15.89,15.89,15.89,15.89,0,0.0,0,SIUPX
2015-07-10,15.85,15.85,15.85,15.85,0,0.0,0,SIUPX
2015-07-13,15.84,15.84,15.84,15.84,0,0.0,0,SIUPX
2015-07-14,15.84,15.84,15.84,15.84,0,0.0,0,SIUPX
2015-07-15,15.87,15.87,15.87,15.87,0,0.0,0,SIUPX
2015-07-16,15.88,15.88,15.88,15.88,0,0.0,0,SIUPX
2015-07-17,15.88,15.88,15.88,15.88,0,0.0,0,SIUPX
2015-07-20,15.87,15.87,15.87,15.87,0,0.0,0,SIUPX
2015-07-21,15.87,15.87,15.87,15.87,0,0.0,0,SIUPX
2015-07-22,15.87,15.87,15.87,15.87,0,0.0,0,SIUPX
2015-07-23,15.89,15.89,15.89,15.89,0,0.0,0,SIUPX
2015-07-24,15.89,15.89,15.89,15.89,0,0.0,0,SIUPX
2015-07-27,15.88,15.88,15.88,15.88,0,0.0,0,SIUPX
2015-07-28,15.87,15.87,15.87,15.87,0,0.0,0,SIUPX
2015-07-29,15.86,15.86,15.86,15.86,0,0.0,0,SIUPX
2015-07-30,15.87,15.87,15.87,15.87,0,0.0,0,SIUPX
2015-07-31,15.96,15.96,15.96,15.96,0,0.086,0,SIUPX
2015-08-03,16.0,16.0,16.0,16.0,0,0.0,0,SIUPX
2015-08-04,15.98,15.98,15.98,15.98,0,0.0,0,SIUPX
2015-08-05,15.94,15.94,15.94,15.94,0,0.0,0,SIUPX
2015-08-06,15.95,15.95,15.95,15.95,0,0.0,0,SIUPX
2015-08-07,15.97,15.97,15.97,15.97,0,0.0,0,SIUPX
