Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-03-10,15.84,15.84,15.84,15.84,0,0.0,0,SIUSX
2015-03-11,15.85,15.85,15.85,15.85,0,0.0,0,SIUSX
2015-03-12,15.85,15.85,15.85,15.85,0,0.0,0,SIUSX
2015-03-13,15.84,15.84,15.84,15.84,0,0.0,0,SIUSX
2015-03-16,15.84,15.84,15.84,15.84,0,0.0,0,SIUSX
2015-03-17,15.85,15.85,15.85,15.85,0,0.0,0,SIUSX
2015-03-18,15.89,15.89,15.89,15.89,0,0.0,0,SIUSX
2015-03-19,15.9,15.9,15.9,15.9,0,0.0,0,SIUSX
2015-03-20,15.92,15.92,15.92,15.92,0,0.0,0,SIUSX
2015-03-23,15.92,15.92,15.92,15.92,0,0.0,0,SIUSX
2015-03-24,15.93,15.93,15.93,15.93,0,0.0,0,SIUSX
2015-03-25,15.93,15.93,15.93,15.93,0,0.0,0,SIUSX
2015-03-26,15.91,15.91,15.91,15.91,0,0.0,0,SIUSX
2015-03-27,15.93,15.93,15.93,15.93,0,0.0,0,SIUSX
2015-03-30,15.92,15.92,15.92,15.92,0,0.0,0,SIUSX
2015-03-31,15.97,15.97,15.97,15.97,0,0.057,0,SIUSX
2015-04-01,16.01,16.01,16.01,16.01,0,0.0,0,SIUSX
2015-04-02,15.99,15.99,15.99,15.99,0,0.0,0,SIUSX
2015-04-06,16.0,16.0,16.0,16.0,0,0.0,0,SIUSX
2015-04-07,16.02,16.02,16.02,16.02,0,0.0,0,SIUSX
2015-04-08,16.02,16.02,16.02,16.02,0,0.0,0,SIUSX
2015-04-09,15.99,15.99,15.99,15.99,0,0.0,0,SIUSX
2015-04-10,16.0,16.0,16.0,16.0,0,0.0,0,SIUSX
2015-04-13,16.0,16.0,16.0,16.0,0,0.0,0,SIUSX
2015-04-14,16.02,16.02,16.02,16.02,0,0.0,0,SIUSX
2015-04-15,16.02,16.02,16.02,16.02,0,0.0,0,SIUSX
2015-04-16,16.02,16.02,16.02,16.02,0,0.0,0,SIUSX
2015-04-17,16.02,16.02,16.02,16.02,0,0.0,0,SIUSX
2015-04-20,16.01,16.01,16.01,16.01,0,0.0,0,SIUSX
2015-04-21,16.01,16.01,16.01,16.01,0,0.0,0,SIUSX
2015-04-22,15.97,15.97,15.97,15.97,0,0.0,0,SIUSX
2015-04-23,15.98,15.98,15.98,15.98,0,0.0,0,SIUSX
2015-04-24,16.01,16.01,16.01,16.01,0,0.0,0,SIUSX
2015-04-27,16.0,16.0,16.0,16.0,0,0.0,0,SIUSX
2015-04-28,15.96,15.96,15.96,15.96,0,0.0,0,SIUSX
2015-04-29,15.93,15.93,15.93,15.93,0,0.0,0,SIUSX
2015-04-30,15.99,15.99,15.99,15.99,0,0.084,0,SIUSX
2015-05-01,15.96,15.96,15.96,15.96,0,0.0,0,SIUSX
2015-05-04,15.95,15.95,15.95,15.95,0,0.0,0,SIUSX
2015-05-05,15.93,15.93,15.93,15.93,0,0.0,0,SIUSX
2015-05-06,15.91,15.91,15.91,15.91,0,0.0,0,SIUSX
2015-05-07,15.93,15.93,15.93,15.93,0,0.0,0,SIUSX
2015-05-08,15.95,15.95,15.95,15.95,0,0.0,0,SIUSX
2015-05-11,15.9,15.9,15.9,15.9,0,0.0,0,SIUSX
2015-05-12,15.89,15.89,15.89,15.89,0,0.0,0,SIUSX
2015-05-13,15.89,15.89,15.89,15.89,0,0.0,0,SIUSX
2015-05-14,15.89,15.89,15.89,15.89,0,0.0,0,SIUSX
2015-05-15,15.94,15.94,15.94,15.94,0,0.0,0,SIUSX
2015-05-18,15.91,15.91,15.91,15.91,0,0.0,0,SIUSX
2015-05-19,15.9,15.9,15.9,15.9,0,0.0,0,SIUSX
2015-05-20,15.89,15.89,15.89,15.89,0,0.0,0,SIUSX
2015-05-21,15.92,15.92,15.92,15.92,0,0.0,0,SIUSX
