Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-03-10,116.33,117.08,113.93,114.58,68856600,0.0,0,AAPL
2015-03-11,114.8,114.82,112.37,112.49,68939000,0.0,0,AAPL
2015-03-12,112.56,114.94,111.93,114.53,48362700,0.0,0,AAPL
2015-03-13,114.48,115.4,112.81,113.73,51827300,0.0,0,AAPL
2015-03-16,114.0,114.99,113.07,114.99,35874300,0.0,0,AAPL
2015-03-17,115.86,117.17,115.63,116.91,51023100,0.0,0,AAPL
2015-03-18,116.87,118.86,116.29,118.23,65270900,0.0,0,AAPL
2015-03-19,118.48,118.94,117.24,117.33,45809500,0.0,0,AAPL
2015-03-20,118.02,118.16,115.18,115.86,68695100,0.0,0,AAPL
2015-03-23,116.98,117.66,116.43,117.07,37709700,0.0,0,AAPL
2015-03-24,117.08,117.83,116.47,116.59,32842300,0.0,0,AAPL
2015-03-25,116.45,116.71,113.54,113.54,51655200,0.0,0,AAPL
2015-03-26,112.97,114.92,112.82,114.33,47572900,0.0,0,AAPL
2015-03-27,114.64,114.76,113.11,113.42,39546200,0.0,0,AAPL
2015-03-30,114.16,116.32,114.11,116.29,47099700,0.0,0,AAPL
2015-03-31,116.04,116.4,114.44,114.51,42090600,0.0,0,AAPL
2015-04-01,114.87,115.14,113.28,114.34,40621400,0.0,0,AAPL
2015-04-02,115.06,115.55,114.29,115.33,32220100,0.0,0,AAPL
2015-04-06,114.54,117.34,114.42,117.2,37194000,0.0,0,AAPL
2015-04-07,117.46,117.9,115.93,115.96,35012300,0.0,0,AAPL
2015-04-08,115.81,116.32,115.0,115.58,37329200,0.0,0,AAPL
2015-04-09,115.81,116.49,114.72,116.47,32484000,0.0,0,AAPL
2015-04-10,115.91,117.07,115.27,116.96,40188000,0.0,0,AAPL
2015-04-13,118.13,118.32,116.51,116.73,36365100,0.0,0,AAPL
2015-04-14,116.87,117.14,115.87,116.23,25524600,0.0,0,AAPL
2015-04-15,116.33,116.99,115.96,116.67,28970400,0.0,0,AAPL
2015-04-16,116.21,116.96,116.05,116.11,28369000,0.0,0,AAPL
2015-04-17,115.54,116.08,114.54,114.8,51957000,0.0,0,AAPL
2015-04-20,115.56,117.9,115.19,117.43,47054300,0.0,0,AAPL
2015-04-21,117.89,117.98,116.57,116.79,32435100,0.0,0,AAPL
2015-04-22,116.86,118.59,116.25,118.36,37654500,0.0,0,AAPL
2015-04-23,118.07,120.02,117.92,119.33,45770900,0.0,0,AAPL
2015-04-24,120.08,120.21,118.93,119.89,44525900,0.0,0,AAPL
2015-04-27,121.76,122.51,120.69,122.07,96954200,0.0,0,AAPL
2015-04-28,123.74,123.81,119.24,120.15,118924000,0.0,0,AAPL
2015-04-29,119.78,121.1,118.07,118.38,63386100,0.0,0,AAPL
2015-04-30,118.38,118.38,114.65,115.17,83195400,0.0,0,AAPL
2015-05-01,116.04,119.75,115.31,118.67,58512600,0.0,0,AAPL
2015-05-04,119.17,120.16,118.03,118.44,50988300,0.0,0,AAPL
2015-05-05,117.93,118.21,115.75,115.77,49271400,0.0,0,AAPL
2015-05-06,116.47,116.64,113.52,115.04,72141000,0.0,0,AAPL
2015-05-07,115.3,116.51,114.61,115.75,43940900,0.52,0,AAPL
2015-05-08,117.07,117.93,116.54,117.93,55550400,0.0,0,AAPL
2015-05-11,117.72,117.88,116.1,116.73,42035800,0.0,0,AAPL
2015-05-12,116.07,117.25,115.35,116.32,48160000,0.0,0,AAPL
2015-05-13,116.58,117.54,116.32,116.45,34694200,0.0,0,AAPL
2015-05-14,117.74,119.16,117.51,119.16,45203500,0.0,0,AAPL
2015-05-15,119.27,119.66,118.48,119.0,38208000,0.0,0,AAPL
2015-05-18,118.64,120.8,118.62,120.31,50882900,0.0,0,AAPL
2015-05-19,120.77,120.95,119.8,120.2,44633200,0.0,0,AAPL
2015-05-20,120.13,121.04,119.52,120.19,36454900,0.0,0,AAPL
2015-05-21,120.2,121.64,119.98,121.42,39730400,0.0,0,AAPL
2015-05-22,121.61,122.88,121.43,122.48,45596000,0.0,0,AAPL
2015-05-26,122.54,122.82,119.32,119.78,70697600,0.0,0,AAPL
2015-05-27,120.45,122.22,120.18,122.02,45833200,0.0,0,AAPL
2015-05-28,121.85,121.94,121.15,121.78,30733300,0.0,0,AAPL
2015-05-29,121.27,121.47,120.04,120.39,50884500,0.0,0,AAPL
2015-06-01,120.39,121.42,120.18,120.63,32112800,0.0,0,AAPL
2015-06-02,120.0,120.74,119.51,120.1,33667600,0.0,0,AAPL
2015-06-03,120.74,121.0,120.04,120.24,30983500,0.0,0,AAPL
2015-06-04,119.75,120.67,119.13,119.54,38450100,0.0,0,AAPL
2015-06-05,119.67,119.85,118.62,118.89,35626800,0.0,0,AAPL
2015-06-08,119.12,119.4,117.2,118.1,52674800,0.0,0,AAPL
2015-06-09,117.08,118.36,116.09,117.75,56075400,0.0,0,AAPL
2015-06-10,118.21,119.52,118.15,119.1,39087300,0.0,0,AAPL
2015-06-11,119.38,120.3,118.73,118.83,35390900,0.0,0,AAPL
2015-06-12,118.46,118.59,117.46,117.52,36886200,0.0,0,AAPL
2015-06-15,116.53,117.58,116.17,117.29,43988900,0.0,0,AAPL
2015-06-16,117.39,118.15,116.78,117.92,31494100,0.0,0,AAPL
2015-06-17,118.03,118.17,117.12,117.64,32918100,0.0,0,AAPL
2015-06-18,117.57,118.57,117.56,118.17,35407200,0.0,0,AAPL
2015-06-19,118.02,118.12,116.81,116.99,54716900,0.0,0,AAPL
2015-06-22,117.81,118.34,117.44,117.92,34039300,0.0,0,AAPL
2015-06-23,117.8,117.92,117.25,117.39,30268900,0.0,0,AAPL
2015-06-24,117.56,119.95,117.47,118.39,55280900,0.0,0,AAPL
2015-06-25,119.08,119.39,117.82,117.82,31938100,0.0,0,AAPL
2015-06-26,117.98,118.28,116.91,117.13,44066800,0.0,0,AAPL
2015-06-29,115.94,116.87,115.03,115.08,49161400,0.0,0,AAPL
2015-06-30,116.04,116.55,115.38,115.91,44370700,0.0,0,AAPL
2015-07-01,117.27,117.31,116.43,116.99,30238800,0.0,0,AAPL
2015-07-02,116.83,117.07,116.22,116.84,27211000,0.0,0,AAPL
2015-07-06,115.46,116.65,115.37,116.44,28060400,0.0,0,AAPL
2015-07-07,116.34,116.58,114.38,116.15,46946800,0.0,0,AAPL
2015-07-08,115.03,115.18,113.24,113.27,60761600,0.0,0,AAPL
2015-07-09,114.45,114.64,110.17,110.96,78595000,0.0,0,AAPL
2015-07-10,112.69,114.45,112.01,113.92,61354500,0.0,0,AAPL
2015-07-13,115.54,116.22,114.88,116.12,41440500,0.0,0,AAPL
2015-07-14,116.47,116.78,115.55,116.08,31768100,0.0,0,AAPL
2015-07-15,116.18,117.5,116.05,117.19,33649200,0.0,0,AAPL
2015-07-16,118.04,118.81,117.68,118.76,36222400,0.0,0,AAPL
