Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-03-10,14.7,14.78,14.47,14.47,85633600,0.0,0,BAC
2015-03-11,14.59,14.81,14.54,14.76,85910100,0.0,0,BAC
2015-03-12,14.71,14.85,14.57,14.74,126376300,0.0,0,BAC
2015-03-13,14.74,14.8,14.61,14.74,88581900,0.0,0,BAC
2015-03-16,14.76,14.86,14.52,14.78,63406500,0.0,0,BAC
2015-03-17,14.73,14.77,14.63,14.74,67315000,0.0,0,BAC
2015-03-18,14.67,14.75,14.58,14.64,86387600,0.0,0,BAC
2015-03-19,14.63,14.63,14.31,14.31,109169200,0.0,0,BAC
2015-03-20,14.39,14.6,14.33,14.52,99867700,0.0,0,BAC
2015-03-23,14.5,14.55,14.41,14.41,73773500,0.0,0,BAC
2015-03-24,14.41,14.48,14.31,14.31,77011000,0.0,0,BAC
2015-03-25,14.32,14.34,14.11,14.12,88541500,0.0,0,BAC
2015-03-26,14.1,14.24,13.98,14.13,76741500,0.0,0,BAC
2015-03-27,14.19,14.2,13.99,14.03,73140800,0.0,0,BAC
2015-03-30,14.13,14.31,14.11,14.22,70835300,0.0,0,BAC
2015-03-31,14.2,14.22,14.09,14.1,61381700,0.0,0,BAC
2015-04-01,14.13,14.17,13.98,14.12,73153900,0.0,0,BAC
2015-04-02,14.14,14.31,14.14,14.24,50443500,0.0,0,BAC
2015-04-06,14.1,14.3,14.06,14.21,51189500,0.0,0,BAC
2015-04-07,14.23,14.34,14.16,14.17,50057800,0.0,0,BAC
2015-04-08,14.21,14.42,14.2,14.31,71732500,0.0,0,BAC
2015-04-09,14.32,14.44,14.23,14.4,44935600,0.0,0,BAC
2015-04-10,14.38,14.47,14.3,14.41,43817700,0.0,0,BAC
2015-04-13,14.46,14.53,14.42,14.48,49191200,0.0,0,BAC
2015-04-14,14.55,14.62,14.4,14.5,84385400,0.0,0,BAC
2015-04-15,14.39,14.52,14.29,14.33,124479100,0.0,0,BAC
2015-04-16,14.33,14.61,14.28,14.47,105591000,0.0,0,BAC
2015-04-17,14.4,14.43,14.2,14.26,88994300,0.0,0,BAC
2015-04-20,14.31,14.38,14.26,14.27,53649400,0.0,0,BAC
2015-04-21,14.3,14.33,14.14,14.2,64033100,0.0,0,BAC
2015-04-22,14.25,14.51,14.2,14.42,73092800,0.0,0,BAC
2015-04-23,14.41,14.48,14.37,14.38,50292200,0.0,0,BAC
2015-04-24,14.4,14.43,14.31,14.33,40766100,0.0,0,BAC
2015-04-27,14.32,14.44,14.26,14.26,73523400,0.0,0,BAC
2015-04-28,14.28,14.4,14.2,14.34,58080100,0.0,0,BAC
2015-04-29,14.3,14.7,14.27,14.64,134499400,0.0,0,BAC
2015-04-30,14.66,14.71,14.48,14.6,78313900,0.0,0,BAC
2015-05-01,14.66,14.8,14.59,14.76,78171400,0.0,0,BAC
2015-05-04,14.79,15.07,14.77,15.07,76592300,0.0,0,BAC
2015-05-05,15.05,15.22,14.96,14.98,106148700,0.0,0,BAC
2015-05-06,14.99,15.11,14.74,14.93,96426500,0.0,0,BAC
2015-05-07,14.87,14.96,14.74,14.88,73794800,0.0,0,BAC
2015-05-08,14.96,15.08,14.86,15.07,86333700,0.0,0,BAC
2015-05-11,15.07,15.2,15.06,15.11,56246000,0.0,0,BAC
2015-05-12,15.08,15.1,14.98,15.06,59627100,0.0,0,BAC
2015-05-13,15.07,15.14,14.99,15.09,47330600,0.0,0,BAC
2015-05-14,15.15,15.2,15.07,15.14,55395700,0.0,0,BAC
2015-05-15,15.14,15.14,14.94,14.98,54937800,0.0,0,BAC
2015-05-18,14.95,15.16,14.95,15.13,51059900,0.0,0,BAC
2015-05-19,15.2,15.38,15.19,15.37,89115500,0.0,0,BAC
