Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-03-10,24.9,24.91,24.48,24.48,26542300,0.0,0,CSCO
2015-03-11,24.49,24.56,24.09,24.14,25160200,0.0,0,CSCO
2015-03-12,23.96,24.37,23.96,24.12,22978700,0.0,0,CSCO
2015-03-13,23.93,24.14,23.55,23.86,36511000,0.0,0,CSCO
2015-03-16,24.0,24.24,23.95,24.17,25358900,0.0,0,CSCO
2015-03-17,24.08,24.15,23.87,24.04,21895700,0.0,0,CSCO
2015-03-18,23.81,24.2,23.67,24.04,34910900,0.0,0,CSCO
2015-03-19,24.0,24.37,23.94,24.14,27980400,0.0,0,CSCO
2015-03-20,24.3,24.44,24.19,24.29,37628700,0.0,0,CSCO
2015-03-23,24.29,24.5,24.22,24.26,23478600,0.0,0,CSCO
2015-03-24,24.16,24.4,23.91,23.91,23263600,0.0,0,CSCO
2015-03-25,23.85,23.99,23.45,23.45,27158700,0.0,0,CSCO
2015-03-26,23.22,23.32,22.74,23.14,48928100,0.0,0,CSCO
2015-03-27,23.12,23.24,23.01,23.17,20464500,0.0,0,CSCO
2015-03-30,23.25,23.7,23.25,23.61,29056300,0.0,0,CSCO
2015-03-31,23.53,23.83,23.48,23.69,29258300,0.21,0,CSCO
2015-04-01,23.5,23.79,23.32,23.45,22420500,0.0,0,CSCO
2015-04-02,23.43,23.67,23.35,23.35,19527200,0.0,0,CSCO
2015-04-06,23.2,23.51,23.1,23.43,20004000,0.0,0,CSCO
2015-04-07,23.41,23.72,23.35,23.57,16861800,0.0,0,CSCO
2015-04-08,23.55,23.8,23.55,23.71,19076400,0.0,0,CSCO
2015-04-09,23.74,23.87,23.6,23.78,16684500,0.0,0,CSCO
2015-04-10,23.74,24.17,23.72,24.13,24634600,0.0,0,CSCO
2015-04-13,24.09,24.34,24.05,24.08,22769600,0.0,0,CSCO
2015-04-14,24.1,24.15,23.82,23.93,19296300,0.0,0,CSCO
2015-04-15,24.18,24.46,24.07,24.31,31160900,0.0,0,CSCO
2015-04-16,24.26,24.65,24.18,24.61,29863500,0.0,0,CSCO
2015-04-17,24.32,24.44,24.01,24.03,36904700,0.0,0,CSCO
2015-04-20,24.23,24.64,24.23,24.51,21921800,0.0,0,CSCO
2015-04-21,24.72,24.89,24.66,24.69,23956900,0.0,0,CSCO
2015-04-22,24.67,24.78,24.46,24.63,19111700,0.0,0,CSCO
2015-04-23,24.44,24.8,24.27,24.68,22230100,0.0,0,CSCO
2015-04-24,25.12,25.2,24.67,24.8,27145600,0.0,0,CSCO
2015-04-27,24.85,24.98,24.71,24.86,22952000,0.0,0,CSCO
2015-04-28,24.79,25.24,24.75,25.23,24315300,0.0,0,CSCO
2015-04-29,25.01,25.17,24.87,25.0,22463700,0.0,0,CSCO
2015-04-30,24.83,24.97,24.68,24.81,26514500,0.0,0,CSCO
2015-05-01,24.79,25.13,24.77,25.07,18936000,0.0,0,CSCO
2015-05-04,25.03,25.27,25.02,25.1,16484100,0.0,0,CSCO
2015-05-05,25.1,25.14,24.82,24.86,22463800,0.0,0,CSCO
2015-05-06,24.87,25.03,24.69,24.93,23572000,0.0,0,CSCO
2015-05-07,24.95,25.06,24.73,24.79,22643800,0.0,0,CSCO
2015-05-08,24.95,25.28,24.95,25.16,22572400,0.0,0,CSCO
2015-05-11,25.39,25.64,25.13,25.14,27045200,0.0,0,CSCO
2015-05-12,25.02,25.34,24.79,25.16,31761000,0.0,0,CSCO
2015-05-13,25.08,25.36,25.07,25.26,38264000,0.0,0,CSCO
2015-05-14,25.21,25.53,24.93,25.0,56696300,0.0,0,CSCO
2015-05-15,25.16,25.66,25.1,25.43,37677300,0.0,0,CSCO
2015-05-18,25.32,25.73,25.32,25.61,23953000,0.0,0,CSCO
2015-05-19,25.71,25.73,25.5,25.59,18926300,0.0,0,CSCO
2015-05-20,25.65,25.69,25.41,25.49,19410900,0.0,0,CSCO
2015-05-21,25.48,25.62,25.33,25.33,20806900,0.0,0,CSCO
2015-05-22,25.29,25.34,25.18,25.18,20079700,0.0,0,CSCO
2015-05-26,25.12,25.17,24.74,24.91,25877100,0.0,0,CSCO
2015-05-27,25.01,25.37,24.97,25.22,23959900,0.0,0,CSCO
2015-05-28,25.25,25.44,25.1,25.26,18219600,0.0,0,CSCO
2015-05-29,25.23,25.47,25.12,25.22,26018100,0.0,0,CSCO
2015-06-01,25.47,25.49,25.0,25.11,23799400,0.0,0,CSCO
2015-06-02,25.03,25.19,24.91,25.03,15995600,0.0,0,CSCO
2015-06-03,25.14,25.22,25.0,25.03,20536900,0.0,0,CSCO
2015-06-04,24.87,25.04,24.56,24.62,26774500,0.0,0,CSCO
2015-06-05,24.57,24.71,24.52,24.6,25357900,0.0,0,CSCO
2015-06-08,24.67,24.7,24.29,24.34,19011700,0.0,0,CSCO
2015-06-09,24.33,24.46,24.11,24.3,15527500,0.0,0,CSCO
2015-06-10,24.5,24.88,24.33,24.66,26223300,0.0,0,CSCO
2015-06-11,24.74,25.15,24.74,24.84,24387100,0.0,0,CSCO
2015-06-12,24.66,24.67,24.36,24.56,21919500,0.0,0,CSCO
2015-06-15,24.29,24.54,24.19,24.51,25722100,0.0,0,CSCO
2015-06-16,24.4,24.78,24.34,24.71,16920300,0.0,0,CSCO
2015-06-17,24.82,24.99,24.66,24.9,20959000,0.0,0,CSCO
2015-06-18,24.83,25.26,24.8,25.14,24156100,0.0,0,CSCO
2015-06-19,25.16,25.23,24.91,24.98,31970100,0.0,0,CSCO
2015-06-22,25.04,25.15,24.8,24.91,20160000,0.0,0,CSCO
2015-06-23,24.96,24.99,24.63,24.78,21041300,0.0,0,CSCO
2015-06-24,24.78,24.83,24.52,24.54,20978800,0.0,0,CSCO
2015-06-25,24.58,24.66,24.42,24.44,14606100,0.0,0,CSCO
2015-06-26,24.52,24.52,24.11,24.34,28087800,0.0,0,CSCO
2015-06-29,24.09,24.19,23.67,23.7,31838300,0.0,0,CSCO
2015-06-30,23.95,23.95,23.52,23.63,31236800,0.0,0,CSCO
2015-07-01,23.78,23.85,23.48,23.72,24461300,0.21,0,CSCO
2015-07-02,23.74,23.91,23.67,23.7,15635500,0.0,0,CSCO
2015-07-06,23.42,23.64,23.32,23.61,22858200,0.0,0,CSCO
2015-07-07,23.61,23.81,23.32,23.73,25436700,0.0,0,CSCO
2015-07-08,23.48,23.55,23.28,23.41,27863400,0.0,0,CSCO
2015-07-09,23.74,23.81,23.33,23.34,20129700,0.0,0,CSCO
2015-07-10,23.65,23.73,23.45,23.66,16079300,0.0,0,CSCO
2015-07-13,23.84,24.11,23.78,24.1,20623100,0.0,0,CSCO
2015-07-14,24.17,24.32,24.02,24.31,20932800,0.0,0,CSCO
2015-07-15,24.16,24.49,24.12,24.38,23378400,0.0,0,CSCO
2015-07-16,24.49,24.65,24.46,24.56,21058100,0.0,0,CSCO
2015-07-17,24.52,24.55,24.26,24.44,24248900,0.0,0,CSCO
2015-07-20,24.4,24.42,24.18,24.31,19477000,0.0,0,CSCO
2015-07-21,24.25,24.5,24.1,24.14,23874000,0.0,0,CSCO
2015-07-22,24.14,24.33,23.8,23.87,26889200,0.0,0,CSCO
2015-07-23,24.02,24.5,23.92,24.29,34103200,0.0,0,CSCO
2015-07-24,24.67,24.95,24.61,24.63,39471700,0.0,0,CSCO
2015-07-27,24.55,24.77,24.45,24.46,30914400,0.0,0,CSCO
2015-07-28,24.58,24.59,24.15,24.46,23573200,0.0,0,CSCO
2015-07-29,24.46,24.73,24.3,24.63,21419900,0.0,0,CSCO
2015-07-30,24.47,24.68,24.46,24.54,17458100,0.0,0,CSCO
2015-07-31,24.62,24.77,24.42,24.65,20376000,0.0,0,CSCO
2015-08-03,24.64,24.79,24.38,24.59,17450900,0.0,0,CSCO
2015-08-04,24.47,24.68,24.19,24.31,18578100,0.0,0,CSCO
2015-08-05,24.38,24.8,24.37,24.52,19236200,0.0,0,CSCO
2015-08-06,24.6,24.86,24.28,24.46,20143800,0.0,0,CSCO
2015-08-07,24.43,24.48,24.2,24.41,16039400,0.0,0,CSCO
2015-08-10,24.7,24.89,24.52,24.79,23740000,0.0,0,CSCO
2015-08-11,24.49,24.62,24.15,24.3,25391900,0.0,0,CSCO
2015-08-12,24.11,24.37,23.77,24.2,41085000,0.0,0,CSCO
2015-08-13,24.96,25.33,24.88,24.89,61154000,0.0,0,CSCO
2015-08-14,24.96,25.19,24.93,25.18,24890800,0.0,0,CSCO
2015-08-17,24.85,25.12,24.72,25.0,21264000,0.0,0,CSCO
2015-08-18,24.9,24.91,24.44,24.5,32210400,0.0,0,CSCO
2015-08-19,24.37,24.49,24.04,24.11,30023900,0.0,0,CSCO
2015-08-20,23.9,24.07,23.45,23.45,37889400,0.0,0,CSCO
2015-08-21,23.31,23.71,22.96,22.96,48502400,0.0,0,CSCO
2015-08-24,21.59,22.62,19.97,21.85,61667000,0.0,0,CSCO
2015-08-25,22.5,22.54,21.33,21.35,40610100,0.0,0,CSCO
2015-08-26,21.92,22.32,21.43,22.27,54783200,0.0,0,CSCO
2015-08-27,22.55,22.71,22.21,22.7,36504700,0.0,0,CSCO
2015-08-28,22.47,22.59,22.39,22.55,26918900,0.0,0,CSCO
2015-08-31,22.5,22.64,22.32,22.44,32388300,0.0,0,CSCO
2015-09-01,21.87,22.22,21.69,21.78,32705400,0.0,0,CSCO
2015-09-02,22.19,22.25,21.75,22.24,27925300,0.0,0,CSCO
2015-09-03,22.44,22.68,22.31,22.46,27958400,0.0,0,CSCO
2015-09-04,22.05,22.24,21.98,22.13,26903500,0.0,0,CSCO
2015-09-08,22.53,22.83,22.47,22.81,20932900,0.0,0,CSCO
2015-09-09,22.98,23.18,22.44,22.5,25032300,0.0,0,CSCO
2015-09-10,22.46,22.97,22.42,22.77,26424600,0.0,0,CSCO
2015-09-11,22.55,22.7,22.38,22.57,21529100,0.0,0,CSCO
2015-09-14,22.68,22.7,22.25,22.29,18636000,0.0,0,CSCO
2015-09-15,22.17,22.62,22.17,22.53,20479400,0.0,0,CSCO
2015-09-16,22.61,22.63,22.42,22.61,21245300,0.0,0,CSCO
2015-09-17,22.51,22.79,22.38,22.44,25409600,0.0,0,CSCO
2015-09-18,22.18,22.32,21.9,22.15,40020100,0.0,0,CSCO
2015-09-21,22.07,22.39,21.98,22.15,21945600,0.0,0,CSCO
2015-09-22,21.73,21.86,21.65,21.8,21305200,0.0,0,CSCO
2015-09-23,21.87,21.95,21.69,21.92,18804200,0.0,0,CSCO
2015-09-24,21.76,22.11,21.61,22.04,35598000,0.0,0,CSCO
2015-09-25,22.38,22.81,22.37,22.57,37618300,0.0,0,CSCO
2015-09-28,22.4,22.57,22.19,22.25,27211200,0.0,0,CSCO
2015-09-29,22.24,22.49,22.17,22.24,27095600,0.0,0,CSCO
2015-09-30,22.55,22.88,22.44,22.76,32093700,0.0,0,CSCO
2015-10-01,22.77,22.87,22.34,22.49,26933200,0.21,0,CSCO
2015-10-02,22.21,22.55,22.15,22.52,34910700,0.0,0,CSCO
2015-10-05,22.76,23.59,22.7,23.47,30217900,0.0,0,CSCO
2015-10-06,23.63,24.01,23.59,23.81,33758200,0.0,0,CSCO
2015-10-07,24.06,24.43,23.6,24.08,29749700,0.0,0,CSCO
2015-10-08,24.05,24.5,23.98,24.4,22500200,0.0,0,CSCO
2015-10-09,24.49,24.61,24.32,24.4,22125800,0.0,0,CSCO
2015-10-12,24.42,24.57,24.27,24.44,14486000,0.0,0,CSCO
2015-10-13,24.26,24.43,24.25,24.35,15107200,0.0,0,CSCO
2015-10-14,24.26,24.39,24.12,24.32,20144000,0.0,0,CSCO
2015-10-15,24.57,24.64,24.36,24.61,18996900,0.0,0,CSCO
2015-10-16,24.78,24.78,24.48,24.7,19948300,0.0,0,CSCO
2015-10-19,24.58,24.73,24.43,24.7,20778100,0.0,0,CSCO
2015-10-20,24.65,24.93,24.61,24.92,20335800,0.0,0,CSCO
2015-10-21,25.0,25.2,24.67,24.72,19008900,0.0,0,CSCO
2015-10-22,24.97,25.54,24.92,25.36,32162500,0.0,0,CSCO
2015-10-23,25.37,25.68,25.29,25.66,26076900,0.0,0,CSCO
2015-10-26,25.63,25.78,25.25,25.31,20354800,0.0,0,CSCO
2015-10-27,25.11,25.4,24.99,25.4,19480600,0.0,0,CSCO
2015-10-28,25.61,25.75,25.39,25.67,23741400,0.0,0,CSCO
2015-10-29,25.48,25.54,25.29,25.47,16717800,0.0,0,CSCO
2015-10-30,25.35,25.57,25.22,25.22,22334100,0.0,0,CSCO
2015-11-02,25.24,25.24,24.92,25.15,28912600,0.0,0,CSCO
2015-11-03,25.01,25.1,24.91,25.01,30555300,0.0,0,CSCO
2015-11-04,25.17,25.2,24.8,24.89,28591800,0.0,0,CSCO
2015-11-05,24.92,25.01,24.73,24.85,21988600,0.0,0,CSCO
2015-11-06,24.75,24.96,24.62,24.87,26107600,0.0,0,CSCO
2015-11-09,24.78,24.91,24.48,24.64,25865900,0.0,0,CSCO
2015-11-10,24.64,24.67,24.39,24.46,26701800,0.0,0,CSCO
2015-11-11,24.57,24.57,24.26,24.32,32599300,0.0,0,CSCO
2015-11-12,24.25,24.54,24.23,24.33,38135900,0.0,0,CSCO
2015-11-13,22.98,23.32,22.57,22.91,94556200,0.0,0,CSCO
2015-11-16,22.79,23.6,22.78,23.42,44949600,0.0,0,CSCO
2015-11-17,23.43,23.84,23.32,23.44,30490200,0.0,0,CSCO
2015-11-18,23.6,23.74,23.37,23.71,27015700,0.0,0,CSCO
2015-11-19,23.69,24.17,23.65,23.93,27417400,0.0,0,CSCO
2015-11-20,24.12,24.29,24.01,24.1,26502800,0.0,0,CSCO
2015-11-23,24.17,24.34,23.9,23.98,24684600,0.0,0,CSCO
2015-11-24,23.82,23.99,23.6,23.84,32859200,0.0,0,CSCO
2015-11-25,23.88,23.95,23.6,23.81,22472500,0.0,0,CSCO
2015-11-27,23.82,24.02,23.81,23.88,9532300,0.0,0,CSCO
2015-11-30,23.9,24.02,23.78,23.82,30736700,0.0,0,CSCO
2015-12-01,23.78,24.17,23.78,24.1,31406300,0.0,0,CSCO
2015-12-02,24.03,24.39,23.93,23.99,29178200,0.0,0,CSCO
2015-12-03,24.15,24.21,23.45,23.56,25783800,0.0,0,CSCO
2015-12-04,23.56,24.08,23.56,24.02,28143700,0.0,0,CSCO
2015-12-07,24.09,24.09,23.83,24.03,15350200,0.0,0,CSCO
2015-12-08,23.75,23.86,23.62,23.74,18635700,0.0,0,CSCO
2015-12-09,23.57,23.91,23.31,23.37,24127400,0.0,0,CSCO
2015-12-10,23.38,23.64,23.31,23.4,23382400,0.0,0,CSCO
2015-12-11,23.16,23.16,22.84,22.87,34295700,0.0,0,CSCO
2015-12-14,22.99,23.18,22.69,23.16,32642100,0.0,0,CSCO
2015-12-15,23.36,23.7,23.26,23.47,30393700,0.0,0,CSCO
2015-12-16,23.6,23.86,23.32,23.81,22731500,0.0,0,CSCO
2015-12-17,23.86,23.88,23.34,23.36,24812200,0.0,0,CSCO
2015-12-18,23.25,23.45,22.96,22.97,36732700,0.0,0,CSCO
2015-12-21,23.24,23.3,23.09,23.29,20242900,0.0,0,CSCO
2015-12-22,23.47,23.52,23.22,23.51,18966300,0.0,0,CSCO
2015-12-23,23.64,23.96,23.6,23.95,18803700,0.0,0,CSCO
2015-12-24,23.96,24.08,23.93,23.94,8166300,0.0,0,CSCO
2015-12-28,23.87,23.93,23.72,23.88,14204900,0.0,0,CSCO
2015-12-29,23.99,24.32,23.95,24.28,16319600,0.0,0,CSCO
2015-12-30,24.18,24.28,24.06,24.07,10620300,0.0,0,CSCO
2015-12-31,23.94,24.0,23.73,23.74,17041500,0.0,0,CSCO
2016-01-04,23.25,23.28,22.8,23.27,35827100,0.21,0,CSCO
2016-01-05,23.38,23.49,23.07,23.16,22024900,0.0,0,CSCO
2016-01-06,22.98,23.03,22.75,22.92,30799800,0.0,0,CSCO
2016-01-07,22.46,22.68,22.13,22.39,43235400,0.0,0,CSCO
2016-01-08,22.51,22.58,21.78,21.83,28609700,0.0,0,CSCO
2016-01-11,21.96,22.33,21.96,22.26,32346900,0.0,0,CSCO
2016-01-12,22.48,22.53,22.05,22.33,30122400,0.0,0,CSCO
2016-01-13,22.4,22.48,21.65,21.67,33431600,0.0,0,CSCO
2016-01-14,21.75,21.94,21.55,21.73,42902400,0.0,0,CSCO
2016-01-15,21.08,21.52,20.77,20.81,64092800,0.0,0,CSCO
2016-01-19,20.97,21.17,20.78,21.01,52533500,0.0,0,CSCO
2016-01-20,20.62,20.71,19.8,20.18,83632400,0.0,0,CSCO
2016-01-21,20.34,20.66,20.15,20.18,46267900,0.0,0,CSCO
2016-01-22,20.79,20.83,20.26,20.59,55049000,0.0,0,CSCO
2016-01-25,20.6,20.72,20.39,20.41,64066100,0.0,0,CSCO
2016-01-26,20.48,21.01,20.48,20.9,25162200,0.0,0,CSCO
2016-01-27,20.87,21.06,20.53,20.64,24654000,0.0,0,CSCO
2016-01-28,20.91,20.96,20.25,20.36,31833500,0.0,0,CSCO
2016-01-29,20.62,20.97,20.44,20.96,39692600,0.0,0,CSCO
2016-02-01,20.67,20.77,20.47,20.69,24006400,0.0,0,CSCO
2016-02-02,20.47,20.48,20.03,20.11,36203700,0.0,0,CSCO
2016-02-03,20.34,20.42,19.89,20.35,32231400,0.0,0,CSCO
