Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-03-10,21.38,21.44,20.95,21.32,2919000,0.0,0.0,ET
2015-03-11,21.3,21.43,20.89,21.09,1651400,0.0,0.0,ET
2015-03-12,21.1,21.22,20.81,20.96,1971400,0.0,0.0,ET
2015-03-13,20.79,20.92,20.38,20.63,3863200,0.0,0.0,ET
2015-03-16,20.45,20.8,20.44,20.73,2602000,0.0,0.0,ET
2015-03-17,20.64,21.43,20.55,21.35,2817000,0.0,0.0,ET
2015-03-18,21.28,21.99,20.94,21.89,4023400,0.0,0.0,ET
2015-03-19,21.68,21.69,21.28,21.37,1648400,0.0,0.0,ET
2015-03-20,21.75,21.92,21.53,21.82,2122400,0.0,0.0,ET
2015-03-23,21.82,22.21,21.73,22.05,1867400,0.0,0.0,ET
2015-03-24,21.97,22.0,21.42,21.47,1676400,0.0,0.0,ET
2015-03-25,21.46,21.59,21.17,21.22,2055000,0.0,0.0,ET
2015-03-26,21.34,21.4,20.95,21.17,2263200,0.0,0.0,ET
2015-03-27,21.21,21.53,21.03,21.24,2832000,0.0,0.0,ET
2015-03-30,21.39,21.89,21.27,21.8,1633800,0.0,0.0,ET
2015-03-31,21.75,22.02,21.56,21.63,2235400,0.0,0.0,ET
2015-04-01,21.62,22.07,21.62,21.73,2732600,0.0,0.0,ET
2015-04-02,21.72,22.18,21.71,21.77,1559000,0.0,0.0,ET
2015-04-06,21.87,22.17,21.81,21.82,4135200,0.0,0.0,ET
2015-04-07,21.72,22.11,21.61,21.61,4701400,0.0,0.0,ET
2015-04-08,21.88,22.7,21.88,22.31,5547800,0.0,0.0,ET
2015-04-09,22.37,22.57,22.36,22.43,2431000,0.0,0.0,ET
2015-04-10,22.44,22.6,22.2,22.54,1788200,0.0,0.0,ET
2015-04-13,22.55,22.66,22.23,22.34,1353000,0.0,0.0,ET
2015-04-14,22.36,22.87,22.33,22.72,1755600,0.0,0.0,ET
2015-04-15,22.84,22.95,22.61,22.74,1535800,0.0,0.0,ET
2015-04-16,22.7,22.92,22.54,22.63,3037000,0.0,0.0,ET
2015-04-17,22.6,22.67,22.19,22.21,1845600,0.0,0.0,ET
2015-04-20,22.29,22.49,22.03,22.19,1672800,0.0,0.0,ET
