Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-03-10,12.22,12.23,12.03,12.05,31687700,0.0,0,F
2015-03-11,12.09,12.15,12.03,12.07,20638700,0.0,0,F
2015-03-12,12.17,12.44,12.16,12.39,31172200,0.0,0,F
2015-03-13,12.39,12.46,12.26,12.42,27877700,0.0,0,F
2015-03-16,12.46,12.65,12.45,12.64,37731700,0.0,0,F
2015-03-17,12.56,12.64,12.54,12.56,20917700,0.0,0,F
2015-03-18,12.5,12.66,12.35,12.62,33748000,0.0,0,F
2015-03-19,12.59,12.62,12.48,12.52,18021500,0.0,0,F
2015-03-20,12.53,12.68,12.52,12.63,42096800,0.0,0,F
2015-03-23,12.62,12.83,12.62,12.7,30709000,0.0,0,F
2015-03-24,12.71,12.79,12.62,12.69,16661800,0.0,0,F
2015-03-25,12.67,12.69,12.4,12.4,21996200,0.0,0,F
2015-03-26,12.35,12.39,12.23,12.27,33327900,0.0,0,F
2015-03-27,12.31,12.34,12.15,12.25,53270400,0.0,0,F
2015-03-30,12.36,12.48,12.3,12.39,20537600,0.0,0,F
2015-03-31,12.36,12.49,12.33,12.37,21792600,0.0,0,F
2015-04-01,12.39,12.39,12.15,12.2,27365900,0.0,0,F
2015-04-02,12.21,12.3,12.15,12.29,15925400,0.0,0,F
2015-04-06,12.23,12.35,12.19,12.26,18522100,0.0,0,F
2015-04-07,12.23,12.24,12.1,12.19,26616700,0.0,0,F
2015-04-08,12.24,12.33,12.23,12.25,25147000,0.0,0,F
2015-04-09,12.26,12.32,12.17,12.23,23461900,0.0,0,F
2015-04-10,12.24,12.3,12.23,12.29,17657700,0.0,0,F
2015-04-13,12.26,12.33,12.16,12.16,22521100,0.0,0,F
2015-04-14,12.19,12.3,12.18,12.24,21745900,0.0,0,F
2015-04-15,12.27,12.33,12.26,12.32,25503500,0.0,0,F
2015-04-16,12.3,12.33,12.21,12.22,23494400,0.0,0,F
2015-04-17,12.17,12.17,12.04,12.08,32149000,0.0,0,F
2015-04-20,12.18,12.2,12.13,12.2,15250800,0.0,0,F
2015-04-21,12.2,12.25,12.08,12.13,18509500,0.0,0,F
2015-04-22,12.13,12.21,12.05,12.2,20312100,0.0,0,F
2015-04-23,12.14,12.19,12.03,12.08,28458000,0.0,0,F
2015-04-24,12.06,12.16,12.03,12.09,20293300,0.0,0,F
2015-04-27,12.13,12.26,12.09,12.19,34824900,0.0,0,F
2015-04-28,12.21,12.33,12.09,12.31,56634200,0.0,0,F
2015-04-29,12.27,12.46,12.24,12.4,35126900,0.15,0,F
2015-04-30,12.36,12.41,12.18,12.23,30269300,0.0,0,F
2015-05-01,12.3,12.33,12.15,12.23,20602200,0.0,0,F
2015-05-04,12.23,12.29,12.19,12.21,15078700,0.0,0,F
2015-05-05,12.2,12.24,12.01,12.02,32248900,0.0,0,F
2015-05-06,12.08,12.12,11.92,11.98,26381200,0.0,0,F
2015-05-07,11.96,12.04,11.71,12.0,26996600,0.0,0,F
2015-05-08,12.09,12.16,12.06,12.12,21336800,0.0,0,F
2015-05-11,12.11,12.26,12.1,12.11,17249800,0.0,0,F
2015-05-12,12.06,12.11,11.99,12.04,17670000,0.0,0,F
2015-05-13,12.02,12.09,11.89,11.92,20890400,0.0,0,F
2015-05-14,11.99,12.02,11.76,11.82,28794700,0.0,0,F
2015-05-15,11.82,11.99,11.82,11.98,18937700,0.0,0,F
2015-05-18,11.97,12.1,11.95,12.06,19491900,0.0,0,F
2015-05-19,12.06,12.09,11.95,11.99,15145300,0.0,0,F
2015-05-20,12.02,12.04,11.81,11.84,22391500,0.0,0,F
2015-05-21,11.82,12.03,11.81,12.0,23962000,0.0,0,F
2015-05-22,11.99,11.99,11.82,11.82,24795800,0.0,0,F
2015-05-26,11.82,11.87,11.72,11.75,25002900,0.0,0,F
2015-05-27,11.78,11.89,11.76,11.85,18763900,0.0,0,F
2015-05-28,11.82,11.87,11.79,11.83,13959000,0.0,0,F
2015-05-29,11.85,11.92,11.73,11.74,19060400,0.0,0,F
2015-06-01,11.86,11.95,11.75,11.88,26685300,0.0,0,F
2015-06-02,11.95,11.99,11.77,11.81,34974700,0.0,0,F
2015-06-03,11.83,11.85,11.7,11.76,24311600,0.0,0,F
2015-06-04,11.71,11.74,11.61,11.64,23428400,0.0,0,F
2015-06-05,11.62,11.62,11.44,11.44,44736900,0.0,0,F
2015-06-08,11.47,11.61,11.45,11.53,30240600,0.0,0,F
2015-06-09,11.54,11.61,11.48,11.51,20454700,0.0,0,F
2015-06-10,11.61,11.67,11.57,11.63,20961100,0.0,0,F
2015-06-11,11.69,11.88,11.67,11.82,27187100,0.0,0,F
2015-06-12,11.76,11.88,11.75,11.78,19847300,0.0,0,F
2015-06-15,11.65,11.69,11.58,11.64,23825400,0.0,0,F
2015-06-16,11.61,11.64,11.55,11.61,23359500,0.0,0,F
2015-06-17,11.61,11.67,11.5,11.62,25842100,0.0,0,F
2015-06-18,11.63,11.79,11.61,11.71,21360500,0.0,0,F
2015-06-19,11.68,11.8,11.65,11.69,24675100,0.0,0,F
2015-06-22,11.71,11.8,11.68,11.71,18863800,0.0,0,F
2015-06-23,11.78,11.92,11.78,11.83,21177800,0.0,0,F
2015-06-24,11.99,12.12,11.93,11.99,35401000,0.0,0,F
2015-06-25,12.01,12.04,11.91,11.95,23994400,0.0,0,F
2015-06-26,11.94,11.99,11.88,11.92,20428200,0.0,0,F
2015-06-29,11.78,11.84,11.54,11.62,38117400,0.0,0,F
2015-06-30,11.74,11.75,11.53,11.61,28509300,0.0,0,F
