Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-03-10,21.27,21.39,21.0,21.0,38939700,0.0,0.0,GE
2015-03-11,21.09,21.26,20.97,21.01,37646000,0.0,0.0,GE
2015-03-12,21.08,21.2,21.0,21.19,30544200,0.0,0.0,GE
2015-03-13,21.09,21.15,20.69,20.89,47119200,0.0,0.0,GE
2015-03-16,20.9,21.25,20.82,21.23,35994800,0.0,0.0,GE
2015-03-17,21.1,21.18,20.93,21.11,35629300,0.0,0.0,GE
2015-03-18,21.0,21.56,20.95,21.39,39834900,0.0,0.0,GE
2015-03-19,21.22,21.36,21.07,21.13,39847300,0.0,0.0,GE
2015-03-20,21.14,21.3,21.1,21.19,52657900,0.0,0.0,GE
2015-03-23,21.25,21.47,21.23,21.25,33263800,0.0,0.0,GE
2015-03-24,21.17,21.25,21.08,21.08,26833300,0.0,0.0,GE
2015-03-25,21.05,21.13,20.78,20.78,36293200,0.0,0.0,GE
2015-03-26,20.69,20.79,20.58,20.69,33804500,0.0,0.0,GE
2015-03-27,20.79,20.79,20.61,20.74,29453400,0.0,0.0,GE
2015-03-30,20.84,21.02,20.83,20.95,28372600,0.0,0.0,GE
2015-03-31,20.93,20.93,20.69,20.69,36338500,0.0,0.0,GE
2015-04-01,20.62,20.79,20.49,20.72,40299400,0.0,0.0,GE
2015-04-02,20.69,20.85,20.6,20.8,30381600,0.0,0.0,GE
2015-04-06,20.77,21.2,20.68,21.0,34782900,0.0,0.0,GE
2015-04-07,21.0,21.09,20.85,20.87,22112000,0.0,0.0,GE
2015-04-08,20.9,20.95,20.75,20.86,23336700,0.0,0.0,GE
2015-04-09,20.93,21.55,20.79,21.46,62555800,0.0,0.0,GE
2015-04-10,22.63,23.92,22.52,23.78,366809900,0.0,0.0,GE
2015-04-13,23.41,23.51,22.94,23.05,160144200,0.0,0.0,GE
2015-04-14,22.92,23.22,22.84,23.13,58008200,0.0,0.0,GE
2015-04-15,23.1,23.23,22.88,22.91,58676900,0.0,0.0,GE
2015-04-16,22.78,22.94,22.67,22.76,64857600,0.0,0.0,GE
2015-04-17,22.86,23.11,22.46,22.73,91306200,0.0,0.0,GE
2015-04-20,22.79,22.89,22.53,22.54,64154400,0.0,0.0,GE
2015-04-21,22.55,22.57,22.15,22.2,79947100,0.0,0.0,GE
2015-04-22,22.27,22.54,22.19,22.45,48938300,0.0,0.0,GE
2015-04-23,22.34,22.58,22.28,22.4,39692400,0.0,0.0,GE
2015-04-24,22.42,22.47,22.27,22.35,28822500,0.0,0.0,GE
2015-04-27,22.49,22.52,22.36,22.42,37666400,0.0,0.0,GE
2015-04-28,22.48,22.66,22.22,22.62,39963600,0.0,0.0,GE
2015-04-29,22.48,22.73,22.44,22.6,38640100,0.0,0.0,GE
2015-04-30,22.57,22.81,22.5,22.59,44704400,0.0,0.0,GE
2015-05-01,22.6,22.79,22.51,22.78,29435400,0.0,0.0,GE
2015-05-04,22.82,23.03,22.73,22.75,27249700,0.0,0.0,GE
2015-05-05,22.73,22.82,22.4,22.46,31561100,0.0,0.0,GE
2015-05-06,22.52,22.67,22.2,22.36,28871400,0.0,0.0,GE
2015-05-07,22.34,22.62,22.24,22.56,32279700,0.0,0.0,GE
2015-05-08,22.73,22.93,22.71,22.82,38710300,0.0,0.0,GE
2015-05-11,22.73,22.77,22.4,22.46,33751500,0.0,0.0,GE
2015-05-12,22.37,22.6,22.31,22.55,30981300,0.0,0.0,GE
2015-05-13,22.54,22.72,22.46,22.7,38657200,0.0,0.0,GE
2015-05-14,22.79,22.88,22.65,22.86,28055100,0.0,0.0,GE
2015-05-15,22.84,22.89,22.73,22.75,37199400,0.0,0.0,GE
2015-05-18,22.7,22.85,22.7,22.78,23389000,0.0,0.0,GE
2015-05-19,22.75,22.85,22.7,22.81,30316800,0.0,0.0,GE
2015-05-20,22.81,23.11,22.69,23.06,41780500,0.0,0.0,GE
2015-05-21,23.09,23.18,22.98,23.12,41923500,0.0,0.0,GE
2015-05-22,23.1,23.17,23.04,23.09,24220800,0.0,0.0,GE
2015-05-26,22.96,23.01,22.84,22.96,49363800,0.0,0.0,GE
2015-05-27,23.0,23.04,22.91,22.96,26339800,0.0,0.0,GE
2015-05-28,22.94,23.05,22.77,23.05,27475000,0.0,0.0,GE
2015-05-29,22.94,22.94,22.75,22.75,43327400,0.0,0.0,GE
2015-06-01,22.74,22.81,22.58,22.76,34655200,0.0,0.0,GE
2015-06-02,22.71,22.87,22.65,22.8,27378300,0.0,0.0,GE
2015-06-03,22.88,22.99,22.82,22.96,27358500,0.0,0.0,GE
2015-06-04,22.87,23.04,22.7,22.74,34694900,0.0,0.0,GE
2015-06-05,22.74,22.84,22.66,22.76,31873600,0.0,0.0,GE
2015-06-08,22.79,22.82,22.7,22.72,31005300,0.0,0.0,GE
2015-06-09,22.76,22.91,22.66,22.8,32358400,0.0,0.0,GE
2015-06-10,22.82,23.09,22.79,23.05,34502700,0.0,0.0,GE
2015-06-11,23.0,23.06,22.82,22.95,32643900,0.0,0.0,GE
2015-06-12,22.89,22.92,22.76,22.85,23057400,0.0,0.0,GE
2015-06-15,22.85,22.85,22.61,22.7,29638600,0.0,0.0,GE
2015-06-16,22.66,22.72,22.52,22.71,28672200,0.0,0.0,GE
2015-06-17,22.68,22.86,22.61,22.75,38010200,0.0,0.0,GE
2015-06-18,22.79,23.07,22.75,23.03,39187900,0.23,0.0,GE
2015-06-19,22.95,23.04,22.87,22.92,62678300,0.0,0.0,GE
2015-06-22,22.97,23.14,22.97,23.07,28604800,0.0,0.0,GE
2015-06-23,23.07,23.23,23.05,23.18,33811300,0.0,0.0,GE
2015-06-24,23.18,23.22,22.93,22.94,33754900,0.0,0.0,GE
2015-06-25,22.96,23.02,22.74,22.75,24275700,0.0,0.0,GE
2015-06-26,22.75,22.83,22.65,22.8,26808400,0.0,0.0,GE
2015-06-29,22.64,22.7,22.33,22.42,34707100,0.0,0.0,GE
2015-06-30,22.57,22.69,22.33,22.36,36980100,0.0,0.0,GE
2015-07-01,22.44,22.61,22.28,22.43,31644400,0.0,0.0,GE
2015-07-02,22.47,22.58,22.38,22.54,27042300,0.0,0.0,GE
2015-07-06,22.33,22.42,22.05,22.14,28972400,0.0,0.0,GE
2015-07-07,22.2,22.34,21.82,22.28,33952900,0.0,0.0,GE
2015-07-08,21.96,22.08,21.78,21.79,33311900,0.0,0.0,GE
2015-07-09,22.02,22.22,21.89,21.9,31627800,0.0,0.0,GE
2015-07-10,22.21,22.25,21.91,22.11,26374100,0.0,0.0,GE
2015-07-13,22.29,22.33,22.08,22.28,25297500,0.0,0.0,GE
2015-07-14,22.17,22.49,22.17,22.43,23186300,0.0,0.0,GE
2015-07-15,22.39,22.54,22.38,22.53,29042100,0.0,0.0,GE
2015-07-16,22.7,22.75,22.59,22.75,31860800,0.0,0.0,GE
2015-07-17,22.94,23.0,22.75,22.92,42838600,0.0,0.0,GE
2015-07-20,22.82,22.9,22.73,22.84,25674000,0.0,0.0,GE
2015-07-21,22.73,22.85,22.55,22.59,30453500,0.0,0.0,GE
2015-07-22,22.62,22.69,22.36,22.41,25098700,0.0,0.0,GE
2015-07-23,22.37,22.38,22.05,22.1,24129200,0.0,0.0,GE
2015-07-24,22.14,22.15,21.6,21.67,32369100,0.0,0.0,GE
2015-07-27,21.49,21.86,21.48,21.84,37728000,0.0,0.0,GE
2015-07-28,21.96,22.08,21.84,21.96,28868600,0.0,0.0,GE
2015-07-29,21.96,22.12,21.92,22.1,24947400,0.0,0.0,GE
2015-07-30,22.07,22.08,21.89,21.98,23003600,0.0,0.0,GE
2015-07-31,22.07,22.12,21.92,21.96,24125400,0.0,0.0,GE
2015-08-03,21.98,21.99,21.54,21.77,33883500,0.0,0.0,GE
2015-08-04,21.79,21.93,21.74,21.8,22864600,0.0,0.0,GE
2015-08-05,21.96,22.16,21.9,21.96,26490200,0.0,0.0,GE
2015-08-06,22.01,22.03,21.85,21.9,17990100,0.0,0.0,GE
2015-08-07,21.84,21.93,21.55,21.7,26952800,0.0,0.0,GE
2015-08-10,21.8,22.13,21.8,22.08,24418300,0.0,0.0,GE
2015-08-11,21.9,21.9,21.58,21.64,29364700,0.0,0.0,GE
2015-08-12,21.49,21.78,21.33,21.76,32733700,0.0,0.0,GE
2015-08-13,21.69,21.8,21.56,21.7,17075400,0.0,0.0,GE
2015-08-14,21.58,21.96,21.56,21.95,21617700,0.0,0.0,GE
2015-08-17,21.84,22.08,21.71,22.06,19992600,0.0,0.0,GE
2015-08-18,22.02,22.06,21.83,21.94,21162700,0.0,0.0,GE
2015-08-19,21.8,21.9,21.56,21.65,30315800,0.0,0.0,GE
2015-08-20,21.47,21.58,21.19,21.2,36031600,0.0,0.0,GE
2015-08-21,20.95,21.15,20.67,20.69,67705900,0.0,0.0,GE
2015-08-24,19.22,20.23,16.3,20.09,94885900,0.0,0.0,GE
2015-08-25,20.81,20.82,19.58,19.58,63209100,0.0,0.0,GE
2015-08-26,20.07,20.26,19.58,20.2,82124500,0.0,0.0,GE
2015-08-27,20.56,21.05,20.52,21.05,67489900,0.0,0.0,GE
2015-08-28,20.97,21.18,20.85,21.17,34260200,0.0,0.0,GE
2015-08-31,21.02,21.02,20.68,20.89,38487000,0.0,0.0,GE
2015-09-01,20.4,20.5,19.93,20.1,67957700,0.0,0.0,GE
2015-09-02,20.31,20.68,20.05,20.68,52500000,0.0,0.0,GE
2015-09-03,20.84,21.0,20.52,20.63,34907300,0.0,0.0,GE
2015-09-04,20.35,20.35,20.07,20.2,37053500,0.0,0.0,GE
2015-09-08,20.63,21.02,20.42,21.0,48061300,0.0,0.0,GE
2015-09-09,21.21,21.22,20.6,20.66,35995600,0.0,0.0,GE
2015-09-10,20.67,20.92,20.62,20.77,36444800,0.0,0.0,GE
2015-09-11,20.82,21.0,20.62,21.0,33179100,0.0,0.0,GE
2015-09-14,21.01,21.02,20.7,20.84,27287100,0.0,0.0,GE
2015-09-15,20.95,21.42,20.79,21.29,48188000,0.0,0.0,GE
2015-09-16,21.48,21.9,21.39,21.82,64001700,0.0,0.0,GE
2015-09-17,21.66,22.02,21.46,21.53,50797800,0.23,0.0,GE
2015-09-18,21.36,21.41,20.99,21.06,80984000,0.0,0.0,GE
2015-09-21,21.14,21.4,21.1,21.31,30803600,0.0,0.0,GE
2015-09-22,21.03,21.37,20.89,21.33,45973200,0.0,0.0,GE
2015-09-23,21.24,21.51,21.22,21.35,42837600,0.0,0.0,GE
2015-09-24,21.12,21.62,20.94,21.16,55369000,0.0,0.0,GE
2015-09-25,21.23,21.27,21.11,21.17,40508100,0.0,0.0,GE
2015-09-28,20.97,21.01,20.65,20.65,44346900,0.0,0.0,GE
2015-09-29,20.66,20.89,20.61,20.87,43251300,0.0,0.0,GE
2015-09-30,21.0,21.44,20.97,21.42,45508600,0.0,0.0,GE
2015-10-01,21.36,21.5,21.06,21.4,41312500,0.0,0.0,GE
2015-10-02,21.12,21.65,21.09,21.63,44383200,0.0,0.0,GE
2015-10-05,22.4,23.1,22.27,22.78,109640200,0.0,0.0,GE
2015-10-06,22.92,23.28,22.9,23.18,74785700,0.0,0.0,GE
