Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-03-10,5.45,5.49,5.16,5.16,64525100,0.0,0,PBR
2015-03-11,5.18,5.32,5.14,5.27,32610400,0.0,0,PBR
2015-03-12,5.34,5.46,5.04,5.07,32316500,0.0,0,PBR
2015-03-13,4.91,4.92,4.77,4.88,56835400,0.0,0,PBR
2015-03-16,4.95,5.0,4.79,4.96,31735900,0.0,0,PBR
2015-03-17,4.88,5.26,4.87,5.25,42929500,0.0,0,PBR
2015-03-18,5.14,5.52,5.09,5.51,55727800,0.0,0,PBR
2015-03-19,5.37,5.39,5.1,5.12,34734900,0.0,0,PBR
2015-03-20,5.29,5.47,5.26,5.44,30762400,0.0,0,PBR
2015-03-23,5.56,5.74,5.55,5.68,37058500,0.0,0,PBR
2015-03-24,5.77,5.82,5.64,5.73,32207200,0.0,0,PBR
2015-03-25,5.85,5.96,5.77,5.87,56527500,0.0,0,PBR
2015-03-26,5.94,6.01,5.6,5.64,45273600,0.0,0,PBR
2015-03-27,5.58,5.69,5.45,5.55,30671800,0.0,0,PBR
2015-03-30,5.57,5.8,5.55,5.77,25901900,0.0,0,PBR
2015-03-31,5.76,5.93,5.65,5.85,29842700,0.0,0,PBR
2015-04-01,6.07,6.33,6.03,6.18,60806200,0.0,0,PBR
2015-04-02,6.3,6.61,6.24,6.58,44720100,0.0,0,PBR
2015-04-06,6.71,6.89,6.59,6.62,49543800,0.0,0,PBR
2015-04-07,6.56,6.81,6.46,6.72,48839200,0.0,0,PBR
2015-04-08,7.01,7.04,6.64,6.74,56388100,0.0,0,PBR
2015-04-09,6.87,7.36,6.86,7.34,80670500,0.0,0,PBR
2015-04-10,7.23,7.55,7.22,7.55,59202800,0.0,0,PBR
2015-04-13,7.59,8.08,7.58,7.79,99935000,0.0,0,PBR
2015-04-14,7.96,8.06,7.7,8.0,67867100,0.0,0,PBR
2015-04-15,8.07,8.67,8.07,8.67,106225000,0.0,0,PBR
2015-04-16,8.55,8.61,8.13,8.45,75129900,0.0,0,PBR
2015-04-17,8.23,8.59,8.11,8.56,48751900,0.0,0,PBR
2015-04-20,8.6,8.72,8.49,8.54,38191700,0.0,0,PBR
2015-04-21,8.42,8.63,8.3,8.35,39231600,0.0,0,PBR
2015-04-22,8.38,8.74,8.27,8.7,48304200,0.0,0,PBR
