Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-03-10,67.73,68.67,67.66,67.72,8140600,0.0,0,SLB
2015-03-11,67.83,68.23,67.58,67.69,6157000,0.0,0,SLB
2015-03-12,67.85,68.0,67.27,67.41,7630200,0.0,0,SLB
2015-03-13,66.83,67.38,66.36,66.98,8836700,0.0,0,SLB
2015-03-16,66.56,67.8,66.36,67.68,8265500,0.0,0,SLB
2015-03-17,66.92,67.54,66.62,67.02,7954600,0.0,0,SLB
2015-03-18,66.68,68.85,66.12,68.34,11542100,0.0,0,SLB
2015-03-19,67.24,68.21,67.14,67.47,8425600,0.0,0,SLB
2015-03-20,67.97,69.28,67.91,68.6,14383800,0.0,0,SLB
2015-03-23,68.7,69.6,68.3,68.3,8932100,0.0,0,SLB
2015-03-24,68.21,68.72,68.01,68.17,6446100,0.0,0,SLB
2015-03-25,68.84,70.06,68.56,69.37,8243100,0.0,0,SLB
2015-03-26,69.96,70.46,68.93,69.26,8150500,0.0,0,SLB
2015-03-27,69.14,69.52,68.56,69.39,5729100,0.0,0,SLB
2015-03-30,69.86,70.57,69.47,70.36,6537900,0.0,0,SLB
2015-03-31,69.73,70.18,69.42,69.5,7304700,0.0,0,SLB
2015-04-01,69.96,70.63,69.63,70.2,7808400,0.0,0,SLB
2015-04-02,70.04,71.15,69.87,70.29,6039400,0.0,0,SLB
2015-04-06,70.76,72.49,70.64,71.55,8092500,0.0,0,SLB
2015-04-07,71.74,72.45,71.0,71.85,7175700,0.0,0,SLB
2015-04-08,72.09,72.53,71.01,71.73,8739200,0.0,0,SLB
2015-04-09,71.94,74.07,71.84,73.67,9207300,0.0,0,SLB
2015-04-10,73.94,74.43,73.46,74.22,7315700,0.0,0,SLB
2015-04-13,74.11,74.38,73.09,73.31,7936900,0.0,0,SLB
2015-04-14,73.79,74.41,73.59,73.96,12053100,0.0,0,SLB
2015-04-15,74.51,76.63,74.04,76.63,13207800,0.0,0,SLB
2015-04-16,76.0,77.67,75.15,76.53,17143200,0.0,0,SLB
2015-04-17,78.38,79.03,76.24,77.34,20002600,0.0,0,SLB
2015-04-20,77.11,78.12,76.8,77.02,8938000,0.0,0,SLB
2015-04-21,77.01,77.19,75.47,76.03,6850200,0.0,0,SLB
2015-04-22,76.52,77.01,75.88,76.76,5910200,0.0,0,SLB
2015-04-23,76.89,78.24,76.89,77.5,6192500,0.0,0,SLB
2015-04-24,77.05,77.2,75.93,76.3,7604000,0.0,0,SLB
2015-04-27,76.78,77.12,76.17,76.9,7422500,0.0,0,SLB
2015-04-28,76.7,77.29,76.19,77.18,4480500,0.0,0,SLB
2015-04-29,77.11,78.62,76.54,78.52,8134100,0.0,0,SLB
2015-04-30,78.48,79.23,77.82,78.8,8166600,0.0,0,SLB
2015-05-01,78.69,79.03,77.3,77.46,6926700,0.0,0,SLB
2015-05-04,78.44,78.44,76.94,77.44,4993700,0.0,0,SLB
2015-05-05,78.01,78.63,76.65,76.66,7349800,0.0,0,SLB
2015-05-06,77.22,77.93,76.25,76.85,6665500,0.0,0,SLB
2015-05-07,76.3,76.36,74.6,75.15,8670100,0.0,0,SLB
2015-05-08,76.06,77.09,75.07,76.98,6078900,0.0,0,SLB
2015-05-11,77.78,77.8,76.35,76.43,7335800,0.0,0,SLB
2015-05-12,76.11,77.41,75.91,77.02,5088100,0.0,0,SLB
2015-05-13,77.56,77.6,76.43,77.05,5913600,0.0,0,SLB
2015-05-14,77.29,77.67,76.54,76.77,5266400,0.0,0,SLB
2015-05-15,76.5,77.2,75.93,76.74,4640500,0.0,0,SLB
2015-05-18,76.59,77.46,76.33,77.25,4023600,0.0,0,SLB
2015-05-19,76.41,76.41,74.91,75.43,6213000,0.0,0,SLB
2015-05-20,75.54,75.94,74.81,75.58,4476300,0.0,0,SLB
2015-05-21,76.09,77.18,75.61,76.65,5117000,0.0,0,SLB
2015-05-22,76.18,76.92,75.6,76.64,4104200,0.0,0,SLB
2015-05-26,75.89,76.37,75.17,75.58,6106700,0.0,0,SLB
2015-05-27,75.03,76.37,75.03,75.79,5406800,0.0,0,SLB
2015-05-28,75.51,75.66,74.73,75.5,4400300,0.0,0,SLB
2015-05-29,75.81,76.33,75.59,75.6,6089700,0.0,0,SLB
2015-06-01,75.53,76.25,75.11,75.92,5003300,0.5,0,SLB
2015-06-02,76.26,77.56,76.0,76.63,5290600,0.0,0,SLB
2015-06-03,76.45,77.44,76.28,76.51,3967200,0.0,0,SLB
2015-06-04,76.08,76.5,75.37,75.43,6451800,0.0,0,SLB
2015-06-05,75.12,76.82,74.99,75.52,7120000,0.0,0,SLB
2015-06-08,75.23,75.94,74.65,74.85,7115200,0.0,0,SLB
2015-06-09,75.51,75.9,75.2,75.26,5077800,0.0,0,SLB
2015-06-10,76.2,76.91,75.99,76.74,6045600,0.0,0,SLB
2015-06-11,76.74,76.78,75.84,75.94,5134600,0.0,0,SLB
2015-06-12,75.58,75.88,75.22,75.5,3997800,0.0,0,SLB
2015-06-15,74.88,75.21,74.29,74.9,5330500,0.0,0,SLB
2015-06-16,75.04,75.19,74.62,75.12,3731700,0.0,0,SLB
2015-06-17,75.4,75.89,74.7,75.1,4656400,0.0,0,SLB
2015-06-18,75.45,75.84,74.2,74.23,7862800,0.0,0,SLB
2015-06-19,73.34,73.51,72.22,72.54,13888600,0.0,0,SLB
2015-06-22,72.79,73.06,71.86,72.84,7415400,0.0,0,SLB
2015-06-23,72.59,73.78,72.44,73.7,5931000,0.0,0,SLB
2015-06-24,73.08,73.8,72.89,73.29,6565600,0.0,0,SLB
2015-06-25,73.16,73.47,72.59,72.59,5865800,0.0,0,SLB
2015-06-26,72.35,73.13,72.08,72.59,25487300,0.0,0,SLB
2015-06-29,71.69,72.54,71.65,71.74,7008400,0.0,0,SLB
2015-06-30,72.34,72.44,71.2,72.18,8043500,0.0,0,SLB
2015-07-01,72.38,72.6,70.28,70.6,10109000,0.0,0,SLB
2015-07-02,70.85,71.1,70.3,70.36,7607200,0.0,0,SLB
2015-07-06,69.4,70.54,69.01,69.92,7612700,0.0,0,SLB
2015-07-07,70.04,70.89,68.86,70.52,9442300,0.0,0,SLB
2015-07-08,70.3,70.74,69.16,69.45,6747000,0.0,0,SLB
2015-07-09,70.58,70.63,69.79,69.97,7410500,0.0,0,SLB
2015-07-10,70.58,70.81,69.71,70.32,6512200,0.0,0,SLB
2015-07-13,70.37,70.75,69.91,70.59,5613700,0.0,0,SLB
2015-07-14,70.68,72.12,70.5,71.43,6151600,0.0,0,SLB
2015-07-15,70.99,71.17,69.95,70.04,8792900,0.0,0,SLB
2015-07-16,70.84,70.99,70.07,70.26,6623500,0.0,0,SLB
