Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-03-10,69.45,70.03,68.97,68.99,17195500,0.0,0,XOM
2015-03-11,69.54,69.54,68.78,68.79,13004700,0.0,0,XOM
2015-03-12,69.13,69.37,68.83,68.96,10792900,0.0,0,XOM
2015-03-13,68.7,68.92,67.7,68.67,16799900,0.0,0,XOM
2015-03-16,68.54,69.48,68.18,69.4,13516200,0.0,0,XOM
2015-03-17,69.22,69.47,68.79,68.84,12979700,0.0,0,XOM
2015-03-18,68.4,70.72,68.31,70.47,18745700,0.0,0,XOM
2015-03-19,69.75,70.01,69.05,69.11,12738500,0.0,0,XOM
2015-03-20,69.33,69.92,69.1,69.22,36083500,0.0,0,XOM
2015-03-23,69.61,70.23,69.6,69.95,17450700,0.0,0,XOM
2015-03-24,69.84,70.23,69.19,69.2,10174300,0.0,0,XOM
2015-03-25,69.64,70.06,69.41,69.48,11934700,0.0,0,XOM
2015-03-26,69.84,70.06,68.85,69.04,14400700,0.0,0,XOM
2015-03-27,68.81,68.82,68.23,68.43,11579300,0.0,0,XOM
2015-03-30,69.0,70.27,68.98,70.11,15653200,0.0,0,XOM
2015-03-31,69.47,69.87,69.15,69.6,13354000,0.0,0,XOM
2015-04-01,70.17,70.41,68.99,69.15,14522300,0.0,0,XOM
2015-04-02,68.85,69.55,68.65,69.02,11297400,0.0,0,XOM
2015-04-06,69.72,70.12,68.94,69.7,10916400,0.0,0,XOM
2015-04-07,69.6,70.55,69.4,70.21,11836100,0.0,0,XOM
2015-04-08,70.25,70.33,68.79,68.83,16257100,0.0,0,XOM
2015-04-09,68.78,69.37,68.62,69.31,13281800,0.0,0,XOM
2015-04-10,69.9,70.45,69.41,70.05,13372400,0.0,0,XOM
2015-04-13,70.35,70.62,69.79,69.87,9880500,0.0,0,XOM
2015-04-14,70.09,71.63,70.03,70.93,15693800,0.0,0,XOM
2015-04-15,71.35,72.49,71.35,72.12,15332800,0.0,0,XOM
2015-04-16,71.95,72.18,71.32,71.83,9570800,0.0,0,XOM
2015-04-17,71.35,71.53,70.55,71.18,14430100,0.0,0,XOM
2015-04-20,71.34,72.13,71.3,71.43,11593600,0.0,0,XOM
2015-04-21,71.54,71.74,70.98,71.14,10100500,0.0,0,XOM
2015-04-22,71.27,71.89,70.69,71.61,8663600,0.0,0,XOM
2015-04-23,71.53,72.36,71.49,71.68,9866100,0.0,0,XOM
2015-04-24,71.39,71.53,70.96,71.21,8405700,0.0,0,XOM
2015-04-27,71.57,71.72,71.04,71.24,10534600,0.0,0,XOM
2015-04-28,71.41,71.94,71.27,71.89,9633800,0.0,0,XOM
2015-04-29,71.64,72.11,71.2,71.95,12534100,0.0,0,XOM
2015-04-30,72.6,72.6,71.41,71.54,13947700,0.0,0,XOM
2015-05-01,71.93,72.83,71.81,72.75,12257100,0.0,0,XOM
2015-05-04,73.21,73.59,72.83,72.96,10343700,0.0,0,XOM
2015-05-05,73.67,73.76,72.48,72.55,11895000,0.0,0,XOM
2015-05-06,73.4,73.66,71.88,72.21,11273500,0.0,0,XOM
2015-05-07,72.05,72.13,71.17,71.72,9992500,0.0,0,XOM
2015-05-08,72.44,72.93,71.9,72.86,11390300,0.0,0,XOM
2015-05-11,73.09,73.12,71.53,71.64,11997800,0.73,0,XOM
2015-05-12,71.73,72.2,71.34,71.84,9788900,0.0,0,XOM
2015-05-13,72.05,72.43,71.33,71.46,8629400,0.0,0,XOM
2015-05-14,71.76,72.1,71.62,71.8,8791300,0.0,0,XOM
2015-05-15,71.66,72.33,71.49,72.11,8422200,0.0,0,XOM
2015-05-18,72.08,72.2,71.64,71.7,6395400,0.0,0,XOM
2015-05-19,71.39,72.0,71.17,71.81,9777100,0.0,0,XOM
2015-05-20,72.14,72.15,71.75,71.93,7276600,0.0,0,XOM
2015-05-21,72.05,72.19,71.79,72.0,8357400,0.0,0,XOM
2015-05-22,71.81,71.91,71.41,71.43,7598400,0.0,0,XOM
2015-05-26,71.03,71.3,70.2,70.46,11289000,0.0,0,XOM
2015-05-27,70.42,70.91,69.98,70.26,10778300,0.0,0,XOM
2015-05-28,70.26,70.64,70.02,70.26,8038900,0.0,0,XOM
2015-05-29,70.25,70.65,70.07,70.34,14631300,0.0,0,XOM
2015-06-01,70.38,70.56,70.01,70.28,9077500,0.0,0,XOM
2015-06-02,70.27,70.66,70.1,70.29,9328300,0.0,0,XOM
2015-06-03,70.36,70.86,70.06,70.13,8179500,0.0,0,XOM
2015-06-04,69.92,70.08,69.16,69.53,12607300,0.0,0,XOM
2015-06-05,69.45,70.17,69.33,69.58,11388500,0.0,0,XOM
