Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-02-12,46.06,46.74,45.58,46.71,1204300,0.0,0.0,DRI
2015-02-13,46.53,46.98,46.16,46.95,750700,0.0,0.0,DRI
2015-02-17,46.79,46.97,46.54,46.74,1112600,0.0,0.0,DRI
2015-02-18,46.74,47.39,46.68,47.29,1695600,0.0,0.0,DRI
2015-02-19,47.29,47.65,47.17,47.4,1291400,0.0,0.0,DRI
2015-02-20,47.39,47.53,47.19,47.32,1115700,0.0,0.0,DRI
2015-02-23,47.46,47.68,47.33,47.61,789100,0.0,0.0,DRI
2015-02-24,47.74,48.44,47.4,48.32,1425100,0.0,0.0,DRI
2015-02-25,48.3,49.05,48.26,48.92,1143100,0.0,0.0,DRI
2015-02-26,48.98,49.06,48.72,48.97,987400,0.0,0.0,DRI
2015-02-27,49.01,49.1,48.63,48.68,1244500,0.0,0.0,DRI
2015-03-02,48.71,49.34,48.59,48.97,1042600,0.0,0.0,DRI
2015-03-03,48.85,48.88,48.32,48.6,621400,0.0,0.0,DRI
2015-03-04,48.26,48.46,47.8,47.84,1058700,0.0,0.0,DRI
2015-03-05,47.87,49.09,47.87,48.84,1216100,0.0,0.0,DRI
2015-03-06,48.56,48.68,47.58,47.7,1394200,0.0,0.0,DRI
2015-03-09,47.77,48.36,47.71,48.19,728600,0.0,0.0,DRI
2015-03-10,47.98,48.06,47.32,47.52,1361500,0.0,0.0,DRI
2015-03-11,47.52,47.62,46.92,46.95,1137400,0.0,0.0,DRI
2015-03-12,47.23,48.44,47.14,48.32,1535200,0.0,0.0,DRI
2015-03-13,48.38,48.67,47.8,47.99,1174600,0.0,0.0,DRI
2015-03-16,48.33,49.41,48.32,49.37,1960200,0.0,0.0,DRI
2015-03-17,49.37,49.9,49.08,49.84,1707400,0.0,0.0,DRI
2015-03-18,49.84,50.01,49.15,49.58,2259200,0.0,0.0,DRI
2015-03-19,49.58,50.01,49.33,49.34,2118200,0.0,0.0,DRI
2015-03-20,51.25,51.52,49.88,50.77,6909600,0.0,0.0,DRI
2015-03-23,51.53,53.24,51.33,52.65,4187300,0.0,0.0,DRI
2015-03-24,52.54,53.53,52.54,53.04,2532200,0.0,0.0,DRI
2015-03-25,53.08,53.24,52.23,52.26,2721200,0.0,0.0,DRI
2015-03-26,51.97,52.25,51.36,51.92,2009700,0.0,0.0,DRI
2015-03-27,52.06,52.73,51.79,52.52,1753600,0.0,0.0,DRI
2015-03-30,52.74,53.19,52.63,52.8,1280900,0.0,0.0,DRI
2015-03-31,52.82,53.43,52.72,52.74,2235500,0.0,0.0,DRI
2015-04-01,52.58,52.62,51.23,51.32,2044000,0.0,0.0,DRI
2015-04-02,51.65,51.74,51.17,51.3,2214900,0.0,0.0,DRI
2015-04-06,51.08,51.33,50.54,50.62,1523600,0.0,0.0,DRI
2015-04-07,50.73,50.76,50.21,50.4,2776300,0.0,0.0,DRI
2015-04-08,50.62,51.85,50.6,51.82,1804100,0.55,0.0,DRI
2015-04-09,51.61,51.83,51.03,51.58,2501300,0.0,0.0,DRI
2015-04-10,51.91,53.24,51.89,52.81,2473300,0.0,0.0,DRI
2015-04-13,52.48,53.31,52.48,52.67,1461100,0.0,0.0,DRI
2015-04-14,52.58,52.67,52.04,52.13,1535200,0.0,0.0,DRI
2015-04-15,52.21,52.44,51.47,51.48,1325200,0.0,0.0,DRI
2015-04-16,51.45,51.7,50.86,51.0,1469100,0.0,0.0,DRI
2015-04-17,50.64,50.72,49.83,49.86,1869800,0.0,0.0,DRI
2015-04-20,50.14,50.28,49.91,50.07,1542200,0.0,0.0,DRI
2015-04-21,50.07,50.31,49.63,50.13,1515800,0.0,0.0,DRI
2015-04-22,50.13,50.22,49.78,50.06,1202100,0.0,0.0,DRI
2015-04-23,50.27,50.67,49.84,50.53,1953300,0.0,0.0,DRI
2015-04-24,50.72,51.58,50.37,51.45,1414500,0.0,0.0,DRI
2015-04-27,51.45,51.55,50.56,50.63,1366300,0.0,0.0,DRI
2015-04-28,50.5,50.96,50.29,50.96,1060100,0.0,0.0,DRI
2015-04-29,50.48,50.49,49.43,49.47,1996800,0.0,0.0,DRI
2015-04-30,49.24,49.61,48.75,48.96,1651600,0.0,0.0,DRI
2015-05-01,49.27,49.5,49.04,49.13,1244800,0.0,0.0,DRI
2015-05-04,49.14,49.4,48.46,48.51,1262100,0.0,0.0,DRI
2015-05-05,48.47,48.5,47.39,47.41,1702400,0.0,0.0,DRI
2015-05-06,47.53,47.8,47.07,47.32,1551100,0.0,0.0,DRI
2015-05-07,47.46,48.65,47.34,48.42,1762100,0.0,0.0,DRI
2015-05-08,48.82,49.77,48.82,49.1,1343100,0.0,0.0,DRI
2015-05-11,49.01,49.63,48.98,49.26,1445900,0.0,0.0,DRI
2015-05-12,48.87,49.11,48.28,48.89,952500,0.0,0.0,DRI
2015-05-13,48.93,49.22,48.11,48.18,1639400,0.0,0.0,DRI
2015-05-14,48.47,48.78,48.03,48.67,1059200,0.0,0.0,DRI
2015-05-15,48.84,49.11,48.74,49.08,735500,0.0,0.0,DRI
2015-05-18,48.97,49.3,48.78,49.19,686400,0.0,0.0,DRI
2015-05-19,49.3,50.21,49.06,50.0,1316900,0.0,0.0,DRI
2015-05-20,49.93,49.93,49.34,49.43,815500,0.0,0.0,DRI
2015-05-21,49.26,49.65,49.18,49.57,910600,0.0,0.0,DRI
