Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-02-12,10045.068,10219.1162,9746.6996,9895.8838,1500,0.0,0.0,GASL
2015-02-13,10517.4846,10915.3091,10368.3005,10865.5811,1300,0.0,0.0,GASL
2015-02-17,10890.4451,11636.366,10393.1645,11512.0459,1100,0.0,0.0,GASL
2015-02-18,11213.6775,11735.8221,10741.2609,10865.5811,900,0.0,0.0,GASL
2015-02-19,9846.1558,11288.2695,9473.1953,10965.0371,1300,0.0,0.0,GASL
2015-02-20,11064.4928,11387.7252,10542.3482,10815.8525,600,0.0,0.0,GASL
2015-02-23,10442.8922,10865.5807,10020.2037,10293.708,1000,0.0,0.0,GASL
2015-02-24,10592.0768,10741.2609,10194.2523,10442.8926,600,0.0,0.0,GASL
2015-02-25,10318.5727,11238.5418,10219.1166,11114.2217,800,0.0,0.0,GASL
2015-02-26,10741.2611,10766.1251,9672.1078,9821.292,1400,0.0,0.0,GASL
2015-02-27,10194.2522,10194.2522,9324.0111,9473.1953,700,0.0,0.0,GASL
2015-03-02,9348.875,9348.875,8752.1383,9025.6426,900,0.0,0.0,GASL
2015-03-03,9174.8275,9622.3801,9100.2354,9324.0117,400,0.0,0.0,GASL
2015-03-04,9597.515,9597.515,8702.41,9423.4668,1000,0.0,0.0,GASL
2015-03-05,9249.4191,9373.7393,8851.5947,8951.0508,500,0.0,0.0,GASL
2015-03-06,8727.2742,8901.3224,8229.9936,8279.7217,900,0.0,0.0,GASL
2015-03-09,8229.9939,8354.3141,7459.209,7459.209,1400,0.0,0.0,GASL
2015-03-10,7210.5688,7434.3451,6937.0645,6937.0645,900,0.0,0.0,GASL
2015-03-11,7260.2964,7260.2964,6787.8799,7210.5684,600,0.0,0.0,GASL
2015-03-12,7334.889,7434.3451,6887.3364,6887.3364,300,0.0,0.0,GASL
2015-03-13,6713.2881,6837.6082,6265.7355,6763.0161,1100,0.0,0.0,GASL
2015-03-16,6738.1521,6763.0161,6091.6873,6713.2881,800,0.0,0.0,GASL
2015-03-17,6638.6958,6837.6081,6439.7836,6588.9678,400,0.0,0.0,GASL
2015-03-18,6390.0559,7707.8495,6216.0076,7533.8013,1000,0.0,0.0,GASL
2015-03-19,6986.7922,7135.9764,6588.9677,6688.4238,900,0.0,0.0,GASL
2015-03-20,6986.7923,7285.1606,6837.6081,6912.2002,600,0.0,0.0,GASL
2015-03-23,7086.2484,7384.6168,6862.4722,6862.4722,700,0.0,0.0,GASL
2015-03-24,7160.8409,7384.6172,6862.4726,7334.8892,900,0.0,0.0,GASL
2015-03-25,7459.2087,8006.2174,7210.5684,7857.0332,900,0.0,0.0,GASL
2015-03-26,8304.5861,8627.8185,7732.7134,8006.2178,800,0.0,0.0,GASL
2015-03-27,7707.8494,7757.5774,7359.7529,7359.7529,500,0.0,0.0,GASL
2015-03-30,7310.0249,7782.4414,7260.2968,7732.7134,300,0.0,0.0,GASL
2015-03-31,7434.3452,7956.4898,7384.6171,7807.3057,400,0.0,0.0,GASL
2015-04-01,7881.8976,8404.0422,7881.8976,8105.6738,900,0.0,0.0,GASL
2015-04-02,8031.0821,8602.9549,7906.762,8578.0908,900,0.0,0.0,GASL
2015-04-06,8777.003,9398.6038,8627.8188,9324.0117,900,0.0,0.0,GASL
2015-04-07,9373.7395,10069.9324,9249.4194,9721.8359,1500,0.0,0.0,GASL
2015-04-08,9696.9712,9945.6115,8752.1382,8801.8662,1000,0.0,0.0,GASL
2015-04-09,9000.779,9498.0596,8876.4589,9398.6035,500,0.0,0.0,GASL
2015-04-10,9448.3315,9672.1078,9299.1473,9498.0596,400,0.0,0.0,GASL
2015-04-13,9672.1071,9821.2913,9249.4186,9423.4668,3800,0.0,0.0,GASL
2015-04-14,9622.3799,10592.0771,9622.3799,10592.0771,1500,0.0,0.0,GASL
2015-04-15,10915.3094,11984.4627,10616.9411,11860.1426,1800,0.0,0.0,GASL
2015-04-16,11710.9578,12282.8305,11114.2211,11586.6377,1200,0.0,0.0,GASL
2015-04-17,11362.862,11661.2304,10840.7173,11114.2217,1100,0.0,0.0,GASL
2015-04-20,11064.4938,11686.0946,11039.6298,11139.0859,700,0.0,0.0,GASL
2015-04-21,11188.8138,11387.726,9945.6122,10045.0684,1300,0.0,0.0,GASL
2015-04-22,10045.0684,10467.7569,9746.7,10045.0684,700,0.0,0.0,GASL
2015-04-23,10194.2528,10766.1255,10119.6607,10393.165,600,0.0,0.0,GASL
2015-04-24,10442.8923,10442.8923,9796.4275,10094.7959,900,0.0,0.0,GASL
2015-04-27,10144.5244,10393.1647,9696.9718,9821.292,700,0.0,0.0,GASL
2015-04-28,9821.2914,10169.3878,9647.2432,10069.9316,700,0.0,0.0,GASL
2015-04-29,10045.0685,11188.8139,9895.8843,10915.3096,1400,0.0,0.0,GASL
2015-04-30,11139.0861,11611.5027,10442.8932,11263.4062,1400,0.0,0.0,GASL
2015-05-01,11238.5417,11337.9978,10641.8049,10989.9014,800,0.0,0.0,GASL
2015-05-04,11039.6297,11437.4542,10666.6693,10915.3096,1100,0.0,0.0,GASL
2015-05-05,11313.1334,11710.9579,10268.8442,10318.5723,1700,0.0,0.0,GASL
2015-05-06,10915.3089,10915.3089,9821.2916,10094.7959,1700,0.0,0.0,GASL
