Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-02-12,100.63,101.19,100.48,101.15,22520300,0.0,0,QQQ
2015-02-13,101.44,102.04,101.24,102.02,29030200,0.0,0,QQQ
2015-02-17,102.02,102.18,101.76,102.11,17675300,0.0,0,QQQ
2015-02-18,101.99,102.31,101.85,102.26,15149600,0.0,0,QQQ
2015-02-19,102.19,102.83,102.16,102.76,19828100,0.0,0,QQQ
2015-02-20,102.69,103.51,102.37,103.45,28336700,0.0,0,QQQ
2015-02-23,103.39,103.58,103.16,103.55,17868000,0.0,0,QQQ
2015-02-24,103.42,103.75,103.11,103.63,19745000,0.0,0,QQQ
2015-02-25,103.48,103.88,103.14,103.37,19472300,0.0,0,QQQ
2015-02-26,103.48,103.95,103.19,103.9,22255500,0.0,0,QQQ
2015-02-27,103.86,103.93,103.28,103.44,27757600,0.0,0,QQQ
2015-03-02,103.64,104.41,103.62,104.37,22988600,0.0,0,QQQ
2015-03-03,104.06,104.16,103.23,103.89,20788900,0.0,0,QQQ
2015-03-04,103.54,103.7,102.92,103.49,21007400,0.0,0,QQQ
2015-03-05,103.75,103.98,103.24,103.67,15381000,0.0,0,QQQ
2015-03-06,103.53,103.73,102.24,102.49,30990400,0.0,0,QQQ
2015-03-09,102.7,103.05,102.28,102.79,26237100,0.0,0,QQQ
2015-03-10,102.06,102.08,100.88,100.88,34234500,0.0,0,QQQ
2015-03-11,101.03,101.16,100.26,100.3,25459700,0.0,0,QQQ
2015-03-12,100.22,101.07,100.16,100.96,21473200,0.0,0,QQQ
2015-03-13,100.86,101.26,99.89,100.52,42021100,0.0,0,QQQ
2015-03-16,100.89,101.85,100.79,101.82,25674100,0.0,0,QQQ
2015-03-17,101.54,102.14,101.3,101.98,19603800,0.0,0,QQQ
2015-03-18,101.7,103.45,101.18,102.98,40622200,0.0,0,QQQ
2015-03-19,103.09,103.42,102.93,103.13,31314000,0.0,0,QQQ
2015-03-20,103.98,104.32,103.78,103.8,31761400,0.248,0,QQQ
2015-03-23,103.74,104.03,103.56,103.6,17268500,0.0,0,QQQ
2015-03-24,103.59,104.07,103.21,103.23,22445300,0.0,0,QQQ
2015-03-25,103.39,103.49,100.83,100.86,41581400,0.0,0,QQQ
2015-03-26,100.03,101.09,99.7,100.52,47846300,0.0,0,QQQ
2015-03-27,100.5,101.16,100.35,100.92,33878400,0.0,0,QQQ
2015-03-30,101.53,102.17,101.53,102.08,30570200,0.0,0,QQQ
2015-03-31,101.79,102.0,100.97,101.0,30488100,0.0,0,QQQ
2015-04-01,101.0,101.02,99.82,100.47,32970500,0.0,0,QQQ
2015-04-02,100.57,100.87,100.21,100.54,19164200,0.0,0,QQQ
2015-04-06,99.95,101.64,99.79,101.36,24451100,0.0,0,QQQ
2015-04-07,101.3,102.05,101.19,101.19,19379400,0.0,0,QQQ
2015-04-08,101.23,102.14,101.22,101.99,25866900,0.0,0,QQQ
2015-04-09,101.95,102.67,101.6,102.63,23114700,0.0,0,QQQ
2015-04-10,102.6,103.06,102.37,103.06,17164300,0.0,0,QQQ
2015-04-13,103.13,103.66,102.68,102.8,17783500,0.0,0,QQQ
2015-04-14,102.69,102.99,101.92,102.5,23755700,0.0,0,QQQ
2015-04-15,102.77,103.36,102.64,103.14,21128600,0.0,0,QQQ
2015-04-16,102.86,103.18,102.72,103.0,16195300,0.0,0,QQQ
2015-04-17,102.01,102.29,100.95,101.39,46514000,0.0,0,QQQ
2015-04-20,101.9,103.09,101.86,102.91,28945900,0.0,0,QQQ
2015-04-21,103.5,103.69,103.23,103.35,22759800,0.0,0,QQQ
2015-04-22,103.62,104.09,102.95,103.92,21429200,0.0,0,QQQ
2015-04-23,103.56,104.78,103.54,104.31,29473200,0.0,0,QQQ
2015-04-24,105.41,105.87,105.24,105.72,32508100,0.0,0,QQQ
2015-04-27,106.12,106.32,105.23,105.46,31121300,0.0,0,QQQ
2015-04-28,105.53,105.73,104.36,105.25,36849200,0.0,0,QQQ
2015-04-29,104.66,105.27,104.01,104.59,34043900,0.0,0,QQQ
2015-04-30,103.99,104.41,102.4,102.94,44080500,0.0,0,QQQ
2015-05-01,103.34,104.37,103.32,104.3,32874300,0.0,0,QQQ
2015-05-04,104.63,105.12,104.41,104.47,23507300,0.0,0,QQQ
2015-05-05,104.06,104.25,102.72,102.77,47843300,0.0,0,QQQ
2015-05-06,102.95,103.25,101.38,102.06,42687200,0.0,0,QQQ
2015-05-07,102.03,102.96,101.96,102.67,29335800,0.0,0,QQQ
2015-05-08,103.73,104.17,103.58,103.95,33023300,0.0,0,QQQ
2015-05-11,104.02,104.23,103.48,103.55,19679300,0.0,0,QQQ
2015-05-12,102.94,103.61,102.15,103.08,33665000,0.0,0,QQQ
2015-05-13,103.53,104.07,103.14,103.29,20738400,0.0,0,QQQ
2015-05-14,104.14,104.89,103.75,104.81,23904200,0.0,0,QQQ
2015-05-15,105.07,105.22,104.55,104.81,23937400,0.0,0,QQQ
2015-05-18,104.63,105.47,104.56,105.26,17631100,0.0,0,QQQ
2015-05-19,105.38,105.54,104.98,105.15,14212900,0.0,0,QQQ
2015-05-20,105.23,105.85,104.66,105.22,21131900,0.0,0,QQQ
2015-05-21,105.04,105.91,104.88,105.76,16771800,0.0,0,QQQ
2015-05-22,105.64,106.04,105.57,105.66,13543800,0.0,0,QQQ
2015-05-26,105.43,105.57,104.02,104.44,25488400,0.0,0,QQQ
2015-05-27,104.76,106.24,104.53,106.13,30572700,0.0,0,QQQ
2015-05-28,105.92,106.17,105.56,105.89,17302400,0.0,0,QQQ
2015-05-29,105.82,105.96,105.01,105.26,30383000,0.0,0,QQQ
2015-06-01,105.82,105.9,104.75,105.61,24570200,0.0,0,QQQ
2015-06-02,105.22,105.79,104.7,105.27,19449600,0.0,0,QQQ
2015-06-03,105.75,105.98,105.33,105.59,20507200,0.0,0,QQQ
2015-06-04,105.0,105.67,104.45,104.79,31374600,0.0,0,QQQ
2015-06-05,104.66,104.91,103.9,104.54,22641700,0.0,0,QQQ
2015-06-08,104.49,104.57,103.27,103.48,24549200,0.0,0,QQQ
2015-06-09,103.23,103.68,102.53,103.3,27554600,0.0,0,QQQ
