Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-02-12,265.07,269.48,265.07,269.33,476200,0.0,0,SHW
2015-02-13,269.31,271.7,268.82,271.21,523000,0.0,0,SHW
2015-02-17,270.46,273.88,270.24,272.26,508200,0.0,0,SHW
2015-02-18,271.62,274.26,271.26,274.11,441400,0.0,0,SHW
2015-02-19,274.1,275.28,272.26,272.89,374100,0.0,0,SHW
2015-02-20,272.65,276.24,271.22,275.73,451100,0.0,0,SHW
2015-02-23,275.73,276.44,274.23,275.55,474700,0.0,0,SHW
2015-02-24,275.64,277.18,274.39,276.56,433500,0.0,0,SHW
2015-02-25,276.41,276.83,273.65,273.83,440800,0.0,0,SHW
2015-02-26,273.77,276.36,273.14,274.42,558700,0.67,0,SHW
2015-02-27,274.52,275.0,271.9,272.03,527000,0.0,0,SHW
2015-03-02,272.03,277.56,272.03,277.46,698300,0.0,0,SHW
2015-03-03,275.42,276.54,270.15,272.73,617900,0.0,0,SHW
2015-03-04,271.72,275.13,269.67,272.71,696500,0.0,0,SHW
2015-03-05,273.21,276.39,272.91,275.82,689800,0.0,0,SHW
2015-03-06,274.5,275.86,272.25,273.22,575800,0.0,0,SHW
2015-03-09,273.67,275.09,271.67,272.55,577000,0.0,0,SHW
2015-03-10,270.27,271.29,268.43,268.47,576600,0.0,0,SHW
2015-03-11,269.11,269.82,267.95,267.98,554300,0.0,0,SHW
2015-03-12,269.09,273.03,268.07,272.06,515300,0.0,0,SHW
2015-03-13,271.61,272.93,270.68,272.07,570900,0.0,0,SHW
2015-03-16,272.64,275.31,272.18,274.84,600400,0.0,0,SHW
2015-03-17,273.43,274.27,272.21,272.85,568800,0.0,0,SHW
2015-03-18,272.12,272.84,263.11,269.75,1240200,0.0,0,SHW
2015-03-19,270.07,272.58,269.33,271.36,858200,0.0,0,SHW
2015-03-20,273.27,276.61,271.64,276.61,2149800,0.0,0,SHW
2015-03-23,274.61,276.23,273.61,274.57,782600,0.0,0,SHW
2015-03-24,273.86,274.94,272.4,272.66,930600,0.0,0,SHW
2015-03-25,273.59,274.56,268.22,268.36,761500,0.0,0,SHW
2015-03-26,267.78,267.98,265.43,266.43,708300,0.0,0,SHW
2015-03-27,267.45,269.09,265.89,268.68,484900,0.0,0,SHW
2015-03-30,271.17,271.88,269.68,271.12,436700,0.0,0,SHW
2015-03-31,268.95,272.75,268.93,271.37,619900,0.0,0,SHW
2015-04-01,271.97,272.67,269.43,272.63,691300,0.0,0,SHW
2015-04-02,272.99,273.97,270.1,271.22,706600,0.0,0,SHW
2015-04-06,270.23,273.89,269.53,273.64,489800,0.0,0,SHW
2015-04-07,273.64,275.66,272.37,274.32,484900,0.0,0,SHW
2015-04-08,275.18,277.23,274.65,277.23,545500,0.0,0,SHW
2015-04-09,277.05,278.92,276.32,277.61,631000,0.0,0,SHW
2015-04-10,278.33,278.96,276.52,277.23,529600,0.0,0,SHW
2015-04-13,278.07,279.01,275.92,276.42,744100,0.0,0,SHW
2015-04-14,277.04,277.94,275.3,276.79,511800,0.0,0,SHW
2015-04-15,277.91,278.82,274.13,275.4,643900,0.0,0,SHW
2015-04-16,272.79,274.56,267.07,270.71,1331300,0.0,0,SHW
2015-04-17,268.92,271.55,267.92,269.12,940400,0.0,0,SHW
2015-04-20,270.43,271.85,267.93,268.9,591700,0.0,0,SHW
2015-04-21,270.23,270.91,268.0,269.38,564000,0.0,0,SHW
2015-04-22,269.84,269.84,266.84,268.64,529000,0.0,0,SHW
2015-04-23,268.27,270.55,267.15,269.33,704100,0.0,0,SHW
2015-04-24,269.67,271.21,268.2,269.57,718300,0.0,0,SHW
2015-04-27,269.88,271.61,269.02,269.85,682100,0.0,0,SHW
