Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2015-02-12,2473.43,2475.39,2387.05,2390.98,1300,0.0,0.0,SOXS
2015-02-13,2369.39,2396.87,2312.46,2332.09,1200,0.0,0.0,SOXS
2015-02-17,2336.02,2359.57,2304.61,2314.42,400,0.0,0.0,SOXS
2015-02-18,2343.87,2361.54,2312.46,2334.05,900,0.0,0.0,SOXS
2015-02-19,2341.9,2347.79,2292.83,2314.42,400,0.0,0.0,SOXS
2015-02-20,2326.2,2353.68,2257.49,2257.49,900,0.0,0.0,SOXS
2015-02-23,2288.9,2336.02,2288.9,2314.42,600,0.0,0.0,SOXS
2015-02-24,2324.24,2355.65,2218.23,2220.2,1100,0.0,0.0,SOXS
2015-02-25,2243.75,2273.2,2218.23,2257.49,800,0.0,0.0,SOXS
2015-02-26,2235.9,2245.72,2192.71,2214.31,1400,0.0,0.0,SOXS
2015-02-27,2214.31,2247.68,2192.71,2230.01,700,0.0,0.0,SOXS
2015-03-02,2175.05,2175.05,2039.6,2041.56,2600,0.0,0.0,SOXS
2015-03-03,2080.82,2161.3,2067.08,2157.38,2300,0.0,0.0,SOXS
2015-03-04,2165.23,2233.94,2147.56,2147.56,1100,0.0,0.0,SOXS
2015-03-05,2131.86,2186.82,2122.04,2157.38,500,0.0,0.0,SOXS
2015-03-06,2177.01,2243.75,2167.19,2230.01,1500,0.0,0.0,SOXS
2015-03-09,2204.49,2237.86,2188.79,2200.57,500,0.0,0.0,SOXS
2015-03-10,2237.86,2326.2,2231.97,2324.24,2000,0.0,0.0,SOXS
2015-03-11,2304.61,2310.5,2233.94,2306.57,1200,0.0,0.0,SOXS
2015-03-12,2387.05,2387.05,2308.53,2312.46,1100,0.0,0.0,SOXS
2015-03-13,2296.75,2337.98,2247.68,2261.42,1000,0.0,0.0,SOXS
2015-03-16,2237.86,2239.83,2159.34,2159.34,1100,0.0,0.0,SOXS
2015-03-17,2177.01,2243.75,2177.01,2206.45,800,0.0,0.0,SOXS
2015-03-18,2220.2,2292.83,2124.01,2155.42,1600,0.0,0.0,SOXS
2015-03-19,2175.05,2175.05,2125.97,2141.67,600,0.0,0.0,SOXS
2015-03-20,2094.56,2102.41,2031.74,2045.49,900,0.0,0.0,SOXS
2015-03-23,2057.26,2104.38,2043.52,2096.52,800,0.0,0.0,SOXS
2015-03-24,2104.38,2157.38,2096.52,2157.38,1100,0.0,0.0,SOXS
2015-03-25,2173.08,2463.61,2157.38,2463.61,3200,0.0,0.0,SOXS
2015-03-26,2630.47,2716.84,2508.76,2561.76,3600,0.0,0.0,SOXS
2015-03-27,2532.32,2573.54,2308.53,2339.94,2100,0.0,0.0,SOXS
2015-03-30,2281.05,2334.05,2230.01,2249.64,1300,0.0,0.0,SOXS
2015-03-31,2284.98,2336.02,2261.42,2318.35,1400,0.0,0.0,SOXS
2015-04-01,2341.9,2426.32,2336.02,2367.42,1500,0.0,0.0,SOXS
2015-04-02,2355.65,2390.98,2314.42,2385.09,900,0.0,0.0,SOXS
2015-04-06,2475.39,2491.1,2337.98,2355.65,1100,0.0,0.0,SOXS
2015-04-07,2355.65,2365.46,2288.9,2349.76,800,0.0,0.0,SOXS
2015-04-08,2377.24,2379.2,2284.98,2308.53,1100,0.0,0.0,SOXS
2015-04-09,2343.87,2349.76,2210.38,2218.23,800,0.0,0.0,SOXS
2015-04-10,2212.34,2224.12,2180.94,2180.94,300,0.0,0.0,SOXS
2015-04-13,2194.68,2239.83,2157.38,2230.01,600,0.0,0.0,SOXS
2015-04-14,2230.01,2322.27,2230.01,2296.75,1300,0.0,0.0,SOXS
2015-04-15,2267.31,2267.31,2163.27,2182.9,1000,0.0,0.0,SOXS
2015-04-16,2241.79,2245.72,2196.64,2208.42,500,0.0,0.0,SOXS
2015-04-17,2267.31,2337.98,2267.31,2304.61,1200,0.0,0.0,SOXS
2015-04-20,2279.09,2279.09,2218.23,2245.72,900,0.0,0.0,SOXS
2015-04-21,2155.42,2224.12,2147.56,2196.64,700,0.0,0.0,SOXS
2015-04-22,2167.19,2204.49,2104.38,2108.3,1100,0.0,0.0,SOXS
2015-04-23,2218.23,2255.53,2182.9,2204.49,1200,0.0,0.0,SOXS
2015-04-24,2212.34,2353.68,2212.34,2314.42,1700,0.0,0.0,SOXS
2015-04-27,2306.57,2316.38,2220.2,2288.9,1200,0.0,0.0,SOXS
2015-04-28,2304.61,2381.17,2271.24,2284.98,1000,0.0,0.0,SOXS
2015-04-29,2330.13,2394.91,2300.68,2326.2,1100,0.0,0.0,SOXS
2015-04-30,2359.57,2428.28,2310.5,2389.02,1600,0.0,0.0,SOXS
2015-05-01,2318.35,2324.24,2165.23,2182.9,2200,0.0,0.0,SOXS
2015-05-04,2157.38,2212.34,2151.49,2200.57,900,0.0,0.0,SOXS
2015-05-05,2241.79,2345.83,2226.09,2336.02,1500,0.0,0.0,SOXS
