DateTime,GS_data,VBR_data,SPGI_data,MTB_data,CTAS_data,IJJ_data,IJK_data,MDY_data,HD_data,CLX_data,XLF_data,TVIX_data,SOXL_data,PXJ_data,GASL_data,XBI_data,SSO_data,AMGN_data,UVXY_data,VHT_data,LRCX_data,IYT_data,SDS_data,ISRG_data,TZA_data,VO_data,UPRO_data,SOXX_data,ITA_data,LQD_data,NFLX_data,IFF_data,NEE_data,SBUX_data,MCK_data,IWN_data,IWO_data,VTI_data,IEI_data,SNA_data,AMZA_data,AVGO_data,ROP_data,IVW_data,IVV_data,SOXS_data,NOC_data,AVB_data,SQQQ_data,IHI_data,IWD_data,PSA_data,IJT_data,QLD_data,SPAB_data,TECL_data,AGG_data,GOOG_data,BXP_data,VCR_data,MUB_data,ACN_data,SPY_data,SUB_data,JNJ_data,JNK_data,CHTR_data,TDG_data,TNA_data,UNH_data,SVXY_data,IBB_data,VB_data,STZ_data,ZBH_data,CMCSA_data,TMO_data,VBK_data,COO_data,BDX_data,CTXS_data,IWB_data,IJS_data,IJR_data,LMT_data,ECL_data,ANTM_data,IWV_data,APD_data,EBAY_data,VOT_data,XRT_data,VIOG_data,TRV_data,FRT_data,TECS_data,ARNC_data,IGIB_data,NVDA_data,TLH_data,RRC_data,SBAC_data,IYC_data,IUSG_data,KMB_data,VGT_data,GWW_data,BBH_data,APTV_data,IWF_data,IBM_data,MSFT_data,UHS_data,PPG_data,HON_data,IYH_data,AAPL_data,SRTY_data,SHV_data,INTU_data,SHW_data,VOO_data,IWM_data,FAZ_data,IGV_data,SPXS_data,EQIX_data,ADS_data,SPXL_data,ONEQ_data,SDOW_data,RYH_data,VUG_data,IYW_data,VOOG_data,CMI_data,ESS_data,IJH_data,AYI_data,HUM_data,DRI_data,DHR_data,TIP_data,DIA_data,FDX_data,TQQQ_data,AGZ_data,VAR_data,EXPE_data,VIOO_data,WLTW_data,ITOT_data,PXD_data,VDC_data,ROST_data,QID_data,GOOGL_data,CXO_data,WHR_data,HII_data,URTY_data,MLM_data,ERUS_data,RTN_data,UDOW_data,BLK_data,MCD_data,ZROZ_data,AGN_data,IEF_data,FINZ_data,AMZN_data,VONG_data,QQQ_data,IGSB_data,FAST_data,AAP_data,TLT_data,GVI_data,IHF_data,SPXU_data
20150212,176.04,96.68,96.43,110.45,77.72,119.56,157.37,254.37,100.18,94.99,13.9,655000.0,33.13,15.6879,9895.8838,66.46,64.09,134.89,57950.0,120.61,74.56,152.71,82.02,169.24,222.21,117.41,22.59,89.01,113.53,102.55,65.25,103.8,90.36,42.02,215.4,92.13,139.85,98.06,113.51,131.68,8.7848,97.67,160.09,106.36,189.57,2390.98,154.36,148.56,417.11,113.08,93.12,171.1,120.06,35.63,25.57,36.71,97.52,541.44,125.99,112.27,97.79,80.09,189.32,100.51,85.81,88.54,177.03,155.39,40.63,101.54,114.02,105.87,110.67,106.89,113.43,26.61,124.59,124.82,162.79,132.85,49.87,106.3,108.29,53.76,172.67,104.33,131.85,113.62,122.66,22.7,100.21,45.35,102.77,96.35,124.76,200.11,33.63,47.72,21.5,124.08,49.2795,119.31,135.26,37.5,93.89,100.67,210.79,119.25,60.7,92.61,127.31,38.68,102.27,107.1,88.68,137.95,116.38,113.54,104.8,85.05,269.33,173.21,112.81,243.08,93.93,94.53,196.61,273.59,21.51,180.11,303.35,144.19,101.01,101.64,95.59,117.64,198.25,138.08,160.04,148.58,46.71,43.21,103.81,160.6,167.75,17.33,104.47,81.22,85.43,97.76,117.34,43.33,146.38,112.52,45.56,142.96,546.01,114.93,186.16,115.93,47.37,135.79,21.59,96.87,35.31,329.55,82.79,109.33,268.02,97.52,44.9684,377.17,94.75,101.15,47.6,18.25,150.16,114.45,101.09,117.3,137.65
20150213,175.32,97.19,96.43,110.92,77.18,120.3,158.14,256.02,99.94,95.63,13.89,642500.0,33.84,16.2562,10865.5811,66.91,64.61,135.15,56425.0,121.22,75.57,153.12,81.33,170.24,217.89,118.02,22.88,89.64,114.31,102.15,66.59,105.78,88.88,41.91,215.51,92.59,140.91,98.53,113.38,132.33,8.9214,98.07,161.21,106.83,190.42,2332.09,154.22,146.36,406.14,113.99,93.41,170.11,120.66,36.23,25.53,37.4,97.41,547.51,124.6,113.02,97.67,80.72,190.1,100.36,86.84,88.76,177.88,156.86,41.36,101.17,115.48,106.87,111.25,106.44,114.56,27.11,125.36,125.64,164.97,133.52,50.49,106.78,108.9,54.05,172.21,105.13,130.97,114.15,123.13,23.41,100.94,45.62,103.26,96.31,124.26,196.2,33.98,47.65,21.51,123.48,49.3474,121.31,136.0,37.74,94.59,101.49,211.29,120.09,61.44,93.2,128.82,39.38,103.1,108.82,89.43,138.73,116.95,111.48,104.81,85.87,271.21,173.97,113.49,243.08,95.23,93.16,196.58,275.22,21.8,181.67,300.87,144.92,101.6,102.53,96.08,120.41,197.12,138.89,160.81,147.56,46.95,43.32,103.6,161.05,167.91,17.77,104.54,81.24,85.35,98.29,116.01,43.53,155.98,112.16,45.8,140.42,551.16,116.43,186.32,116.88,48.2,138.8,22.04,96.54,35.61,330.57,83.28,107.96,271.55,97.2,43.2927,381.83,95.32,102.02,47.6,18.36,148.91,113.27,100.93,117.02,135.87
20150217,176.27,97.34,97.38,111.03,77.39,120.37,158.11,255.97,100.03,95.51,13.94,645000.0,34.18,16.5357,11512.0459,68.17,64.86,135.82,56700.0,121.99,75.3,153.27,81.05,171.33,216.71,118.16,23.0,89.92,114.11,101.67,67.14,106.0,88.71,42.11,216.62,92.69,141.53,98.68,112.96,132.35,8.9898,98.71,162.76,107.05,190.77,2314.42,154.65,146.29,405.06,114.67,93.59,170.55,120.88,36.31,25.43,37.41,97.01,541.35,123.87,112.88,97.59,80.28,190.4,100.37,87.56,88.72,176.45,156.53,41.7,101.46,115.12,107.98,111.45,107.48,115.58,26.81,125.77,125.75,163.07,133.62,50.22,106.94,108.99,54.1,172.75,105.18,131.63,114.3,123.66,23.39,101.1,45.58,103.44,96.31,123.93,196.39,33.85,47.53,21.58,122.33,50.9005,121.82,135.91,37.82,94.82,101.54,210.37,121.05,61.28,93.3,129.26,39.4,104.93,108.39,89.1,139.57,117.64,110.5,104.82,85.72,272.26,174.25,113.84,241.12,95.05,92.77,194.4,272.93,21.89,181.74,299.78,145.61,101.72,102.55,96.19,120.36,196.7,138.97,160.9,149.67,46.74,43.31,103.08,161.25,170.83,17.82,104.07,81.43,84.59,98.1,115.67,43.58,155.79,112.17,46.12,140.22,545.01,117.47,186.56,117.25,48.55,137.31,22.17,96.09,35.74,334.34,82.14,105.19,273.0,96.51,43.2927,375.43,95.36,102.11,47.62,18.41,148.98,111.57,100.71,117.64,135.33
20150218,175.01,97.53,99.09,108.95,77.43,120.55,158.94,256.77,100.03,96.31,13.85,632500.0,33.84,16.4145,10865.5811,69.05,64.84,137.18,55825.0,122.29,75.31,153.82,81.09,170.95,215.93,118.58,22.98,89.69,115.04,102.04,67.87,106.96,91.34,42.56,216.23,92.64,141.89,98.74,113.37,132.32,8.8973,97.94,163.1,107.28,190.73,2334.05,154.72,148.4,403.67,115.48,93.45,170.57,121.39,36.41,25.53,37.53,97.28,538.22,125.22,112.89,97.81,80.39,190.42,100.61,87.14,88.94,174.29,157.24,41.81,101.47,115.9,108.84,111.76,107.99,115.5,26.54,125.74,126.26,164.88,133.69,49.87,107.01,108.99,54.23,173.62,105.08,131.7,114.38,123.99,23.59,101.43,45.55,103.85,96.29,125.02,195.42,34.06,47.72,21.33,122.79,50.3666,121.81,136.09,37.88,95.19,101.72,212.0,122.24,61.23,93.5,130.25,39.36,105.08,109.19,89.64,139.88,118.46,110.27,104.83,85.4,274.11,174.29,113.96,243.67,95.46,92.67,197.62,271.63,21.9,182.03,300.09,146.12,101.95,102.74,96.38,121.39,198.23,139.42,159.24,150.2,47.29,43.64,103.51,161.16,171.06,17.9,103.83,82.23,85.04,98.67,115.21,43.58,155.09,112.75,46.05,139.8,542.65,117.57,185.72,119.95,48.74,138.53,22.42,96.54,35.69,332.17,82.34,105.92,270.24,96.97,42.997,373.37,95.67,102.26,47.7,18.61,151.94,112.23,100.94,117.64,135.37
20150219,175.42,97.53,98.97,108.51,77.51,120.5,158.56,256.5,99.09,95.88,13.79,605000.0,34.15,16.3214,10965.0371,69.64,64.77,137.42,53425.0,122.46,76.37,153.92,81.17,170.49,215.14,118.55,22.93,89.93,116.49,102.02,67.8,108.62,90.43,42.64,215.95,92.46,142.31,98.71,113.16,132.45,8.9174,98.74,162.35,107.39,190.58,2314.42,156.98,144.82,397.5,115.08,93.1,166.9,121.31,36.77,25.49,37.87,97.21,541.38,122.29,113.26,97.68,81.15,190.28,100.53,87.78,88.85,174.53,159.39,41.93,101.71,118.78,109.69,111.71,108.09,115.4,26.37,125.54,126.25,164.12,133.22,50.32,106.96,108.96,54.18,176.37,105.28,132.46,114.33,125.77,23.9,101.45,45.57,103.81,96.3,122.77,193.46,34.38,47.67,21.38,122.43,50.4928,120.66,136.05,38.0,94.3,102.13,211.91,122.95,61.99,93.67,131.62,39.33,105.31,108.85,89.7,140.08,118.21,109.96,104.83,86.69,272.89,174.17,113.97,246.62,95.77,92.86,198.06,270.72,21.86,182.88,301.96,146.1,102.1,103.17,96.56,121.93,194.39,139.19,157.72,148.15,47.4,43.53,103.43,160.83,169.98,18.17,104.06,81.21,87.08,98.56,115.79,43.55,158.26,112.11,46.15,138.45,546.45,117.68,185.53,124.24,48.83,138.58,22.28,97.47,35.44,331.95,82.0,105.2,275.42,96.73,41.8536,379.0,95.96,102.76,47.68,18.56,151.99,111.49,100.81,117.6,135.56
20150220,177.65,97.95,98.73,108.63,77.97,121.27,160.01,258.33,100.25,95.58,13.9,570000.0,34.76,16.1071,10815.8525,70.18,65.51,138.83,49525.0,123.77,77.07,154.8,80.2,171.1,213.57,119.35,23.35,90.47,117.88,102.17,68.31,109.79,90.58,42.79,219.61,92.59,142.72,99.26,113.08,133.41,9.042,99.77,163.22,108.12,191.74,2257.49,158.89,146.51,389.62,116.26,93.65,168.07,121.58,37.26,25.49,38.51,97.22,537.47,123.09,114.03,97.79,81.35,191.42,100.45,88.01,89.03,175.89,160.71,42.21,104.11,122.84,111.16,112.32,109.0,116.73,26.67,128.86,127.01,165.58,135.19,50.81,107.63,109.02,54.27,178.36,105.99,134.26,115.02,127.04,24.06,102.34,45.83,104.04,96.15,124.5,190.92,33.93,47.67,21.54,122.33,50.3181,120.89,137.06,38.23,94.55,102.78,214.24,124.72,61.88,94.33,131.43,39.66,105.99,109.38,90.27,141.65,119.17,109.22,104.82,92.02,275.73,175.23,114.28,240.33,96.74,91.25,203.21,271.18,22.24,183.66,294.49,147.73,102.82,103.77,97.19,123.45,197.01,140.19,157.64,150.89,47.32,43.75,103.43,162.2,169.84,18.51,104.56,81.46,88.03,98.76,115.81,43.84,156.87,112.41,46.63,136.56,541.8,116.54,186.35,128.62,49.18,136.9,22.13,98.2,36.36,331.1,82.0,105.63,281.44,96.67,44.239,383.66,96.55,103.45,47.68,18.48,153.77,111.81,100.79,118.77,133.09
20150223,176.53,97.95,98.57,108.5,78.17,120.99,160.25,258.35,100.28,96.27,13.86,575000.0,34.07,15.8463,10293.708,70.77,65.5,139.5,49875.0,124.28,76.47,155.0,80.24,171.23,212.79,119.29,23.33,89.9,117.6,102.52,67.41,109.65,90.91,42.82,220.24,92.76,142.81,99.25,113.35,133.18,8.9616,100.48,163.33,108.28,191.68,2314.42,157.34,148.62,388.08,116.62,93.49,168.77,121.89,37.34,25.55,38.61,97.4,530.45,124.47,113.86,97.99,81.42,191.4,100.6,87.94,89.12,175.88,167.54,42.37,107.6,122.24,111.68,112.29,108.25,116.47,26.54,128.67,126.97,164.79,136.47,49.37,107.59,109.01,54.36,179.76,104.94,136.82,114.99,125.79,24.08,102.32,45.82,104.33,95.49,125.52,189.95,33.33,47.75,21.36,123.03,49.8425,119.01,137.11,38.23,94.58,102.78,212.46,125.57,61.83,94.42,130.83,39.92,106.5,109.31,89.43,142.09,122.39,108.83,104.81,91.66,275.55,175.19,114.39,242.3,95.96,91.39,201.12,268.51,22.23,184.08,295.42,148.34,102.88,103.83,97.33,122.59,198.68,140.22,158.23,159.01,47.61,43.34,103.63,162.01,169.65,18.59,104.27,81.69,90.37,98.9,115.81,43.83,154.34,112.73,47.07,136.21,535.0,116.39,186.29,133.03,49.31,137.08,21.08,98.91,36.23,330.91,82.11,107.29,278.29,97.12,43.9433,380.14,96.61,103.55,47.67,18.24,155.87,113.1,101.04,120.85,133.32
20150224,178.31,98.24,98.46,108.84,78.63,121.4,160.13,258.68,104.28,95.96,13.93,532500.0,35.45,15.7531,10442.8926,69.4,65.88,138.58,45700.0,124.07,77.43,155.67,79.73,170.62,212.0,119.39,23.53,91.1,117.84,103.19,67.84,110.91,90.99,42.76,220.6,92.83,142.99,99.48,113.79,134.08,8.9657,100.77,162.8,108.4,192.25,2220.2,157.04,144.71,387.15,116.64,93.83,166.66,122.02,37.39,25.65,38.9,97.83,534.62,122.11,114.27,98.17,81.67,191.94,100.63,88.4,89.28,177.77,169.38,42.48,106.7,127.44,110.73,112.41,108.96,116.9,26.97,129.53,126.77,164.2,138.16,49.82,107.91,109.46,54.49,180.66,106.43,136.76,115.26,126.5,24.21,102.41,45.74,104.42,95.91,123.44,187.41,33.83,47.87,21.59,124.0,49.7357,117.46,137.71,38.31,94.07,103.03,213.67,124.66,61.54,94.52,132.37,39.86,106.63,109.44,89.83,141.89,121.63,108.52,104.81,92.65,276.56,175.7,114.54,240.53,96.08,90.41,200.44,265.21,22.42,184.5,290.6,148.2,102.93,104.07,97.41,122.79,194.06,140.39,158.85,158.93,48.32,43.43,104.25,162.89,169.17,18.63,104.62,82.03,89.83,99.04,115.77,43.95,155.5,113.11,46.7,135.94,538.65,112.69,187.25,130.47,49.44,136.95,21.3,99.39,36.77,332.39,82.69,109.68,275.11,97.76,43.9433,378.59,96.78,103.63,47.76,18.19,155.09,114.58,101.32,120.21,132.08
20150225,177.84,98.17,98.14,108.82,79.13,121.25,159.92,258.39,103.88,95.63,13.93,542500.0,34.85,15.8929,11114.2217,71.17,65.72,139.2,46225.0,124.29,76.79,154.95,79.89,169.22,211.41,119.62,23.45,90.63,116.97,103.28,68.33,110.22,89.67,43.13,220.03,92.74,143.53,99.44,113.84,135.26,9.1264,100.33,162.96,108.31,192.11,2257.49,155.61,143.92,390.24,116.31,93.72,166.48,122.01,37.2,25.66,38.24,97.9,542.38,121.58,115.08,98.15,81.44,191.78,100.61,88.84,89.33,182.21,168.01,42.64,105.43,126.44,112.16,112.51,107.49,115.71,27.18,128.76,127.14,163.23,137.61,50.2,107.83,109.33,54.48,179.12,108.93,136.47,115.21,126.55,24.19,103.0,45.85,104.15,95.34,123.03,191.7,32.24,47.97,21.43,124.27,52.3273,119.4,138.13,38.38,93.87,102.5,215.54,126.4,62.33,94.55,130.75,39.77,107.28,108.93,89.91,142.08,118.52,108.01,104.81,92.9,273.83,175.51,114.67,239.94,96.5,90.66,197.17,265.47,22.35,184.45,290.14,148.2,103.05,103.33,97.39,123.13,193.37,140.22,157.46,159.83,48.92,43.52,104.43,162.94,167.12,18.48,104.48,82.09,90.24,98.93,115.5,43.92,158.45,112.77,46.89,136.71,547.33,116.1,187.78,132.71,49.73,136.18,21.72,98.46,36.85,330.47,85.9,110.7,276.38,97.85,43.0167,385.37,96.82,103.37,47.72,18.33,154.95,115.07,101.43,120.09,132.47
20150226,178.85,98.18,97.96,109.26,79.42,120.92,159.6,257.7,103.05,95.72,13.9,520000.0,35.56,15.66,9821.292,71.67,65.58,139.99,45125.0,124.7,76.65,154.18,80.08,168.78,209.06,119.2,23.37,91.25,116.52,102.72,69.0,110.19,89.41,43.27,220.12,92.89,144.19,99.38,113.39,134.46,8.8652,115.08,163.48,108.45,191.89,2214.31,154.1,142.42,384.22,116.21,93.36,165.2,122.17,37.58,25.58,39.03,97.55,553.96,120.32,114.79,97.94,81.17,191.55,100.58,90.24,89.44,182.18,166.61,43.08,105.07,127.86,112.6,112.54,109.03,116.48,26.97,127.85,127.2,165.22,138.01,49.68,107.69,109.91,54.65,177.34,109.4,136.24,115.13,126.21,24.27,102.63,45.81,104.54,96.15,121.34,187.99,32.47,47.82,21.48,123.82,49.328,119.65,137.83,38.4,93.66,103.13,216.25,126.71,61.72,94.65,129.19,39.84,110.63,109.01,89.26,142.52,120.02,107.0,104.81,92.94,274.42,175.31,115.09,242.1,97.37,90.95,195.46,268.29,22.27,185.02,289.98,148.55,103.05,104.08,97.48,123.17,191.6,139.96,156.72,157.88,48.97,43.81,104.35,162.98,166.13,18.76,104.46,81.07,88.94,99.23,115.33,43.86,154.18,112.87,47.17,135.36,559.29,112.31,186.6,133.25,50.18,135.74,21.46,97.95,36.86,329.67,87.39,108.12,275.79,97.27,41.1833,384.8,96.88,103.9,47.69,18.24,154.08,113.5,101.11,120.51,132.85
