DateTime,GASL_data,AGG_data
20150212,9895.8838,97.52
20150213,10865.5811,97.41
20150217,11512.0459,97.01
20150218,10865.5811,97.28
20150219,10965.0371,97.21
20150220,10815.8525,97.22
20150223,10293.708,97.4
20150224,10442.8926,97.83
20150225,11114.2217,97.9
20150226,9821.292,97.55
20150227,9473.1953,97.79
20150302,9025.6426,97.3
20150303,9324.0117,97.17
20150304,9423.4668,97.23
20150305,8951.0508,97.27
20150306,8279.7217,96.64
20150309,7459.209,96.88
20150310,6937.0645,97.11
20150311,7210.5684,97.31
20150312,6887.3364,97.39
20150313,6763.0161,97.2
20150316,6713.2881,97.41
20150317,6588.9678,97.39
20150318,7533.8013,98.11
20150319,6688.4238,97.76
20150320,6912.2002,98.06
20150323,6862.4722,98.08
20150324,7334.8892,98.35
20150325,7857.0332,98.16
20150326,8006.2178,97.81
20150327,7359.7529,97.95
20150330,7732.7134,97.99
20150331,7807.3057,98.16
20150401,8105.6738,98.48
20150402,8578.0908,98.35
20150406,9324.0117,98.41
20150407,9721.8359,98.43
20150408,8801.8662,98.44
20150409,9398.6035,98.19
20150410,9498.0596,98.19
20150413,9423.4668,98.29
20150414,10592.0771,98.4
20150415,11860.1426,98.53
20150416,11586.6377,98.48
20150417,11114.2217,98.56
20150420,11139.0859,98.49
20150421,10045.0684,98.38
20150422,10045.0684,98.09
20150423,10393.165,98.24
20150424,10094.7959,98.41
20150427,9821.292,98.44
20150428,10069.9316,98.07
20150429,10915.3096,97.84
20150430,11263.4062,97.84
20150501,10989.9014,97.57
20150504,10915.3096,97.38
20150505,10318.5723,97.29
20150506,10094.7959,96.97
20150507,9348.875,97.2
20150508,9945.6113,97.52
20150511,9324.0117,96.9
20150512,9696.9717,96.89
20150513,9249.4189,96.89
20150514,8801.8662,97.04
20150515,8752.1387,97.44
20150518,8553.2266,97.07
20150519,7732.7134,96.74
20150520,7722.7676,96.89
20150521,8321.9912,97.19
20150522,8187.7246,97.08
20150526,7588.5019999999995,97.32
20150527,7573.5835,97.42
20150528,7180.7319,97.38
20150529,7113.5991,97.42
20150601,6899.7686,97.15
20150602,7349.8071,96.77
20150603,7068.8438,96.39
20150604,6750.584,96.59
20150605,6897.2822,96.16
20150608,6780.4209,96.31
20150609,6847.5537,96.03
20150610,7083.7622,95.79
20150611,6802.7988,96.31
20150612,6477.0796,96.19
20150615,6437.2974,96.31
20150616,6658.5874,96.47
20150617,6397.5146,96.47
20150618,6094.1738,96.45
20150619,5910.1802,96.75
20150622,5900.2344,96.27
20150623,6253.3037,96.05
20150624,6089.2012,96.2
20150625,5875.3701,96.09
20150626,5793.3188,95.86
20150629,5109.5581,96.43
20150630,5206.5278,96.37
20150701,4453.1479,96.12
20150702,4279.0996,96.26
20150706,3796.7375,96.6
20150707,4052.8369,96.74
20150708,3582.9067,96.97
20150709,3779.3325,96.61
20150710,3550.5835,96.2
20150713,3525.7192,96.06
20150714,3926.0303,96.22
