DateTime,GS_data,SPGI_data,IJJ_data,IJK_data,BTC-USD_data,ETC-USD_data,UVXY_data,LRCX_data,LTC-USD_data,ITA_data,NEE_data,SBUX_data,MCK_data,NOC_data,IHI_data,PSA_data,XLM-USD_data,QLD_data,XRP-USD_data,AGG_data,ETH-USD_data,BXP_data,VCR_data,MUB_data,ACN_data,CI_data,SUB_data,JNJ_data,TNA_data,SVXY_data,KR_data,STZ_data,LLY_data,ZBH_data,VBK_data,BDX_data,IJS_data,AIV_data,LMT_data,ECL_data,XEC_data,EBAY_data,TRV_data,TECS_data,ARNC_data,IGIB_data,TLH_data,KMB_data,VGT_data,GWW_data,USDT-USD_data,IWF_data,MSFT_data,UHS_data,IYH_data,SHW_data,FAZ_data,SPXS_data,VUG_data,IYW_data,CMI_data,HUM_data,DHR_data,XMR-USD_data,VAR_data,ITOT_data,DASH-USD_data,AMAT_data,VDC_data,ROST_data,QID_data,WHR_data,MLM_data,RTN_data,MCD_data,ZROZ_data,IEF_data,AAP_data,GVI_data
20150212,176.04,96.43,119.56,157.37,457.33,0.9288139999999999,57950.0,74.56,5.06,113.53,90.36,42.02,215.4,154.36,113.08,171.1,0.0031,35.63,0.0054,97.52,2.77,125.99,112.27,97.79,80.09,114.82,100.51,85.81,40.63,114.02,,106.89,,113.43,124.82,132.85,108.29,,172.67,104.33,,22.7,96.35,200.11,33.63,47.72,124.08,93.89,100.67,210.79,1.2111,92.61,38.68,102.27,137.95,269.33,243.08,94.53,101.01,101.64,117.64,148.58,43.21,1.77,81.22,43.33,3.75,22.21,112.52,45.56,142.96,186.16,135.79,96.87,82.79,109.33,97.52,150.16,101.09
20150213,175.32,96.43,120.3,158.14,424.44,0.602402,56425.0,75.57,4.69,114.31,88.88,41.91,215.51,154.22,113.99,170.11,0.0035,36.23,0.0051,97.41,0.75,124.6,113.02,97.67,80.72,114.32,100.36,86.84,41.36,115.48,33.28,106.44,62.23,114.56,125.64,133.52,108.9,33.39,172.21,105.13,107.5,23.41,96.31,196.2,33.98,47.65,123.48,94.59,101.49,211.29,1.2057,93.2,39.38,103.1,138.73,271.21,243.08,93.16,101.6,102.53,120.41,147.56,43.32,1.57,81.24,43.53,3.87,22.29,112.16,45.8,140.42,186.32,138.8,96.54,83.28,107.96,97.2,148.91,100.93
20150217,176.27,97.38,120.37,158.11,394.8,2.55348,56700.0,75.3,4.33,114.11,88.71,42.11,216.62,154.65,114.67,170.55,0.0039,36.31,0.0049,97.01,0.7,123.87,112.88,97.59,80.28,115.32,100.37,87.56,41.7,115.12,33.47,107.48,62.26,115.58,125.75,133.62,108.99,32.96,172.75,105.18,108.51,23.39,96.31,196.39,33.85,47.53,122.33,94.82,101.54,210.37,0.6065,93.3,39.4,104.93,139.57,272.26,241.12,92.77,101.72,102.55,120.36,149.67,43.31,1.45,81.43,43.58,3.43,22.3,112.17,46.12,140.22,186.56,137.31,96.09,82.14,105.19,96.51,148.98,100.71
20150218,175.01,99.09,120.55,158.94,408.9,1.6020299999999998,55825.0,75.31,4.29,115.04,91.34,42.56,216.23,154.72,115.48,170.57,0.0036,36.41,0.0048,97.28,0.71,125.22,112.89,97.81,80.39,115.85,100.61,87.14,41.81,115.9,33.65,107.99,63.14,115.5,126.26,133.69,108.99,32.76,173.62,105.08,109.02,23.59,96.29,195.42,34.06,47.72,122.79,95.19,101.72,212.0,0.6062,93.5,39.36,105.08,139.88,274.11,243.67,92.67,101.95,102.74,121.39,150.2,43.64,1.27,82.23,43.58,3.18,22.27,112.75,46.05,139.8,185.72,138.53,96.54,82.34,105.92,96.97,151.94,100.94
20150219,175.42,98.97,120.5,158.56,398.82,1.73045,53425.0,76.37,4.25,116.49,90.43,42.64,215.95,156.98,115.08,166.9,0.0035,36.77,0.0046,97.21,1.07,122.29,113.26,97.68,81.15,116.03,100.53,87.78,41.93,118.78,33.73,108.09,62.66,115.4,126.25,133.22,108.96,33.17,176.37,105.28,109.6,23.9,96.3,193.46,34.38,47.67,122.43,94.3,102.13,211.91,1.0,93.67,39.33,105.31,140.08,272.89,246.62,92.86,102.1,103.17,121.93,148.15,43.53,1.27,81.21,43.55,2.97,23.04,112.11,46.15,138.45,185.53,138.58,97.47,82.0,105.2,96.73,151.99,100.81
20150220,177.65,98.73,121.27,160.01,402.15,1.63571,49525.0,77.07,4.24,117.88,90.58,42.79,219.61,158.89,116.26,168.07,0.004,37.26,0.0047,97.22,1.22,123.09,114.03,97.79,81.35,118.38,100.45,88.01,42.21,122.84,33.28,109.0,62.75,116.73,127.01,135.19,109.02,32.27,178.36,105.99,113.41,24.06,96.15,190.92,33.93,47.67,122.33,94.55,102.78,214.24,1.0,94.33,39.66,105.99,141.65,275.73,240.33,91.25,102.82,103.77,123.45,150.89,43.75,1.26,81.46,43.84,3.36,23.22,112.41,46.63,136.56,186.35,136.9,98.2,82.0,105.63,96.67,153.77,100.79
20150223,176.53,98.57,120.99,160.25,435.79,1.56905,49875.0,76.47,4.75,117.6,90.91,42.82,220.24,157.34,116.62,168.77,0.004,37.34,0.0046,97.4,1.83,124.47,113.86,97.99,81.42,121.23,100.6,87.94,42.37,122.24,33.44,108.25,63.42,116.47,126.97,136.47,109.01,32.7,179.76,104.94,112.28,24.08,95.49,189.95,33.33,47.75,123.03,94.58,102.78,212.46,1.0,94.42,39.92,106.5,142.09,275.55,242.3,91.39,102.88,103.83,122.59,159.01,43.34,1.47,81.69,43.83,3.4,23.02,112.73,47.07,136.21,186.29,137.08,98.91,82.11,107.29,97.12,155.87,101.04
20150224,178.31,98.46,121.4,160.13,423.2,1.79855,45700.0,77.43,4.67,117.84,90.99,42.76,220.6,157.04,116.64,166.66,0.0039,37.39,0.0047,97.83,1.83,122.11,114.27,98.17,81.67,120.6,100.63,88.4,42.48,127.44,33.6,108.96,62.73,116.9,126.77,138.16,109.46,33.24,180.66,106.43,112.07,24.21,95.91,187.41,33.83,47.87,124.0,94.07,103.03,213.67,1.0,94.52,39.86,106.63,141.89,276.56,240.53,90.41,102.93,104.07,122.79,158.93,43.43,1.51,82.03,43.95,3.34,23.43,113.11,46.7,135.94,187.25,136.95,99.39,82.69,109.68,97.76,155.09,101.32
20150225,177.84,98.14,121.25,159.92,411.57,2.34114,46225.0,76.79,4.51,116.97,89.67,43.13,220.03,155.61,116.31,166.48,0.0035,37.2,0.0047,97.9,1.69,121.58,115.08,98.15,81.44,121.02,100.61,88.84,42.64,126.44,33.5,107.49,62.56,115.71,127.14,137.61,109.33,32.24,179.12,108.93,111.05,24.19,95.34,191.7,32.24,47.97,124.27,93.87,102.5,215.54,1.0,94.55,39.77,107.28,142.08,273.83,239.94,90.66,103.05,103.33,123.13,159.83,43.52,1.4,82.09,43.92,3.0,23.19,112.77,46.89,136.71,187.78,136.18,98.46,85.9,110.7,97.85,154.95,101.43
20150226,178.85,97.96,120.92,159.6,404.42,2.76151,45125.0,76.65,4.43,116.52,89.41,43.27,220.12,154.1,116.21,165.2,0.003,37.58,0.0046,97.55,1.57,120.32,114.79,97.94,81.17,121.43,100.58,90.24,43.08,127.86,33.24,109.03,62.08,116.48,127.2,138.01,109.91,32.04,177.34,109.4,113.4,24.27,96.15,187.99,32.47,47.82,123.82,93.66,103.13,216.25,1.0,94.65,39.84,110.63,142.52,274.42,242.1,90.95,103.05,104.08,123.17,157.88,43.81,1.39,81.07,43.86,2.89,23.02,112.87,47.17,135.36,186.6,135.74,97.95,87.39,108.12,97.27,154.08,101.11
