DateTime,GS_data,SPGI_data,V_data,IJJ_data,IJK_data,BTC-USD_data,XLF_data,ETC-USD_data,AMGN_data,UVXY_data,VHT_data,LRCX_data,ISRG_data,TZA_data,LTC-USD_data,UPRO_data,SOXX_data,ITA_data,NFLX_data,NEE_data,SBUX_data,MCK_data,IWO_data,VTI_data,IEI_data,AVGO_data,IVW_data,NOC_data,COST_data,IHI_data,PSA_data,UTX_data,XLM-USD_data,QLD_data,TECL_data,XRP-USD_data,AGG_data,GOOG_data,ETH-USD_data,BXP_data,VCR_data,MUB_data,ACN_data,CI_data,SUB_data,JNJ_data,JNK_data,CHTR_data,TNA_data,UNH_data,SVXY_data,KR_data,STZ_data,LLY_data,ZBH_data,EQT_data,CMCSA_data,TMO_data,VBK_data,BDX_data,CTXS_data,IWB_data,IJS_data,AIV_data,LMT_data,ECL_data,XEC_data,ANTM_data,CAT_data,IWV_data,APD_data,EBAY_data,TRV_data,TECS_data,ARNC_data,IGIB_data,SPG_data,NVDA_data,TLH_data,RRC_data,SBAC_data,KMB_data,VGT_data,GWW_data,USDT-USD_data,IWF_data,IBM_data,MSFT_data,UHS_data,PPG_data,HON_data,IYH_data,AAPL_data,SRTY_data,SHV_data,INTU_data,SHW_data,MMM_data,FAZ_data,SPXS_data,EQIX_data,SPXL_data,ONEQ_data,BA_data,VUG_data,IYW_data,CMI_data,IJH_data,HUM_data,GPN_data,DHR_data,TIP_data,XMR-USD_data,FDX_data,VAR_data,EXPE_data,WLTW_data,ITOT_data,PXD_data,DASH-USD_data,AMAT_data,VDC_data,ROST_data,QID_data,GOOGL_data,WYNN_data,WHR_data,MLM_data,RTN_data,UDOW_data,MCD_data,ZROZ_data,AGN_data,IEF_data,AMZN_data,AAP_data,GVI_data,SJM_data
20150212,176.04,96.43,,119.56,157.37,457.33,13.9,0.9288139999999999,134.89,57950.0,120.61,74.56,169.24,222.21,5.06,22.59,89.01,113.53,65.25,90.36,42.02,215.4,139.85,98.06,113.51,97.67,106.36,154.36,,113.08,171.1,,0.0031,35.63,36.71,0.0054,97.52,541.44,2.77,125.99,112.27,97.79,80.09,114.82,100.51,85.81,88.54,177.03,40.63,101.54,114.02,,106.89,,113.43,,26.61,124.59,124.82,132.85,49.87,106.3,108.29,,172.67,104.33,,131.85,70.56,113.62,122.66,22.7,96.35,200.11,33.63,47.72,,21.5,124.08,49.2795,119.31,93.89,100.67,210.79,1.2111,92.61,127.31,38.68,102.27,107.1,88.68,137.95,116.38,113.54,104.8,85.05,269.33,,243.08,94.53,196.61,21.51,180.11,,101.01,101.64,117.64,138.08,148.58,,43.21,103.81,1.77,167.75,81.22,85.43,117.34,43.33,146.38,3.75,22.21,112.52,45.56,142.96,546.01,,186.16,135.79,96.87,35.31,82.79,109.33,268.02,97.52,377.17,150.16,101.09,
20150213,175.32,96.43,65.4,120.3,158.14,424.44,13.89,0.602402,135.15,56425.0,121.22,75.57,170.24,217.89,4.69,22.88,89.64,114.31,66.59,88.88,41.91,215.51,140.91,98.53,113.38,98.07,106.83,154.22,134.62,113.99,170.11,106.85,0.0035,36.23,37.4,0.0051,97.41,547.51,0.75,124.6,113.02,97.67,80.72,114.32,100.36,86.84,88.76,177.88,41.36,101.17,115.48,33.28,106.44,62.23,114.56,42.88,27.11,125.36,125.64,133.52,50.49,106.78,108.9,33.39,172.21,105.13,107.5,130.97,71.91,114.15,123.13,23.41,96.31,196.2,33.98,47.65,159.48,21.51,123.48,49.3474,121.31,94.59,101.49,211.29,1.2057,93.2,128.82,39.38,103.1,108.82,89.43,138.73,116.95,111.48,104.81,85.87,271.21,145.87,243.08,93.16,196.58,21.8,181.67,130.09,101.6,102.53,120.41,138.89,147.56,45.91,43.32,103.6,1.57,167.91,81.24,85.35,116.01,43.53,155.98,3.87,22.29,112.16,45.8,140.42,551.16,139.04,186.32,138.8,96.54,35.61,83.28,107.96,271.55,97.2,381.83,148.91,100.93,99.34
20150217,176.27,97.38,65.1,120.37,158.11,394.8,13.94,2.55348,135.82,56700.0,121.99,75.3,171.33,216.71,4.33,23.0,89.92,114.11,67.14,88.71,42.11,216.62,141.53,98.68,112.96,98.71,107.05,154.65,134.02,114.67,170.55,108.33,0.0039,36.31,37.41,0.0049,97.01,541.35,0.7,123.87,112.88,97.59,80.28,115.32,100.37,87.56,88.72,176.45,41.7,101.46,115.12,33.47,107.48,62.26,115.58,43.11,26.81,125.77,125.75,133.62,50.22,106.94,108.99,32.96,172.75,105.18,108.51,131.63,72.12,114.3,123.66,23.39,96.31,196.39,33.85,47.53,158.16,21.58,122.33,50.9005,121.82,94.82,101.54,210.37,0.6065,93.3,129.26,39.4,104.93,108.39,89.1,139.57,117.64,110.5,104.82,85.72,272.26,145.89,241.12,92.77,194.4,21.89,181.74,131.54,101.72,102.55,120.36,138.97,149.67,45.75,43.31,103.08,1.45,170.83,81.43,84.59,115.67,43.58,155.79,3.43,22.3,112.17,46.12,140.22,545.01,143.19,186.56,137.31,96.09,35.74,82.14,105.19,273.0,96.51,375.43,148.98,100.71,100.66
20150218,175.01,99.09,65.39,120.55,158.94,408.9,13.85,1.6020299999999998,137.18,55825.0,122.29,75.31,170.95,215.93,4.29,22.98,89.69,115.04,67.87,91.34,42.56,216.23,141.89,98.74,113.37,97.94,107.28,154.72,134.41,115.48,170.57,108.4,0.0036,36.41,37.53,0.0048,97.28,538.22,0.71,125.22,112.89,97.81,80.39,115.85,100.61,87.14,88.94,174.29,41.81,101.47,115.9,33.65,107.99,63.14,115.5,43.32,26.54,125.74,126.26,133.69,49.87,107.01,108.99,32.76,173.62,105.08,109.02,131.7,71.63,114.38,123.99,23.59,96.29,195.42,34.06,47.72,157.92,21.33,122.79,50.3666,121.81,95.19,101.72,212.0,0.6062,93.5,130.25,39.36,105.08,109.19,89.64,139.88,118.46,110.27,104.83,85.4,274.11,146.75,243.67,92.67,197.62,21.9,182.03,131.7,101.95,102.74,121.39,139.42,150.2,45.67,43.64,103.51,1.27,171.06,82.23,85.04,115.21,43.58,155.09,3.18,22.27,112.75,46.05,139.8,542.65,141.09,185.72,138.53,96.54,35.69,82.34,105.92,270.24,96.97,373.37,151.94,100.94,100.06
20150219,175.42,98.97,64.97,120.5,158.56,398.82,13.79,1.73045,137.42,53425.0,122.46,76.37,170.49,215.14,4.25,22.93,89.93,116.49,67.8,90.43,42.64,215.95,142.31,98.71,113.16,98.74,107.39,156.98,134.13,115.08,166.9,109.0,0.0035,36.77,37.87,0.0046,97.21,541.38,1.07,122.29,113.26,97.68,81.15,116.03,100.53,87.78,88.85,174.53,41.93,101.71,118.78,33.73,108.09,62.66,115.4,43.06,26.37,125.54,126.25,133.22,50.32,106.96,108.96,33.17,176.37,105.28,109.6,132.46,70.36,114.33,125.77,23.9,96.3,193.46,34.38,47.67,159.12,21.38,122.43,50.4928,120.66,94.3,102.13,211.91,1.0,93.67,131.62,39.33,105.31,108.85,89.7,140.08,118.21,109.96,104.83,86.69,272.89,147.18,246.62,92.86,198.06,21.86,182.88,132.8,102.1,103.17,121.93,139.19,148.15,45.89,43.53,103.43,1.27,169.98,81.21,87.08,115.79,43.55,158.26,2.97,23.04,112.11,46.15,138.45,546.45,142.46,185.53,138.58,97.47,35.44,82.0,105.2,275.42,96.73,379.0,151.99,100.81,101.03
20150220,177.65,98.73,64.97,121.27,160.01,402.15,13.9,1.63571,138.83,49525.0,123.77,77.07,171.1,213.57,4.24,23.35,90.47,117.88,68.31,90.58,42.79,219.61,142.72,99.26,113.08,99.77,108.12,158.89,133.62,116.26,168.07,109.82,0.004,37.26,38.51,0.0047,97.22,537.47,1.22,123.09,114.03,97.79,81.35,118.38,100.45,88.01,89.03,175.89,42.21,104.11,122.84,33.28,109.0,62.75,116.73,43.32,26.67,128.86,127.01,135.19,50.81,107.63,109.02,32.27,178.36,105.99,113.41,134.26,71.33,115.02,127.04,24.06,96.15,190.92,33.93,47.67,155.46,21.54,122.33,50.3181,120.89,94.55,102.78,214.24,1.0,94.33,131.43,39.66,105.99,109.38,90.27,141.65,119.17,109.22,104.82,92.02,275.73,146.9,240.33,91.25,203.21,22.24,183.66,135.07,102.82,103.77,123.45,140.19,150.89,45.93,43.75,103.43,1.26,169.84,81.46,88.03,115.81,43.84,156.87,3.36,23.22,112.41,46.63,136.56,541.8,142.5,186.35,136.9,98.2,36.36,82.0,105.63,281.44,96.67,383.66,153.77,100.79,100.66
20150223,176.53,98.57,65.91,120.99,160.25,435.79,13.86,1.56905,139.5,49875.0,124.28,76.47,171.23,212.79,4.75,23.33,89.9,117.6,67.41,90.91,42.82,220.24,142.81,99.25,113.35,100.48,108.28,157.34,134.42,116.62,168.77,110.89,0.004,37.34,38.61,0.0046,97.4,530.45,1.83,124.47,113.86,97.99,81.42,121.23,100.6,87.94,89.12,175.88,42.37,107.6,122.24,33.44,108.25,63.42,116.47,43.08,26.54,128.67,126.97,136.47,49.37,107.59,109.01,32.7,179.76,104.94,112.28,136.82,70.53,114.99,125.79,24.08,95.49,189.95,33.33,47.75,157.1,21.36,123.03,49.8425,119.01,94.58,102.78,212.46,1.0,94.42,130.83,39.92,106.5,109.31,89.43,142.09,122.39,108.83,104.81,91.66,275.55,147.81,242.3,91.39,201.12,22.23,184.08,139.07,102.88,103.83,122.59,140.22,159.01,46.17,43.34,103.63,1.47,169.65,81.69,90.37,115.81,43.83,154.34,3.4,23.02,112.73,47.07,136.21,535.0,142.41,186.29,137.08,98.91,36.23,82.11,107.29,278.29,97.12,380.14,155.87,101.04,100.27
20150224,178.31,98.46,65.91,121.4,160.13,423.2,13.93,1.79855,138.58,45700.0,124.07,77.43,170.62,212.0,4.67,23.53,91.1,117.84,67.84,90.99,42.76,220.6,142.99,99.48,113.79,100.77,108.4,157.04,135.19,116.64,166.66,110.54,0.0039,37.39,38.9,0.0047,97.83,534.62,1.83,122.11,114.27,98.17,81.67,120.6,100.63,88.4,89.28,177.77,42.48,106.7,127.44,33.6,108.96,62.73,116.9,42.56,26.97,129.53,126.77,138.16,49.82,107.91,109.46,33.24,180.66,106.43,112.07,136.76,71.38,115.26,126.5,24.21,95.91,187.41,33.83,47.87,158.57,21.59,124.0,49.7357,117.46,94.07,103.03,213.67,1.0,94.52,132.37,39.86,106.63,109.44,89.83,141.89,121.63,108.52,104.81,92.65,276.56,148.42,240.53,90.41,200.44,22.42,184.5,135.94,102.93,104.07,122.79,140.39,158.93,45.94,43.43,104.25,1.51,169.17,82.03,89.83,115.77,43.95,155.5,3.34,23.43,113.11,46.7,135.94,538.65,138.69,187.25,136.95,99.39,36.77,82.69,109.68,275.11,97.76,378.59,155.09,101.32,100.1
20150225,177.84,98.14,65.78,121.25,159.92,411.57,13.93,2.34114,139.2,46225.0,124.29,76.79,169.22,211.41,4.51,23.45,90.63,116.97,68.33,89.67,43.13,220.03,143.53,99.44,113.84,100.33,108.31,155.61,135.03,116.31,166.48,110.6,0.0035,37.2,38.24,0.0047,97.9,542.38,1.69,121.58,115.08,98.15,81.44,121.02,100.61,88.84,89.33,182.21,42.64,105.43,126.44,33.5,107.49,62.56,115.71,43.41,27.18,128.76,127.14,137.61,50.2,107.83,109.33,32.24,179.12,108.93,111.05,136.47,71.93,115.21,126.55,24.19,95.34,191.7,32.24,47.97,155.67,21.43,124.27,52.3273,119.4,93.87,102.5,215.54,1.0,94.55,130.75,39.77,107.28,108.93,89.91,142.08,118.52,108.01,104.81,92.9,273.83,148.69,239.94,90.66,197.17,22.35,184.45,135.62,103.05,103.33,123.13,140.22,159.83,45.78,43.52,104.43,1.4,167.12,82.09,90.24,115.5,43.92,158.45,3.0,23.19,112.77,46.89,136.71,547.33,132.1,187.78,136.18,98.46,36.85,85.9,110.7,276.38,97.85,385.37,154.95,101.43,100.29
20150226,178.85,97.96,65.91,120.92,159.6,404.42,13.9,2.76151,139.99,45125.0,124.7,76.65,168.78,209.06,4.43,23.37,91.25,116.52,69.0,89.41,43.27,220.12,144.19,99.38,113.39,115.08,108.45,154.1,134.36,116.21,165.2,110.23,0.003,37.58,39.03,0.0046,97.55,553.96,1.57,120.32,114.79,97.94,81.17,121.43,100.58,90.24,89.44,182.18,43.08,105.07,127.86,33.24,109.03,62.08,116.48,44.3,26.97,127.85,127.2,138.01,49.68,107.69,109.91,32.04,177.34,109.4,113.4,136.24,70.79,115.13,126.21,24.27,96.15,187.99,32.47,47.82,156.01,21.48,123.82,49.328,119.65,93.66,103.13,216.25,1.0,94.65,129.19,39.84,110.63,109.01,89.26,142.52,120.02,107.0,104.81,92.94,274.42,148.49,242.1,90.95,195.46,22.27,185.02,134.42,103.05,104.08,123.17,139.96,157.88,45.89,43.81,104.35,1.39,166.13,81.07,88.94,115.33,43.86,154.18,2.89,23.02,112.87,47.17,135.36,559.29,128.55,186.6,135.74,97.95,36.86,87.39,108.12,275.79,97.27,384.8,154.08,101.11,99.97
